,company_name,job_summary,job_title,City,State
0,ODSC Hiring Partner,Programming proficiency in Python or R.Their data science team is expanding!Development of data science solutions for industrial projects.,Data Scientist – Generalist,San Francisco Bay Area, CA
1,Blue Owl,Requirements for all data scientists.Experience working with large or fast moving data sets.You have used pandas enough to run into its rough parts.,Data Scientist,San Francisco, CA
2,Direct-to-Consumer and International,"The Business Intelligence Analyst will use customer attributes, purchase transaction data, and event-level data from the Movies Anywhere apps to build…",Business Intelligence Analyst,Burbank, CA
3,Direct-to-Consumer and International,"The Business Intelligence Analyst will use customer attributes, purchase transaction data, and event-level data from the Movies Anywhere apps to build…",Senior BI Analyst,Burbank, CA
4,Looker,"Experience with Python (specifically Matplotlib, Pandas) or R is a plus.Looker is seeking a Senior Data Analyst to join our fast growing team.",Senior Data Analyst,Santa Cruz, CA
5,Lyte,For this Data Analyst role:Basic Python or other programming language experience.Demonstrated success in a full-time analyst role (3+ years experience…,Data Analyst,San Francisco, CA
6,"SolutionIT, Inc.","Is looking for a Data Analyst for one of its clients in Burbank, CA.Data manipulation skills using Python/R sometimes we need to do analyses that SQL/Excel can…",Data Analyst,Burbank, CA
7,Rimeto,"3+ years experience as a data analyst, business data analyst or data scientist.Focus on data quality and improving our data systems.",Data Analyst,San Francisco, CA
8,Apple,4-6 years of recent experience in a business analyst or data analyst role.Successful analytics teams involve data scientists and data engineers working hand in…,Data & Tableau Reporting Analyst,Santa Clara Valley, CA
9,QuestBridge,"Experience working with multiple sources of data (education data is a plus).Ability to leverage code to conduct data cleaning, data wrangling, and analyses.",Data Analyst- Data Science & Analytics,Palo Alto, CA
10,Google,"Experience with at least one data visualization tool (PLX, DasNav, Tableau, etc.).Proficiency with statistical data analysis (a/b tests, hypothesis testing,…","Quantitative Business Analyst, Geo",Mountain View, CA
11,Jam City,"1-3 years of experience in a product, data or business analyst role.Working knowledge of Python, R or other statistical programming.",Data Analyst,San Francisco, CA
12,Thunder,"Knowledge in Python a plus (Pandas, Scipy, Requests, Matplotlib).Advanced in data visualization tools such as Tableau, Domo, or Looker.",Data Analyst,San Francisco, CA
13,Genentech,Drive decision making by clearly tell stories with data.Building production ETL processes to acquire and process data.Who we are looking for.,"Principal Data Scientist, People Analytics",South San Francisco, CA
