,company_name,job_summary,job_title,City,State
0,ODSC Hiring Partner,Programming proficiency in Python or R.Their data science team is expanding!Development of data science solutions for industrial projects.,Data Scientist – Generalist,San Francisco Bay Area, CA
1,Genentech,"At least 5 years experience with Python (Numpy, Scipy, Pandas, scikit-learn).We are looking for a dynamic Senior Data Scientist to join our team to help propel…","Principal Data Scientist, People Analytics",South San Francisco, CA
2,Liberty Personnel Services,My client has a full time opening for a Data Scientist.They are seeking someone with 1-5 years of overall experience and you must be a Citizen or GC holder to…,Data Scientist,Fremont, CA
3,Tailored Management,"3+ years working as a Marketing Analyst, Data Scientist, or Decision Scientist within Marketing.Experience using Big Data Tools, such as Hadoop, Storm,…",Marketing Decision Scientist,Menlo Park, CA
4,avast software,"Data mining to uncover hidden correlation among data.Experience with data science toolkits, such as Pandas, scikit-learn, Tensorflow.",Privacy Data Scientist,Redwood City, CA
5,Roche,"Highly conversant with numpy, pandas, matplotlib and other similar data analysis and visualization libraries.Analyze existing software and develop requirements…",Principal Software Engineer,Santa Clara, CA
6,"Cognitive BI, Inc","Experience with Pandas, NumPY and other common libraries to clean data and ensure data quality, consistency, and integrity.",Junior Data Scientist (Part-time ),Palo Alto, CA
7,"Columbus Technologies and Services, Inc.","The ideal candidate will have experience with Big Data, Machine learning, Machine Vision, Natural Language Processing, and Data Mining, and also experience…",Data Scientist III,Pasadena, CA
8,Reef Kitchens,"Proficiency in using Python, SQL, Hadoop, Spark for data extraction and analysis.Experience with data visualization libraries such as Matplotlib, Plotly, or…",Data Scientist - (San Francisco),Daly City, CA
9,Adavance2,"Working knowledge of Python and related data science libraries (NumPy, Pandas, Scikit-learn, SciPy).The Data Scientist will be responsible for leveraging their…",Data Scientist,Los Angeles, CA
10,UCLA Health,Experience with healthcare data and/or EHR data is preferred.The Data Scientist is responsible for developing machine learning predictive analytics models by…,Data Scientist,Los Angeles, CA
11,Facebook,"As a Data Scientist, you would be working across the pods, and also collaborating with cross-organizational teams at various parts of Facebook.","Data Scientist, Analytics - New Product Experimentation",Menlo Park, CA
12,Google,"As a Data Scientist, you will evaluate and improve Google's products.Experience with statistical software (e.g., R, Python, MATLAB, pandas) and database…","Data Scientist, Engineering",Mountain View, CA
13,Cybernetic Search,"Worked with extremely complex data sets.MS in Statistics, Analytics, Data Science or related field (PhD preferred).Passion for Esports and gaming.",Data Scientist,Los Angeles, CA
14,Blume Global,"Familiarity with technical tools for data analysis - Python (with Pandas, etc.), R, SQL.Experience with manipulating complex data sources and very large-scale…",Associate Data Scientist,Pleasanton, CA
15,UCLA Health,Experience with healthcare data and/or EHR data is preferred.The Senior Data Scientist is responsible for developing machine learning predictive analytics…,Senior Data Scientist,Los Angeles, CA
16,Blue Owl,"Expert in Python and core libraries used by data scientists (Numpy, Scipy, Pandas, Scikit-learn, Matplotlib/Seaborn, etc.).Very likely you read Wes’ book.",Data Scientist,San Francisco, CA
17,Marlette Funding,Data science related major is a big plus.The Data Scientist will be part of Decision Science team and will partner with various business units to research and…,Data Scientist,California,
18,"Iteris, Inc.","Experience with NoSQL data stores (e.g.Experience with Pandas, Dask, or NumPy.Experience or interest in map based data visualizations.",Software Developer,United States,
19,Calance US,"Strong Data Analytics, SQL and Pandas.Proficient in Python, Jupiter Notebook, NumPy, MatplotLib to analyze and performs statistical data analysis with…",Data Analyst/Scientist/SW Developer,Torrance, CA
20,avast software,"Experience with data science toolkits, such as Pandas, scikit-learn, Tensorflow.We are looking for a Data Scientist to help us protect IoT devices in homes…",Senior Data Scientist - Networking (5G,Emeryville, CA
21,"Green Street Advisors, LLC","Experience with Pandas, Jupyter Notebooks, MySQL, Redshift, AWS Lambda and AWS Data Analytics services considered a plus.",Data Scientist,Newport Beach, CA
22,Mission Lane,"Proficiency in Python, scikit-learn, Pandas, NumPy, R, or similar.Mission Lane is looking for a Senior Data Scientist to join our team.",Senior Data Scientist,San Francisco, CA
23,Vectra,"Vectra directly analyzes network traffic in real time using combination of patent-pending data science, machine learning, and behavioral analysis to detect…",Data Scientist,San Jose, CA
24,"TAE Technologies, Inc.","Experience using common python data analysis and visualization packages such as NumPy, SciPy, Pandas, and Matplotlib.3+ years developing in python.",Physics Data Scientist,Foothill Ranch, CA
25,Uber,"Familiarity with technical tools for analysis - Python (with Pandas, etc.), R, SQL, etc.Research, data science modeling, or engineering experience.",2020 PhD Data Scientist Internship - Uber Eats (San Francisco),San Francisco, CA
26,VSolvit LLC,VSolvit is looking for a broadly-talented Data Scientist with quantitative research skills to take an active role on our data analytics team.,Data Scientist,Ventura, CA
27,Flow Labs,"Familiarity with automated data clean-up and end-to-end data analytics.3+ years of experience in data science and/or statistics, using languages such as Python…",Data Scientist,Oakland, CA
28,"Fullpower Technologies, Inc.","Work with health data and time-series sensor data.Expertise in Python and packages such as Pandas, Scikit-learn, etc.",Data Scientist / Applied Mathematician,Santa Cruz, CA
29,Google,"Experience extracting insights from data and presenting findings.At Google, data drives all of our decision-making.You also figure out the solution.","Quantitative Business Analyst, Geo",Mountain View, CA
30,Brightidea,"Programming in Python ~ 2+ years.Numpy, scipy, pandas, Jupyter, and scikit-learn background.Write, maintain, and develop python machine learning modules &…",Data Scientist,San Francisco, CA
31,Jobot,"Experience with Python data science packages like Scikit-Learn, Pandas, NumPy, and/or SciPy.Collaborate with other data engineers, supporting new and emerging…",Machine Learning Engineer,San Francisco, CA
32,Singular Genomics,We require a substantial level of experience with Python (several years or several large projects worth) and its core data manipulation libraries:,Software Engineer,La Jolla, CA
33,Joby Aviation,"Expert knowledge of python and data libraries (pandas, scipy, etc.).Work with the data engineering team to develop and maintain efficient data pipelines.",Data Scientist,San Carlos, CA
34,Apple,"Intermediate Python proficiency with experience utilizing relevant libraries (shapely, pandas, arcpy, etc) for data analysis, process automation, and spatial…",Cartographer,Santa Clara Valley, CA
35,TAE TECHNOLOGIES,"Experience using common python data analysis and visualization packages such as NumPy, SciPy, Pandas, and Matplotlib.3+ years developing in python.",Physics Data Scientist,Foothill Ranch, CA
36,Apeel Sciences,"Experience with data science packages is desirable, e.g., Scikit-Learn, Pandas, Numpy, Scipy, TensorFlow, pymc.Unsupervised data analysis (PCA, K-means, etc.);",Senior Data Scientist,Santa Barbara, CA
37,Kinsa Inc.,We are seeking a Data Scientist skilled at time series problems and forecasting.Geospatial data processing and visualization.Come join our team and do good!,Data Scientist,San Francisco, CA
38,Interview Query,"Python, Pandas, or related experience.Our mission is to provide the best content and preparation guide for all aspiring data scientist looking for jobs in this…",Data Science Intern,San Francisco Bay Area, CA
39,"PARC, a Xerox company","Experience with standard tools such as R libraries and Python libraries such as Pandas, matplotlib, numpy, scikitlearn, etc.",Research Scientist,Palo Alto, CA
40,Beyond Limits,"Subsurface, ocean or climate data).Our data science team is expanding!The successful candidate will work with the data science and engineering teams to…",Data Scientist - Statistician,Glendale, CA
41,Snapchat,"We’re looking for a talented Data Scientist to join Snap, Inc!Fluency in SQL or other big data querying language.",Engineering Data Scientist,Los Angeles, CA
42,Apartment List,"Partner with the data engineering team to enhance data assets in the existing data lake.Strong ability with the python ML stack (numpy, scikit-learn, pandas,…",Sr. Data Scientist,San Francisco, CA
43,Roche,"Highly conversant with numpy, pandas, matplotlib and other similar data analysis and visualization libraries.You will be involved in developing, implanting and…",Senior Software Engineer,Santa Clara, CA
44,Affirm,"Experience using frameworks for machine learning and data science like scikit-learn, pandas, numpy, xgboost, TensorFlow.Design experiments and analyze data.",Staff Data Scientist,San Francisco, CA
45,Verana Health,"Strong familiarity with health data analytics tools, especially SQL, Python, Pandas.Verana Health is looking for an experienced data scientist with a…",Clinical Data Scientist,San Francisco, CA
46,Crossover Health,The Data Scientist reports to the Sr.Minimum of 2 years of experience in data science and/or data analytics.Identifies meaningful insights from large data and…,Data Scientist,San Clemente, CA
47,Uber,"Familiarity with technical tools for analysis - Python (with Pandas, etc.), R, SQL, etc.;To solve these problems, data scientists leverage unique data sources…",2020 PhD University Graduate - Data Scientist - Uber Eats (San Francisco),San Francisco, CA
48,Aerobotics One,Moderate to proficient general python skillsProficiency in the pandas data analysis library in python.The flight data engineer position is a cross between an…,Flight Data Engine SOFTWARE ENGINEERING –,La Jolla, CA
49,"Linc Global, Inc.","Strong analytical skills, data driven mindset.Tensorflow, CNTK, scikit-learn, pandas, numpy, libsvm, keras.5+ years of programming experience, proficiency in…",Data Scientist,Sunnyvale, CA
50,Applied Materials Inc.,"Working experience in end to end data science project life cycles from use case framing, data collection, data exploration, model building, deployment.",Data Scientist - (B3),Santa Clara, CA
51,UCLA Health,Experience with healthcare data and/or EHR data is preferred.The Senior Data Scientist is responsible for developing machine learning predictive analytics…,Senior Data Scientist,Los Angeles, CA
52,Facebook,"We are seeking a Data Scientist to join our AI Data Science and Analytics team, focusing on Personalization.Plan, and be able to conduct as needed, end-to-end…","Data Scientist, Analytics - Personalization",Menlo Park, CA
53,Beyond Limits,Programming proficiency in Python or R.Our data science team is expanding!Development of data science solutions for industrial projects.,Data Scientist - Generalist,Glendale, CA
54,Imbellus,"Analyze data to improve the product using insights from user data and provide evidence for product claims.Engineer, generate, and validate data sets for use in…",Software Engineer,Los Angeles, CA
55,Gurucul,"Gurucul is seeking an innovative analytics thinker for the role of a Senior level Data Scientist, to be part of Gurucul’s Data Science team.",Sr. Data Scientist,El Segundo, CA
56,RAND Corporation,"Experience and knowledge of programming languages, data analysis packages (e.g., Python, R, SAS, MatLab, Stata, GAMS, SPSS, Hadoop, BigML, Pandas).",Technical Research Analyst,Santa Monica, CA
57,Square,"A strong track record of performing data analysis using Python (numpy, pandas, scikit-learn, etc.).As a Data Scientist within Growth Data Science team, you…","Data Scientist, Growth Data Science",San Francisco, CA
58,Yelp,"Experience with data analysis/statistical software and packages (pandas/statsmodels/sklearn within Python, R, etc.).Work with large, complex datasets.",Applied Data Scientist,San Francisco, CA
59,Miles,Experience with messy real-world data -- handling missing/incomplete/inaccurate data.Proficient in the Python ML ecosystem:,Data Scientist,Redwood City, CA
60,Motif Investing,"Experience with Numerical / Scientific Python (NumPy, SciPy, Pandas).We combine traditional and non-traditional data sources, containing structured and…",Motif Capital – Data Scientist,San Mateo, CA
61,Facebook,"Experience finding, cleaning, and manipulating data to build data sets.Statistical modeling and data analysis experience (e.g.",Decision Scientist,Menlo Park, CA
62,"PDF Solutions, Inc","Experience with data science and machine learning, including Python libraries such as NumPy, SciPy, pandas and scikit-learn.Cassandra DB or other NoSQL DB.",Senior Python Developer,Santa Clara, CA
63,General Assembly,"We are looking for a Data Scientist to facilitate our local class.You are an expert in SQL, Python, and related Python libraries (pandas, numpy).",Data Science Instructor,San Francisco, CA
64,Apple,"Hardware and software experience with multimodal data acquisition, instrumentation, and human-machine interfaces.Expertise in one or more of the following:",Machine Learning Researcher / Computational Neuroscientist,Santa Clara Valley, CA
65,Apple,"Experience with common data science toolkits, such as R, pandas, dplyr, NumPy, etc.Able to understand various data structures and common methods in data…","Sr Data Scientist, Apple Media Products",Santa Clara Valley, CA
66,Google,"10 years of relevant experience in data analysis or related field as a Statistician, Data Scientist, Computational Biologist, or Bioinformatician.",Data Scientist Technical Lead,Mountain View, CA
67,Interview Query,"Python, Pandas, SQL, and/or Excel skills a huge plus.Our mission is to provide the best content and preparation guide for all aspiring data scientist looking…",Growth Marketing Intern,San Francisco Bay Area, CA
68,"ShareThis, Inc",ShareThis is a big data company that owns online behavior data of 1Bn+ users globally and 18Bn+ monthly events.MS (PhD preferred) in STEM field.,Sr. Data Scientist(NLP),Palo Alto, CA
