,company_name,job_summary,job_title,City,State
0,Systems & Technology Research,"Proficiency with a scientific programming language, preferably Python, and familiarity with Numpy, Pandas, and/or Scikit-learn packages.",Data Scientist,Woburn, MA
1,Facebook,"Leverage data and business principles to solve large scale web, mobile and data infrastructure problems. Data extraction, cleaning, analysis and presentation).","Data Scientist, Infrastructure Strategy Intern",Boston, MA
2,"Red Hat, Inc.","Experience using open source statistical computing tools like Python, pandas, scikit-learn, and Jupyter notebooks. Prototype ideas and communicate results.",Data Science Internship,Boston, MA
3,Harvard University,"You will use a modern data science toolkit to manage multi-terabyte databases, build data pipelines, preprocess data, evaluate machine learning models, analyze…","Data Scientist, Media Manipulation",Cambridge, MA
4,DeepHealth,Strong programming skills in python and libraries such as pandas. Experience working with DICOM data or healthcare-related data. Contact Us About This Position.,Data Scientist,Cambridge, MA
5,Reef Kitchens,"Proficiency in using Python, SQL, Hadoop, Spark for data extraction and analysis. Experience with data visualization libraries such as Matplotlib, Plotly, or…",Data Scientist - (BOS01- Felton Street),Waltham, MA
6,Etiometry,"Experience with Python data analysis packages such as Scikit Learn, Pandas, and SciPy. Provide data mining and data analysis support, including data cleaning,…",Data Scientist,Boston, MA
7,LogMeIn,"Writing complex queries, transforming data, and mining structured and unstructured data. The preferred candidate will demonstrate the abilty to build custom…","Data Analyst, Customer Support",Boston, MA
8,Aon,"Experience with data mining tools such as Python, R, and Matlab. Experience with data analysis and statistical packages (NumPy, Pandas, Scikit-learn, PyMC etc.)…",Data Scientist,Boston, MA
9,Trilogy Ed,Trilogy Education is seeking an experienced Data Analyst who has a passion for teaching individuals how to code. Our Data Analytics and Visualization Program:,Entry-Level Data Analysts,Cambridge, MA
10,Vectra,"Vectra directly analyzes network traffic in real time using combination of patent-pending data science, machine learning, and behavioral analysis to detect…",Data Scientist,Boston, MA
11,Aspen Technology,"Using Scikit, Pandas, Boost, STL. Practical experience with data science algorithms and distributed computing. Good understanding of probabilistic modeling.",Sr Data Scientist,Bedford, MA
12,Cambridge Mobile Telematics,"Our Data Scientists are expected to read, write and test high quality Python code that will run in a production environment.",Data Scientist,Cambridge, MA
13,Nielsen,"Expertise in analytics programming languages such as Python (with pandas) and R. Data Science - USA Needham, Massachusetts. See what’s next with us at Nielsen:",Data Scientist - Global Research & Analytic Development,Needham, MA
14,Systems & Technology Research,"Proficiency with a scientific programming language, preferably Python, and familiarity with Numpy, Pandas, and/or Scikit-learn packages.",Data Scientist,Woburn, MA
15,CBRE,Partner with data intelligence and the enterprise data platform teams on strategic data initiatives to provide input and help implement data strategy.,Principal Research Data Scientist,Boston, MA
16,TripAdvisor,"Proficiency in Python for numerical/statistical programming (including Numpy, Pandas, and Scikit-learn). Write production code in Python.",Senior Data Scientist,Needham, MA
17,ClimaCell,Familiarity with building data processing pipelines and databases to support big data statistical analysis applications.,Lead Atmospheric Data Scientist,Boston, MA
18,MassMutual,"Expert in data analysis using R or Python (numpy, scipy, matplotlib, scikit-learn, pandas, etc.). Develop roadmaps for projects and services, data, and…",Lead Data Scientist,Boston, MA
19,Datawheel,"Experience writing data ETL pipelines. Familiarity with Pandas and/or other statistical analysis software. Knowledge of data extraction, cleaning, analysis, and…",Back-End Developer,Cambridge, MA
20,Integral Health,As a Principle Data Scientist at Integral you will work on cutting edge analytical problems that arise from an extremely diverse set of biotech data - including…,Principal Data Scientist,Boston, MA
21,MassMutual,"Experience with data analysis using R or Python (numpy, spark mllib, scipy, matplotlib, scikit-learn, pandas, etc.). Experience in an Agile environment.",Business Analytics Consultant,Boston, MA
22,Liberty Mutual Insurance,"Full stack development experience with python, Django, Flask, Node.js, RESTful services, Angular/React, javascript, python, pandas, conda, matlab, R, SQL, RDBMS…",Principal Full Stack Engineer,Boston, MA
23,Trilogy Ed,We are looking for an experienced Data Analyst to teach our part time Data Analytics and Visualization class at Harvard Extension School.,Data Analytics Instructor - Harvard Extension School,Cambridge, MA
24,Rapid7,Have experience with Numpy and Pandas. Able to read and write Python code. Experienced with AWS data processing and transformation services.,Data Engineer II,Boston, MA
25,Integral Health,As a Data Scientist at Integral you will work on cutting edge analytical problems that arise from an extremely diverse set of biotech data - including…,Senior Data Scientist,Boston, MA
26,MassMutual,"Experience with data analysis using R or Python (numpy, spark mllib, scipy, matplotlib, scikit-learn, pandas, etc.). Experience in an Agile environment.",Business Analytics Consultant,Boston, MA
27,Integral Health,"As a Principle Data Scientist, NLP at Integral you will work on cutting edge analytical problems that arise from an extremely diverse set of biotech data -…","Principal Data Scientist, Natural Language Processing",Boston, MA
28,General Assembly,"Expertise in SQL, Python, and related Python libraries (pandas, numpy). Our Data Science Immersive course empowers students with both the skills and mindsets to…",Local Lead Data Science Immersive Instructor,Boston, MA
29,CEDENT,Experience in python development and familiar with python packages such as Pandas and NumPy is a must. The Quant & Risk technology team is an end user / ITD…,Full Stack Engineer (Mid level -Node.js/Angular developer),Boston, MA
30,Liberty Mutual Insurance,"Full stack development experience with python, Django, Flask, Node.js, RESTful services, Angular/React, javascript, python, pandas, conda, matlab, R, SQL, RDBMS…",Senior Full Stack Engineer,Boston, MA
