company_name,job_summary,job_title,City,State
JobRobin,Apply your scientific knowledge and creativity to analyze large volumes of diverse data and develop algorithms to solve complex problems in a commercial setting…,Data Scientist,New York, NY
PwC,"Process improvement, transformation, effective use of innovative technology and data & analytics, and leveraging alternative delivery solutions are key areas of…",AI Data Scientist / Data Engineer,New York, NY
SocialCode,SocialCode is a technology and insights company that manages digital advertising for the world's leading consumer brands across the world's largest platforms:,Data Solutions Analyst,New York, NY
NYSTEC,"Must be proficiency in SQL, have a strong knowledge of relational database principles, and have proven experience analyzing large data sets, preferably in the…",Clinical Data Analyst,Albany, NY
"Remedy BPCI Partners, LLC.","This role will require a strong familiarity with analytical techniques, data programming and claims data engineering experience to help the team implement and…","Senior Analyst, Claims Data Engineering",New York, NY
WorkMarket,"As a Data Analyst, you'll work with the Head of Data & Analytics and in collaboration across all corporate functions, to build dashboards, reporting tools, ad…",Data Analyst,New York, NY
Spotify,You have experience working with financial data and/or performing data reconciliations and quality assurance testing. Big Query / Google Cloud Platform.,"Data Analyst, Royalties and Accounting",New York, NY
Digitalogy,"Responsible for assisting with the development of our state-of-the-art, advanced analytical machine-learning-based software framework that can ingest, structure…",Data Scientist,New York, NY
Quartz Media Inc,"This role will provide analytic support to our business functions, including growing our membership business as well as improving the efficiencies of our…",Data Analyst,New York, NY
Vimeo,"This is an opportunity to design and maintain a robust, scalable and sustainable enterprise data platform with other members of the Business Intelligence team.","Associate Data Engineer, BI Engineering (python/ SQL)",New York, NY
Butterfly Network,We are looking for a highly motivated and experienced data scientist to drive data-driven strategy and product decisions. 3 + years of data science experience.,Data Scientist,New York, NY
Spotify,You have a 2-5 years of experience using databases and analytics tools to solve business problems. We are looking for a Senior Data Analyst to work with our…,"Senior Data Analyst, Publishing Royalties",New York, NY
Spotify,"You have a deep understanding of statistics and experience working with real-world data, as well as a strong business sense. It is a plus if you.","Data Scientist, Marketplace – all levels",New York, NY
"Remedy BPCI Partners, LLC.","This role will require a strong familiarity with analytical techniques, data programming and claims data engineering experience to help the team implement and…","Senior Analyst, Claims Data Engineering",New York, NY
Doximity,"As a Data Analyst, you'll work within cross-functional delivery teams alongside other analysts, engineers, and product managers in discovering data insights to…",Data Analyst,New York, NY
AllianceBernstein,The candidate would also work in close collaboration with other team members on various types of quantitative problems in relation to our fixed income…,Quantitative Analyst – Structured Products,New York, NY
Jobot,"Based in New York, NY we use big data and predictive analytics to help transform health care organizations. 3+ years practical experience in industry product as…","Data Scientist - Python, R, SQL",New York, NY
Matrix Resources,"Build and lead a team of Data Scientists and Machine Learning Engineers (In US and India). 10+ years of experience at a top technology company (Google,…",Senior Data Scientist,New York, NY
Quartet Health,"The ideal candidate will be an entrepreneurial, motivated data scientist who is well-versed in data analysis and algorithm implementation and eager to learn new…",Senior Data Scientist - Algorithms,New York, NY
Qualia Investments,We are hiring a Data Scientist or Quantitative Analyst to help rapidly deploy models for our market intelligence platform.,Data Scientist,New York, NY
NYSTEC,"Must be proficiency in SQL, have a strong knowledge of relational database principles, and have proven experience analyzing large data sets, preferably in the…",Clinical Data Analyst,Albany, NY
SocialCode,SocialCode is a technology and insights company that manages digital advertising for the world's leading consumer brands across the world's largest platforms:,Data Solutions Analyst,New York, NY
Warner Music Group,"We enthusiastically accept our responsibility to make employment decisions without regard to race, religious creed, color, age, sex, sexual orientation, gender,…",A&R Research Analyst Assistant,New York, NY
BerlandTeam,"This position, based in New York City, requires a strong interest in digital, analytics, data science, and quantitative and qualitative research, a natural…",Junior Data Scientist,New York, NY
Cloudera,"You will spend most of your time building machine learning models to tackle real life business problems through asking the right questions, understanding…",Data Scientist,Brooklyn, NY
"Remedy BPCI Partners, LLC.","Very strong knowledge of advanced applied data science (machine learning, neural networks, etc.), mathematical modeling, computational, statistical, data mining…",Data Scientist,New York, NY
4th-IR,The goal of the 4th-IR data scientist is to use their unique skills and intuition to architect solutions that demonstrate the power of data and Machine Learning…,Data Scientist,New York, NY
Vimeo,"This is an opportunity to design and maintain a robust, scalable and sustainable enterprise data platform with other members of the Business Intelligence team.","Data Engineer, BI Engineering Team (Python/SQL)",New York, NY
IBM,"Responsibilities include building innovative analytical models using machine learning and AI, testing and validating models, data gathering and research, fact…","Data Scientist - Tech Re-Entry - Armonk, NY",Armonk, NY
SocialCode,SocialCode is a technology and insights company that manages digital advertising for the world's leading consumer brands across the world's largest platforms:,"Director, Data Solutions",New York, NY
Healthfirst,Our team of analysts is responsible for the timely delivery of data driven analytical work products ranging from reporting and dashboards to exploratory…,Clinical Analyst,New York, NY
BNY Mellon,"The group works directly with BNY Mellon’s Investment Management companies on strategic projects, creating valuable tools and insights for decision makers…",Data Scientist,New York, NY
Citizen,"Work with a wide array of real-world data sources, with an inclination towards experimentation, to find new and better data sources that allow us to further…",Data Scientist,New York, NY
Uber,The team also provides marketplace management solutions using state of the art machine learning techniques and our dispatch simulator.,2020 PhD University Graduate - Data Scientist - Uber Eats (New York),New York, NY
Goldman Sachs,Contribute to the development of the strategic data architecture to best position GIR to execute business opportunities for the firm and for our clients.,"GIR, Data Strategy",New York, NY
Revlon,We are looking for a highly motivated and experienced data scientist to drive data-driven strategy and product decisions. 3 + years of data science experience.,Data Scientist,New York, NY
Square,"As a Senior Data Scientist at Square working on Risk, you will lead projects that derive value from our unique, rich, and rapidly growing data.","Data Scientist, Risk",New York, NY
Nearpod,"In this role, you'll be a key member of the team with an exciting startup with a strong social mission, and be in a position to make a significant positive…",Data Scientist,Brooklyn, NY
Viome,"Joining a team of data scientists and machine learning engineers, you will analyze our unique biological datasets, modeling our customers’ health and finding…",Data Scientist,New York, NY
Remedy Partners,"Very strong knowledge of advanced applied data science (machine learning, neural networks, etc.), mathematical modeling, computational, statistical, data mining…",Data Scientist,New York, NY
AIG,"Ideal candidates will be ambitious developers who excel in financial software development, seeking to gain knowledge and expertise in quantitative finance and…",Sr. Software Developer - Quant Equity Research,New York, NY
