,company_name,job_summary,job_title,City,State
0,JobRobin,"Data preparation, processing and augmentation. Experience using scikit learn, pandas. Automation of data processing for production environment.",Data Scientist,New York, NY
1,PwC,"Python (Numpy, Pandas, etc.), Spark, cloud-based solutions such as GCP DataFlow; We work with a variety of data mediums including text, audio, imagery, sensory,…",AI Data Scientist / Data Engineer,New York, NY
2,Disney Streaming Services,"Knowledge of the Python data ecosystem using pandas and numpy. Familiar with metadata management, data lineage, and principles of data governance.","Sr. Software Engineer, Data Platform",New York, NY
3,AIG,"Strong coding skills, practical sense for data structures and transfer, and intuition for the asset management data and computation practices will be…",Sr. Software Developer - Quant Equity Research,New York, NY
4,Digitalogy,"Experience with open source software for data ingestion and data processing. Experience working in teams of analysts, data engineers, statisticians, and data…",Data Scientist,New York, NY
5,Spotify,"We’re looking for Data Scientists to join us at multiple levels. Work closely with cross-functional teams of data scientists, product managers, designers and…","Data Scientist, Marketplace – all levels",New York, NY
6,Qualia Investments,We are hiring a Data Scientist or Quantitative Analyst to help rapidly deploy models for our market intelligence platform.,Data Scientist,New York, NY
7,BerlandTeam,"We’re actively looking to recruit a Junior Data Scientist with 1-3 years of experience who, among other things, can support the team in developing scalable data…",Junior Data Scientist,New York, NY
8,Butterfly Network,Deep experience with Python data science ecosystem: We are looking for a highly motivated and experienced data scientist to drive data-driven strategy and…,Data Scientist,New York, NY
9,IBM,"As a Data Scientist at IBM, you will help transform data into tangible business value by analyzing information, communicating outcomes and collaborating on…","Data Scientist - Tech Re-Entry - Armonk, NY",Armonk, NY
10,Viome,"Python (numpy, scipy, pandas), SQL. We are looking for an experienced and independent Data Scientist in our NYC office.",Data Scientist,New York, NY
11,4th-IR,"Strong python skills, especially numpy, matplotlib, sklearn, pandas, flask, requests. Familiarity working with diverse data types:",Data Scientist,New York, NY
12,Cloudera,You should have spent at least 3 years as a practicing data scientist or machine learning engineer. We expect that you have extensive experience using python (+…,Data Scientist,Brooklyn, NY
13,G-Research,"Demonstrable proficiency in statistical data analysis and data visualisation. Advanced knowledge of Python and PySpark, in particular packages such as Pandas,…",Data Science Internship,New York, NY
14,Jobot,"Excellent Python (numpy, pandas, scikit-learn, etc.). If you are a Data Scientist, then please read on…. We collect data about applicants through our cloud…","Data Scientist - Python, R, SQL",New York, NY
15,AllianceBernstein,"Hands on experience in the use of essential python libraries such as pandas, numpy, sklearn and other modern data science tools is a strong plus.",Quantitative Analyst – Structured Products,New York, NY
16,Matrix Resources,"At least one core programming expertise, such as python (NumPy, SciPy, Pandas), R, Scala. Conduct original research on large proprietary and open source data…",Senior Data Scientist,New York, NY
17,BNY Mellon,"Reporting to the Head of Investment Management (IM) Data Solutions, the Data Scientist will lead, design and architect solutions to complex data integration,…",Data Scientist,New York, NY
18,Square,"Python (numpy, pandas, sklearn, xgboost, TensorFlow). As a Senior Data Scientist at Square working on Risk, you will lead projects that derive value from our…","Data Scientist, Risk",New York, NY
19,Revlon,Experience with Python data science ecosystem: We are looking for a highly motivated and experienced data scientist to drive data-driven strategy and product…,Data Scientist,New York, NY
20,PepsiCo,"As a Senior Data Scientist, you will play a critical role in executing the global ecommerce growth agenda. What PepsiCo Data Science & Analytics does:",Senior Data Scientist,New York, NY
21,Uber,"Familiarity with technical tools for analysis - Python (with Pandas, etc.), R, SQL, etc.; To solve these problems, data scientists leverage unique data sources…",2020 PhD University Graduate - Data Scientist - Uber Eats (New York),New York, NY
22,DataDog,"You have experience with tools such as Luigi, Spark, Scala, Python, Pandas, and Redshift. As a Data Scientist for the Internal Analytics Platform team, you will…",Data Scientist,New York, NY
23,"Remedy BPCI Partners, LLC.","4+ year’s professional experience as a data scientist or machine learning engineer. Utilize raw or aggregated data to build predictive models in SPARK, sql, or…",Data Scientist,New York, NY
24,Northeast Information Discovery,"Experience with SciPy, NumPY and Pandas python packages. Identify data needs, helping procure or generate data, curating and preparing data for training models.",Data Scientist Midlevel,Canastota, NY
25,Nearpod,"As Nearpod’s Data Science Scientist, you are organized, analytical, and detail oriented with experience maintaining solid processes and data integrity.",Data Scientist,Brooklyn, NY
26,Skyline AI,"Extract insights from our data, and generate predictions using data science techniques. We are constantly collecting new data sources, analyzing our many…",Data Engineer / Scientist,New York, NY
27,Disney Streaming Services,"Knowledge of the Python data ecosystem using pandas and numpy. Familiar with metadata management, data lineage, and principles of data governance.",Sr. Data Engineer,New York, NY
28,7Park Data,"We are looking for a talented and creative Data Scientist to join our data science team. As a Data Scientist, you will be responsible for the following:",Data Scientist,New York, NY
29,Spotify,"Coding skills for analytics and data extraction (SQL, R, Python, Pandas). We are seeking a Data Scientist or Senior Data Scientist to join our Product Insights…",Data Scientist / Senior Data Scientist – Spotify Free ML,New York, NY
