,company_name,job_summary,job_title,City,State
0,Seen by Indeed,Seen by Indeed is a free service that connects qualified job-seekers (that's you) with top companies hiring tech roles.,Data Engineer,Seattle, WA
1,Seen by Indeed,Seen by Indeed is a free service that connects qualified job-seekers (that's you) with top companies hiring tech roles.,Data Warehouse Engineer,Seattle, WA
2,Omni ePartners,"3+ years of experience in data modelling, ETL development and data warehousing. 1+ years of experience in using python for scripting, data manipulation, and…",Business Intelligence Engineer,Seattle, WA
3,"Akvelon, Inc.","Our client is looking for software and data engineers who are passionate about data and want to work in a multi-disciplinary team of Software Engineers, Data…","Data engineer - C#,SQL(MS1889)",Redmond, WA
4,People tech group,"Data Concepts (ETL, near-/real-time streaming, data structures, metadata and workflow management). Big Data (Hadoop, Hive, Map-Reduce).",Jr. Big Data Engineer,Redmond, WA
5,"Akvelon, Inc.","Big Data Engineer/ Data Scientist *. Big data analysis – big data tech – Hadoop, databricks, etc. Solid data base background preferably SQL.",Big Data Engineer (MS1892),Redmond, WA
6,"Transaction Network Services, Inc","The Splunk Data Engineer is responsible for supporting the efforts of the data science team and it’s overall mission of providing a platform for the ingestion,…",Data Engineer,Seattle, WA
7,NHL Seattle,NHL Seattle is seeking a Data Engineer who will manage the data used by decision-makers across the Hockey Operations organization.,Data Engineer,Seattle, WA
8,Homesite Insurance,"Direct the data layer implementation across the platform and website properties. Implement and manage analytics tools (Primarily Google Analytics 360, Google…",Data Analytic Engineer,Seattle, WA
9,Accelalpha,We are seeking an experienced Data Engineer for long term contract opportunity in Redmond WA. Experience in building Data Pipelines in Cloud (Preferrably AWS)…,Data Engineer,Redmond, WA
10,Starbucks,"With support from more senior data scientists, establish and foster close collaboration between data and decision scientists, engineers, business and leadership…","data scientist, Insights & Analytics - Seattle, WA",Seattle, WA
11,Expeditors,"Knowledge of data management fundamentals and data storage principles. Demonstrated strength in data modeling, ETL development, and data warehousingKnowledge of…",Data Engineer,Seattle, WA
12,Microsoft,"They have a passion for data analysis, statistical modeling, time series, change point detection, data mining, data engineering, and experimentation that…",Full Time Opportunities for Students or Recent Graduates: Cybersecurity,Redmond, WA
13,Facebook,"Interface with engineers, product managers and product analysts to understand data needs. Build data expertise and own data quality for allocated areas of…","Data Engineer, Analytics - Seattle",Seattle, WA
14,Google,We're proud to be our engineers' engineers and love voiding warranties by taking things apart so we can rebuild them. Ability to travel as required.,"Data Center Technician, Field Services",Kirkland, WA
15,Oath Inc,Oath’s Data Center Operations team includes a group of highly skilled and dedicated Data Center Engineers. The Data Center operations team is looking for a Data…,Associate Data Center Engineer,Quincy, WA
16,Healthentic Inc.,"At least 2 years of experience working with healthcare data and data processing, specifically dental, medical, pharmacy eligibility and claims data.",Healthcare Data Engineer,Seattle, WA
17,Liberty Mutual Insurance,"The hiring manager is open to an Associate Data Engineer / Data Engineer. As an Associate Data Engineer / Data Engineer, you will work collaboratively on a…",Associate / Data Engineer,Seattle, WA
18,Nintendo of America Inc.,"Experience with ETL data workflows. Experience with real-time data processing. Architect, prototype, and productize big data processing pipelines for analytics…",CONTRACT - Data Engineer (NTD),Redmond, WA
19,Nintendo of America Inc.,"2+ years supporting data warehousing and analytics projects, including using AWS technologies— Redshift, S3, EC2, etc.—and other big data technologies.",CONTRACT - Data Engineer,Redmond, WA
20,PACCAR Technical Center,"5+ years in relevant experience as data engineer, software engineer, business intelligence engineer, or equivalent developing DB schemas, creating ETLs, and…",Data Engineer,Mount Vernon, WA
21,Liberty Mutual Insurance,"Improve speed to market by focusing on current Agency & Strategic Partners data needs as well as building out the long-term strategic data solutions using AWS,…",Senior Data Engineer,Seattle, WA
22,Mphasis,"Understanding of data management including recovery, security and monitoring. Experience with working ETL platforms such as Data stage is desirable.",Data Engineer USA,United States,
23,ReNu Medical,"Ensure all data collection and entry is accurate and done correctly. Interact with Management, Engineers and Technicians as needed, and work cross functionally…",Team Leader / Entry Level Supervisor,Everett, WA
