,company_name,job_summary,job_title,City,State
0,The David Round Company,"Recommends data changes regarding lead times, minimum balances, lot sizes, and order policy coding relative to scheduling area. 401k plan with employer match.",Plant Engineer (Local Candidates only),Streetsboro, OH
1,EXAL Corporation,"Rigorously use data and performance metrics to break down functional barriers. The Continuous Improvement Engineer will lead operational excellence projects,…",Continuous Improvement Engineer,Youngstown, OH
2,Procter & Gamble,"Performing data discovery to understand data sources. You will work with data analysts and data scientists to understand business needs, data needs, and outcome…",IT-Data Wrangler,Cincinnati, OH
3,Inspection Engineering,"Document control to record data. Looking for extraordinary people to join our team at Inspection Engineering; Family-owned, great work life balance!_*.",Quality Engineer,Westlake, OH
4,Mphasis,"Understanding of data management including recovery, security and monitoring. Experience with working ETL platforms such as Data stage is desirable.",Data Engineer USA,United States,
5,QP Manufacturing,Screw Machine Lead & Process Engineer*. Reviews data to determine material and labor requirements and prepares itemized lists.,Screw Machine Lead & Process Engineer,Chardon, OH
6,Confidential,Data analysis and using statistical tools. Serve as an authority in data analysis and statistical tools. Share expertise and make recommendations as a part of a…,Manufacturing Process Engineer,Mentor, OH
7,"Honda R&D Americas, Inc.",Apply data quality checks using data mining and data analysis. Ensure data quality and data management. Ensure strong understanding of data change requirements…,Material Handling Data Engineer,Marysville, OH
8,"Applied Medical Technology, Inc.","Material characterization techniques and data interpretation. Ability to define problems, collect data, establish facts, and draw valid conclusions.",Polymer Engineer/Scientist,Brecksville, OH
9,Diebold Nixdorf,Properly handling company data and property. A Data Development Engineer Associate with Diebold Nixdorf’s Service Organization will contribute to the design and…,Associate Data Development Engineer,North Canton, OH
10,Sierra Lobo,"The data engineer is the liaison between the test customer, electrical/instrumentation engineers and the data acquisition system programmer.",Data Engineer,Cleveland, OH
11,"Kennametal, Inc.",Data anaylsis and related software (i.e. Experience as an equipment engineer or field service engineering professional who is highly effective working in a team…,Manufacturing Engineer - PVD Coatings,Orwell, OH
12,State of Ohio Jobs,Coordinates the collection of other data related to treatment plant performance. Reviews IU self -monitoring data and POTW reports for compliance with…,Environmental Specialist 2 (20044660),Twinsburg, OH
13,Hose Master,Control the performance data and product manufacturing tolerances. Maintain and update product data and test records. Conduct and document product testing.,Product Analysis Engineer,Cleveland, OH
14,Kroger General Office,"Data warehousing, big data management, analytics development, data science, application programming interfaces (APIs), data integration, cloud, servers and…",Data Engineer,Blue Ash, OH
15,The J. M. Smucker Company,1+ years in a Data Engineer / System Architect / DevOps role. Determine best practices for acquiring the data necessary for analyses and curate run-model ETL…,Data Engineer,Akron, OH
16,Verizon,"Voice cells infrastructure experience, such as Lucent, Motorola, Ericsson, LTE, or CDMA data. Training in data communications, digital communications, operating…",Cell Site Engineer,Warrensville Heights, OH
17,Ameritas,Ameritas Investment Partners is seeking a Investments Data Engineer Intern. Understands foundational concepts of data development and operational procedures…,AIP Intern-Investment Data Engineer,Cincinnati, OH
18,Keystone Technology Consultants,Microsoft Certified System Engineer (MCSE); Is now seeking to hire a Support Engineer. Objectives of the role of Support Engineer*.,Support Engineer,Akron, OH
19,Moen,Provide and maintain packaging information to insure accurate data is available to Moen customers. Moen has a new opening for a Packaging Engineer to join our…,Packaging Engineer,Cleveland, OH
20,Knight Global / Knight Ergonomics,Advantages of a Knight Sales Engineer. The Role of a Knight Sales Engineer. Support the Design staff by continuously providing essential data when requested.,Sales Engineer,Cleveland, OH
21,R+L Carriers,"Provide mentoring to junior engineers supporting the data network. R+L Carriers is expanding its Information Technology Department in Wilmington, Ohio, and has…",Network Engineer,Wilmington, OH
22,Tronair,"Must be proficient in managing, organizing, and maintaining large quantities of data. Analyze data to develop new system designs using motors, brakes, pumps,…",Mobile Equipment Systems Engineer,Swanton, OH
23,Everest Technologies,"The data engineer is responsible for data profiling, analysis and extraction of data in the process of constructing data products. Retail experience is a plus.",Data Integration Engineer,Columbus, OH
24,Emerald Resource Group,SQL Server Developer and Engineer*. Experience working with ETL and Data Warehouse solutions is a must. You must have 3 years minimum experience working with…,SQL Developer and Engineer,Cleveland, OH
25,Onix Networking Corp,Google Certification - Professional Data Engineer. Bring together multiple data sources into a unified data warehouse. Some travel to client locations.,Data Engineer,Lakewood, OH
26,Giesecke & Devrient,"Is seeking a Lean Engineer to join our growing team in Twinsburg, OH. Must possess the ability to understand complex data driven technical processes and…",Lean Engineer,Twinsburg, OH
27,"BGI, LLC","Leverage data aggregation, statistical analysis, and data mining algorithms. As a Data Science Software Engineer, you will apply algorithms to heterogeneous…",Data Science Software Engineer - Entry Level,Akron, OH
28,"Affinity, Inc.","In this role, you will be joining our enterprise data protection and storage support team, as the primary Data Protection Engineer working directly with one of…",Data Protection Engineer,Cleveland, OH
29,Google,We're proud to be our engineers' engineers and love voiding warranties by taking things apart so we can rebuild them.,Data Center Facilities Technician,New Albany, OH
30,Goodyear,Strong communication skills [written/oral] in presenting data and information to others. This position is responsible for development of projects with moderate…,ENGINEER - ENGINEERING MECHANICS 1,Akron, OH
31,"Applied Medical Technology, Inc.","Ability to define problems, collect data, establish facts, and draw valid conclusions. As a Materials Engineer, you will be responsible for creating, monitoring…",Materials Engineer,Brecksville, OH
32,Facebook,Facebook is seeking a forward thinking experienced Engineer to join the Capacity team within Data Center Operations. Participate in an on-call rotation.,Data Center Capacity Engineer,New Albany, OH
33,Electrical Power and Safety Company,Our Engineering firm is excited to add 2-3 hardworking & fun individuals to our team! To get to know a little more about our company feel free to check out the…,Power Systems Engineer,Cleveland, OH
34,Lubrizol Corporation,"The Strategic Research group is a global multidisciplinary team of chemical engineers, mechanical engineers, physicists and chemists who are accountable for…",Thermal & Fluid Research Engineer,Wickliffe, OH
35,Murrplastik Systems Inc,"Collect and analyze data for process improvement. Ability to positively interact with internal and external customers, engineers and other skilled trades.",Applications Engineer,Cincinnati, OH
36,Dowa THT America,"Provides data analysis to support recommendations; Dowa THT America, Inc., a leader in heat treatment technologies, seeks a Process Engineer*.",Process Engineer,Bowling Green, OH
37,Ameritas,"Ameritas Life Insurance Corp is seeking a Data Engineer Intern In this role, you will be responsible for contributing to data development and operational…",Data Engineer Intern,Cincinnati, OH
38,"InSource Technologies, Inc.","Review manufacturer's data sheets for component interface & compatibility. An Embedded Hardware Engineer performs the design, layout, testing, and validation of…",Embedded Hardware Engineer,Paulding, OH
39,Confidential,"Leading complex, medium to large scale network implementation projects including LAN, WAN and Data Center architectures. Motivated to meet deadlines on time.",Infrastructure Engineer - Mid-Senior Level,Wickliffe, OH
40,"C2P Enterprises, LLC",Debugging and Optimization of data problems and building data processes that maximize data integrity and usability.,Database Engineer,Westlake, OH
41,Cardinal Health,"Data Analytics Engineer is responsible for understanding, preparing, processing and analyzing data to make data valuable and useful for operations decision…",Data Engineer -- Data Curation,Dublin, OH
42,"OverDrive, Inc.","We’ve adopted other data stores to deal with issues of scale and performance, and to better fit our evolving data models. Work on small projects independently;",Developer I (Software Engineer I),Cleveland, OH
43,American Greetings,"The Data Engineer will support our database architects, data analysts, and data scientists on data initiatives and will ensure optimal data delivery…",Data Engineer,Westlake, OH
44,Goodyear,Work closely with other data scientists to scale up platforms for Big Data across diverse business and manufacturing applications. Ability to convince and lead;,Staff Data Engineer,Akron, OH
45,"Amazon.com Services, Inc.",We are currently seeking an energetic Data Center Project Engineer to serve as a technical resource within Amazon data centers. You think and act globally;,Data Center Project Engineer(Critical Infrastructure),Dublin, OH
46,"Kennametal, Inc.","Data anaylsis and related software (i.e. Manufacturing Engineer, CVD Coating Engineer is responsible for all engineering related aspects of Chemical Vapor…",Manufacturing Engineer - CVD Coatings,Orwell, OH
47,Myriad Genetics,"As an Enterprise Data management (EDM) Data Engineer, you will work alongside a team of Business Intelligence (BI) Analysts to support data acquisition,…",(MW) Data Engineer,Mason, OH
48,Dana Corp.,Write/present reports of test results to internal Application Engineers or others responsible for the program and customers.,NVH Engineer,Ohio,
49,Alpha Technologies Services LLC,"Hands-on experience with testing equipment, data acquisition, data analysis, report preparation and troubleshooting preferred. MS Word and MS PowerPoint).",Applications Engineer,Hudson, OH
50,Cardinal Health,"Data Analytics Engineer is responsible for understanding, preparing, processing and analyzing data to make data valuable and useful for operations decision…",Data Engineer -- Tabular Model,Dublin, OH
51,Emerson,Improve documentation of business logic used within our MFG Data and Data Analytics systems; Work closely with internal MFG customers to understand MFG Data and…,Sr. Manufacturing Software Engineer,Sidney, OH
52,Pythian,"Warehousing, data marts, data lakes). Experience in data management best practices, real-time and batch data integration, and data rationalization.",Big Data Engineer,United States,
53,Technical Assurance,"License Professional Engineer (PE) (Preferred). Technically competent with field data collection tools. Structural Engineer - TechnicalAssurance Inc.*, a…",Structural Engineer,Willoughby, OH
54,Jobot,We are looking for a data engineer to join our team of software engineers that support this e-commerce business unit. What you will be doing:,Data Engineer,Solon, OH
55,Comet Group,We take data protection seriously. The processing of your data complies with general data security standards based on the latest technology.,Applications Engineer,Hudson, OH
56,The Timken Company,"Knowledge of grinding cycle design and optimization, technical support/problem-solving through process development, process modeling, and data analysis skills…",Senior Grinding Process Engineer,North Canton, OH
57,"Honda R&D Americas, Inc.","Data Analytics Engineers are able to summarize and evaluate market data, make conclusions, and support next step direction in terms of problem analysis.",Data Analytics Engineer,Raymond, OH
