,company_name,job_summary,job_title,City,State
0,Jo-Ann Fabric and Craft Stores,"Establish strong working relationships with cross-functional teams, including IT, Inventory Management, Store Operations, and Merchandising, to collect data for…",Data Scientist,Hudson, OH
1,AEP Energy Inc,"This position will primarily be involved in projects that require decision science methodologies (such as predictive and prescriptive modeling, machine learning…",Data Scientist,Columbus, OH
2,University Hospitals,"Responsible for executing projects that require the full data science pipeline including data integration of disparate and centralized data into data marts,…",Data Scientist,Mayfield Heights, OH
3,Claritas,Uses best practices to develop statistical and machine learning techniques to build models that improve the accuracy of our data and decisions made from data…,"Senior Data Scientist, Digital",Cincinnati, OH
4,Battelle,"Battelle provides employment and opportunities for advancement, compensation, training, and growth according to individual merit, without regard to race, color,…",Cyber Data Scientist I,Columbus, OH
5,Nestle USA,Provide analytics knowledge and support to the business process lead network.Strong analytical aptitude with a proven ability to analyze/interpret data and…,Statistical Modeling & Forecasting Scientist,Solon, OH
6,Procter & Gamble,"All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, protected veteran status…","R&D Statistician, PhD",Cincinnati, OH
7,The Step2 Company,"Reporting to the IT Director, and in close collaboration FP&A, the Data Scientist will support our product, sales, operations, and marketing teams with insights…",Data Scientist,Streetsboro, OH
8,University Hospitals,"Responsible for executing projects that require the full data science pipeline including data integration of disparate and centralized data into data marts,…",Data Scientist,Mayfield Heights, OH
9,Cincinnati Reds,"It is the policy of the Cincinnati Reds to ensure equal employment opportunity without discrimination or harassment on the basis of race, color, national origin…",Data Scientist,Cincinnati, OH
10,Clarigent Health,"Use data and artificial intelligence science with a focus on machine learning techniques to perform research, create new approaches and assist with the design,…",Data Scientist,Mason, OH
11,Impetus Technologies,"R, Python, SAS, SQL/Hive, Machine Learning (Predictive Modeling), Natural Language Processing, Cyber Security, Exploratory Data Analysis, Model Interpretability…",Associate Data Scientist*,Westerville, OH
12,Signet Jewelers,"Provide insight into, trends, financial and business operations through data analysis and the development of business intelligence visuals.",Citizen Data Scientist,Akron, OH
13,Kognetics,"Working closely with the technology and learning teams, theData Scientist will be responsible for the following:Creating infrastructure for thedelivery team;",Data Scientist,Gahanna, OH
14,Battelle,"Battelle provides employment and opportunities for advancement, compensation, training, and growth according to individual merit, without regard to race, color,…",Data Scientist I,Columbus, OH
15,Vertiv Co.,"Vertiv, a global leader in network power solutions, seeks a Data Scientist Intern at its Columbus, OH headquarters location.Extract Data from SQL systems.",Intern- Data Scientist,Westerville, OH
16,Emerald Resource Group,"Do you have a solid experience with Python and ""R"" or statistical software development background?Machine Learning and Natural Language Processing techniques.",Data Scientist - Ph.D.,Columbus, OH
17,Riverside Research,"Develop machine learning, data mining, statistical, and graph-based algorithms to analyze and make sense of data sets.",Data Scientist,Wright-Patterson AFB, OH
18,Root Insurance Company,"This role will be heavily involved with data acquisition, processing, and application of machine learning models, as well as pulling data from both new and…","Data Scientist, Telematics",Columbus, OH
19,Saudi Aramco,"You will have a background in machine learning, statistics, visualization, as well as basic knowledge of standard databases such as Microsoft SQL.",Data Scientist- Relocation to Saudi Arabia,United States,
20,Barefoot Proximity,"This team member will have an opportunity to work on everything from large, global, multi-agency clients to small, scrappy, two-person projects – leading a team…",Associate Director (Data Science & Advanced Analytics),Cincinnati, OH
21,Abercrombie and Fitch Co.,"Build innovative machine learning models and segmentations for personalization initiatives to drive margin, revenue and conversion.What will you need to bring?",Data Scientist,Columbus, OH
22,"WorldPay US, Inc.","Designs, develops and programs methods, processes, and systems to consolidate and analyze unstructured, diverse ""big data"" sources to generate actionable…",Data Scientist,Cincinnati, OH
23,JP Morgan Chase,"As a member of the Consumer Bank Marketing Analytics team, the analyst is responsible for turning data into information and insight to drive business decisions…",Marketing Data Mining Scientist,Columbus, OH
24,Ohio Health,"The Performance Analytics Consultant is responsible for understanding, preparing, processing and analyzing data to generate data-driven insights, through the…",Data Scientist,Dublin, OH
25,Arconic,The primary purpose of this position is to deploy our Machine Learning efforts in an effort to improve our factories and processes including optimizing cycle…,Data Scientist,Cleveland, OH
26,Booz Allen Hamilton,"You’ll have access to a wealth of training resources through our Analytics University, an online learning portal specifically geared towards data science and…",Data Scientist,Dayton, OH
27,CITIZENS BANK,It is the policy of Citizens Bank to provide equal employment and advancement opportunities to all colleagues and applicants for employment without regard to…,Data Scientist,Columbus, OH
28,AEP Energy,"This position will primarily be involved in projects that require decision science methodologies (such as predictive and prescriptive modeling, machine learning…",Data Scientist,Columbus, OH
29,Lubrizol Corporation,"Qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, sexual orientation, gender…",Data Scientist/ Statistician Intern (BS/MS Students),Wickliffe, OH
30,Mphasis,"Experience with common data science toolkits, such as R, Weka, NumPy, MatLab, etc {{depending on specific project requirements}}.",Data Science Specialist USA,United States,
31,Booz Allen Hamilton,"You’ll have access to a wealth of training resources through our Analytics University, an online learning portal specifically geared towards data science and…",Machine Learning Data Scientist,Dayton, OH
32,Root Insurance Company,"Examples of some of the rich data sources we work with include smartphone telematics sensor data, marketing campaign results, and unstructured data from claims…",Data Scientist,Columbus, OH
33,Chase Bank,"As a member of the Consumer Bank Marketing Analytics team, the analyst is responsible for turning data into information and insight to drive business decisions…",Marketing Data Mining Scientist,Columbus, OH
34,Radiology Partners,"This position reports to the Director of Data Science and Clinical Analytics and collaborates with our IT application development, infrastructure, and data…",NLP Data Scientist,Columbus, OH
