,company_name,job_summary,job_title,City,State
0,Solarity Credit Union,"Solarity Credit Union is seeking a Senior Data Analyst in Yakima, WA! Solarity is looking for the perfect Senior Data Analyst candidate with the capability to…",Senior Data Analyst,Yakima, WA
1,Charlie's Produce,Charlie’s Produce - Who We Are. Charlie's Produce is a privately owned wholesale produce company. We are the largest privately owned produce wholesaler on the…,Data Visualization Analyst,Seattle, WA
2,Banfield Pet Hospital,The primary purpose and function of the System Analyst Data and Analytics is to serve as the liaison between business end users and data engineers and…,"System Analyst, Data & Analytics",Vancouver, WA
3,TransWest,"We're looking for an experienced Program Manager. Our Program Managers own client success and satisfaction by planning, organizing, monitoring and collaborating…",Program Manager- Data Analyst,Seattle, WA
4,Seen by Indeed,Seen by Indeed is a free service that connects qualified job-seekers (that's you) with top companies hiring tech roles.,Data Analyst,Seattle, WA
5,Skagit Regional Health,Must demonstrate at least 3 years of formal data analytics experience. Job Title Performance Improvement Data Analyst Overtime Status:,Performance Improvement Data Analyst,Mount Vernon, WA
6,"Transaction Network Services, Inc","The Splunk Analyst is responsible for supporting the efforts of the data science team and it’s overall mission of providing a platform for the ingestion,…",Data Analyst,Seattle, WA
7,Starbucks,"Now Brewing – Data Analyst, Applied Analytics! From the beginning, Starbucks set out to be a different kind of company. Prepare data for further analysis.","data analyst, Applied Analytics- Seattle, WA",Seattle, WA
8,Neal Analytics,2 months with the possibility of extension up to 18 months. Minimum base compensation is $35 per Hour and can go higher depending on experience.,Jr Data Analyst,Redmond, WA
9,Team Red Dog,"You want steady income, outstanding benefits and a job that lets you shine doing what you do best. But more than that, you want a role that will let you dive…",Junior Data Analyst,Redmond, WA
10,iconvergence,"Strong SQL, Excel, Power BI, SSAS. Analyze different data, and derive insights from the same.",Data Analyst,Redmond, WA
11,Oracle,Detailed Description and Job Requirements. Manage the development and implementation process of a specific company product.,Data Analyst,Seattle, WA
12,Microsoft,Data Scientists at Microsoft help to improve the quality of experiences on our devices and services. We are looking for highly motivated and passionate Data…,Internship Opportunities for Students: Data & Applied Sciences,Redmond, WA
13,REI,This entry-level Contact Center Analyst I position contributes to REI’s success by providing reporting and analytical insight to enable data to drive decision…,"Data Analyst, Sales and Customer Support Contact Center",Sumner, WA
14,Starbucks,"This position contributes to Starbucks success by guiding business decisions through utilizing data analysis and consulting that results in predicting outcomes,…","data analyst, GSC Metrics & Reporting - Seattle, WA",Seattle, WA
15,"Waitr, Inc.",We're redefining the dining experience by building a world-class mobile ordering and delivery platform. We are building a two-sided marketplace that is helping…,Data Analyst,Washington State,
16,Procter and Gamble,Do you love diving into data sets? Would you enjoy telling stories and helping others see the benefit of data based decision-making? We want you to know:,Data Analyst,Seattle, WA
17,Washington Health Benefit Exchange,"Well organized, flexible, proactive, resourceful and efficient with strong attention to detail. The Washington Health Benefit Exchange is a public-private…",Data and Reporting Analyst,Olympia, WA
18,Association of Washington Cities,"The top candidate will be highly motivated and detail oriented with strong customer service skills. Ability to pay close attention to detail, including data…",Applications and Data Analyst,Olympia, WA
19,Fisher Investments,"California employees accrue up to 17 days of PTO and 3 days of sick time per year. Fisher Investments is rapidly expanding its reach, both domestically and…",Junior Business Information Analyst (2019-8481),Camas, WA
20,Inviso Corporation,"Exceptional attention to detail and ability to fully own models, including continued maintenance and implementation of required improvements based on feedback.",Sr Data Analyst – 18 Month Microsoft Contract,Bellevue, WA
21,PayScale,"Do you have that curious analytical mind with the sniffer for finding additional revenue & operational efficiencies? If so, we have the perfect role for you.",Sales Business Intelligence Analyst,Seattle, WA
22,Indeed,"As the world’s number 1 job site, our mission is to help people get jobs. We need talented, passionate people working together to make this happen.",Business Intelligence Analyst,Seattle, WA
23,eXcell,Did you know that Gartner positioned eXcell as a Leader in its Magic Quadrant for End User Outsourcing? Come work for the leader today!,"Data Analyst - Power BI, SQL",Redmond, WA
24,Procter and Gamble,"Do you love diving into data sets? Would you enjoy telling stories and helping others see the benefit of data based decision-making? Daily, you can expect to:",Associate Data Analyst,Seattle, WA
25,Microsoft,"Strong analytical skills with the ability to collect, organize, analyze, and disseminate significant amounts of information with attention to detail and…",Sales Operations Data Analyst,Bellevue, WA
26,Centralia College,"Minimum of 3 years of experience with Higher Education data collection, analysis, and reporting, working in higher education or with a Department of Education…",Data and Research Analyst,Centralia, WA
27,SightLife,Analyzes complex business problems and issues using data from internal and external sources to provide insight to analysts and decision makers.,Data Analyst,Seattle, WA
28,BOEING,"At Boeing, we are all innovators on a mission to connect, protect, explore and inspire. From the seabed to outer space, you’ll learn and grow, contributing to…",Data Science & Analytics Intern (Paid) - Summer 2020,Bellevue, WA
29,GOCOOL,Create dashboards to communicate test results and monitor key metrics. Teach teams and management how best to understand and use these tools in their daily…,Data Analyst,Bellevue, WA
30,Adaptive Biotechnologies,Every immune system has a story to tell— the key is knowing how to listen. Our goal is to meaningfully improve people's lives by learning from the wisdom of…,Data Analyst,Seattle, WA
31,JLL,"JLL is seeking a Data Analyst to support our client-dedicated team in Seattle, WA, supporting data management areas within Occupancy Planning, Transactions and…",Data Analyst,Seattle, WA
32,Infoblox,"Infoblox is looking for a highly organized, detail-oriented and efficient Sales Operations Data Analyst to ensure the integrity of our Salesforce.com account…",Sales Operations Data Analyst,Tacoma, WA
33,Tech Mahindra,Data Analyst with 3-4 yrs of experience. Should be able to write SQL queries. I’m looking for someone who can help with the Data Analysis of the UHRS data both…,Data Analyst,Redmond, WA
34,"Managed Health Care Associates, Inc.",Must have strong analytical skills and attention to detail. Develop and maintain relationships with stakeholders in assigned territory through account…,Account Analyst,Vancouver, WA
35,TwinStar Credit Union,Does being a part of a team aimed at creating a custom digital platform that revolutionizes personal banking inspire you? We look forward to meeting you!,Business Analyst,Lacey, WA
36,Pactera Technologies,Pactera is looking for Subject Matter Expert (SME). Classification SMEs are expected to fulfill the following roles & responsibilities:,French language Data Analyst,Redmond, WA
37,Ideal Option PLLC,"Under general direction from the Director of Operations, the Business Analyst supports Ideal Option by providing data analytics of provider productivity.",Business Analyst,Pasco, WA
38,Child Care Resources,"About 75% of young childrenages birth to 5 years are not in formal early learning programs and are insteadin the full- or part-time care of their parents,…",Administrative & Data/Reporting Specialist,Seattle, WA
39,Google,3 years of experience working with statistical packages (e.g. By applying to this position your application is automatically submitted to the following…,"Product Analyst, Data Science",Seattle, WA
40,PicMonkey,"The ideal candidate is strong in critical thinking, logic, organization, self-motivation and attention to detail. PicMonkey is an equal opportunity employer.",Data Analyst,Seattle, WA
