company|description|position|reviews|Region|City|State
Presbyterian Healthcare Services|"OverviewJob Description Type of Opportunity: Full Time FTE: 1.000000 Exempt: Yes Work Schedule: Days

Summary:*Works to collaborate supporting the clinical development needs of staff, residency Fellowship, and student programs throughout the PHS enterprise by providing data management, reports, e learning, project coordination, application support, and researchResponsibilitiesResponsibilities:Data Analyst: *Independently drives data gathering, reporting, organization, reporting and visual graphics of complex data to assist in identifying needs for target audience*Collaborates in the identification of target audience performance needs and gaps *Defines the performance gap objectives and partners with management to achieve agreement on approach to bridge the gap*Creates optimal, budget conscious tracking and reporting to achieve performance objectives*Incorporates evidence based data to structure instructional design for e learning and how to track and report performance on content*Drives the implementation of educational technology and applications in collaboration with management and team members*Builds the approach, deployment, collection, analysis and reporting of project effectiveness*Designs new programs to meet organizational strategic objectives*At the elbow support for Clinical Education team and those we support management, staff, nurse residents, fellows, clinical contractors, assigned vendors and studentsPerformance evaluator for Clinical Education scope of services and Nursing Residency/Fellowship Programs: *Assists CPDS and CPDS Residency teams to build and implement Levels 1 through 4 evaluation tools to measure satisfaction, learning, and transfer to performance based upon performance objectives*Partners with management to assess project performance gaps and build remediation action plansProject Coordination: *Role models and coaches in the moment *Role models highest specialty standards*Mentors others in best practice to enhance outcomes and performance*Independently lead projects assigned*Incorporates best practice standards in reporting to better inform management and leadershipConsultant / Collaborator: *Works and mentors team members within Clinical Education team to accelerate performance *Initiates and or supporting changes in practice through project tracking, e-learning development, educational technology, and applications*Work with CPDS on support for nursing, allied health, and nurse residency programs*May lead projects assigned by PDS Manager Clinical Education OperationsApplications:*Works and mentors team members within Clinical Education team to use e learning applications effectively and according to best practice*Works and mentors team members within Clinical Education team on web applications assigned to accelerate performanceResearcher: *Incorporates project coordination and e learning best practices and standards into work*Supports, builds, and initiates new projects to improve the performance and outcomes of Clinical Education*Stays up to date on best practices for data cleaning, data mining, and data visualization and reporting techniquesPromise and CARES Commitment:*Participates and role models the organizational mission, and vision within all of Presbyterian Healthcare ServicesSpecialty Role Focus:Applies skills and critical thinking related to area of assignment to gather, organize and report data, project coordination, computer based training, and other assignments assigned.QualificationsAcademic Preparation:

*Bachelors degree in healthcare operations, analytics, e-learning development/instructional design, business management, and/or information technology. 6 years of additional experience can be substituted in lieu of degree.Experience: Minimum at least 6 years of healthcare in healthcare operations, analytics, e learning development, academic coordination, and or information technology

Abilities: (Physical, mental, environmental requirements/demands):

Assumes and maintains various postural positions including but not limited to sitting, kneeling, reaching, squatting, climbing, bending/twisting neck and/or waist, lifting and carrying or pushing/pulling objects/equipment.

On occasion will need to work extended hours.BenefitsBenefits Benefits are effective day-one (for .45 FTE and above) and include:


Competitive salaries
Full medical, dental and vision insurance
 Flexible spending accounts (FSAs)
 Free wellness programs
Paid time off (PTO)
Retirement plans, including matching employer contributions
Continuing education and career development opportunities
 Life insurance and short/long term disability programs

About Us Presbyterian Healthcare Services is a locally owned, not-for-profit healthcare system of nine hospitals, a statewide health plan and a growing multi-specialty medical group. Founded in New Mexico in 1908, it is the state's largest private employer with approximately 11,000 employees.

Presbyterian's story is really the story of the remarkable people who have chosen to work here. Starting with Reverend Cooper who began our journey in 1908, the hard work of thousands of physicians, employees, board members, and other volunteers brought Presbyterian from a tiny tuberculosis sanatorium to a statewide healthcare system, serving more than 700,000 New Mexicans. We are part of New Mexico's history - and committed to its future. That is why we will continue to work just as hard and care just as deeply to serve New Mexico for years to come. About New Mexico New Mexico's unique blend of Spanish, Mexican and Native American influences contribute to a culturally rich lifestyle. Add in Albuquerque's International Balloon Fiesta, Los Alamos' nuclear scientists, Roswell's visitors from outer space, and Santa Fe's artists, and you get an eclectic mix of people, places and experiences that make this state great. Cities in New Mexico are continually ranked among the nation's best places to work and live by Forbes magazine, Kiplinger's Personal Finance, and other corporate and government relocation managers like Worldwide ERC. New Mexico offers endless recreational opportunities to explore, and enjoy an active lifestyle. Venture off the beaten path, challenge your body in the elements, or open yourself up to the expansive sky. From hiking, golfing and biking to skiing, snowboarding and boating, it's all available among our beautiful wonders of the west. AA/EOE/VET/DISABLED. PHS is a drug-free and tobacco-free employer with smoke free campuses.Start your job application: click  Apply Now"|data analyst|0|Midwest|Indianapolis| IN
DMC Insurance Inc.|"Job DescriptionWe are seeking a data analyst to join our team who is enthusiastic about all things data-oriented, from how it is collected to how it is used to improve business operations. This role will support the overall implementation of statistical models and machine learning built to improve some aspect of our business or the trucking industry. As such, the candidate’s primary focus will involve organizing data from various sources and conducting directed analysis of this data. Over time, this analyst will develop the skills needed to apply more complicated statistical and machine learning models and will have the potential to grow into a data scientist role.

Toward these aims, the candidate should exhibit strong technical skills, a passion about data quality, and an appetite to learn about the commercial insurance process. This person will apply technical and computational skills to execute tasks required for the development and implementation of data science models. This person will bolster and add to DMC’s unique culture – a workplace built on enthusiasm, entrepreneurship, integrity, communication, proactive problem solving, and a genuine passion for helping our customers and agents.

RESPONSIBILITIES

Develop and implement methods to gather, ingest, process and archive data (both structured and unstructured) from disparate sources. Perform data analysis for our internal and external clients.Clearly communicate findings from data analysis.Assist management with special projects, reporting, market research, or broker/customer research and engagement initiatives.Implement and assess predictive models to support DMC functional areas including Claims, Underwriting, Risk Engineering, and Operations.Other related duties, as assigned by management.

REQUIREMENTS

Bachelor’s Degree required, preferably in actuarial science, mathematics, statistics, risk management, or related field.Proficiency with one or more applicable computer languages (e.g. Python, R) as well as SQL and Excel for data processing and analysis.Internship, coursework or other exposure to data infrastructures, big data applications, data visualizations, and cloud data/computing environments.Exposure to machine learning techniques and algorithms is preferred.Will abide by departmental policies and procedures, including regulatory compliance (rate, rules and form), as well as internal audit controls.Customer service orientation, strong listening skills, and ability to communicate findings.Travel, as needed (0-20% of time) to visit key brokers/customers/prospects, support executive initiatives, and participate in industry events/trade shows.Must be a self-starter with ability to manage time in a fast-paced environment, prioritize critical tasks, communicate with management on status, and deliver on objectives in a timely fashion.Must be able to work proactively in independent settings, as well as work collaboratively with a team.

Company DescriptionDMC Insurance is a highly specialized provider of property & casualty insurance underwriting, risk management and world-class claims solutions for trucking companies throughout the United States. We are a passionate team committed to designing, developing, and delivering the best insurance experience in the trucking industry through technology-driven innovation and practical expertise. We offer excellent career path opportunities, competitive compensation and benefits packages, professional development, and a fantastic work environment in our recently remodeled facility.

DMC Insurance, Inc. is part of the Crum & Forster® Group, a national commercial property and casualty group of insurance companies wholly owned by Fairfax Financial Holdings Limited.

All qualified applicants to DMC Insurance are considered for employment without regard to race, color, religion, age, sex, sexual orientation, gender identity, national origin, disability, veteran’s status or any other protected characteristic."|data analyst|0|Midwest|Fishers| IN
Pinnacle Partners|"BI Data Analyst Up to $85K per yearDC8221241016
Pinnacle Partners is assisting our client in search for a BI Data Analyst located in the Indianapolis area. This successful resource will work on a team to provide clients with information regarding the costs for products. This individual will also assist with pulling data from multiple sources and ensuring accuracy before presenting it to team members.
RESPONSIBILITIES:Work to implement advanced ETL processes to acquire large datasets.Evaluate date for analytic hypotheses and market access tools.Build the data foundation by integrating complex healthcare datasets.Offer summaries of data queries in multiple formats for other team members, including data manipulation and dataset preparation.Submit work products for quality checks/reviews to ensure quality, as well as perform other BI functions.

REQUIREMENTS:Bachelor’s degree (CS/Statistics/Math/Econ)2-3 years of experience with SQL, T-SQL, and ExcelSSIS/SSRSAbility to create reports with SSRS/Excel

PREFERRED SKILLS/CHARACTERISTICS:Prior experience with SQL development/database administration

Terms:This position is direct hire with a salary up to $85K per year, based on experience. They offer benefits including medical/dental/vision, PTO, 401K, and other soft benefits."|data analyst|1|Midwest|Indianapolis| IN
Indiana University|"

 Job Description

 Department

EAD-CHIEF INFORMATION OFFICER (IN-DMOT-IUINA)

 Department Information

Indiana University School of Medicine is a national leader in medical research and education. With more than 60 academic departments and specialty divisions across nine campuses statewide and strong clinical partnerships with Indiana's most advanced hospitals and physician networks, the school is continuously advancing its mission to prepare healers and transform health in Indiana and throughout the world.

 Job Summary

The IU School of Medicine is seeking a data analyst to support the growing data needs of the organization. This role will serve the School as part of the Office of Business Intelligence and will develop queries to make data available to all levels of stakeholders. The ideal candidate will have strong communication skills and knowledge of industry best practices, to create efficient and reliable data assets to be used throughout the Office of Business Intelligence's data environment and understand the data needs for reporting and high-profile initiatives like the school's strategic plan. The successful candidate will develop a thorough understanding of multiple systems to become an expert of the IU School of Medicine's data environment.

 Required Qualifications

 Bachelor of Science/Bachelor of Arts and one year of data analysis experience.

Combinations of experience and related education will be considered.

Experience with query development and data analysis. Knowledge of SQL, including ability to write queries of intermediate complexity. Understanding of relational data models, data warehousing, basic HTML and web development. Ability to communicate effectively.

 Preferred Qualifications

Experience in Microsoft BI stack (SSRS), SharePoint, and Tableau. Educational focus in computer science, information systems, technology, statistics, or related field.

 Working Conditions / Demands

Some travel between buildings on campus as departments are in various locations across campus. Able to remain stationary for long periods of time and work on a computer. Must be able to perform essential job functions with or without an accomodation.

 Work Location

Indianapolis, Indiana

 Job Classification

Salary Plan: PAE

Salary Grade: 2IT

FLSA: Exempt

Job Function: Information Technology

 Posting Disclaimer

This posting is scheduled to close at 11:59pm EST on the advertised Close Date. This posting may be closed at any time at the discretion of the University, but it will remain open for a minimum of 5 business days. To guarantee full consideration, please submit your application within 5 business days of the Posted Date.

 Equal Employment Opportunity

Indiana University is an equal employment and affirmative action employer and a provider of ADA services. All qualified applicants will receive consideration for employment without regard to age, ethnicity, color, race, religion, sex, sexual orientation, gender identity or expression, genetic information, marital status, national origin, disability status or protected veteran status. Indiana University does not discriminate on the basis of sex in its educational programs and activities, including employment and admission, as required by Title IX. Questions or complaints regarding Title IX may be referred to the U.S. Department of Education Office for Civil Rights or the university Title IX Coordinator. See Indiana University's Notice of Non-Discrimination here which includes contact information.

"|data analyst|5|Midwest|Indianapolis| IN
analytic.li|"At analytic.li, we are always looking for driven and capable people to join our team. One person can make a big impact here, and that’s what we expect — everyone brings their “A” game, and everyone makes a difference with what we deliver to our customers.

We’re passionate about building a product that solves major problems, and our small but mighty team innovates fast and is never afraid to try something new. It’s this drive that has led analytic.li to the forefront of HCM analytics in barely over a year and has resulted in partnerships with some of the biggest players in the industry.

We’re looking for a capable data analyst to work with our product engineering and customer experience teams to help deliver more value to our customers. With access to large amounts of customer data through the analytic.li platform, we can unlock insights about their business that will help make them more efficient, productive, and profitable, while at the same time developing a framework to help operate these types of insights at scale.

If that sounds appealing, we’d love to talk to you and show you how our team works. Check out the qualifications below and send a message to join@analytic.li.

Essential Duties and Responsibilities

Requirements gathering (customer-facing and internal stakeholders)

Data mapping for new platform integrations (new data sources)

Data inventory/vetting (where do we need to get data from, how is it structured)

Prototyping analysis concepts/dashboards

Writing SQL to generate datasets necessary for customer deliverables

Supporting Customer Experience team

Working with Engineering team to identify patterns and implement frameworks for performing data analysis efficiently at scale

Minimum Qualifications (Knowledge, Skills, and Abilities)

Bachelor’s degree or equivalent experience in Mathematics, Computer Science, Business Information Systems, or Data Science.

2+ years experience in a Data Analyst role

Track record of demonstrating business value by joining and mining data sets from multiple sources

Highly proficient with SQL

Strong attention to detail

Domain knowledge in one of the following areas: manufacturing, human resources, healthcare

Don't see what you're looking for? We'd love to hear from you. Send us an email at join@analytic.li to tell us more about you!"|data analyst|0|Midwest|Indianapolis| IN
Deaconess Health System|"SUMMARY OF THE JOB

IT Audit Data Analyst III is the third level position title within this series of four positions. Employees at this level are expected to have mastered the Level II essential functions and continue to increase their knowledge and skills in auditing, to exercise sound, independent judgment, and to train for the next higher level.

The IT Audit Data Analyst III uses database and relevant software to design and execute data extraction/analysis services used to mine systems and applications for knowledge and information that supports and enhances Internal Audit Department (IAD) testing and processes. IT Audit Data Analyst III under the direction, supervision and guidance of the IAD Manager, is responsible for performing moderate complexity operational and IT audits and advisory engagements as well as completing other assigned work; per the Annual Audit Plans approved by the Audit and Compliance Committee and performed in accordance with the International Standards for the Professional Practice of Internal Auditing and Code of Ethics promulgated by the Institute of Internal Auditors.

The IT Audit Data Analyst refrains from assuming management responsibility, engaging in operational duties for DHS or its subsidiaries, assessing specific operations for which the auditor was previously responsible (if any), operational process implementation or operational activities that could impair or be presumed to impair a subsequent unbiased assessment of the organization’s information technology and business processes, or clinical / administrative operational area, and refrains from initiating accounting transactions external to the Internal Audit Department’s administrative transactions.

ESSENTIAL FUNCTIONS AND RESPONSIBILITIES

A. Continues to perform all essential functions and responsibilities of a IT Audit Data Analyst Level II.

B. Works independently to develop data analytics, using data-mining tools and techniques, and preparing work papers and ad hoc reporting to support IAD audit and advisory engagements. Works with IAD auditors and DHS information technology/business unit leaders to help define data extraction requirements, gain access to and extract data for engagements contained in the annual Audit Work Plan. Identifies new data sources that will maximize analytic capabilities for the engagement.

Consults with IAD management and auditors to determine needs for new or revised analytics on the annual recurring engagements and suggesting new analytical pathways to address those needs. Assists IAD auditors in developing and analyzing business metrics to identify risks and anomalies in financial and operational business processes.

C. Performs moderate complexity operational and IT (or some combination thereof) audits and advisory engagements independently under audit management supervision by the Audit Department Manager.

D. Uses data-mining tools and techniques (i.e.; statistical/predictive modeling, trend analysis, etc.) to build and enhance a strong IAD continuous auditing and monitoring program and focus. Performing high level data extraction from disparate structured, unstructured and semi-structured data sets; developing complex algorithms and computational solutions as necessary to execute data mining procedures.

E. Ensures data quality and reliability, validating data queries/results, and investigating variances from expected results, and providing feedback to IAD management, auditors and clients to support IAD continuous auditing and monitoring program.

F. Leverages analytics to design reports to measure emerging trends and drafts high-level deliverables and ad hoc communication pieces that require minimal review and editing by audit management.

G. Proactively provides meaningful feedback to IAD clients and articulates results, logic, and actionable recommendations to Management and clients.

H. Owns the primary maintenance and support of the data mining tools and applications used by the IAD.

I. Assists in training and developing the skill sets of the IT Audit Data Analyst I and II.

JOB REQUIREMENTS & QUALIFICATIONS

Qualifications to perform this job successfully, an individual must be able to perform each essential duty satisfactorily. The requirements listed below are representative of the knowledge, skill, and/or ability required. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.

Education and Experience

A Bachelor’s Degree (B.S. or B.A.) from a four-year college or university with a major in computer science, information systems, statistics, mathematics, or a related field; with 4 to 6 plus years industry, project, or IT audit experience in data mining/data analysis, management reporting and knowledge discovery.

A professional designation relating to auditing information systems or relational databases (i.e.; SQL DBA, CISA, CCP, etc.) is preferred or expected to be obtained within first 3 years of employment.

Position requires completion of at least 40 hours of continuing professional education and/or training annually. CPE hours may include scheduled conference/seminar time outside the hospital, internal educational offerings, self-study courses/E-learning (i.e., virtual seminars, webinars, etc.) approved in advance by the Internal Audit Department Manager.

Language Skills

Ability to read, analyze and interpret moderate to complicated IT technical journals, healthcare industry journals, business and financial reports, and legal documents. Possess an oral and written communication style which is effective (i.e.; relevant, frequent, and succinct) and promotes clarity and understanding with colleagues, auditees and leadership; and demonstrate active listening skills and convincing presentation skills.

Mathematical Skills

Solid hands-on quantitative and analytical skills, statistics and estimation, proportional reasoning; multi-step problem solving; integration of mathematics and IT skills; advanced modeling; use of extrapolation – recognition of anomalous effects and erroneous answers when monitoring systems and communication of quantitative skills to other users.

Reasoning Ability Abstract, inductive and deductive reasoning abilities; which allow individual to learn rapidly, think creatively, make decisions and solve complex problems in different ways. Demonstrates an advanced ability to organize, sort and filter data in order to analyze/distinguish patterns, data relationships and recognize trends.

Computer Skills

Possess advanced understanding of relational databases, ability to use and set up ODBC connections, general server knowledge, strong understanding of file types for data extrapolation, and extensive experience building reports using one or more querying tools. Possess solid knowledge and understanding of CAATs (Note: prefer proficiency in ACL (Audit Command Language) and associated scripting).

Other skills, ability or knowledge

Exhibit professional skepticism; demonstrate foundational knowledge of relevant industry and technology principles; utilize foundational understanding of business risk to identify impacts on the organization; ability to complete an assignment and deliverable within an established deadline; and respond with a sense of urgency to auditees and colleagues.

Location: DHS · Internal Audit - MT

Schedule: Full Time - 80, Day, 8 am to 5 pm M-F"|data analyst|5|Midwest|Evansville| IN
NAVIENT||data analyst|5|Midwest|Indianapolis| IN
Union for Reform Judaism||data analyst|0|Midwest|Indianapolis| IN
dinaliC|"Business Analyst to support Procurement Department in Legal and Temporary Labor Sourcing

Responsibilities:

Utilize COGNOS reporting software to identify and analyze data to support key organizational strategies

Create integrated analyses from varied data sources

Develop and maintain MS Excel and MS Access sourcing databases

Support Sourcing Managers with ad-hoc projects

Manage diverse supplier certification process

Develop and maintain internal SharePoint data libraries and communication materials

Requirements:

Bachelor’s degree and 1+ years experience in Analyst or similar role

Sourcing and/or legal experience preferred

Proficiency with database management tools and presentation of data analysis - COGNOS business software knowledge is a plus

Strong quantitative and analytic abilities to analyze and validate data

Excellent computer skills (Excel, Word, PowerPoint, SharePoint, Access)

Exceptional interpersonal, communication and organizational skills

Detail oriented, dependable and motivated

Interested in learning new things and comfortable taking the initiative to seek out projects or new areas of responsibility

Qualification

Productivity Software:

Microsoft Access (2+ Yrs.)

Microsoft Excel (2+ Yrs.)

Microsoft PowerPoint (2+ Yrs.)

Microsoft Word (2+ Yrs.)

Programming Languages

Cognos (2+ Yrs.)

Software

SharePoint (2+ Yrs.)"|data analyst|0|Midwest|Warsaw| IN
Parkview Health|"Summary: Performs analysis and validation of complex and varied healthcare and cost data to identify statistically significant, actionable variation. Performs exploratory data analysis, generates and tests working hypotheses, uncovers trends, identifies root cause and relationships. Collaborates with finance, service line, and physician leaders to investigate hunches about care variation that leads to cost and/or outcomes opportunities. Creates data analytics dashboards that allow system and service line leaders to identify variation, trends, cost and outcomes improvement opportunities and process sustainability.
Education: Bachelor of Science in Nursing (BSN) required. Master's degree preferred.
Licensure/Certification: Must be an RN with current Indiana licensure.
Experience: Healthcare experience preferred. Relevant data analytics experience required. Strong in Excel and other data analytics software applications."|data analyst|5|Midwest|Fort Wayne| IN
