company|description|position|reviews|Region|City|State
UFG Insurance|UFG offers you an award-winning workplace and a trustworthy, financially stable company. While we’ve always known our commitment to employees and financial stewardship, it is good to have others recognize our dedicated efforts. We've been named an Iowa Top Workplace by the Des Moines Register for four consecutive years, and included on Forbes’ “America’s Most Trustworthy Financial Companies” every year since 2014. Additionally, UFG is a super-regional property and casualty insurer rated “A” (Excellent) by A.M. Best Company. The UFG Enterprise Analytics Department is focused on delivering strategically-impactful results by building analytically based solutions that integrate a wide range of internal and external data assets. The ultimate objective of the Enterprise Analytics organization is to help UFG gain and maintain a competitive advantage in how it prices risk and identifies potential loss. We are seeking an Associate Data Scientist to facilitate the development of Analytics solutions in support of UFG’s strategic plan. This individual will work closely with business units throughout the organization to develop and implement strategies that leverage data to enable enhanced decision making. The ideal candidate will possess strong technical and communication skills, as well as proven experience in predictive modeling, change management, and the insurance industry in general. Work with management to prioritize modeling needsSupport research and development efforts in a diverse set of challenges as we rapidly prototype and build new modelsExtensive experience analyzing data and a broad understanding of core statistical and ML techniquesDesign, build, and deploy Machine Learning (ML) systems aligning to business objectivesTranslate and champion ML capabilities for non-technical audiencesStay current with modeling techniques/technologiesMaintain positive, professional business acumen and relationships with cross-functional teams and external customersTrain end users on new modelsResearch opportunities for data acquisition and new uses for existing dataCollaborate with data architects, analysts and IT team members on project goalsEducation:Competencies typically acquired through a Ph.D. (in Statistics, Computer Science, Mathematics, or other scientific field of study)Experience:1-3 years of relevant commercial P&C modeling experienceExtensive experience analyzing data and a broad understanding of core statistical and ML techniquesPast experience implementing complex data-driven solutions is preferred.Deep experience with GLMs as well as modern machine learning methods.Demonstrated experience in handling large datasets, structured and semi-structured data formatsKnowledge, skills & abilities:This role will require the candidate to be extremely hands on with building models and data driven tools.Advanced Python skills. Should be familiar with Python’s scientific computing ecosystem.Strong analytical skills with the ability to collect, organize, analyze, and disseminate significant amounts of information with attention to detail and accuracy.Ability to translate technical concepts into non-technical, lay terms.Understanding of star/snowflake schemas as general data warehousing methodologies (i.e. Kimball).Strong written and verbal communication skills.Ability to deliver incremental value via an Agile Development Methodology.Ability to thrive in a fast-paced environment with significant uncertaintyStart your job application: click  Apply Now|associate data scientist|5|Midwest|Cedar Rapids| IA
Corteva Agriscience|"Description

Corteva Agriscience has a rich history of scientific discovery

that has enabled countless innovations. Were looking for more people, in more

places, to collaborate with us to create a market-shaping, agriculture company

with leading positions in seed technologies, crop protection and digital

agriculture.
We need Soil, Plant, or Agronomic Data Scientists to collaborate

with visionary crop scientists, agronomists, plant breeders, and engineers to

build digitally enabled science and business capabilities.
Are you looking for an opportunity to use your data science

skillset to contribute to our team and help us on our mission!?

In this role, you will:

Drive science focused solutions that to create digital ag

capabilities and products to enhance value and efficiency for researchers, collaborators,

and customers.Participate in the application of data science solutions for

Cortevas seed, crop protection, and digital product platforms.Identify, acquire, and engineer feature data sets and pipelines

with potential to address customer needs.Apply machine learning, statistical or mechanistic models and

other computational approaches to extract insights from datasets in complex

agronomic systems.Develop, prototype, and implement data pipeline and software

solutions with engineering and production teams.Conduct and communicate results of research on data science

approaches to improve decisions, add value to services, extend or improve

in-house models and algorithms, and contribute to the advancement of these

ideas into the marketplace.Uphold Corteva Agriscience Core Values at all times.
Qualifications

Demonstrated experience using machine learning, data mining, statistical

methodology, or simulation modeling in agronomic, breeding, environment, or

digital ag problems.Outstanding problem-solving skills and a proven ability to

independently deliver analytic solutions by asking the right questions, finding

or applying the correct domain knowledge, identifying necessary data sources,

building predictive models, and producing actionable results.Proficiency in Python or R.Experience with geospatial and remote sensing data.Familiarity with cloud based or HPC systems and computation in

linux.Strong skills in building visualizations of scientific data.Proven ability to work in a team setting and ability to complete

complex projects on time and in budget.Superior communication skills, both verbal and written.An M.S. or PhD and demonstrated experience with quantitative

applications in Soil, Biogeochemistry, Hydrology, Agronomy/Plant Sciences,

Geography, Ecology, Climatology or related fields. Or conversely, you have an

M.S. or PhD in Computer Science, Physics, Mathematics, or Statistics with

demonstrated Data Science applications in Agronomic or Natural sciences.

What will generate excitement:

Experience in digital agricultureProduct focused experience
"|data scientist|5|Midwest|Johnston| IA
Leepfrog Technologies|"Leepfrog Technologies, Inc. provides its CourseLeaf software to more than 330 of the nation’s most academically complex colleges and universities to manage their academic catalogs, curriculum, section scheduling, registration, and syllabi management.

The Data Scientist is responsible for creating programs that will learn and adapt as more and more data is processed. The Data Scientist will work to enhance and develop Leepfrog’s CourseLeaf software in an effort to help clients’ problem-solve unique issues in Higher Education. This developer will design, customize, code, test, and implement web-based code in support of the CourseLeaf system.

Duties

Understand, apply, and implement data structures, algorithms, computability and complexity, and computer architecture. Apply to historical data.
Build and validate models from observed data using probabilities and statistics.
Evaluate given datasets and recognize useful patterns for data modeling.
Data mine using state-of-the-art methods. Understand the advantages and disadvantages of different approaches, choose a suitable model and understand how nuances affect the learning.
Analyze requirements and develop/implement innovative AI (artificial intelligence) and machine learning tools that will be used in the CourseLeaf software to improve and automate processes.
Help the company discover information hidden in vast amounts of data and make smarter decisions to help our clients get better results.
Develop highly scalable classifiers and tools leveraging machine learning, data regression, and rules based models.
Routine daily maintenance of existing sites and applications.

Fix software issues and code irregularities.
Perform code maintenance, testing, and analysis.
Implement software or product enhancements.
Give technical feedback to non-technical business professionals.

Manage project tasks, timelines, and communication. Coordinate/work closely with Project Managers and other members of the Development Team to ensure timely completion of deliverables.
Stay current about industry developments.
Write reports and documentation as needed.
Other tasks as needed for successful project completion.


""



Excellent oral and written communication: clear, concise, professional.
Be proactive, take initiative.
Have a strong work ethic, be persistent and dependable.
Planning: an ability to think ahead, prioritize, and plan.
Management: the ability to organize and manage multiple priorities.
Be detail oriented and able to produce quality work. Awareness and pride in 100% client satisfaction.
Ability to grow professionally in a highly flexible and fast-moving environment.
Have exceptional programming knowledge and experience with:

JavaScript
Python

Having knowledge or experience with the following technologies is desired, but not required:

SQL
JQuery
XML
CSS
Familiarity with using version control systems and development experience using extensible web authoring tools.

Qualifications

Qualified candidates must have a Master’s or Doctoral degree in Computer Science/Computer Engineering or comparable experience in a relevant discipline. Fields of study include computer science or mathematics. Experience in computer programming is required. Strong understanding of linear algebra, optimization, probability, statistics and experience productionizing machine learning methodologies such as regression, classification, clustering, matrix factorization, predictive analytics, decision trees, support vector machines, neural networks/deep learning is required.

Physical Requirements

Generally, this position is considered sedentary. Little to no travel is required."""|data scientist|0|Midwest|Coralville| IA
Amazon|Excited by using massive amounts of data to develop Machine Learning (ML) and Deep Learning (DL) models? Want to help the largest global enterprises derive business value through the adoption of Artificial Intelligence (AI)? Eager to learn from many different enterprises use cases of AWS ML and DL? Zealous to be key part of Amazon, who has been investing in Machine Learning for decades, pioneering and shaping the worlds AI technology?At Amazon Web Services (AWS), we are helping large enterprises build ML and DL models on the AWS Cloud. We are applying predictive technology to large volumes of data and against a wide spectrum of problems. Our Professional Services organization works together with our AWS customers to address their business needs using AI.AWS Professional Services is a unique consulting team. We pride ourselves on being customer obsessed and highly focused on the AI enablement of our customers. If you have experience with AI, including building ML or DL models, wed like to have you on our team. You will get to work with an innovative company, with great teammates, and have a lot of fun helping our customers.This role will focus specifically on AWS most complex and largest customers in the world to help solve a wide range of business problems. Consultants will provide deep and broad insight to customers and partners to help remove constraints that prevent them from leveraging AWS services to create strategic value.A successful candidate will be a person who enjoys diving deep into data, doing analysis, discovering root causes, and designing long-term solutions. It will be a person who likes to have fun, loves to learn, and wants to innovate in the world of AI.Major responsibilities include:· Understand the customers business need and guide them to a solution using our AWS AI Services, AWS AI Platforms, AWS AI Frameworks, and AWS AI EC2 Instances .· · Assist customers by being able to deliver a ML / DL project from beginning to end, including understanding the business need, aggregating data, exploring data, building & validating predictive models, and deploying completed models to deliver business impact to the organization.· · Use Deep Learning frameworks like MXNet, Caffe 2, Tensorflow, Theano, CNTK, and Keras to help our customers build DL models.· · Use SparkML and Amazon Machine Learning (AML) to help our customers build ML models.· · Work with our Professional Services Big Data consultants to analyze, extract, normalize, and label relevant data.· · Work with our Professional Services DevOps consultants to help our customers operationalize models after they are built.· · Assist customers with identifying model drift and retraining models.· · Research and implement novel ML and DL approaches, including using FPGA.· This is a customer facing role. You will be required to travel to client locations and deliver professional services when needed.Note: If you do not live in a market where we have an open Data Scientist position, please feel free to apply. Our Data Scientists can live in any location that has an AWS office.Basic Qualifications· A Bachelor or Masters Degree in a highly quantitative field (Computer Science, Machine Learning, Operational Research, Statistics, Mathematics, etc.) or equivalent experience· 4+ years of industry experience in predictive modeling, data science and analysis· Previous experience in a ML or data scientist role and a track record of building ML or DL models· Experience using Python and/or R· Experience using ML libraries, such as scikit-learn, caret, mlr, mllib· Experience in writing and tuning SQL· Experience with SparkML· Experience working with GPUs to develop model· Experience handling terabyte size dataset· Experience using data visualization toolsPreferred Qualifications· PhD in a highly quantitative field (Computer Science, Machine Learning, Operational Research, Statistics, Mathematics, etc.)· 4+ years of industry experience in predictive modeling and analysis· Skills with programming languages, such as Java or C/C++· Ability to develop experimental and analytic plans for data modeling processes, use of strong baselines, ability to accurately determine cause and effect relations· Consulting experience and track record of helping customers with their AI needs· Publications or presentation in recognized Machine Learning, Deep Learning and Data Mining journals/conferences· Experience with AWS technologies like Redshift, S3, EC2, Data Pipeline, & EMR· Combination of deep technical skills and business savvy enough to interface with all levels and disciplines within our customers organization· Demonstrable track record of dealing well with ambiguity, prioritizing needs, and delivering results in a dynamic environment· Experience diving into data to discover hidden patterns· Able to write production level code, which is well-written and explainableAmazon is an Equal Opportunity Employer Minority / Women / Disability / Veteran / Gender Identity / Sexual Orientation / Age.|data scientist|1|Midwest|Des Moines| IA
Berkley| A trusted insurance carrier since 1886, Continental Western Group (CWG) offers a broad array of commercial insurance products for businesses in 13 states from the Rocky Mountains to the Great Lakes. Our goal is to be the strong, local and trusted choice for independent insurance agents and customers.About W. R. Berkley CorporationW. R. Berkley Corporation, founded in 1967, is one of the nation’s premier commercial lines property casualty insurance providers. Each of the operating units in the Berkley group participates in a niche market requiring specialized knowledge about a territory or product. Our competitive advantage lies in our long-term strategy of decentralized operations, allowing each of our units to identify and respond quickly and effectively. The success of CWG is built on the contributions of our employees using their talents and passion to strengthen our customer-driven culture. We encourage, invest and are committed to our employees’ ongoing education and career development. We are currently recruiting for a Data Scientist Intern. This role will perform some of the following objectives:  Adapts and develops rating methodologies for both existing and new company products using advanced techniques to incorporate new variables, etc., in pursuit of a competitive advantage and creation of economic profit opportunities. Helps shape the overall advanced analytics strategy for the organization.Identifies, retrieves, and prepares data in support of actuarial analysis through R, SQL, Python, Essbase and other data sources. Includes internal data (exposure, premium, loss, claims, price, etc.) and various forms of external data (bureau loss costs, bureau trends, macroeconomic data, market share, market pricing, etc.)Ensures the accuracy and suitability of data for the business need at hand. Manipulates data, performs preliminary analysis and interprets data through various analytics platforms. Summarizes and presents recommendations.Supports the transformation of business intelligence tools from static reporting to dashboards and development of simple to complex applications (R Shiny apps, Python Django etc.), increasing data visualization and availability, supporting cross-division collaboration, and operationalizing advanced analytics.Supports the actuarial function in identifying segments with profitable growth potential and underperforming segments. Assists in proposing corrective actions to improve profitability.Performs advanced analytics and modeling techniques including but not limited to generalized linear modeling and other forms of multivariate analysis. This role is expected to build, refine and improve existing models as well as develop new techniques and applications to different areas of the company.In addition to regular modeling responsibilities, this person will use critical thinking skills and apply advanced modeling techniques, including but not limited to AI/Machine Learning, to provide insights and solve business problems including techniques such as classification and regression trees, random forests, neural networks, clustering, and other machine learning techniques.May participate in other department deliverables and activities such as enterprise risk management (including support for catastrophe management), economic capital modeling, rate reviews, loss reserving and planning. Provides innovation and leadership when applicable.Leads the innovation and efficiency efforts related to tools and analysis in support of Underwriting’s pricing decisions with respect to large accounts as well as small commercial portfolio price adequacy analyses. Education & ExperienceCurrently pursuing a Bachelor’s or Master Degree and/or any technical degree in areas such as Computer Science, Math, Statistics, Applied Mathematics, or similar studies Recent graduates in areas described above will be considered. Strong practical experience with large datasets, analytical problem solving in a business environment or through relevant course work and/or thesis, with strong programming skills in either R or Python. Experience in conceptualizing and designing statistical models to address business |data scientist intern|2|Midwest|Urbandale| IA
EMC Insurance|"At EMC, you'll put your skills to good use as an important member of our team. You can count on gaining valuable experience while contributing to the company's success. EMC strives to hire and retain the best people by engaging, developing and rewarding employees.

Essential Functions:

Builds models under close supervision to improve profitability, discover business insights and identify opportunitiesIntegrates, analyzes and models data across EMC teamsCollects data to determine customers’ current experiencesRecommends solutions for improvement to experiences using cutting-edge analytical techniquesPerforms exploratory data analysis for modeling and reporting from multi-dimensional datasets

Education & Experience:

Bachelor’s degree in actuarial science, mathematics, statistics, economics, computer science, finance or related fieldPursuit of actuarial exams or graduate degree

Knowledge, Skills & Abilities:

Basic knowledge of big data, statistics/probability and computer programmingWorking knowledge of computer software, such as Excel and WordBasic knowledge of statistical software, such as R or SAS, and database software, such as Access and SQLGood analytical, investigation and problem solving abilities

Our employment practices are in accord with the laws which prohibit discrimination due to race, color, creed, sex, sexual orientation, gender identity, genetic information, religion, age, national origin or ancestry, physical or mental disability, medical condition, veteran status, citizenship status, marital status or any other consideration made unlawful by federal, state, or local laws.

All of our locations are tobacco free including in company vehicles."|assistant data scientist|4|Midwest|Des Moines| IA
Continental Western Group|"


Data Scientist Intern


Location Name

IA, Urbandale - 11201 Douglas Avenue



ID

2019-3002

Date Posted

2 months ago(9/11/2019 7:49 PM)

Company

Continental Western Group

Primary Location

US-IA-Urbandale

Category

Hourly/Temporary Positions

</li>


Company Details


A trusted insurance carrier since 1886, Continental Western Group (CWG) offers a broad array of commercial insurance products for businesses in 13 states from the Rocky Mountains to the Great Lakes. Our goal is to be the strong, local and trusted choice for independent insurance agents and customers.

About W. R. Berkley CorporationW. R. Berkley Corporation, founded in 1967, is one of the nation’s premier commercial lines property casualty insurance providers. Each of the operating units in the Berkley group participates in a niche market requiring specialized knowledge about a territory or product. Our competitive advantage lies in our long-term strategy of decentralized operations, allowing each of our units to identify and respond quickly and effectively.



Responsibilities



The success of CWG is built on the contributions of our employees using their talents and passion to strengthen our customer-driven culture. We encourage, invest and are committed to our employees’ ongoing education and career development. We are currently recruiting for a Data Scientist Intern. This role will perform some of the following objectives:

Adapts and develops rating methodologies for both existing and new company products using advanced techniques to incorporate new variables, etc., in pursuit of a competitive advantage and creation of economic profit opportunities. Helps shape the overall advanced analytics strategy for the organization.Identifies, retrieves, and prepares data in support of actuarial analysis through R, SQL, Python, Essbase and other data sources. Includes internal data (exposure, premium, loss, claims, price, etc.) and various forms of external data (bureau loss costs, bureau trends, macroeconomic data, market share, market pricing, etc.)Ensures the accuracy and suitability of data for the business need at hand. Manipulates data, performs preliminary analysis and interprets data through various analytics platforms. Summarizes and presents recommendations.Supports the transformation of business intelligence tools from static reporting to dashboards and development of simple to complex applications (R Shiny apps, Python Django etc.), increasing data visualization and availability, supporting cross-division collaboration, and operationalizing advanced analytics.Supports the actuarial function in identifying segments with profitable growth potential and underperforming segments. Assists in proposing corrective actions to improve profitability.Performs advanced analytics and modeling techniques including but not limited to generalized linear modeling and other forms of multivariate analysis. This role is expected to build, refine and improve existing models as well as develop new techniques and applications to different areas of the company.In addition to regular modeling responsibilities, this person will use critical thinking skills and apply advanced modeling techniques, including but not limited to AI/Machine Learning, to provide insights and solve business problems including techniques such as classification and regression trees, random forests, neural networks, clustering, and other machine learning techniques.May participate in other department deliverables and activities such as enterprise risk management (including support for catastrophe management), economic capital modeling, rate reviews, loss reserving and planning. Provides innovation and leadership when applicable.Leads the innovation and efficiency efforts related to tools and analysis in support of Underwriting’s pricing decisions with respect to large accounts as well as small commercial portfolio price adequacy analyses.




Qualifications



Education & Experience

Currently pursuing a Bachelor’s or Master Degree and/or any technical degree in areas such as Computer Science, Math, Statistics, Applied Mathematics, or similar studies 

Recent graduates in areas described above will be considered. Strong practical experience with large datasets, analytical problem solving in a business environment or through relevant course work and/or thesis, with strong programming skills in either R or Python. Experience in conceptualizing and designing statistical models to address business 



Options

Create Profile & ApplyApplyShare"|data scientist intern|1|Midwest|Urbandale| IA
EMC Insurance Group Inc.|"At EMC, you'll put your skills to good use as an important member of our team. You can count on gaining valuable experience while contributing to the company's success. EMC strives to hire and retain the best people by engaging, developing and rewarding employees.

Essential Functions:

Builds complex models to improve profitability, discover business insights and identify opportunities through the use of statistical, algorithmic, mining and visualization techniques
Solves problems by integrating customers' past experience, cutting edge analytical techniques, and advanced technology
Integrates, analyzes and models data across claims, underwriting, actuarial and risk improvement departments
Performs exploratory data analysis from complex and multi-dimensional datasets to develop innovative solutions
Analyzes company data to recognize patterns, identify opportunities for efficiency, pose questions, and make recommendations that add value
Communicates with internal and external customers to obtain business problem clarity and develop appropriate solutions throughout project lifecycles
Ensures data quality

Education & Experience:

Graduate degree in actuarial science, mathematics, statistics, economics, computer science, finance, or a related field or graduate coursework and equivalent work experience in predictive modeling
Five years of experience in data science, predictive modeling or analytics research
Actuarial credentials in Casualty Actuarial Society or Society of Actuaries preferred

Knowledge, Skills & Abilities:

Thorough working knowledge of big data, statistics/probability, and computer programming
Internet of Things knowledge preferred
Ability to explain complex information
Excellent analytical, investigation, and problem solving abilities
Good working knowledge of Excel and Word
Superior knowledge of statistical software such as R or SAS and database software such as Access and SQL
Self-direction and teamwork skills
Excellent verbal and written communication skills
Occasional travel required; a valid driver's license with an acceptable motor vehicle report per company standards required if traveling


Our employment practices are in accord with the laws which prohibit discrimination due to race, color, creed, sex, sexual orientation, gender identity, genetic information, religion, age, national origin or ancestry, physical or mental disability, medical condition, veteran status, citizenship status, marital status or any other consideration made unlawful by federal, state, or local laws.

All of our locations are tobacco free including in company vehicles.SDL2017"|senior data scientist|4|Midwest|Des Moines| IA
Wells Fargo|"Job DescriptionAt Wells Fargo, we want to satisfy our customers financial needs and help them succeed financially. Were looking for talented people who will put our customers at the center of everything we do. Join our diverse and inclusive team where youll feel valued and inspired to contribute your unique skills and experience.

Help us build a better Wells Fargo. It all begins with outstanding talent. It all begins with you.

Corporate Risk helps all Wells Fargo businesses identify and manage risk. The team focuses on several key risk types, including conduct, credit, financial crimes, information security, interest rate, liquidity, market, model, operational, regulatory compliance, reputation, strategic, and technology risk.The group provides leadership, enhances communications, assists with problem identification and solutions, and shares best practices. In addition, the group provides an enterprise-wide view of risk, assists management and our Board of Directors in identifying and monitoring risks that may affect multiple lines of business, and takes appropriate action when business activities exceed the risk tolerance of the company.

Wells Fargo Compliance is the companys compliance independent risk management function, providing company-wide leadership, standards, support, and independent oversight to ensure that all front-line business groups abide by applicable laws, rules, regulations and regulatory guidance (regulatory requirements), meet compliance responsibilities, and manage compliance risks. Wells Fargo Compliance credibly challenges management decisions, business processes and activities, and evaluates and assesses adherence to applicable regulatory requirements. It provides appropriate analysis, reporting, and escalation to senior management and the Board of Directors, sets minimum standards for the company, and gives advice, guidance, and support for compliance risk management activities across the enterprise.

As part of the Conduct Risk Analytics team, the Analytic Consultant will be responsible for supporting the development, implementation, and execution of advanced analytics capabilities for Conduct Risk within Compliance, as well as working closely with broader Compliance Analytics team. The team member will be responsible for statistical modelling, text analytics, and ad hoc advanced query development necessary for the identification and resolution of conduct related risks spanning ethics (inclusive of conflicts of interest), sales practices, market conduct, complaints management, and insider threat.

Specifically, a successful candidate will:

Develop data driven analytics capabilities to identify anomalies, outliers, emerging trends and conduct risks across the Enterprise. Leverage text analytics techniques to extract value and insights from unstructured conduct data. Partner with other Corporate Risk and LOB stakeholders to develop, and enhance analytical capabilities related to Conduct Risk at the first line. Work closely with AI (MD) CoE in model development and performance monitoring, including working on Model Development Documents Partner with Corporate Model Risk to ensure alignment with relevant policies, guidelines, and best practice.

#LI-JB9Required Qualifications

10+ years of experience in analytics, modeling or a combination of both; or a PhD in a quantitative field such as applied math, statistics, engineering, physics, accounting, finance, economics, econometrics, computer sciences, or business/social and behavioral sciences with a quantitative emphasis and 7+ years of experience in analytics, modeling, or a combination of both


</p>

Other Desired Qualifications

4+ years experience with SQL 3+ years experience with at least one of the following programming/computing software: Python, R or SAS Have experience using Teradata Aster, especially its Text analytics functions or SAS Text-miner Had previous training/academic focus on natural language processing, text mining and text analytics Experience in fraud, BSA/AML, investigations of financial crimes transactions or policy violations, risk management or compliance. Experience accessing/acquiring Wells Fargo operational data for analysis. Demonstrated experience leading advanced analytics projects. Experience running data analytics against Wells Fargo data. Experience working with Wells Fargos compliance policies and procedures. Strong interpersonal communication skills. Proven experience in building partnerships, collaborating and influencing at senior levels and across lines of business as well as with Corporate partners.

Job Expectations

Ability to travel up to 10% of the time


</p>

DisclaimerAll offers for employment with Wells Fargo are contingent upon the candidate having successfully completed a criminal background check. Wells Fargo will consider qualified candidates with criminal histories in a manner consistent with the requirements of applicable local, state and Federal law, including Section 19 of the Federal Deposit Insurance Act.

</br>

</br>Relevant military experience is considered for veterans and transitioning service men and women.

</br>Wells Fargo is an Affirmative Action and Equal Opportunity Employer, Minority/Female/Disabled/Veteran/Gender Identity/Sexual Orientation."|senior data scientist|5|Midwest|Des Moines| IA
UFG Insurance|UFG offers you an award-winning workplace and a trustworthy, financially stable company. While we’ve always known our commitment to employees and financial stewardship, it is good to have others recognize our dedicated efforts. We've been named an Iowa Top Workplace by the Des Moines Register for four consecutive years, and included on Forbes’ “America’s Most Trustworthy Financial Companies” every year since 2014. Additionally, UFG is a super-regional property and casualty insurer rated “A” (Excellent) by A.M. Best Company. The UFG Enterprise Analytics Department is focused on delivering strategically-impactful results by building analytically based solutions that integrate a wide range of internal and external data assets. The ultimate objective of the Enterprise Analytics organization is to help UFG gain and maintain a competitive advantage in how it prices risk and identifies potential loss. We are seeking an Associate Data Scientist to facilitate the development of Analytics solutions in support of UFG’s strategic plan. This individual will work closely with business units throughout the organization to develop and implement strategies that leverage data to enable enhanced decision making. The ideal candidate will possess strong technical and communication skills, as well as proven experience in predictive modeling, change management, and the insurance industry in general. Work with management to prioritize modeling needsSupport research and development efforts in a diverse set of challenges as we rapidly prototype and build new modelsExtensive experience analyzing data and a broad understanding of core statistical and ML techniquesDesign, build, and deploy Machine Learning (ML) systems aligning to business objectivesTranslate and champion ML capabilities for non-technical audiencesStay current with modeling techniques/technologiesMaintain positive, professional business acumen and relationships with cross-functional teams and external customersTrain end users on new modelsResearch opportunities for data acquisition and new uses for existing dataCollaborate with data architects, analysts and IT team members on project goalsEducation:Competencies typically acquired through a Ph.D. (in Statistics, Computer Science, Mathematics, or other scientific field of study)Experience:1-3 years of relevant commercial P&C modeling experienceExtensive experience analyzing data and a broad understanding of core statistical and ML techniquesPast experience implementing complex data-driven solutions is preferred.Deep experience with GLMs as well as modern machine learning methods.Demonstrated experience in handling large datasets, structured and semi-structured data formatsKnowledge, skills & abilities:This role will require the candidate to be extremely hands on with building models and data driven tools.Advanced Python skills. Should be familiar with Python’s scientific computing ecosystem.Strong analytical skills with the ability to collect, organize, analyze, and disseminate significant amounts of information with attention to detail and accuracy.Ability to translate technical concepts into non-technical, lay terms.Understanding of star/snowflake schemas as general data warehousing methodologies (i.e. Kimball).Strong written and verbal communication skills.Ability to deliver incremental value via an Agile Development Methodology.Ability to thrive in a fast-paced environment with significant uncertaintyStart your job application: click  Apply Now|associate data scientist|5|Midwest|Cedar Rapids| IA
