company|description|position|reviews|Region|City|State
Coloplast||data analyst|0|Midwest|Minneapolis| MN
Enable Data|"A data analyst primarily works with data in a given system performing analysis on those data sets. Analysts help data engineers and scientists in understanding systems interfaces, the context and quality of data being used as part of a project.

Data analysts should have a broad understanding and have experience with real-time analytics and business intelligent platforms such as Tableau Software. He or she should be able to work with SQL databases, several programming languages, and statistical software packages such as R, Java, Python, etc. A basic knowledge of working with distributed computing is required.

Candidates need to be able to perform data mining (including data auditing, aggregation, validation and reconciliation), testing and creating and explaining results in clear and concise reports.

Benefits

Enable Data offers employees the following benefits:

Health Insurance

401k Contribution

Paid Time Off (PTO)

Training Reimbursement

Certification Reimbursement"|data analyst|0|Midwest|Minneapolis| MN
Target|"Description:Lead Data Analyst Data Platform / Products

About us:

Target is an iconic brand, a Fortune 50 company and one of Americas leading retailers.

Behind one of the worlds best loved brands is a uniquely capable and brilliant team of data scientists, engineers and analysts. The Target Data Science & Analytics team creates the tools and data products to sustainably educate and enable our business partners to make great data-based decisions at Target. We help develop the technology that personalizes the guest experience, from product recommendations to relevant ad content. Were also the source of the data and analytics behind Targets Internet of Things (iOT) applications, fraud detection, Supply Chain optimization and demand forecasting. We play a key role in identifying the test-and-measure or A/B test opportunities that continuously help Target improve the guest experience, whether they love to shop in stores or at Target.com.

As a LeadData Analystin Data Science & Analytics, you will be responsible for drivingplatform adoption and engagementthat enable data capabilities across the organization. Having a solid understanding of data capabilities that include data storage, compute, data pipelining, machine learning, data compliance and more. By driving these data capabilities and keeping current with the ever-changing big data industry, you will help shape the direction and adoption of future data analytics and its data platforms. Customer engagement including support, training, consulting, and marketing for a series of data platforms/products to ensure and enable Target as a whole to successful with data.

As a Lead Data Analyst, you will work closely with the platform product teams including engineers and product owners to measure and understand patterns/trends of adoption and challenges clients face. You will be on the front line and sharing back features and issues back to the product team as well as document, test, and market new features/capabilities.

Product Teams at Target are accountable for the delivery of business outcomes enabled through technology and analytic products that are easy to use, easily maintained and highly reliable. Product teams have one shared backlog that is inclusive of all product, technology, discovery and design work.

As a Lead Data Analyst, you will work in the product model and will partner totrack, measure and collaborate with engineers and product owners to ensure clients are successful and engaged.. You will need to leverage the knowledge of your product, as well as, customer feedback and establish other relevant data points to assess value,anddevelop business casesfortheproduct.

You will encourage the open exchange of information and viewpoints, as well as, inspire others to achieve challenging goals and high standards of performance while committing to the organization's direction. You will foster sense of urgency to achieve goals and leverage resources to overcome unexpected obstacles, and partner with product teams across the organization to help them achieve their goals while pursuing and completing yours.Jobduties may change at any time due to business needs.

About you:

·4-year college degree (or equivalent experience)

· 5-6years of retail experience or equivalent domain experience

·Experience with data analysis and data pipelining utilizing tools such as Hadoop, Spark, SQL, Python, etc.

·Experience with dashboarding and reporting best practices

·Passion for driving a customer community of practice

·Strong communication& product marketingskills

·Experience with technology and ability to facilitate communication between business and technology teams

·Experience working in an agile environment (e.g. user stories, iterative development, scrum teams, sprints, personas)

·Proven ability to lead a body of work with cross function

· Ability to work in an unstructured environment & manage multiple priorities/tasks

Americans with Disabilities Act (ADA)

Target will provide reasonable accommodations (such as a qualified sign language interpreter or other personal assistance) with the application process upon your request as required to comply with applicable laws. If you have a disability and require assistance in this application process, please visit your nearest Target store or Distribution Center or reach out to Guest Services at 1-800-440-0680 for additional information.Qualifications:Apply Now: click  Apply Now"|lead data analyst|5|Midwest|Minneapolis| MN
Target|"Description:Sr Data Analyst Data Platform / Products

About us:

Target is an iconic brand, a Fortune 50 company and one of Americas leading retailers.

Behind one of the worlds best loved brands is a uniquely capable and brilliant team of data scientists, engineers and analysts. The Target Data Science & Analytics team creates the tools and data products to sustainably educate and enable our business partners to make great data-based decisions at Target. We help develop the technology that personalizes the guest experience, from product recommendations to relevant ad content. Were also the source of the data and analytics behind Targets Internet of Things (iOT) applications, fraud detection, Supply Chain optimization and demand forecasting. We play a key role in identifying the test-and-measure or A/B test opportunities that continuously help Target improve the guest experience, whether they love to shop in stores or at Target.com.

As aData Analystin Data Science & Analytics, you will be responsible for drivingplatform adoption and engagementthat enable data capabilities across the organization. Having a solid understanding of data capabilities that include data storage, compute, data pipelining, machine learning, data compliance and more. By driving these data capabilities and keeping current with the ever-changing big data industry, you will help shape the direction and adoption of future data analytics and its data platforms. Customer engagement including support, training, consulting, and marketing for a series of data platforms/products to ensure and enable Target as a whole to successful with data.

As a Data Analyst, you will work closely with the platform product teams including engineers and product owners to measure and understand patterns/trends of adoption and challenges clients face. You will be on the front line and sharing back features and issues back to the product team as well as document, test, and market new features/capabilities.

Product Teams at Target are accountable for the delivery of business outcomes enabled through technology and analytic products that are easy to use, easily maintained and highly reliable. Product teams have one shared backlog that is inclusive of all product, technology, discovery and design work.

As aData Analyst, you will work in the product model and will partner totrack, measure and collaborate with engineers and product owners to ensure clients are successful and engaged.. You will need to leverage the knowledge of your product, as well as, customer feedback and establish other relevant data points to assess value,anddevelop business casesfortheproduct.

You will encourage the open exchange of information and viewpoints, as well as, inspire others to achieve challenging goals and high standards of performance while committing to the organization's direction. You will foster sense of urgency to achieve goals and leverage resources to overcome unexpected obstacles, and partner with product teams across the organization to help them achieve their goals while pursuing and completing yours.Jobduties may change at any time due to business needs.

About you:

·4-year college degree (or equivalent experience)

·3+years of retail experience or equivalent domain experience

·Experience with data analysis and data pipelining utilizing tools such as Hadoop, Spark, SQL, Python, etc.

·Experience with dashboarding and reporting best practices

·Passion for driving a customer community of practice

·Strong communication& product marketingskills

·Experience with technology and ability to facilitate communication between business and technology teams

·Experience working in an agile environment (e.g. user stories, iterative development, scrum teams, sprints, personas)

·Proven ability to lead a body of work with cross function

Americans with Disabilities Act (ADA)

Target will provide reasonable accommodations (such as a qualified sign language interpreter or other personal assistance) with the application process upon your request as required to comply with applicable laws. If you have a disability and require assistance in this application process, please visit your nearest Target store or Distribution Center or reach out to Guest Services at 1-800-440-0680 for additional information.Qualifications:Apply Now: click  Apply Now"|senior data analyst|5|Midwest|Minneapolis| MN
Fidelity National Information Services|"Position Type

Full time - Temporary

Type of Hire

Requisition will be sent to PeopleFluent

Experience Desired

Education Desired

Bachelor of Science

Travel Percentage

0%

Job Description

Are you curious, motivated, and forward-thinking? At FIS you'll have the opportunity to work on some of the most challenging and relevant issues in financial services and technology. Our talented people empower us, and we believe in being part of a team that is open, collaborative, entrepreneurial, passionate and above all fun.

Join the 2020 Associate Development Summer Internship Program today!

As a 2020 Summer Intern with FIS, you will have the opportunity to participate in team projects, community service activities, social events, professional development seminars and work alongside team mentors. This is a full time (40hrs/week) paid internship that will begin on June 8, 2020 and conclude on August 14, 2020.

About the team

We are a group of data scientists that leverage machine learning, statistical modeling, and quantitative analysis.

What you will be doing



You will employ machine learning and statistical modeling to create and enhance data driven products
You will analyze client data to develop optimal strategies and show value of products
You will create summaries of your work and present to internal and external stakeholders
You will be leveraging data science tools and languages such as SAS, Python, and R

What you bring:

Masters or PhD candidate (graduating December 2020 through May 2021)
Proficiency in data science tools
Strong written and communication skills
Adaptability, a drive to learn, and strong problem-solving skills
Ability to work well independently and within a team


What we offer you



Competitive full-time paid summer internship
Opportunity to participate in projects that directly impact business value
The chance to work on some of the most challenging, relevant issues in financial services & technology
Time to support charities and give back in your community
A work environment built on collaboration, flexibility and respect


Privacy Statement

FIS is committed to protecting the privacy and security of all personal information that we process in order to provide services to our clients. For specific information on how FIS protects personal information online, please see the Online Privacy Notice.

EEOC Statement

FIS is an equal opportunity employer. We evaluate qualified applicants without regard to race, color, religion, sex, sexual orientation, gender identity, marital status, genetic information, national origin, disability, veteran status, and other protected characteristics. The EEO is the Law poster is available here supplement document available here

For positions located in the US, the following conditions apply. If you are made a conditional offer of employment, you will be required to undergo a drug test. ADA Disclaimer: In developing this job description care was taken to include all competencies needed to successfully perform in this position. However, for Americans with Disabilities Act (ADA) purposes, the essential functions of the job may or may not have been described for purposes of ADA reasonable accommodation. All reasonable accommodation requests will be reviewed and evaluated on a case-by-case basis.

Sourcing Model

Recruitment at FIS works primarily on a direct sourcing model; a relatively small portion of our hiring is through recruitment agencies. FIS does not accept resumes from recruitment agencies which are not on the preferred supplier list and is not responsible for any related fees for resumes submitted to job postings, our employees, or any other part of our company.SDL2017"|data analyst intern|5|Midwest|Woodbury| MN
Mayo Clinic||senior data analyst|0|Midwest|Rochester| MN
Utilimarc|"Job DescriptionWho Is Utilimarc:

Utilimarc is on a mission to bring better data driven decisions to every fleet. We are a team of analysts and technologists- focused on interpreting data and turning it into actionable insights for our customers. Our organization is at the crossroads of Vehicle, IoT and Data Science.

Why We Need You:

Utilimarc is a small and nimble team filled with the most passionate people. We’re acting to add another Data Analyst to the mix. As a Analyst you will be responsible for deriving insights from our near-real time vehicle data streams and augmenting them with other dimensional data such as: fuel transactions, vehicle maintenance data, mobile app data and other geo-spatial data. In addition, you will be responsible for creating models and algorithms that improve data quality and derive new business insights to our customers.

Job Duties:

Develop and maintain BI reports by translating functional requirements into easy-to-use, flexible reporting solutions and dashboardsAssist in quality assurance activities to ensure accurate delivery of key performance indicators (KPI) and reportsWork closely with clients and Utilimarc team to turn data into critical information and knowledge that can be used to make sound business decisions.Work with clients to determine business requirements, priorities, define key performance indicators (KPI), and develop BI and data warehouse (DW) strategies. This includes working with client and Utilimarc team to design, and document dashboards, alerts, and reports.Educate and train clients to use the data as an analytical tool, displaying the information in new forms and content for the purpose of analysis.

Qualifications:

Bachelor or Graduate degreeExperience as a data analyst, QA analyst or other analytical role.Experience using a BI tool such as Tableau, Looker, Superset, Business Objects, etc.Experience in SQL performance optimization on Data Warehousing platforms such as Hive, Redshift, Snowflake, etc.Background in Analytics and Data Visualization techniquesStrong interpersonal skills with demonstrable verbal and written communications to maintain effective work and client relationships with all levels of personnelAbility to work independently and in a group environment.

Company DescriptionUtilimarc is a Minneapolis-based fleet management software company that integrates data analysis with telematics to help companies make informed purchasing and operation decisions.

Made up of ex-fleet managers, data scientists, and product experts, Utilimarc is able to deeply understand the daily problems fleets face — and design products that support the needs of diverse industries."|data analyst|0|Midwest|Minneapolis| MN
Mayo Clinic|"City

Rochester

State

Minnesota

Telecommute

No

Department

Cardiovascular Medicine

Position description

Data Scientists at Mayo Clinic perform detailed analysis of large bodies of heterogeneous data in order to discover new patterns and insights having an impact upon patient health and augmenting human capabilities. Candidate has advanced expertise in AI, machine learning, deep learning, statistical data processing, regression techniques, neural networks, decision trees, clustering, pattern recognition, probability theory and data science methods and the mathematical theories underlying these tools used to analyze data. Has advanced knowledge of healthcare data types, topics, and scientific challenges and approaches.

May work with knowledge architects, informaticians and clinicians at Mayo, and partner outside companies to develop and deploy applications to bring AI and analytic solutions to nontechnical users, often at the point of care. Applies and modifies existing scripts or software applications to support data management, data extraction, data analysis, and AI as required

May develop predictive models on large-scale datasets to address various business problems through leveraging advanced statistical modeling, operations research, machine learning, or data mining techniques. May provide Consultative Services at an enterprise level to departments/divisions and/or support scientific projects under the supervision of a designated senior level data scientist.

Other responsibilities:

Provides advanced data insights for complex business problems that can be approached with analytics techniques to collect, explore, and extract insights from structured and unstructured data.
Has advanced expertise in the methods used to analyze data and advanced knowledge of data types, topics, and scientific challenges and approaches.
Will work with other staff in developing data analysis tools and predictive models, using advanced data analysis techniques and artificial intelligence and machine learning.
Participates in discovery processes with stakeholders to identify the business requirements and the expected outcome.
Leads the interpretation of data analysis and writing reports.

Qualifications

A Bachelor's degree in a relevant field such as engineering, mathematics, computer science, health science and at least 12 graduate level semester hours in domain-relevant sciences or seven years or more of data science and AI experience.

The preferred candidate will possess a PhD or Master's degree with one year experience in a relevant field such as engineering, mathematics, computer science, health science, or other analytical/quantitative field and a minimum of one year of professional or research experience in data.

The successful candidate will need to have both technical and business background/experience along with strong leadership skills. Good written and oral communication skills are required. Expertise in the use of scientific computing and data management packages. Ability to prioritize, organize, and delegate various tasks on projects. Demonstrated initiative in administration, education (seminars, training), software development, and technical reports. Demonstrated success in project management and communication skills.

Additional qualifications

Demonstrated ability to develop predictive and prescriptive models on large-scale datasets to address various business problems through leveraging advanced statistical modeling, machine learning, or data mining techniques. Demonstrated ability to provide consultative services to departments/divisions and committees from any Mayo entity requesting assistance is preferred. Demonstrated application of several problem-solving methodologies, planning techniques, continuous improvement methods, project management methods, and analytical tools and methodologies (e.g. machine learning, statistical packages, modeling, etc.) required. Incumbent must have ability to manage a varied workload of projects with multiple priorities and stay current on healthcare trends and enterprise changes. Strong interpersonal skills to include presentation, negotiation, persuasion, and written communications skills are required. Strong time management skills also are required. In addition, requires strong analytical skills, consulting skills, ability to identify and recommend solutions, advanced computer application skills and a commitment to customer service. Experience with data modeling and date exploration tools.

Exemption status

Exempt

Compensation Detail

Education, experience and tenure may be considered along with internal equity when job offers are extended. The minimum salary every 2 weeks is approx $3651.60, based on a full-time position.

Benefits eligible

Yes

Schedule

Full Time

Hours / Pay period

80

Site description

Mayo Clinic is located in the heart of downtown Rochester, Minnesota, a vibrant, friendly city that provides a highly livable environment for more than 34,000 Mayo staff and students. The city is consistently ranked among the best places to live in the United States because of its affordable cost of living, healthy lifestyle, excellent school systems and exceptionally high quality of life.

Category

Clinical Labs and Research

Career profile

Research

Job posting number

125510BR

Recruiter

Jill Squier

Equal opportunity employer

Mayo Clinic is an equal opportunity educator and employer (including veterans and persons with disabilities).SDL2017"|senior data analyst|5|Midwest|Rochester| MN
3M|"At 3M, we apply science in collaborative ways to improve lives. With $33 billion in sales, our 93,000 employees connect with customers all around the world.

3M has a long-standing reputation as a company committed to innovation. We provide the freedom to explore and encourage curiosity and creativity. We gain new insight from diverse thinking, and take risks on new ideas.

Here, you can apply your talent in bold ways that matter.

Job Description:

3M is seeking a Data Scientist for the Corporate Research Analytical Laboratory (CRAL) located in St Paul, MN. At 3M, you can apply your talent in bold ways that matter. Here, you go.

Job Summary:

The person hired for this Data Scientist position will join a team of research chemists, physicists and engineers in the Corporate Research Lab of 3M and apply their Computer Vision/Machine Learning/Data Analytics expertise and experience to invent, develop, and create new business opportunities and support existing 3M products and businesses. This position offers a chance to work in exciting technologies at the heart of tomorrow's most creative products.

This position provides an opportunity to transition from other private, public, government or military environments to a 3M career.

Primary Responsibilities include but are not limited to the following:

Lead projects in materials informatics incorporating machine learning, data mining, natural language processing, signal processing, sensors and electronics, probabilistic inference, and/or computational statisticsDevelop and implement relevant and valuable computational algorithms and data visualization tools that support 3M businesses …Collaborate with a team of chemists, physicists and engineers on both theoretical and practical projects that will use his/her scientific, mathematical and computational skills to drive new-to-the-world technology development and introduction

Basic Qualifications:

Possess a Master’s degree or higher in a science, engineering or mathematics discipline (completed and verified prior to start) from an accredited institution Academic or working experience in a private, public, government, or military environment in one or more of the following areas: materials informatics, computer vision, machine learning, and/or data science technologies

Preferred Qualifications:

MS/PhD in Materials Science, Chemistry, Chemical Engineering, Physics, Computer Science, Applied Mathematics, from an accredited university augmented with an undergraduate degree or minor in chemistry, physics, mechanical or chemical engineering.1-5 years of computer vision and image processing and/or materials informatics experience in academia, industry or national lab environment Domain expertise in core physical or materials science and advanced skills in machine learning, data mining, natural language processing, probabilistic inference, and/or computational statistics, 3D computer vision (acquisition, segmentation, registration, classification), deep learning, analysis and reduction of high-dimensional dataProgramming languages: Python, MATLAB, C, C++, OpenCV, R/Python/SciPy/JupyterStrong scientific and technical acumen, with demonstrated interest and ability to make connections between science/technology and real-world concernsDemonstrated scientific excellence as evidenced by publications and presentationsLeadership and networking skillsSelf-motivated and self-directedExcellent written and oral communication skills

Location: Maplewood, MN

Travel: May include up to 5% domestic/international

Relocation Benefits: Are authorized for this position

3M is a place where you can collaborate with other curious, creative people. Where your diverse talents, inclusiveness, initiative, and leadership are valued. Where you’ll find challenging opportunities that make your career exciting and rewarding. With a diversity of people, global locations, technologies, and products, 3M is a place to grow and be rewarded for excellence

Responsibilities of this position may include direct and/or indirect physical or logical access to information, systems, technologies subjected to the regulations/compliance with U.S. Export Control Laws.

U.S. Export Control laws and U.S. Government Department of Defense contracts and sub-contracts impose certain restrictions on companies and their ability to share export-controlled and other technology and services with certain \""non-U.S. persons\"" (persons who are not U.S. citizens or nationals, lawful permanent residents of the U.S., refugees, \""Temporary Residents\"" (granted Amnesty or Special Agricultural Worker provisions), or persons granted asylum (but excluding persons in nonimmigrant status such as H-1B, L-1, F-1, etc.) or non-U.S. citizens.

To comply with these laws, and in conjunction with the review of candidates for those positions within 3M that may present access to export controlled technical data, 3M must assess employees' U.S. person status, as well as citizenship(s).

The questions asked in this application are intended to assess this and will be used for evaluation purposes only. Failure to provide the necessary information in this regard will result in our inability to consider you further for this particular position. The decision whether or not to file or pursue an export license application is at 3M Company's sole election.

Must be legally authorized to work in country of employment without sponsorship for employment visa status (e.g., H1B status).Learn more about 3M’s creative solutions to the world’s problems at www.3M.com or on Twitter @3M.3M is an equal opportunity employer. 3M will not discriminate against any applicant for employment on the basis of race, color, religion, sex, sexual orientation, gender identity, national origin, age, disability, or veteran status.Please note: your application may not be considered if you do not provide your education and work history, either by: 1) uploading a resume, or 2) entering the information into the application fields directly.

3M Global Terms of Use and Privacy Statement

Carefully read these Terms of Use before using this website. Your access to and use of this website and application for a job at 3M are conditioned on your acceptance and compliance with these terms.

Please access the linked document by clicking here, select the country where you are applying for employment, and review. Before submitting your application you will be asked to confirm your agreement with the terms.Apply Now: click  Apply Now"|data scientist|5|Midwest|Maplewood| MN
3M|"At 3M, we apply science in collaborative ways to improve lives. With $33 billion in sales, our 93,000 employees connect with customers all around the world.

3M has a long-standing reputation as a company committed to innovation. We provide the freedom to explore and encourage curiosity and creativity. We gain new insight from diverse thinking, and take risks on new ideas.

Here, you can apply your talent in bold ways that matter.

Job Description:

3M is seeking an experienced Data Scientist – Digitization and Advanced Analytics within the Manufacturing and Supply Chain organization located in Maplewood, Minnesota. At 3M, you can apply your talent in bold ways that matter. Here, you go.

Job Summary:

The person hired for the position of Data Scientist will be developing data and analytics solutions to address business challenges, interact effectively with both the technology teams and the business units, contribute significantly to the vision of our data analytics and data science capabilities. The ideal candidate is passionate about digging into large amounts of data, both known and unknown, structured and unstructured.

For additional business group/division/product information, please visit: https://www.3m.com/3M/en_US/manufacturing-us/

This position provides an opportunity to transition from other private, public, government or military environments to a 3M career.

Primary Responsibilities include but are not limited to the following:

Conduct a variety of data analytics such as: predictive modeling, statistics, machine learning, data mining, and other data analysis techniques to extract insights from structured and unstructured dataResearch and explore data sources, work with data and systems experts to understand the data and what it representsParticipate in projects related to machine learning, data mining, signal processing, sensors and electronics and computational statisticsWork independently to develop data solutions, understand, break down and explain complex algorithmsUse various forecast methods including time series, neural networks and other non-linear methodsImplement relevant computational algorithms in software that support 3M businessBuild strong working relationships and communicate effectively with other engineers and data scientists

Basic Qualifications:

Possess a Master’s degree or higher in a science or engineering discipline (completed and verified prior to start) from an accredited institutionMinimum five (5) years of data analysis experience (e.g. predictive modeling, statistics, machine learning, data mining) in a private, public, government or military environmentExperience in programming in Python and/or RExperience in computer or scientific programming

Preferred Qualifications:

Ph.D. in Data Science, Computer Science, Applied Mathematics, Physics or other directly related fieldExperience in programming: R, Python, Matlab, C++, JavaExperience with machine learning tools including SVM, logistic regression, and random forestExperience with deep learning methods and applicationsSAP experienceSQL experienceExperience with big data and big data platformsSolid communication skills

Location: Maplewood, MN

Travel: May include up to 20% domestic/international

Relocation: Is authorized

3M is a place where you can collaborate with other curious, creative people. Where your diverse talents, inclusiveness, initiative, and leadership are valued. Where you’ll find challenging opportunities that make your career exciting and rewarding. With a diversity of people, global locations, technologies, and products, 3M is a place to grow and be rewarded for excellence.Learn more about 3M’s creative solutions to the world’s problems at www.3M.com or on Twitter @3M.3M is an equal opportunity employer. 3M will not discriminate against any applicant for employment on the basis of race, color, religion, sex, sexual orientation, gender identity, national origin, age, disability, or veteran status.Please note: your application may not be considered if you do not provide your education and work history, either by: 1) uploading a resume, or 2) entering the information into the application fields directly.

3M Global Terms of Use and Privacy Statement

Carefully read these Terms of Use before using this website. Your access to and use of this website and application for a job at 3M are conditioned on your acceptance and compliance with these terms.

Please access the linked document by clicking here, select the country where you are applying for employment, and review. Before submitting your application you will be asked to confirm your agreement with the terms.Apply Now: click  Apply Now"|data scientist|5|Midwest|Maplewood| MN
