company|description|position|reviews|Region|City|State
PicMonkey|"We’ve got our eyes peeled for a Data Analyst who’s excited at the challenge of weaving huge gobs of raw data into strands of golden insight. Reporting to the FP&A Manager you’ll provide support for our new business models and strategies. As a member of the Data Analytics team, you'll help make sense of all the data we have at our disposal creating dashboards and telling stories with the patterns you uncover. In this role you’ll work with cross-functional teams to define and build internal systems to measure and predict business performance. The ideal candidate is strong in critical thinking, logic, organization, self-motivation and attention to detail. If you're the type who looks for meaning in even the most random statistics, we’d love to talk with you!

Responsibilities:

Collaborate with Finance, Marketing, 3rd party providers and other cross-functional groups to support high-level decision making
Collect and organize data to effectively communicate trends, patterns, and predictions to leadership
Turn business questions into testable hypotheses and informative experiments (i.e., what does it take to convert a free user to paying?)
Triage problems with our campaigns and products by investigating production logs and web analytics data
Assist with report automation efforts, custom analyses requests, and analytics group report designs and content generation

 Skills & Experience:

Strong understanding of SQL and applied experience with R, Python or related languages
Knowledge of SaaS business metrics and Google Analytics
Experience analyzing and interpreting web analytics data
Comfortable managing a queue of active projects of varying size
Experience building dashboards and an interest in the aesthetics of data visualization
An understanding of data warehouse modeling/design
Strong communication and analytical problem solving skills

About PicMonkey:

PicMonkey helps people make high-impact images to promote their brand. Our photo editing and design tools are an easy-to-use alternative to complicated image editing software, and an efficient way to create stunning visuals for social media, digital marketing, and beyond. We’re high energy, passionate people who share a commitment to make design simple and accessible to everyone. We believe that everyone is creative and we strive to make professional-level photo editing and graphic design simple and intuitive so that anyone, regardless of skill level, can create their own sophisticated and beautiful designs. We are rapidly expanding our product offering, and we’re growing by leaps and bounds.

PicMonkey is an equal opportunity employer. We celebrate diversity and are committed to creating an inclusive environment for all employees.To apply to this job, click  Easy Apply"|data analyst|0|West|Seattle| WA
LiveRamp|"ABOUT LIVERAMP

LiveRamp is the trusted platform that makes data accessible and meaningful. Our services power people-based customer experiences that improve the relevance of marketing and allow consumers to better connect with the brands and products they love. We thrive on solving the toughest technical and customer challenges, and we're always looking for smart, compassionate people to help us blaze a trail.

Mission: LiveRamp makes it safe and easy to connect the world's data, people, and applications.
ABOUT THIS JOBThis role will facilitate roles and responsibilities associated with being an Analyst on an Analytics team.

The 'ideal candidate' for the role:


Is proficient with data visualization tools/software such as Tableau (preferred), Stata, or R
Can replicate existing Tableau work products and also suggest design improvements
Has a sense for good design and exceptional attention to detail
Ideally has some familiarity with marketing data, dsp logs, web logs data ..etc.
Is a quick learner and independent worker who is comfortable asking for help
Can work self-guided and in a largely autonomous fashion

RESPONSIBILITIES

Gather requirements, extract and analyze data in support of multiple programs within the organization
Lead reporting and related activities, be knowledgeable about data types, data taxonomy, and have an understanding of data management
Identify new approaches to challenge the status quo with how to introduce, evaluate, and implement emerging Information Technology Infrastructure trends
Support development dashboards, providing data analysis, data requirements, analysis of data interaction between systems, design of dashboard layout and mapping data to produce accurate reporting
Plan and coordinate activities related to data needs for various programs

QUALIFICATIONS

2-4 years of recent experience in a business analyst or data analyst role. Preferably experience in the digital advertising industry or related field
Experience with Data Analysis
Ability to operate comfortably and effectively in a fast-paced, highly cross-functional, rapidly changing environment
Experience with business problem identification, data collection and preparation, modeling, and problem solving
Solve routine problems of limited scope and complexity by following established practices or establishing new procedures
Ability to work effectively across business teams and engineering partners to meet the data needs of the business, translating business needs into analytical requirements
Bachelor's Degree preferred in an engineering or analytic related discipline
1-2+ years job experience working with Big Query or Google Cloud Products
1-2+ years job experience utilizing Python in a productional environment

NICE TO HAVE

Recent proven experience developing data visualizations, dashboards, and reporting in Tableau (or a similar reporting tool)

Experience with Tableau preferred

Comfortable working with modern data technologies. Familiarity with database modeling and data warehousing principles
SQL required: Python, or Java/Scala preferred

Comfortable with advanced analytics tools such as Pandas, R, and Spark a plus

Familiarity with data science exploration, analysis, feature selection, model development, and evaluation a plus

EMPLOYEE BENEFITS

Food. Enjoy catered meals, boundless snacks, and the occasional food truck.
Fun. We host events such as game nights, happy hours, camping trips, and sports leagues.
People. Work with talented, collaborative, and friendly people who love what they do.
Health and Saving. Receive the benefits of comprehensive health, dental, vision and disability insurance along with a 401k matching plan.
Location. Work in the heart of San Francisco – the best city in the world, and take advantage of our commute.

LiveRamp is an affirmative action and equal opportunity employer (AA/EOE/W/M/Vet/Disabled) and does not discriminate in recruiting, hiring, training, promotion or other employment of associates or the awarding of subcontracts because of a person's race, color, sex, age, religion, national origin, protected veteran, disability, sexual orientation, gender identity, genetics or other protected status. Qualified applicants with arrest and conviction records will be considered for the position in accordance with the San Francisco Fair Chance Ordinance.To apply to this job, click  Easy Apply"|data analyst|0|West|Seattle| WA
ADURO|"SUMMARY:


Responsible for managing the collection, analysis and reporting of information, as well as planning, designing, programming, testing and implementing transformation of ADURO data into meaningful insights and information. This isnt a job to show up to. It is a chance to make a difference. Heres how:PLEASE NOTE: this position is in Redmond, Washington.
RESPONSIBILITIES:


Interpret information requests from team members and translate it into appropriate reporting assets.
Document key reporting requirements from clients, vendors & internal partners.
Find and integrate data from multiple sources and systems to provide analysis and insights to internal and external clients.
Use your SQL & BI skills to continually improve ADUROs reporting solutions
Employ appropriate statistical and modeling techniques to analyze data and identify key factors for product and service improvement
Leverage your skills with multiple presentation tools including Sisense, DOMO, Excel & PowerPoint to create beautiful and easy to interpret reports & visualizations
Drive and support the automation of ADUROs data reporting and insights
Promptly respond to requests
Develop tools & methods to ensure data accuracy and proactively catch data issues
Collaborate with Data & Analytics team members to solve reporting issues
Handle health information with strict confidentiality as required by HIPAA and other state and federal laws
Exercise your resourcefulness to find solutions for our users concerns and communicate them effectively
Able to interface with internal clients and interpret the data and findings in a way that tells a compelling story

DESIRED SKILLS & EXPERIENCE:


If you can accomplish the above, then youve got what it takes. Realistically though, youll need:

Demonstrated ability to maintain absolute confidentiality
Proficiency in BI Tools (Sisense, Tableau, PowerPivot, DOMO or other comparable tools)
Aptitude with SQL, R, and other languages supporting data analysis
Experience with C based object-oriented programming
Experience working within a large reporting Data Warehouse
Experience working with web and application analytics tools (Firebase, Google Analytics)
Experience using analytics to support product development
Familiar with source-control repositories and associated practices (Git, GitHub)
Proven attention to detail and accuracy
Highly organized and focused on work quality
Apply Now: click  Apply Now"|data analyst|5|West|Redmond| WA
Smartsheet|"Smartsheet is looking for an experienced Data Analyst to help drive analyses, generate insights, and influence decision making. With thousands of subscribing organizations and millions of users there is lots of opportunity to make meaningful impact and drive growth through analytics within Smartsheet. The ideal candidate is intellectually curious, has strong analytical skills and has the ability to communicate key insights effectively. This individual will work closely with departments across the company and will be a part of a highly efficient and results oriented Business Intelligence team. This full time position reports to the Analytics Manager and is based in Smartsheet's corporate offices in Bellevue, WA.

Responsibilities:

Mine large datasets and draw actionable insights
Present discoveries and insights to line of business teams and give recommendations to encourage data-driven decision making
Partner with cross functional teams across Marketing, Sales, Product Management, Engineering in operationalizing the initiatives
Identify areas for further investigation

Requirements:

BA/BS in Computer Science, Mathematics, Operations Research, Physics, or other technical field. Advanced degree preferred but not required
3+ years of experience in quantitative analysis, combined with strong business judgment and an ability to present analysis in a clear and compelling manner
Proficient in implementing various statistical models and data mining tools (predictive modeling, clustering, logistic regression, multivariate regression, decision trees, neural networks)
Hands on experience in executing analysis using tools such as SQL, R, Python, Excel, Tableau and Google Analytics.
Ability to research and learn new technologies, tools, and platforms
Ability to draw conclusions from data and recommend actions
Ability to thrive in an unstructured environment, working autonomously on a strong team to find opportunity and deliver business impact
A self-starters who can, with minimal guidance, drive projects from concept through completion
Focus to make quick strikes, iterate, and produce in high volume
Smarts to pick up new concepts at light speed
Agility to quickly adjust priorities and shift direction
Flexibility to contribute to other projects as required

About Smartsheet

In 2005, Smartsheet was founded on the idea that teams and millions of people worldwide deserve a better way to deliver their very best work. Today, the company delivers a leading cloud-based platform for work execution, empowering organizations to plan, capture, track, automate, and report on work at scale, resulting in more efficient processes and better business outcomes. Smartsheet went public on the New York Stock Exchange in April 2018 and currently enables collaboration, better decision making, and accelerated innovation for over 76,000 domain-based customers in 190 countries, including 96 of the Fortune 100.

Smartsheet is an Equal Opportunity Employer. Individuals seeking employment at Smartsheet are considered without regard to race, ethnicity, color, age, sex, religion, national origin, ancestry, pregnancy, sexual orientation, gender, gender identity, gender expression, genetic information, physical or mental disability, registered domestic partner status, caregiver status, marital status, veteran or military status, citizenship status, or any other legally protected category.To apply to this job, click  Apply Now"|data analyst|5|West|Bellevue| WA
Rational Creative|"Rational Consulting is growing, and we need amazing talent to join our team. If you have an entrepreneurial attitude with a deep spirit of service and killer subject expertise, we want to talk to you. We are always looking for the next great consultant to raise the bar and push Rational Consulting to be better than we were yesterday. Staying hungry, curious, and looking forward to what’s next is part of our DNA.

We are looking for a Marketing Campaign Insights Project Manager/Data Analyst to help drive data planning, reporting, and optimization for our retail campaigns. These campaigns span omnichannel storefronts across digital, physical, and app-based stores. Multiple marketing channels promote the campaigns across email, web, social, paid media, and other tactics. Campaigns goals range from awareness to engagement to purchase. We are looking for someone who can not only report the numbers, but also find insights and learnings from what the data tells us.

This is a 6 month partially remote contract located in Redmond, WA.

The Marketing Campaign Insights Project Manager/Data Analyst will sit within the Marketing organization, but partner closely with the Data and Analytics team. We are looking for someone who can get things done and ramp up quickly. You will get to collaborate with many different groups, stakeholders and teams. Strong collaboration, organization, and prioritization skills are a must.

What You’ll Do:

Partner with campaign managers to create measurement plans, goals and KPIs, and reporting requirements for campaigns.
Build and/or use dashboards in Adobe Analytics, Excel, and PowerPoint to report results and insights.
Work closely with the Data Analytics Team to ensure sound, consistent reporting and tagging, from setup to completion of campaign reporting.
Upload and/or input data into analysis tools.
Ensure that dashboards and reports accurately reflect measurement goals and answer marketing goals and KPIs.
Develop reporting templates and best practices that can be reused across campaigns.
Work with data and finance partners to establish benchmarks, baselines, and goals that campaign managers can measure against.
Deliver campaign reports and insights, either in partnership with Data Analytics team or directly.
Manage offers and SKU tracking, as well as provide analysis by SKU and category levels.
This person needs to be able to problem-solve and not be afraid to ask questions or knock on doors to build a plan. Partnering with other members of the team across the Microsoft Store channels and Storefronts is key.

What You’ll Bring:

A retail analytics and marketing background as well as experience managing digital campaigns
5+ years in a data analyst role in marketing, or in a marketing role involving significant data analysis and reporting, ideally in retail and/or online
2+ years working with Adobe Analytics or similar reporting platform
Must be comfortable with a fast moving, ever-changing environment
Proactive
Professional communication skills
Comfortable interacting with multiple stakeholders
Must be hyper organized and detail oriented

Who You Are:

Analytical. Values data, understands the story it tells and can forecast outcomes.
Solution-oriented. You are an idea person & enjoy coming up with smart solutions to new & existing challenges.
Data Lover. You know your numbers and value the metrics behind the buyer story
Self-sufficient. You get stuff done, you are able to work with little direct supervision but know when to ask for help.  
Adaptable. Change happens at lightning speed (especially at Rational), you are flexible, enjoy challenge, and get behind new ideas

Rational Consulting is a results-oriented consultancy designing premium customer experiences. Each of our business practices are deeply rooted in delivering client success. We see ourselves as partners to our clients, and we invest in each of their business goals, ensuring that our work helps deliver on these goals. Client success is our ultimate metric, and what drives our mindset, skillset, and company culture.

Incredible people are our non-negotiable. Our experienced team of consultants spans the globe. We love what we do, and who we do it with – let’s begin our next chapter together.ApplyApply Now: click  Easy Apply"|data analyst manager|0|West|Redmond| WA
Bridge Partners|"We are seeking a Data Analyst to join our fast-growing, customer-focused team.

Are you curious about data, someone who loves not only to analyze it but also to discuss and communicate results with a variety of audiences? Can you think creatively about how data can be used to tackle problems? As a Data Analyst at Bridge Partners, you are responsible for improving customers' ability to make decisions via thoughtful analysis of data assets. This includes understanding a meaningful set of business questions/scenarios and understanding how to derive the most valuable insights. Also critical to this role is determining when a data set is not sufficient to answer a particular question or produce a metric. You will partner with internal and client teams as an expert in “mining the data” for pieces of information that provide extended or unique perspectives to business decision makers. You will know what methods should be tested or used and can prioritize analysis to derive informative outcomes within a reasonable timeline.

Essential duties and responsibilities:

Partner directly with internal teams (BI Architects, Practice Director, Client Directors) to deliver analytics products and services.Anticipate and answer critical business questions and opportunities and deliver insights in ways that make significant impacts.Prioritize and sequence analytical approaches to improve the likelihood of finding interesting and meaningful insights early in the analysis phase.Actively communicate progress and status of analysis, including summarizing findings for technical and nontechnical audiences.Use in-depth knowledge of data hygiene and ability to implement strategies to tackle common issues.Build systemic and automated processes and tools that allow the team to rapidly scale and onboard new data sets.

Required skills, knowledge, and abilities:

Creative ideas on how data can assist in answering questions.Excellent ability to assess the quality of a given data set and understand the potential correlation to business problems.Proven knowledge of various methods of data analysis, from simple summary statistics to multivariate or predictive approaches.Confidence to present analysis findings alongside the Practice Director, Client Director, and other team members.Capability to ask clarifying questions and/or explain results clearly in client meetings.High level of flexibility as new business questions or data sets become relevant.Excellent knowledge of data analysis methodologies, from generating summary statistics to identifying trends over time dimensions to correlations and multivariate analysis.Ability to summarize findings into PowerPoint or other client briefing formats for both technical and nontechnical audiences.Thorough knowledge of data-quality issue identification and management; ability to proactively identify key data issues that impact the overall quality of resulting insights.Curiosity about data and the stories that can be crafted, with an eye for accuracy and common-sense outcomes.

Systems knowledge:

Thorough knowledge of Excel.Extensive experience with at least one database platform (e.g., SQL server, AWS, Azure, Hadoop) and knowledge of how to extract data from those platforms.Knowledge of BI and/or advanced analytics use cases and common approaches.Experience with R or Python is preferred.

Education and experience:

Bachelor’s degree in BI, analytics, data science, economics, or related field.5+ years of hands-on experience with one or more BI tools (e.g., Power BI, Excel, Tableau, Domo).3+ years in a consultative role (either with a firm or as an internal consultant to various business groups) that required understanding a business problem before designing or redesigning a solution.A portfolio of previous work that demonstrates thoughtful analysis and the ability to produce insight related to a business problem.

Bridge Partners is an equal opportunity employer. We celebrate diversity and are committed to creating an inclusive environment for all employees.To apply to this job, click  Apply Now"|data analyst|2|West|Bellevue| WA
ITECS|"Position: Data Analyst/ScientistLocation: Seattle, WA

Interview Type: Phone and Skype

Visa Type: Citizen, GC-EAD, GC, H4 EAD, TN visa, H1B but NO OPT

Duration: Long Term Contract

Responsibilities

• Interpret data, analyze results using statistical techniques and provide ongoing reports

• Develop and implement databases, data collection systems, data analytics and other strategies that optimize statistical efficiency and quality

• Acquire data from primary or secondary data sources and maintain databases/data systems

• Identify, analyze, and interpret trends or patterns in complex data sets

• Develop machine learning models for predictions using past data

• Filter and ""clean"" data by reviewing computer reports, printouts, and performance indicators to locate and correct code problems

• Work with management to prioritize business and information needs

• Locate and define new process improvement opportunities

Requirements

• Proven working experience as a data analyst or business data analyst. Strong interest in Data Science

• Technical expertise regarding data models, database design development, data mining and segmentation techniques

• Strong knowledge of and experience with database querying (SQL etc.), programming (Python and/or R)

• Knowledge of statistics and experience using statistical packages for analyzing datasets (Excel, SPSS, SAS etc.)

• Strong analytical skills with the ability to collect, organize, analyze, and disseminate significant amounts of information with attention to detail and accuracy

• Adept at queries, report writing and presenting findings

• BS in Engineering, Mathematics, Economics, Computer Science, Information Management or Statistics



provided by Dice
"|data analyst|0|West|Seattle| WA
Compass|"Passionate about data? Come join us. Compass is a technology-driven real estate platform that provides comprehensive brokerage services, combining exceptional agents with thoughtfully crafted digital products to make the process of buying, selling, or renting a home intelligent, deliberate, and seamless. Compass is expanding in technology and geographic reach and looking for a Data Analyst in its Seattle office. You'll have the opportunity to impact one of the biggest decisions that every single person across the world must make -- where to live. In particular, our Data Analyst will oversee all of the real estate and other related information underlying every one of our consumer-facing products and proprietary tools that are part of our Agent Suite.

At Compass You Will

 Collaborate with cross-functional stakeholders to define and measure the right KPIs for each feature team and ensure those KPIs are well communicated across the organization
 Conduct exploratory analysis to inform product strategy and evaluate recent product releases
Explore our data through cohort analysis, funnels, regression models, and other methods to drive a better shared understanding of property listings data
 Help improve the Data Quality metrics by identifying data quality issues related to property listings data attributes
 Partner with engineering and business intelligence teams to implement, document, validate, and monitor our logging and metrics
 Support product feature teams by building and maintaining dashboards and visualizations that drive actionable insights.
 Identify opportunities to leverage data for customer benefit and collaborate with the product and engineering teams to bring those ideas to life
 Collaborate with 3rd party upstream data sources to quickly resolve data quality issues.
Perform detailed data research and analysis; investigate, troubleshoot and resolve data quality issues.

What We Look For

 Bachelor's degree in an analytical field is strongly preferred
3+ years' experience in a quantitative analysis role
 Self-driven mindset - knows not only how to answer questions, but will propose the right questions to ask
 Has worked with large datasets and is capable of summarizing key findings to appropriate stakeholders
 Very comfortable with advanced SQL and Excel/Google Sheets; experience with business intelligence tools such as Looker or Tableau is a plus
 Experience writing programs to aid analysis in a scripting language such as Python or R is a plus

At Compass, our mission is to help everyone find their place in the world. This means we continually celebrate the diverse community different individuals cultivate. As an equal opportunity employer, we stay true to our mission by ensuring that our place can be anyone's place."|data analyst|5|West|Seattle| WA
Kyber Technologies INC|"We are looking for a passionate certified Data Analyst. The successful candidate will turn data into information, information into insight and insight into business decisions.

Data analyst responsibilities include conducting full lifecycle analysis to include requirements, activities and design. Data analysts will develop analysis, novel models and reporting capabilities. They will also monitor performance and quality control plans to identify improvements.

Responsibilities

Interpret data, analyze results using statistical techniques and provide ongoing reports

Develop and implement databases, data collection systems, data analytics and other strategies that optimize statistical efficiency and quality

Acquire data from primary or secondary data sources and maintain databases/data systems

Identify, analyze, and interpret trends or patterns in complex data sets

Develop machine learning models for predictions using past data

Filter and “clean” data by reviewing computer reports, printouts, and performance indicators to locate and correct code problems

Work with management to prioritize business and information needs

Locate and define new process improvement opportunities

Requirements

Proven working experience as a data analyst or business data analyst. Strong interest in Data Science

Technical expertise regarding data models, database design development, data mining and segmentation techniques

Strong knowledge of and experience with database querying (SQL etc), programming (Python and/or R)

Knowledge of statistics and experience using statistical packages for analyzing datasets (Excel, SPSS, SAS etc)

Strong analytical skills with the ability to collect, organize, analyze, and disseminate significant amounts of information with attention to detail and accuracy

Adept at queries, report writing and presenting findings

BS in Engineering, Mathematics, Economics, Computer Science, Information Management or Statistics

Job Type: Contract

Education:

Bachelor's (Preferred)

Contract Length:

5 - 6 months

Additional Compensation:

Other forms

Work Location:

One location

Benefits:

Paid time offProfessional development assistance

This Job Is Ideal for Someone Who Is:

Adaptable/flexible -- enjoys doing work that requires frequent shifts in directionDetail-oriented -- would rather focus on the details of work than the bigger pictureAchievement-oriented -- enjoys taking on challenges, even if they might failAutonomous/Independent -- enjoys working with little directionInnovative -- prefers working in unconventional ways or on tasks that require creativity
"|data analyst|0|West|Seattle| WA
MSRCosmos|"Title: Data Analyst/ScientistLocation: Seattle, WA

Job Type: Contract

Job Brief

We are looking for a passionate certified Data Analyst. The successful candidate will turn data into information, information into insight and insight into business decisions.

Data analyst responsibilities include conducting full lifecycle analysis to include requirements, activities and design. Data analysts will develop analysis, novel models and reporting capabilities. They will also monitor performance and quality control plans to identify improvements.

Responsibilities

Interpret data, analyze results using statistical techniques and provide ongoing reports

Develop and implement databases, data collection systems, data analytics and other strategies that optimize statistical efficiency and quality

Acquire data from primary or secondary data sources and maintain databases/data systems

Identify, analyze, and interpret trends or patterns in complex data sets

Develop machine learning models for predictions using past data

Filter and clean data by reviewing computer reports, printouts, and performance indicators to locate and correct code problems

Work with management to prioritize business and information needs

Locate and define new process improvement opportunities

Requirements

Proven working experience as a data analyst or business data analyst. Strong interest in Data Science

Technical expertise regarding data models, database design development, data mining and segmentation techniques

Strong knowledge of and experience with database querying (SQL etc), programming (Python and/or R)

Knowledge of statistics and experience using statistical packages for analyzing datasets (Excel, SPSS, SAS etc)

Strong analytical skills with the ability to collect, organize, analyze, and disseminate significant amounts of information with attention to detail and accuracy

Adept at queries, report writing and presenting findings

BS in Engineering, Mathematics, Economics, Computer Science, Information Management or Statistics

Thanks & Regards,

Salman Ahmed

Account Manager

Desk: 925-701-8584

Email :

Website :

provided by Dice
"|data analyst|0|West|Seattle| WA
