company|description|position|reviews|Region|City|State
Arena Technical Resources||data analyst|5|Midwest|Oshkosh| WI
Kforce|"RESPONSIBILITIES:Kforce has a client seeking a Senior Product Data Scientist to their staff in Madison, Wisconsin (WI). 

Responsibilities:

 Drive actionable insights from internal data collection
 Create well documented coding and analytics so that team can replicate
 Taking lead in the Madison office on numerous projects

REQUIREMENTS:

 Minimum 4 years of experience
 Strong programing skills (Python & SQL)
 Experience with Big Data
 Experience with Customer Driven data
 Comfortable working in a fast-paced environment
 Strong written/verbal communication and presentation skills
 Needs to be a team player but also able to work independently


Kforce is an Equal Opportunity/Affirmative Action Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, pregnancy, sexual orientation, gender identity, national origin, age, protected veteran status, or disability status.To apply to this job, click  Apply Now"|data scientist|5|Midwest|Madison| WI
Northwestern Mutual Life Insurance Company|"At Northwestern Mutual, we are strong, innovative and growing. We invest in our people. We care and make a positive difference.

Are you interested in leveraging your data science skills to help derive data driven insights that are used to inform our company strategy? Are you looking for a role that combines data science skills with an opportunity to gain big picture knowledge of NM’s business?

Corporate Strategy is looking for a Data Scientist to deliver insights and provide data driven decision support for key initiatives of company strategy and measurement related to client and sales analyses to understand both growth and economic impact.

The Team:

The Strategic Intelligence Team in Corporate Strategy is an advanced analytics team that works with senior leaders to inform company strategies and decision-making through an objective viewpoint by leveraging the team’s expertise in Client-Product-Field data, deep NM business knowledge, and utilizing statistical and advanced analytical techniques as appropriate.

The Role:

Use advanced statistical and analytical techniques to inform highly complex and sophisticated business questions Combine deep business expertise with advanced statistical modeling and analysis skills to discover and identify new insights, predict and prescribe outcomes, turn new insights into actionable opportunities, and provide the tracking and measurement of results.Perform data driven research, utilizing quantitative techniques, through a variety of analytical tools. Tell a story with data – Share insights, findings, and implications with stakeholders via interactive presentations, visualizations, and written communications.

Examples of the types of Analytical Research projects you may work on:

Drivers of Permanent Life Insurance Sales growth and incremental sales measurement impact across Permanent Life Insurance growth initiatives.Analysis of Financial Advisor productivity to measure/assess the cumulative impact on Financial Advisor productivity across several initiatives designed to drive productivity growthAnalyze the impact of planning across both client behaviors (product, policy size, and purchase behaviors) as well as impact to Financial Advisor practices (activity, lives, etc.)

The Work:

Be at the forefront of Analytical Research and Development at NM, leveraging data-based insights & decision support, to guide senior business partners in the activation of data driven insights and opportunitiesProvides data driven decision support for key initiatives of company strategy and measurement related to client and sales analyses to understand both growth and economic impact. Tests new insights and hypothesis through tracking & measurement of a specific opportunityDetermines requisite data elements and partners with data engineers to design integrated datasets for analytical research purposes. Develop solutions, mathematical models, algorithms, machine learning techniques, and robust analytics to support analytic insights and visualizationIdentifies opportunities to enhance the team’s analytical capabilities by evaluating current processes, working with business partners, and taking initiative to apply new and improved approaches. Performs diagnostic and prescriptive analysis, derives new findings and insights, and highlights business implications in presentations to stakeholders.

The Desired Skills:

Bachelor’s degree in data science, statistics, math, computer science, economics, or related field. Preferred: Advanced graduate level degree in a quantitative discipline (statistics, applied mathematics, computer science, econometrics, or related field) 5+ years relevant experience to include research and data analysis, experiment design and measurement, or application of statistical research techniques.Expertise in one or more development or statistical analysis tool such as R, SAS, SQL, SPSS, or other tools. Tableau experience is a plus. Proven excellence in research, quantitative analysis, problem solving, and analytical working techniques. Statistical knowledge and intuitionStrong aptitude and desire for learning new analytical and visualization tools, modeling, and quantitative techniques. Initiative to independently design and develop own deliverables while still being a team player. Demonstrated ability to deliver results and recommendations in written, verbal and presentation form at an appropriate level for a business audience. Desirable qualifications: Experience in financial service industry

Grow your career with a best-in-class company that puts our client’s interests at the center of all we do. Get started now!

We are an equal opportunity/affirmative action employer and all qualified applicants will receive consideration for employment without regard to race, color, religion, gender identity or expression, sexual orientation, national origin, disability, age or status as a protected veteran, or any other characteristic protected by law.

Req ID: 27195

Position Type: Regular Full Time

Education Experience: Bachelor's Desired

Employment Experience: 6-8 years

Licenses/Certifications:

FLSA Status: Exempt

Posting Date: 11/25/2019Start your job application: click  Apply Now"|senior data scientist|5|Midwest|Milwaukee| WI
Centare|Data ScientistGreater Milwaukee AreaTechnical Delivery TeamFull-TimeApply for this jobWe are looking to add a Data Scientist to our team here at Centare. In this newly created role, you will be responsible for using statistical and business intelligence methods, predictive analytics, data mining and visualization techniques to help advance and complete client projects. Outstanding candidates will not only have strong technical experience building predictive risk models, but also have a solid understanding of the underlying foundations and algorithms behind various predictive models.  What You’ll Love: - Getting in on the ground floor of our newly created Data Practice- Working directly with client stakeholders to understand and define analysis objectives and translating these into actionable results- Leading strategic initiatives, simultaneous projects, and major enhancements What You’ll Do:  - Build predictive models in R, Python, SAS, etc.- Interface with fellow data scientists, engineers, and product owners to understand data needs- Build tools to automate data science work (e.g. modify a function in Python or R)- Analyze and explore data to prepare for creation of predictive algorithms- Write and present results of data science work  Who We’re Looking for:  - 2+ years of professional experience building models with statistics software such as R, Python, SAS, SPSS, etc.- Understanding of general concepts of statistics, data mining, machine learning, data visualization and data analytics- Strong academic background – preferably in Math, Stats, or related field- Ability to understand various models at the theoretical level - Excellent communication skills to be able to interact directly with non-technical client stakeholders- Experience with Big Data tools and platforms such as Spark and Hadoop is a plus- Ability to travel to business functions/trainings/meetings and customer locations- Ability to pay close attention to detail, meet daily deadlines, and multi-task in a fast-paced environment.- Able to work well in a team environmentWho are we?We’re passionate and multidimensional. We’re real people with real lives outside of our work. We believe everyone has knowledge to share. And we believe everyone has a few things to learn. We strive to be a strategic asset for our clients as they tackle challenges in their business and technology. ​We do this by investing in our staff. We develop and apply appropriate strategies to technology problems that help our clients build and maintain a competitive advantage. Centare is an equal opportunity employer.Apply for this job|data scientist|3|Midwest|Milwaukee| WI
Understory|Does designing solutions to unique and novel problems and working with a collaborative, multidisciplinary, caring team excite you? Do you love fast-paced, flexible, and fun environments?If so, we have a career for you!An Understory Junior Data Scientist assists in the analysis of weather station and air quality sensor data to improve our understanding of weather and air quality. They work closely with engineers and software developers to advance pattern detection algorithms, data analysis, prototyping systems, and large-scale applications that help produce interesting and meaningful weather products for our customers.Your main role responsibilities will include:Build models using data from Understory’s networks in unique and interesting waysMonitor our hundreds of stations to find interesting patterns and weather eventsExplore new uses of our one-of-a-kind datasetAnalyze how different weather impacts people and propertySupport our data science team and business development teams with data collection and analysisYou're exactly what we're looking for if you have:Bachelor’s in meteorology, mathematics, computer science, finance, economics, or science-related fieldMaster’s is highly preferredExperience with Python, regression analysis, clustering, and predictive modelsExperience with information retrieval and large data setsFamiliarity with machine learning algorithmsIndependent with the ability to work well as part of a teamExcited to work in a fast-paced and dynamic professional environmentCompensation includes:Competitive salaryCompany equityHealth benefits 100% covered for your entire familyDental and vision benefits 100% covered for your entire familyGenerous vacation policyFree drinks, goodies, and balanced snacksFrequent company and team-building eventsMonthly stipend for health and wellness Lots of company swagCompany details:Understory detects rain, hail, wind, and other weather events where the risk to life and property is the greatest – directly at the earth’s surface. Understory's ground-truth detection provides weather data that leads the industry in resolution and fidelity, which has tremendous potential value and application throughout the country as $485 billion of the U.S. economy fluctuates with weather, touching industries such as insurance, agriculture, and broadcast.Currently, Understory is an early-stage company consisting of twenty awesome team members and is venture backed by $20M+ in financing. Our team works hard, but also makes time for team and family fun! |junior data scientist|0|Midwest|Madison| WI
Concurrency|Do you have experience developing and deploying cloud-based, AI solutions? Are you looking for that rare opportunity to get your foot in the door with a leading-edge company that is willing to invest in you?  As a Data Science Developer, you will be responsible for the development of Data Science solutions using Azure, machine learning, advanced data science concepts/algorithms, data architectures, and the evaluation and implementation of modern data science platforms. You will solve complex technical problems and lead all phases of conceptualization, design, development, and testing.ResponsibilitiesUnderstanding client needs as it relates to presently available dataUsing Big Data tools (Databricks, Spark, Azure, SQL, R, Python) to carry out various analysesMachine learning model deployment for training and productizationLeveraging external data sources and APIs to discover interesting trendsBuilding machine learning models from development through simulation, testing, and validationIntegration of application-specific machine learning modelsDetermining compute needs for a productized machine learning modelLeveraging services such as Cognitive Services when applicableQualificationsMaster’s or Bachelor’s degree in Statistics or a related fieldProficient in Machine Learning and forecastingDemonstrable experience of applied Machine Learning or Data Science techniquesKnowledge of data science tool-space, data analysis, data preparation, data verification, and software development concepts.Strong exposure to Data Visualization tools such as Power BI, Spotfire, Tableau, or QlikviewStrong knowledge of databases, and data warehouse structuresSoft Skills: Problem solver, Results/Task oriented, Proactive, Self-starter.Presentation skills: Clear and fluent communicator. Able to discuss project issues/topics with users, present status orally and written, present Demos / POCsMulti-tasking: Ability to work on several projects at the same time as well as development and production supportPreferred SkillsBasic exposure to cloud solution architecturesEncouraging a healthy work/life balance and providing our colleagues great benefits are just part of what makes Concurrency a great place to work. Concurrency full-time employees receive complete and competitive benefits. We offer a collaborative work environment, competitive compensation, generous work/life opportunities and a comprehensive benefits package that includes paid time off plus holidays. In addition, all colleagues are eligible for a number of rewards and recognition programs, excellent training program and bonus opportunities. |associate data scientist|3|Midwest|Brookfield| WI
TASC|"Position Purpose:

The purpose of this position is, but is not limited to, strategically defining metrics, guidelines, and strategies for effective use of algorithms and data. Data Scientists develop, implement, and maintain change control and testing processes for modifications to algorithms and data analytics as well as drive the collection of new data and the refinement of existing data sources.This is a full-time, exempt position working Monday through Friday with core hours of 8:00am to 5:00pm CST. The position reports to our Director of Enterprise Architecture.

Positional Responsibilities:

Analysis, design, development, test, troubleshooting, and documentation of complex data systems that may involve one or more of the following: predictive score models, feature extraction, data-driven analysis, application of machine learning algorithms, decision making, and related utilitiesCompleting written documentation and reports of results in the form of business reports, internal technology white papers, and statistical system documentationIndependent resolution of problems or coordinating score model design architecture, as well as designing solution approaches to complex applied problemsDevising new approaches to solve difficult statistical modeling problems. This includes new model concepts and designs, such as different targets and objective functions, and new or different uses of data sourcesCritical reviews of data experiments to ensure accuracy, completeness, and feasibilityIdentifying and deploying new algorithms or combinations of algorithms in creative ways to achieve performance improvement

Positional Competencies:

Working SQL knowledge and experience working with relational databases, query authoring (SQL) as well as working familiarity with a variety of databasesUnderstanding correlation, multivariate regression and all aspects of massaging data together to look at it from different angles for use in predictive and prescriptive modelingExperience performing root cause analysis on internal and external data and processes to answer specific business questions and identify opportunities for improvementStrong analytic skills related to working with unstructured datasetsA successful history of manipulating, processing and extracting value from large disconnected datasetsExperience supporting and working with cross-functional teams in a dynamic environment

Software Experience:

Experience with big data tools: Hadoop, Spark, Kafka, etcExperience with relational SQL and NoSQL databases, including Postgres and CassandraExperience with data pipeline and workflow management tools: Azkaban, Luigi, Airflow, etcExperience with AWS cloud services: EC2, EMR, RDS, RedshiftExperience with stream-processing systems: Storm, Spark-Streaming, etcExperience with object-oriented/object function scripting languages: Python, Java, C++, Scala, etc

Qualifications:

College diploma or university degree in computer science, information systems, or computer engineeringCertifications in AWS a plus

Corporate Core Competencies:

Adaptability - Adapts to change, is open to new ideas, takes on new responsibilities, handles pressure, and adjusts plans to meet changing needsInitiative - Deals with problems as they arise, focusing energy and resources on those situations until resolved; identifies new opportunities and takes action; takes on new responsibilities when neededResults Focus - Can be counted on to meet or exceed goals; pushes self and others for results; is a conscientious worker who can be relied upon to handle unforeseen obstaclesCustomer Focus - Meets internal and external customer expectations; delivers upon commitments; build customer confidence; follows through on requests gaining trust and respectEthics/Integrity - Is seen as a direct, truthful individual; adheres to appropriate core values at all times; acts in line with those values; rewards the right values and disapproves of others; practices what he/she preaches

TASC is an Affirmative Action and Equal Opportunity Employer. All qualified applicants will receive consideration for employment without regard to age, race, color, religion, sex, gender identity, gender expression, pregnancy, national origin, citizenship status, disability, genetic characteristics, sexual orientation, marital status, domestic partner status, military status, protected veteran status, disability status or any other characteristic protected by law.

Federal law requires all employers to verify the identity and employment eligibility of all persons hired to work in the United States. TASC participates in E-Verify.

IND123HP"|data scientist|5|Midwest|Madison| WI
Amazon|Excited by using massive amounts of data to develop Machine Learning (ML) and Deep Learning (DL) models? Want to help the largest global enterprises derive business value through the adoption of Artificial Intelligence (AI)? Eager to learn from many different enterprises use cases of AWS ML and DL? Zealous to be key part of Amazon, who has been investing in Machine Learning for decades, pioneering and shaping the worlds AI technology?At Amazon Web Services (AWS), we are helping large enterprises build ML and DL models on the AWS Cloud. We are applying predictive technology to large volumes of data and against a wide spectrum of problems. Our Professional Services organization works together with our AWS customers to address their business needs using AI.AWS Professional Services is a unique consulting team. We pride ourselves on being customer obsessed and highly focused on the AI enablement of our customers. If you have experience with AI, including building ML or DL models, wed like to have you on our team. You will get to work with an innovative company, with great teammates, and have a lot of fun helping our customers.This role will focus specifically on AWS most complex and largest customers in the world to help solve a wide range of business problems. Consultants will provide deep and broad insight to customers and partners to help remove constraints that prevent them from leveraging AWS services to create strategic value.A successful candidate will be a person who enjoys diving deep into data, doing analysis, discovering root causes, and designing long-term solutions. It will be a person who likes to have fun, loves to learn, and wants to innovate in the world of AI.Major responsibilities include:· Understand the customers business need and guide them to a solution using our AWS AI Services, AWS AI Platforms, AWS AI Frameworks, and AWS AI EC2 Instances .· · Assist customers by being able to deliver a ML / DL project from beginning to end, including understanding the business need, aggregating data, exploring data, building & validating predictive models, and deploying completed models to deliver business impact to the organization.· · Use Deep Learning frameworks like MXNet, Caffe 2, Tensorflow, Theano, CNTK, and Keras to help our customers build DL models.· · Use SparkML and Amazon Machine Learning (AML) to help our customers build ML models.· · Work with our Professional Services Big Data consultants to analyze, extract, normalize, and label relevant data.· · Work with our Professional Services DevOps consultants to help our customers operationalize models after they are built.· · Assist customers with identifying model drift and retraining models.· · Research and implement novel ML and DL approaches, including using FPGA.· This is a customer facing role. You will be required to travel to client locations and deliver professional services when needed.Note: If you do not live in a market where we have an open Data Scientist position, please feel free to apply. Our Data Scientists can live in any location that has an AWS office.Basic Qualifications· A Bachelor or Masters Degree in a highly quantitative field (Computer Science, Machine Learning, Operational Research, Statistics, Mathematics, etc.) or equivalent experience· 4+ years of industry experience in predictive modeling, data science and analysis· Previous experience in a ML or data scientist role and a track record of building ML or DL models· Experience using Python and/or R· Experience using ML libraries, such as scikit-learn, caret, mlr, mllib· Experience in writing and tuning SQL· Experience with SparkML· Experience working with GPUs to develop model· Experience handling terabyte size dataset· Experience using data visualization toolsPreferred Qualifications· PhD in a highly quantitative field (Computer Science, Machine Learning, Operational Research, Statistics, Mathematics, etc.)· 4+ years of industry experience in predictive modeling and analysis· Skills with programming languages, such as Java or C/C++· Ability to develop experimental and analytic plans for data modeling processes, use of strong baselines, ability to accurately determine cause and effect relations· Consulting experience and track record of helping customers with their AI needs· Publications or presentation in recognized Machine Learning, Deep Learning and Data Mining journals/conferences· Experience with AWS technologies like Redshift, S3, EC2, Data Pipeline, & EMR· Combination of deep technical skills and business savvy enough to interface with all levels and disciplines within our customers organization· Demonstrable track record of dealing well with ambiguity, prioritizing needs, and delivering results in a dynamic environment· Experience diving into data to discover hidden patterns· Able to write production level code, which is well-written and explainableAmazon is an Equal Opportunity Employer Minority / Women / Disability / Veteran / Gender Identity / Sexual Orientation / Age.|data scientist|2|Midwest|Madison| WI
Oshkosh Corporation|"COMPANY PROFILE

Oshkosh Corporation is a leading manufacturer and marketer of access equipment, specialty vehicles and truck bodies for the primary markets of defense, concrete placement, refuse hauling, access equipment and fire & emergency. Founded in 1917, Oshkosh Corporation has manufacturing operations in nine U.S. states and in Australia, Belgium, Brazil, Canada, China, France, Mexico, The Netherlands, and Romania. The company currently employs approximately 12,100 people worldwide.

Oshkosh Corporation is a Fortune 500, multi-billion dollar company. Oshkosh Corporation designs and builds the world's toughest specialty trucks, truck bodies, and access equipment by working shoulder-to-shoulder with the people who use them.

SUMMARY

As a key member of the data science and analytics team for Corporate Engineering, the candidate will work across various segments/units of the business in cross-functional teams to develop and present practical and applicable data-driven insights that enhance Oshkosh product technology and competitive advantage. This challenging but high-impact role broadly covers many areas of typical data science and analytics work, from data acquisition and automated processing pipelines to data mining techniques and machine learning model development. Work scenarios also vary broadly based on business needs, from exploratory analysis and static reporting of historical datasets to streaming real-time vehicle telematics data to custom interactive dashboards. Highly motivated individuals with an eagerness to solve problems and learn new skills are encouraged to apply.

ESSENTIAL DUTIES AND RESPONSIBILITIES

Collaborate with other team members to execute the data science and analytics strategy in cross-segment telematics and other Corporate Engineering efforts.
Acquire necessary business understanding to conduct appropriate analysis through communication with internal experts, external partners, and industrial researchers.
Discover, acquire, explore, prepare, assess, and maintain datasets from a variety of sources to support analyses and ad-hoc investigative requests.
Help identify valuable data sources and automate related tasks (ETL, reporting, etc.).
Conduct data science and analytics work in a Big Data (Hadoop) ecosystem.
Undertake the processing of structured and unstructured data.
Analyze large amounts of information to discover trends and patterns.
Use various machine learning algorithms to build most effective and useful models.
Present information using data visualization techniques and chart/dashboard tools.
Prepare and concisely deliver analysis results in visual and written forms that communicate data insights to both technical and non-technical audiences.
Recognize valuable problems requiring advanced analytical techniques to solve and help develop and investigate research strategies towards industrial solutions.

BASIC QUALIFICATIONS

Bachelor's degree in computer science (or STEM or related field) and 3+ years of proven data-centric work experience; or Graduate degree in data science (or related field with applicable work experience).
Experience with big data tools and architectures, such as Cloudera/Apache Hadoop, HDFS, Hive, Kudu, Impala, and Spark.

PREFERRED EXPERIENCE
Must be highly organized and detail-oriented, with strong critical thinking, analytical, and problem solving skills.
Able to handle multiple tasks in a fast-paced environment, both independently and as part of a team.
Display excellent interpersonal skills as well as the ability to effectively present information and respond to questions from leadership and peers.
Strongly motivated in learning new technologies and skills in data analytics fields
Understanding of general concepts of statistics, data mining, machine learning, data visualization, information retrieval, artificial intelligence, and computer vision.
Strong proficiency with Python (Anaconda distribution) and SQL is expected, and ideally experience with other languages too (Bash, R, Java, C++, Scala, etc.).
Experience with big data tools and architectures, such as Cloudera/Apache Hadoop, HDFS, Hive, Kudu, Impala, and Spark.
Working knowledge of telematics interfaces and streaming solutions (MQTT, NiFi, Kafka, HBASE, etc.) as well as other data delivery mechanisms (SFTP, APIs, etc.).
Prior experience in industrial and/or manufacturing environments desired, and any experience with automotive or heavy duty on or off-road vehicles and controller area network (CAN) signals is a plus.

Oshkosh Corporation is an Equal Opportunity and Affirmative Action Employer. This company will provide equal opportunity to all individuals without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, or veteran status. Information collected regarding categories as provided by law will in no way affect the decision regarding an employment application.

Oshkosh Corporation will not discharge or in any manner discriminate against employees or applicants because they have inquired about, discussed, or disclosed their own pay or the pay of another employee or applicant. However, employees who have access to the compensation information of other employees or applicants as a part of their essential job functions cannot disclose the pay of other employees or applicants to individuals who do not otherwise have access to compensation information, unless the disclosure is (a) in response to a formal complaint or charge, (b) in furtherance of an investigation, proceeding, hearing, or action, including an investigation conducted by the employer, or (c) consistent with Oshkosh Corporation's legal duty to furnish information.

Certain positions with Oshkosh Corporation require access to controlled goods and technologies subject to the International Traffic in Arms Regulations or the Export Administration Regulations. Applicants for these positions may need to be ""U.S. Persons,"" as defined in these regulations. Generally, a ""U.S. Person"" is a U.S. citizen, lawful permanent resident, or an individual who has been admitted as a refugee or granted asylum.
"|data scientist|5|Midwest|Oshkosh| WI
Marshfield Clinic|"Come work at a place where innovation and teamwork come together to support the most exciting missions in the world!Job Title:Data Scientist AssociateCost Center:113503 ACE-Modeling and Pred AnalytScheduled Weekly Hours:40Employee Type:RegularWork Shift:Mon-Fri; 8:00 am - 5:00 pm (United States of America)Job Description:JOB SUMMARY

The Data Scientist Associate will collaborate with the Analytics Center of Excellence (ACE) team and Marshfield Clinic Health System (MCHS) business areas to contribute to the successful development, implementation, tuning and support of assigned machine learning, modelling and predictive solutions to advance and support the Marshfield Clinic Health System strategic and business imperatives. This individual employs various scientific disciplines including statistics, mathematics, pattern recognition, and appropriate subject matter expertise to inform policy, operational and strategic business goals. The Data Scientist Associate will apply data science to make real and meaningful impacts throughout the organization by working directly with MCHS stakeholders.

JOB QUALIFICATIONS

EDUCATION/EXPERIENCE

For positions requiring education beyond a high school diploma or equivalent, educational qualifications must be from an institution whose accreditation is recognized by the Council for Higher Education and Accreditation.

Minimum Required: Demonstrated proficiency using large data sets to find opportunities for outcome and process optimization, using models to test the effectiveness of different courses of action. Experience using a variety of data mining/data analysis methods, using a variety of data tools, building and implementing models, using/creating algorithms and creating/running simulations. Demonstrated ability to collaboratively support business results through data-based. Ability to work independently and collaboratively with a wide range of stakeholders and functional teams in addition to the following:

Bachelor’s degree in data science, statistics, applied mathematics, physics, computer science, engineering or related field and one year of relevant data science/predictive analytics experience.

Preferred/Optional: Experience in healthcare clinical, health plan or related environments. Ability to discover hidden in large data sets to improve business outcomes, through data transformation and modeling.

CERTIFICATIONS/LICENSES

The following licensure(s), certification(s), registration(s), etc., are required for this position. Licenses with restrictions are subject to review to determine if restrictions are substantially related to the position.

Minimum Required: None

Preferred/Optional: None

Marshfield Clinic Health System is committed to enriching the lives of others through accessible, affordable and compassionate healthcare. Successful applicants will listen, serve and put the needs of patients and customers first.

Exclusion From Federal Programs: Employee may not at any time have been or be excluded from participation in any federally funded program, including Medicare and Medicaid. This is a condition of employment. Employee must immediately notify his/her manager or the Health System’s Compliance Officer if he/she is threatened with exclusion or becomes excluded from any federally funded program.

Marshfield Clinic Health System is an Equal Opportunity/Affirmative Action employer. All qualified applicants will receive consideration for employment without regard to sex, gender identity, sexual orientation, race, color, religion, national origin, disability, protected veteran status, age, or any other characteristic protected by law."|data scientist|5|Midwest|Marshfield| WI
