company|description|position|reviews|Region|City|State
MGMA|"Are you ready to make a change? Are you ready to take healthcare to the next level? Then it’s time to join the nation’s leading medical practice association - MGMA.

Here is what you can expect when you join our team:

Competitive payInsurance benefits & matching 401k3 weeks’ vacationTuition assistanceOn-site fitness centerVolunteer opportunities

About the Role

The Data Solutions department currently has an exciting opportunity for an Jr. Data Analyst to join their team. The Jr. Data Analyst will be responsible for assisting in the verification of data used to produce nationally recognized health care survey products. Duties for this position will include working collaboratively on cross functional teams to review questionnaires, reports, and tools; edit data, interface with customers, prepare survey related mailings, and research product usage and satisfaction. The position will have the opportunity to be involved in exciting projects and work in a great team environment! The ideal Jr. Data Analyst has a passion for learning, works well independently and as a team, and enjoys providing excellent customer service!

Responsibilities

Aid in survey project development.Provide daily customer support for survey and data product inquiries via phone path and email.Edit and verify data on returned survey questionnaires, contact survey respondents to verify reported information when needed.Review and update survey products on MGMA store.Monitor Member Communities for member generated questions, content and tools and provide feedback for team discussion at daily standups.Participate in the promotion and marketing of survey participation.Review and update survey products on MGMA store and web.Continually monitor and report participation for each survey cycle by reviewing the results and effectiveness of marketing/RE tactics through Eloqua.Develop and distribute educational materials for surveys and data products.Participate in review and testing of survey platform, reports, and tools.Audit process documentation, verify processes with team, and update as necessary.

About You

Bachelor’s Degree in health or business administration, psychology, sociology, statistics, quantitative methods or related field.1-2 years of experience in health care or business administration, survey research, marketing research or related field.Exhibits understanding of descriptive statistics.Knowledge of survey design, sampling, evaluation, and assessment a plus.Strong skills in Microsoft Office Suite.

About MGMA

Medical Group Management Association (MGMA) is the premier association for professionals who lead medical practice. Since 1926, through data, people, insights, and advocacy, MGMA empowers medical group practices to innovate and create meaningful change in healthcare. With a membership of more than 40,000 medical practice administrators, executives, and leaders, MGMA represents more than 12,500 organizations of all sizes, types, structures and specialties that deliver almost half of the healthcare in the United States.

View all MGMA's open career opportunities here: www.mgma.com/about/careers.To apply to this job, click  Apply Now"|junior data analyst|5|West|Englewood| CO
T. Rowe Price|"A career at T. Rowe price says you want to contribute and make a difference at a leading global investment management firm where success results from the dedication our associates have in building success for our clients. We are a growing organization of associates from diverse backgrounds, experiences, and perspectives.We take a long-term view on associates and their careers. Our associates do phenomenal work with purpose, and as a result, we provide growth opportunities through in-person and online training, management development programs, and career development on the job.If you are seeking a meaningful work experience along with a workplace culture that thrives on teamwork, we invite you to explore the opportunity to join us.PRIMARY PURPOSE OF THE POSITION

Reporting to the Sr. Manager of Workforce Planning and Management (WPM), the Data Analyst will play a vital role in enhancing the data management and architecture capabilities of WPM. The position’s primary focus is to develop a data management plan for WPM, implement a new central repository for structured and unstructured data, identify new and impactful data sources, improve data accessibility and quality, and work with WPM analysts to uncover new insights that result from WPM’s enhanced data strategy.

PRINCIPAL RESPONSIBILITIES

Develop and maintain WPM’s data management strategy and architecture

The primary objective of this position is to develop WPM’s data management strategy and develop the team’s new central repository. The data analyst will be responsible for understanding the current and future data needs of the team to turn those requirements into a formalized data management strategy. The analyst will then work with the IT team and WPM associates to deploy a database solution that enables the team to meet the needs of their respective Business Partners. The analyst will leverage TRP’s AWS ecosystem to develop a repository for relational and non-relational data and collect data from an array of applications and other data sources. Improving the data storage capabilities within WPM will provide the necessary foundation to improve the other analytical, forecasting and visualization functions of the team.

Data Acquisition, Storage, Quality & Governance

Once the Data Analyst has established the team’s new data architecture and overall strategy, the analyst will spend a significant amount of time managing the day to day tasks needed to support WPMs data infrastructure. Currently, WPM has several applications and analysts producing data on a routine basis. The Data Analyst will work to identify all the sources of data, eliminate the dependency on MS Office based data storage, and establish the necessary data feeds that will populate the new WPM repository.

Expanding the amount of data sources WPM utilizes will be critical to understanding the fundamental drivers of WPM’s forecasts. The Data Analyst will work with different teams within TRP to identify new sources of data and work with key stakeholders to acquire and store it in WPM’s repository. Efforts to explore, identify and source 3rd party data will also be important to understand external influences on WPM’s Business Partner workload.

Finally, ensuring robust data quality mechanisms are in place will be a top priority of the Data Analyst. In order to ensure the data that WPM leverages is accurate, available and reliable, this role will establish the following artifacts, methods, processes and systems:

• Data definition, classification, relationships and policies

• Workflows, procedures and process documentation

• Performance Dashboards

• Detection Scripts

• Audits

Data Analysis, Modeling and Visualization

This position will have a strategic role in developing new forecasts and reports that will increase the accuracy, transparency, and business insights pertaining to capacity management. This position will be responsible for developing new dashboards and KPIs that report on historical, current and forecasted performance, including business metrics and model forecasts. The individual will also actively work with their WPM peers to communicate business line performance to WPM’s business partners.

Process Automation

This position will play a supporting role in finding new ways to increase the team’s efficiency in executing its day to day tasks and deliverables using automation, primarily through automating data pulls, cleansing and modeling data. The individual will deploy new processes and/or programs that replace the manual efforts needed to execute the daily, weekly and monthly tasks the analysts currently perform.

QUALIFICATIONS

Required

• College degree and 1 year of related work experience, or

• Associate degree and 3 years related work experience, or

• High School diploma/equivalent and 5 years related work experience

• College degree in Data Science/Engineering, Operations Management, Statistics, Computer Science, Information Systems or related degrees

• Advanced SQL knowledge and experience working with relational databases

• Knowledge on how to leverage tools like Hadoop and Spark to implement big data solutions

• Knowledge of Amazon Web Services (AWS) and their ecosystem of solutions like EC2, RDS and Redshift

• Demonstrated ability to leverage sound data governance and data management strategies

• Demonstrated ability to troubleshoot and resolve data-related technical issues

• Strong analytical foundation, sound judgment, and ability to solve problems independently

• Demonstrated ability to leverage technology to implement efficient, robust and cross-functional solutions

• Experience using object-oriented programming languages like Python to perform analytical tasks and automate processes

• Strong written and verbal communication skills

• Excellent time management skills and ability to prioritize multiple tasks

• Demonstrated ability to persuade peers, inspire associates, clients and vendors to comply with current policies and procedures

Preferred

College degree and 3+ years of experience in Data Science, Operations Management, Statistics, Computer Science, Information Systems or related degrees and fieldsExperience utilizing statistical concepts to provide new insights to internal and external stakeholdersExperience using tools, like Atlassian, that foster collaboration, development, and version control for programming solutionsExperience with visualization software like Tableau, Spotfire or BI to communicate business performance and statusExperience developing optimization models, time-series models, simulations and machine learning solutionsExcellent customer service, interpersonal, and communication skillsDemonstrated leadership skills and experienceProactive in seeking out process improvement to reduce expenses or improve efficiency

T. Rowe Price is an equal opportunity employer and values diversity of thought, gender, and race. We believe our continued success depends upon the equal treatment of all associates and applicants for employment without discrimination on the basis of race, religion, creed, color, national origin, sex, gender, age, mental or physical disability, marital status, sexual orientation, gender identity or expression, citizenship status, military or veteran status, pregnancy, or any other classification protected by federal, state, or local law.To apply to this job, click  Apply Now"|data analyst|5|West|Colorado Springs| CO
Clinica Family Health|"This job exists to: set up and maintain our EPM. This position will support Billing, Coding and Finance.

ESSENTIAL DUTIES AND RESPONSIBILITIES:

General Leadership

• Collaborate with Finance, Accounting, Billing and Coding to ensure the system is set up and maintained in the best way to fit Clinica’s needs.

• Maximize System utility

• Streamline and improve EPM workflows

• Providing exceptional customer service to internal and external customers External Reporting& Compliance

• Ensure system is set up to meet and comply with state and federal billing regulations.

• Continuous Improvement Projects

• Seeking opportunities to improve NextGen Software functions, Billing and Coding processes such as those to:

o Increase system efficiency

o Decrease manual workflows

o Increase reimbursement

o Increase accuracy (Quality)

• Serves as Internal NextGen Support.

• Troubleshoot and resolve issues with EPM. Refer calls beyond technical scope to EPM, E.H.R., EDR managing partners or vendors.

• Encourages innovation and process improvement within the Finance team.

• Complies with all guidelines established by the Centers for Medicare and Medicaid (CMS) and guidelines set forth by other regulatory agencies, where applicable. Participates in the development and implementation of insurance billing procedures.

• Collaborates with the Billing and Coding teams to assure the system is set up and maintained in order to maximize revenue within corporate compliance.

• Contributes to additional training projects and special projects as required

• Prepares reports as needed and summarize information to verify accuracy as requested.

• Participate in system upgrade for EPM

• Maintain a positive attitude and fun work environment for fellow staff resulting in teamwork and productive collaboration with the site Operations and Clinical teams Operational Objectives

OTHER DUTIES AND RESPONSIBILITIES

• Maintain a safe work environment by remaining informed of and compliant with the clinic’s safety policies, and in particular by application of safe practices in area of own responsibility.

• Compliance:

o Knowledgeable of and compliant with all laws and regulations governing area of responsibility.

o Responsible for reporting any potentially non-compliant conduct.

o Cooperate fully with our Compliance Officer in upholding our Compliance Plan.

• Serve as a resource in on-going support of staff using EPM. Assist in the evaluation and implementation of upgrades and assure a smooth transition to these new systems.

• Train Finance staff in EPM, partner with other departments for training as needed.

• Generate reports as needed to improve the revenue cycle and ACO Program performance.

• Generate reporting for quality incentive opportunities.

• Is part of the Finance team and partners with members of the team in strategic planning processes and implementation.

• Serves as liaison for Billing, Coding, Clinical Services, Training EHR, ACO and IT, troubleshooting and resolving issues.

• Participates on committees and in meetings as directed by their Manager.

• Perform other duties and responsibilities, including billing, as required.

SUPERVISION: No

SCOPE OF AUTHORITY: Progress is reviewed quarterly and results are measured and formally evaluated annually.

POSITION QUALIFICATIONS:

A. Education / Experience:

• Associates degree in Computer science or equivalent training and job-related experience required.

• 3 years of medical billing and coding experience preferred.

• Community Health Center experience preferred.

• EPM Certification a plus.

• Experience with NextGen EHR and EDR a plus.

B. Knowledge, skills and abilities:

• Office skills including typing, accounting, 10 key entry, and computer terminal usage required.

• Ability to communicate to up line and down line staff in a professional and succinct manner.

• Basic understanding of ICD-9, ICD-10 Medical Coding and Current Procedural Terminology (CPT), Current Dental Terminology (CDT), HCPCS, is required.

• Basic knowledge of medical terminology, abbreviations, techniques; anatomy and physiology; major disease processes; pharmacology; and the metric system to perform daily functions.

• Solid understanding of Medicaid, Medicare, Commercial insurances and other payers required.

• Microsoft Office required.

• Organizational, analytical, decision making, creative thinking, time management, problem solving and interpersonal skills.To apply to this job, click  Easy Apply"|data analyst|5|West|Lafayette| CO
MIRACORP|"MIRACORP Inc., is a veteran, women-owned firm specializing in federal government contract services. One of our competitive advantages is that we provide services to our customers with a standard of excellence that is unmatched. MIRACORP believes our employees are the cornerstone for our success.

We are seeking an entry-level Business Data Analyst to work at our federal customer site in Lakewood, CO and to join our collaborative, innovative, customer-centric culture. If you have basic knowledge in technical fields including but not limited to finance, accounting, information technology, research and analysis, or other program support fields, then please read on!

Specific tasks include but are not limited to the following:

Works in support of the general management and business operation of a particular program, department, or office.

Provides data analysis and research for specific projects.

Supports managers and a variety of tasks and projects to meet deadlines.

Continuously exercises discretion and independent judgment on the analysis, planning, and/or implementation of important program initiatives.

Your Experience:

Associate's Degree or equivalent experience. Equivalent experience includes:

4+ years' experience supporting program data analysis activities with no related degree; OR

2+ years' experience supporting program data analysis activities with related Associate's Degree; OR

No experience with a related BA or BS degree.

Specializes in administrative tasks and data analysis in one or more of the following areas: tax; finance; accounting; budgeting; auditing; quality control; research; legal and regulatory compliance; administration, and other similar management and operational activities.

Superior customer service, interpersonal, and communication skills.

Ability to take the initiative and use independent judgment.

Preferred:

Has a Public Trust Clearance

Why Consider This Opportunity:

Great benefit package with benefits that start on date of hire.

401 (k) employer match, with 100% immediate vesting.

Work environment where you have a lot of independence.

Ability to work with a purpose and make an impact.

Work with a Manager and peers that are passionate about customers.

Work for an employer where core values are not just written on paper but lived.

MIRACORP is an Equal Employment Opportunity employer. Veterans are encouraged to apply!

tOjSWYtLwK"|entry level business data analyst|2|West|Denver| CO
DAVITA|"Are you a tech savvy burgeoning data guru with exceptional communication skills looking for an opportunity to support two of DaVitas most exciting and strategic businesses? If your answer is Yes! then we have the perfect role for you.

What is the Role Where you Can Add Value?

We are actively recruiting for a Data Analyst to support both the DaVita Health Solutions and Integrated Kidney Care business units, which are at the center of DaVitas strategy for the future of DaVitas evolution from a fee for service to value based world. The primary responsibility of this teammate is to support the growth of DaVitas integrated care businesses with commercial payors by supporting the data needs of the business units and maintaining the server environment.

In this critical role Data Analyst will work as a key member of the data analytics team, facilitating program data analytics for current and prospective clients, which includes data intake, analysis, and reporting key metrics necessary for leadership decision-making. In addition to receiving and transforming data received from external partners, the Data Analyst will support the data analytics team by creating, implementing and maintaining automated processes related to data intake, data manipulation and reporting by utilizing the technical resources available. They will also focus on process improvement within the data analytics environment and ensure data management best practices.

The Data Analyst will work with a team of highly motivated, fast-paced, senior executives with extensive experience in start-ups, consulting, private equity, and operations. The environment is highly collaborative and team oriented with a differential focus on both professional and personal growth. The analyst must be able to work successfully with cross-functional teams and have the maturity to interact directly with both peers and executives across departments. The following duties and responsibilities generally reflect the expectations of this position but are not intended to be all inclusive. Additional responsibilities include the following:

Provide analytical support for current and prospective clientsLoad, cleanse, and summarize claims and other data from payor and provider partnersDeliver unique insights from data by preforming both ad-hoc and standardized analysesDevelop and maintain procedures that support the teams reporting capabilitiesWrite SQL queries against data warehousesDatabase/server maintenanceSet up automation and procedures for new clients or new processes (in SQL, Python, VBA and Bash)Support team by maintaining automated processesComply with SDLC processesProcess improvementIdentify data and reporting processes and work flows in need of improvementWork with stakeholders and other analysts to develop and implement improvements by utilizing tools available (sql, excel, python, data visualization, etc)ReportingUtilize Cognos Analytics to create and maintain reportsMaintain database to support reporting environment

What Skills do you Bring to the Team?

Bachelors degree Mathematics, Statistics, Business, Information Technology, Information Systems degrees preferred Experience with SQL and managing relational databases including writing complex queriesExperience and/or interest in other programming languages including Python, VBA and BashExperience with LinuxMinimum two years of experience with data/IT analysisStrong proficiency in all Microsoft applicationsExperience in healthcare claims analytics is preferredKnowledge of medical claims terminology - CPT, ICD-9/ICD-10Experience working within SDLC frameworkExperience with Cognos AnalyticsInterest and strengths in data analysis and innovationDesire and willingness to learn and develop new technical skillsFocus on analytical process improvement using technical resources availableBuild relationships with both internal and external partners and clientsA self-starter mentality and thoughtful execution abilitiesStrong written and verbal communication skillsExcellent organization and prioritization skillsAn upbeat, team-oriented attitude

Here is what you can expect when you join our Village:

• A ""Community first, Company second"" culture based on Core Values that really matter.

• Clinical outcomes consistently ranked above the national average.

• Award-winning education and training across multiple career paths to help you reach your potential.

• Performance-based rewards based on stellar individual and team contributions.

• A comprehensive benefits package designed to enhance your health, your financial well-being and your future.

• Dedication, above all, to caring for patients suffering from chronic kidney failure around the world. • High school diploma or equivalent required

• Minimum of three (3) years' healthcare reimbursement experience preferred ; experience with admissions, billing, and collections preferred

• Demonstrated knowledge of insurance rules, regulations and Coordination of Benefits for federal, state, and managed care payors in multiple states preferred

• Basic computer skills and proficiency in MS Word, Excel, and Outlook required

Join us as we pursue our vision ""To Build the Greatest Healthcare Community the World has Ever Seen.""

Why wait? Explore a career with DaVita today.

Go to http://careers.davita.com to learn more or apply.2000 16th Street, Denver, Colorado, 80202, United States of AmericaApply Now: click  Apply Now"|data analyst|4|West|Denver| CO
One Touch Intelligence (OTI)|"Job Objective

Reporting to the Director OTI Data Management, the Data Analyst is responsible for providing cross-departmental support to the data acquisition team and other OTI business units.

This position will provide daily indexing and analysis of content available across various media sites. This includes all steps in the data management process with a heavy emphasis on data extraction, dataset transformation and data visualization. This role will also assist with ad-hoc project needs.

As a key position within OTI’s operations team, this role interfaces daily with OTI staff, contractors and other OTI departments.

Primary Responsibilities

Data Verification: Act as a critical member of the OTI Data Cycle: verifying and transforming collected data sets, prepping data sets for SQL, and uploading data sets into the OTI Data Warehouse.

Data Analysis: Utilize tools such as Excel, Python, and SQL to perform data analysis on existing data sets. Work with programmers and other analysts to decide what data sets need to be collected and analyzed in the future.

Data Visualization: Create informative and captivating data visualizations and infographics using Microsoft Power BI and other visualization tools.

Data Modeling: Utilize data modeling tools to help create predictive models which can add value to current OTI products.

Ad Hoc Research, Reporting & Analysis: Respond and deliver upon additional requests and assignments across the data acquisition team and all other OTI departments.

Qualifications

A Bachelor’s degree in a computer, technology or statistics discipline.

Experience with data visualization tools like Microsoft Power BI or Tableau.

Experience managing data and transforming data in a SQL environment.

Working knowledge of Python or R, with experience in data modeling libraries such as scikit-learn.

Strong quantitative analysis skills and high proficiency with all Microsoft Office applications.

Familiarity with online streaming sites: Hulu, Netflix, Amazon Prime, etc.

Strong organizational and project management skills.

A commitment to self-sufficiency and the ability to work as part of a team.

Intellectual curiosity, innovation, high standards, strict adherence to deadlines.

Direct experience within the telecom, cable/satellite TV and consumer electronics sectors is a plus.

Please email a resume and cover letter to RachelD@onetouchintelligence.com for consideration. Please include the position title as the email subject line along with availability and salary expectations in your cover letter."|junior data analyst|0|West|Greenwood Village| Arapahoe, CO
Mondo|"Position: Data Analyst

Duration: 4 Month Contract (chance to convert)

Location: Boulder, CO

Job Description:

• Develop detailed financial plans and forecasts for assigned areas.

• Prepares financial submission.

• Responsible for Uplift and CER calculations.

• Responsible for providing overall integrated financial planning, data gathering, analysis, recommendations and reporting support for assigned areas which may be complex in nature.

• Coordinates with all levels of management and staff to gather, analyze, summarize and prepare recommendations regarding financial plans, trended future requirements and operating plans and forecasts.

• Leads own and other staff by reviewing journal entries and account reconciliations, and by providing guidance on technical accounting and complex planning issues.

• Provides management with key analytical measurements on performance.

• Establishes templates for staff use for planning and reporting to ensure consistency of team's work output and to ensure that data collected and analyzed will satisfy senior management's requirements.

• Leads financial close activities for assigned areas, including journal entry preparation and review, invoice and other document reviews, and analysis vs. plan and forecasts. Ensures that financial resulting and plans/forecasts area in accordance with GAAP.

• Detail-oriented and able to effectively prioritize, organize, and perform multiple tasks in a fast-paced environment.

• Able to redirect efforts and change focus rapidly in response to changing business needs. etc...

Qualifications:

(Education, Experience, and Certifications)

• Requires 4-year college degree (major in Finance, Accounting, Economics, Business, or Math is preferred) or equivalent experience

• CPA a plus.

• Requires 5 or more years of working experience in Finance-related area.

• Proficiency with MS Office is required.

• Must have an expert knowledge of Excel to include – Pivot Tables, Functions, Formulas and Macros.

• Must have an intermediate knowledge of working within a relational database – querying, importing and exporting data. Must be flexible to work extended hours, as needed, to handle month end activities and various deadlines/projects. Candidates must understand finance.
"|data analyst|2|West|Boulder| CO
Seen by Indeed|"Seen by Indeed is a free service that connects qualified job-seekers (that's you) with top companies hiring tech roles.With one application you can be considered for thousands of tech roles from leading companies on Seen.

How Seen WorksWe find out what's important to you and match you with your dream job

Get started Complete a 5-minute application to be considered for roles at hundreds of leading companiesGet matched Companies apply to you with opportunities that reflect your role, location and salary specificationsGet career coaching Level up with free 1:1 coaching, our team will make sure you're ready to tackle any interviewGet your dream job

Skills and RequirementsWe look for top tech talent to join the Seen platform. Each candidate is reviewed on the following to make sure you're a good fit for our network

In Demand SkillsFrom strong communication skills to experience with the latest technologies, you have what employers are looking for

Stand Out QualitiesYou bring unique qualities and traits that stand out and make an impact

Change readyYou are ready for a career changes and will be responsive to employers who reach out with job opportunities

Get matched with top tech companies on Seen!"|data analyst|0|West|Denver| CO
CodeForce 360|"Title: Data AnalystLocation: Englewood,Colorado

Job Description:

Work hands-on with DISH Network's Enterprise Data Warehouse (EDW) and Operational Data Store (ODS) systems.
Client, analyze, profile and document findings on source data systems.
Create ETL technical specifications ( Source to Target Mapping with load & change data capture strategies ) documents for the ETL development team.
Assist the ETL development team during the development phase to resolve data issues and understand data constraints. Once development activities are completed the candidate will drive the initial system testing of the final application data output to ensure it is consistent with the source data system and per project requirements.
Collect, evaluate, and prepare data analysis and/or other complex statistics/reports for a specific business unit within the enterprise.
Develop canned (and/or) adhoc - operational (and/or) analytic reports - for specific business units using SQL or other reporting tools as needed.
Prepare data quality analysis (DQA) artifacts, including recommendations and data profiles used in the analysis and interpretation of data as appropriate.

Job Skill Requirements:

· Experience working in a data warehouse environment is mandatory

· Experience with SQL is mandatory

· Experience Teradata and/or other relational databases is mandatory.

· Experience with implementation of Data warehousing concepts is mandatory.

· Experience with ETL tools (and/or) BI/Reporting tools and technologies is preferred

· Erwin Experience or other data modeling tools is desired

· Experience with very large databases and knowledge of the ""Media” domain preferred."|data analyst|0|West|Englewood| CO
ViaSat|"Bigger challenges. Bolder ideas. Global impact. At Viasat, we're on a mission to deliver connections with the capacity to change the world. We're the company behind the world's fastest satellite internet service, with technology that's helping to bridge the digital divide and improve life for our customers around the globe. By providing powerful new ways for people to connect with one another, gain greater access to education, entertainment, medical research, commerce, and much more, our team is empowering millions of customers worldwide.

We're growing rapidly and looking for passionate, innovative professionals to join our team and connect the world to more. You'll work in a collaborative and inclusive environment that values diverse perspectives and continuous learning, and provides industry-leading benefits with unmatched opportunities for career growth. Our team is fearless in pursuit of new ideas and uncompromising in our quest to become the world's first truly global Internet Service Provider. Interested in joining our mission? Take a look at career opportunities at Viasat today.

Job Responsibilities

Looking for an environment that encourages collaboration and welcomes fresh ideas? As a cutting-edge company, Viasat empowers employees to make meaningful contributions in dynamic team environments. If you’re interested in a summer internship that can provide a stepping stone toward achieving your goals, Viasat’s intern program is for you!

As a Data Analyst, you will work with Big Data on network performance, using tools to manipulate diverse real-world data and develop complex data visualizations; use data-driven metrics to create visibility into network performance, to mine data, and solve problems. You will learn and practice Agile methodologies.

Requirements

Currently pursuing a Bachelor's degree or higher in Data Science, Mathematics, Statistics and/or related field

Knowledge in Data Science

Experience Creating Data Visualizations

Data Wrangling Skills

Python and SQL skills

Able to commit to a 10-12 week internship

Preferences"|data analyst intern|5|West|Englewood| CO
