company|description|position|reviews|Region|City|State
Pactera|"Job title: Data Analyst
Location: Hartford CT
 
One of leading companies in the healthcare industry is now hiring a hands-on Data Analyst with 5+ years’ experience as one of those roles of data modeling, data analysis and even data architect and experience of OLTP and OLAP system design.

Should be working with multiple data sources including Salesforce or Dynamics. Must be able to work with business and data sources independently to understand data availability and business insights that can be driven.


Experience of owning & managing all changes to the models, solution designs, and architecture documentation; determining database structural requirements by analyzing client operations, applications, and programming; reviewing objectives with clients; evaluating current systems;


Extensive experience in Relational Data Modelling, Dimensional Data Modelling, Logical/Physical Design, ER Diagrams, Forward and Reverse Engineering ERWIN diagrams, analyzing data sources and creating interface documents;


Proficient in data mart design and creation of cubes using dimensional data modeling – identifying Facts and Dimensions, Star Schema and Snowflake Schema;


Experience in SQL and good knowledge in SQL/SAS programming and experience of ETL tool of SSIS and reporting tool of SSRS;


Great communication and a passion for driving insights from data, working with developers’ analysts and business, writing or reviewing functional specs as needed etc.
Apply Now: click  Easy Apply"|data analyst|0|Northeast|Hartford| CT
Dun & Bradstreet|"Why We Work at Dun & BradstreetWe are at a transformational moment in our company journey - and we’re so excited about it. Each day, we are finding new ways to strengthen our award-winning culture, and to accelerate creativity, innovation and growth. Our purpose is to help customers improve business performance with Dun & Bradstreet’s Data Cloud and Live Business Identity, and we’re wildly passionate and committed to this purpose. So, if you’re looking to make an immediate impact at a company that welcomes bold and diverse thinking, come join us!

​

Why We Work at Dun & Bradstreet

Life here at Dun & Bradstreet is changing – for the better. With almost two centuries of experience and a new modern vibe, work at D&B has never been more exhilarating.

Our purpose is to grow the most valuable relationships in business by uncovering truth and meaning in data. We’re wildly passionate about our purpose, and it has us evolving everything we do – from how we engage with our customers to how we energize one another.

So if you thrive in a fluid, agile culture but want the solidity of a storied and commanding brand, come join us!

Job Description

Key Responsibilities

We are hiring for a Junior Data Analyst to apply analytical mindset in collection, organization and delivery of large datasets, across multiple channels and sources. (Data) Review and test data to ensure high quality, accuracy and confidence. (Data) Identify continuous improvements to data collection and delivery processes. (Process) Communicate and collaborate effectively with internal and external team members on data compilation, analysis and quality of our dataset. (Teamwork) Proactively analyze and trouble shoot problems and issues associated with data. Assess the critically of the issue and escalate for timely resolution, participate in solution of the issue. (Problem solving/result driven)

Undergraduate degree in a quantitative/applied field with good academic credentialsAbility to audit data across multiple systems to ensure alignment. Knowledge of SQL and relational databases.Experience in data mining, analysis, statistics and/or data manipulation a plusAbility to learn and apply technologies and tools.Excellent organization, decision making and analytical skills.Excellent verbal, written and interpersonal communication skills.

Dun & Bradstreet is an Equal Opportunity Employer and all qualified applicants will receive consideration for employment without regard to race, color, religion, creed, sex, age, national origin, citizenship status, disability status, sexual orientation, gender identity or expression, pregnancy, genetic information, protected military and veteran status, ancestry, marital status, medical condition (cancer and genetic characteristics) or any other characteristic protected by law.

We are committed to Equal Employment Opportunity and providing reasonable accommodations to applicants with physical and/or mental disabilities. If you are interested in applying for employment with Dun & Bradstreet and need special assistance or an accommodation to use our website or to apply for a position, please send an e-mail with your request to TalentAcquisitionTeam@dnb.com. Determination on requests for reasonable accommodation are made on a case-by-case basis.

Please note that all Dun & Bradstreet job postings can be found at https://dnb.wd1.myworkdayjobs.com/Careers and all communication from Dun & Bradstreet will come from an email address ending in @dnb.com."|junior data analyst|1|Northeast|Shelton| CT
Aetna||data analyst|0|Northeast|Hartford| CT
Randstad||entry level data analyst|0|Northeast|Waterbury| CT
Beazley||data analyst|0|Northeast|Farmington| CT
Aberdeen||data analyst|0|Northeast|Wilton| CT
EXL|"Overview

SCIO Health Analytics, an EXL Company is looking for a Data Analyst for our W. Hartford, CT office. The Data Analyst will be responsible for performing data analysis, extraction, transforming and loading healthcare data. Incorporate industry best practices for developing and testing the product. Developers must be experts at taking a big-picture view of a company's data situation.

Responsibilities

Data Implementations



Ability to work with the team to understand, interpret disparate data sources to build warehouses that can be used to derive meaningful insights and drive business decisions
Ensure the data elements are interpreted and transformed per industry standards using in depth understanding of clinical and billing practices
Responsible to make sure all client data and quality needs are met with SCIO data implementations
Ability to map disparate healthcare data sources for claims, eligibility, pharmacy, biometrics and other unstructured data to create a comprehensive data warehouse
Ability to read, analyze and understand business needs to align the design for ETL process to meet business goals and product roadmap
Responsible for reviewing client data feeds and mapping to SCIO Standard data warehouse.
Ensure monthly data loads are performed, ETL Summary reports are generated and quality checks are performed on timely manner.
Automate the production data loads as per the defined standards.
Optimize the data load scripts to handle high volume data.


Business Interaction



Analyst needs to be able to read and analyze what a business wants to accomplish with its data, and design the best possible ETL process around those goals.
Analyst needs to be able to listen to and interpret what the business side wants to see accomplished, discuss details in an easy-to-understand way, and then translate it all into nuts-and-bolts technical output.

Qualifications

Bachelor's degree in computer or related field.
1-3 plus years of experience in SAS programming
1 plus years of experience in SAS programming and data analysis
Understanding of the US health care system, and insurance-related concepts, data and code sets
Understanding on healthcare claims processing and billing
Proficient with SAS programming, Macros and Jobs
Understanding of Healthcare Enrollment file, Medical Claims and Pharmacy Claims
Ability to translate business needs into practical applications
Ability to complete time-sensitive, multi-dimensional projects as part of a team
Ability to work independently with minimal supervision
Ability to work in a team environment and be flexible in changing priorities
Strong knowledge of healthcare data warehousing concepts
Strong knowledge in data Extract, translate and load (ETL process)
Assist in the management and monitoring of multiple projects simultaneously


Preferred



Experience in healthcare data modeling
1 plus years of experience in SQL programing


EEO Statement

EEO/Minorities/Females/Vets/DisabilitiesSDL2017"|data analyst|0|Northeast|West Hartford| CT
ApTask|"Job Description:

Data Processor



*Lots of data entry - ENTRY LEVEL POSITION


Your role

Are you interested in learning more about the financial industry, hedge funds, ideally also in the asset management environment? Are you solid with juggling a significant amount of information, deadlines and communication needs at the same a time?

We are looking for someone like you to:

Identify, classify, and sort documents electronically

"" Statements/Confirmations

"" Weekly estimates

"" Financial Statements

"" Proxies/Corporate Actions

"" Legal documents

Process/file emails from third-party investment managers

"" Using filing system software to enter data into the system

"" Using filing system software to select where to file emails and attached documents

"" Handling a high volume of emails per day in an accurate and consistent manner

Analyze feeds from vendor websites

Manually price investment instruments. Knowledge of NAV per share pricing, investment performance returns/statistics is a plus (week-to-date, MTD, QTD, etc.)

Establish fund mapping and creation

Maintain a high degree of quality control and validation of the completed work

Perform ad-hoc requests

"" Looking up sources of entered data when someone inquires

"" Assisting teams with entering data as part of an ad-hoc project

Your team

You'll be working in a team within the Multi-Manager Solutions/Hedge Fund Solutions organization of *** Asset Management (*** AM). We are seeking entry-level and motivated team member based in Stamford, CT.

Your experience and skills

You have:

Associates degree or higher

an interest in financial markets

ability to interact with IT, Operations and Investment teams

You are:

Solution-oriented, creative and able to cope with complex matters and deadlines, while being detail-oriented

Highly proficient in Microsoft Office

Strongly analytical and able to multi-task

Dependable, self-motivated and accountable

Excellent in communication and collaboration

Fluent in English"|data analyst|0|Northeast|Stamford| CT
BIC|"Company DescriptionBIC® products are recognized all over the world for their quality, safety, affordability and ease of use. The ballpoint pen, the pocket lighter, and the shaver are all part of the daily lives of millions of consumers. These products make BIC® an iconic international brand, present in more than 4 million retail outlets in more than 160 countries around the world.

BIC’s founder, Marcel Bich, understood that to succeed, BIC needed hands-on team members who were willing to take measured risks and assume responsibility for their role in a team. Today, we provide our more than 15,000 team members in 61 countries with the opportunity to invent BIC’s future – together – while honoring our past achievements. We are committed to our team members’ development and empower those who wish to discover different areas of our business or acquire international experiences.Job DescriptionThe Data Analyst (DA) is responsible for delivering intelligence through compelling analysis to support the business and the decision-making to all aspects concerning his/her markets. This role collaborates closely with Market Experts in the Market & Consumer Insights/Intelligence (M&CI) department to generate Market Insights

The DA provides support in using analytics to provide insights, automate business actions, and improve the speed and quality of decisions across the M&CI department. This position provides support in ensuring data integrity, quality and consistency throughout the sources for market data including: standards and processes to prepare and explore data; support design, build, and implement data analytics structures and reporting process; deep dive and information extraction relevant to business needs.

The Market & Consumer Insights/Intelligence team operates as the Centre Of Excellence (COE) on actionable insights in the areas of Market Analysis & Research (business analytics, opportunities), Consumer/Shopper Behavioural Research (trends, needs, motivations, purchase habits) and User/Product Research (user perception & attitudes, product evaluation).

The DA will play a key role in the sourcing, processing and extraction of insights and support engagement and reporting in close collaboration with market experts and data science team to support decision making of all M&CI stakeholders

MAIN RESPONSIBILITIES

Ensure data integrity, quality and consistency throughout the data sources for Market Data
Support Market Expert to prepare and communicate Market Insights relevant to the business to all M&CI stakeholders across brand, design and commercial operations
Support the data analytics pipeline development (data structures / reporting and processes) in collaboration with Market Expert and Data Science team commiserate with business needs
Responsible for deep dive/investigating the data from multiple sources with an exploratory mindset to uncover relationships and insights relevant to the business
Facilitate sharing of market insights and intelligence in a manner that is easy to understand (for non-technical audience) and recommend specific action
Support non recurrent needs and conduct ad hoc research on market data
Support implementation of the group data management strategy
Support establishing and documenting modeling standards and processes, including: identify and define problem, and design approach; prepare, explore, transform, and select data; build, validate, and deploy analytic solutions/models; and monitor and evaluate results
Handle complex structured and unstructured data sets from internal and external sources
Collaborate with Marketing, Innovation, product design and customer teams in data management and extraction of insights
Drive data quality, availability, analytics capability throughout the company. Take ownership of quality, accuracy and usability of data and reporting structure/dashboards

Qualifications

Bachelor’s and/or Master’s degree in statistics, computer science, engineering, math, econometrics, or other quantitative decision sciences
2+ years of practical experience in data analysis and inference – preferably on market data in FMCG industry and/or experience with full lifecycle data science projects
Demonstrated ability to translate data analysis to information, insights and link to application/business
Experience with analytics software tools or languages (R, Python, etc.) and machine learning techniques.
Working knowledge in Microsoft Azure and scaling analytic products in the cloud
Working knowledge in visualization platforms and customization (Power BI, Tableau etc)
Highly analytical with a strong grasp of modern statistical methods
Strong interpersonal skills, written / verbal communication skills
Strong cross-functional team skills to work with market experts, colleagues with varied backgrounds to support translation and addressing of business needs to analytical solutions
Excellent communication and presentation skills: able to explain Analytics in non-technical terms to business users and other diverse audiences


Additional InformationApply Today! There's never been a better time to join BIC. We're a dynamic company with a strong vision. You will find a wealth of possibilities in a challenging and rewarding work environment. As an organization, we have a passion for taking care of our people, and our benefits reflect this. Join BIC and let’s invent our future, together!

BIC Corporation is an Equal Opportunity/Affirmative Action employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disability, sexual orientation, gender identity, protected Veteran status, age, or any other characteristic protected by law."|data analyst|5|Northeast|Shelton| CT
Lovesac|"At Lovesac we believe you should be free to live the life you love and that we should all live in Total Comfort. From Sactionals The Worlds Most Adaptable Couch, to Sacs The Worlds Most Comfortable Seat, Lovesac products are durable, changeable, and truly designed for life. Our founders philosophy, Designed for Life, demands that our products are both built to last a lifetime and designed to evolve with our ever-changing lives. Its an uncompromising approach to achieving true sustainability.

At Lovesac we are committed to living and succeeding by incorporating our Guiding Principles:

 We can all win together

 Doing less and doing better

 Were borrowing this earth from our children

 The couch is the kitchen table

 Love Matters

Currently, we are seeking to hire a Data Analyst, who will be responsible to providing reporting and analytical support to the marketing department in order to measure and improve the effectiveness of marketing tactics and provide customer insights. Those tactics include advertising, merchandising, and promotions. You will work closely with the Marketing, Finance, Retail and e-Commerce Sales Teams as well as partner agencies on a day-to day basis to build scorecards and report results.

Summary of Job Responsibilities:


Responsible to meet or exceed all goals and key performance indicators (KPIs).
Support data warehouse in identifying and documenting reporting requirements.
Prepare and deliver weekly and monthly scorecards for marketing campaign effectiveness, including awareness advertising, merchandising, and promotions.
Collaborate cross-functionally to plan and execute the testing and measurement of merchandising and promotion tactics.
Uncover customer insights from data analysis to share and influence decision making.
Collaborate with senior management, marketing colleagues, agencies and sales teams to build quarterly and annual forecasts for marketing spend, revenue, and ROI.
Maintain a calm demeanor and manage issues professionally and respectfully in accordance with our company standards.
Act with integrity and trust, modeling behavior that respects our employees, peers and customers in accordance with the core values of our company.
Perform any other duties as requested by management.

Requirements & Qualifications:


Bachelors Degree in Computer Science, Marketing or a related field required.
Must have a minimum of 2 years related work or internship experience in Computer Science, Media and/or Marketing agencies.
Must be results driven and utilize knowledge to meet or exceed KPIs and goals.
Must have proven time management skills and quickly adapts to a changing business environment.
Able to prioritize responsibilities with the appropriate level of urgency, able to listen and can use this information to solve problems, anticipate issues and make correct decisions based on a variety of situations.
Must take accountability and responsibility for your actions.
Must have the ability to manage multiple projects simultaneously while meeting deadlines consistently.
Must have superior communication skills; verbal, written and interpersonal skills; able to listen effectively to solve problems, anticipate issues and make effective decisions.
Demonstrates strong analytical and problem-solving skills.
Maintains the highest level of customer service, creating solutions and experiences that drive business results and engagement with the brand.
Must work collaboratively with fellow employees, treating all clients, both internal and external with dignity and respect at all times.
Proficiency required in Microsoft Office: Word, Excel & PowerPoint. Familiarity with data warehouse and analytics platforms are a plus.
Must comply with the standards, policies and procedures outlined in the Lovesac Employee Handbook.
Consistent ability to work in an office environment and regularly report to work at Corporate Headquarters or designated showroom.
Must be capable of using and operating all equipment as required, including but not limited to: iPad, laptop, etc. Be able to move objects (including medium to large furniture items up to 75 pounds) from a lower to a higher position or horizontally from position-to-position or be able to assemble furniture while working on the selling floor or in our warehouse.
Must be able to travel, as required by the Company in its sole discretion, for occasional meetings and conferences using various forms of transportation.
Must possess a strong work ethic and exemplify The Lovesac Values:

Lovesac Core Values -

 Audacious Dreamers

 Willing to sweep the floors

 Grit

Aspirational Values

 Customer Centricity

 Only A Players

 Executional Excellence

 Consciousness

Table-Stakes Values

 Positivity

 Insatiable Learning

 Passion

 Collaboration

 Empathy

 Transparency

Accidental Values

 Making it happen

 Thrift

Our stores including our website are open seven days a week and require morning, evening, weekend and holiday availability."|data analyst|5|Northeast|Stamford| CT
