position|company|description|reviews|Region|City|State
data analyst|Marlette Funding|"Marketing Data Analyst

Location: Wilmington, DE 19803

Type: Full-time; Exempt

Level: Manager

Experience: 4+ Years

Marlette Funding is a financial technology provider for the Best Egg® consumer loan platform. Marlette has experienced tremendous growth since its inception in 2014, with over $9B in consumer loans originated through the Best Egg platform.

Today, we’ve grown to over 200 employees, enjoy strong employee engagement scores and have been recognized numerous times as a best workplace.The JobMarlette is seeking a Marketing Data Analyst to lead the development and launch of their Marketing Prospect Database. The ideal candidate will have experience building and executing business requirements, strong technical skills and experience leading a project from inception to completion. This is a full time, permanent position with upward mobility and competitive benefits. Applicant should be a highly motivated self-starter with the ability to manage business needs in a fast-paced work environment. Ideal candidate should have a high sense of urgency, excellent time management skills and strong technical proficiency. The keys to success in this role are attention to detail, technical aptitude, and a strong willingness to learn

Creating value through streamlining the Direct Mail selection process, utilizing algorithmic thinking to drive efficiencies and growth in the businessDuties & Responsibilities· Project Manage the development and launch of Marketing Prospect Database

· Work closely with Director of Direct Mail Marketing in designing operational process flows

· Partner with internal and external resources to build and execute project requirements

· Coordinate all ongoing ETL processes between Technology team and external partners

· Assist in ongoing support of Direct Mail campaign development, implementation and production process

· Owner of back-end load process, responsible for developing recurring reporting and internal audits ensuring campaign accuracy and compliance

· Identify inefficiencies in current Direct Mail process and constantly iterate to drive improvement and value creation

· Evaluate and enhance on current known lead waterfall and file generation process

· Responsible for structuring, scoping and delivering data driven analysis

· Coordinate and engage key stakeholders to align and properly communicate analytic findings

· Research and explore new Direct Mail growth opportunities through improved segmentation and analysis

· Develop and improve ongoing reporting tracking Direct Mail campaign performance

A Marketing Data Analyst joining Marlette Funding’s Marketing Organization can expect to enjoy a culture embracing the concepts of Continuous Delivery, Total Quality Management, Knowledge Sharing, Personal and Career Advancement, Empowerment, Innovation, and Collective OwnershipRequirementsRequired Functions:

· Ability to communicate effectively to all levels of the organization

· Strong business acumen and exceptional leadership and problem-solving skills

· Experience leading projects and managing processes end to end

· Strong analytical and critical thinking skills

· Demonstrated leadership skills including self-direction, coaching and mentoring

· Previous experience in Financial Services a plus

· Previous experience with Campaign Management software a plus

Minimum Requirements:

· Bachelors of Science degree in Business Analytics, Finance, Computer Science, Software Engineering, Information Technology or equivalent work experience

· Minimum 4 years full-time experience in Marketing Analytics, Operations, Project Management, Business Analytics, Information Systems, Database Architecture or comparable field

· Intermediate to Advanced experience utilizing SQL, SAS or similar data-oriented language (R, Python)

· Experience scoping, developing and executing business requirements

· Experience working with relational databases

· Highly skilled in Microsoft Office suite applications

· Excellent written and verbal communication skills

Culture

· Ability to succeed within a cross-functional team emphasizing Collective Ownership in a fast-paced environment

· Be confident and willing to challenge status quo but also willing to concede and execute other’s ideas when necessary

· Capable of teaching and learning from others to promote continuity of knowledge and personal development

· Ability to work effectively independently and as a team memberStart your job application: click  Easy Apply"|5|South|Wilmington| DE
data analyst|ApTask|" Data Analyst

Location –Wilmington, Delaware & Richmond, VA

Fulltime Only

Proper data analyst with Python & SQL.
A resource to will be running monthly BAU process, performing Adhoc analysis based on user questions, and implementing enhancements on our BAU process, etc.
Strong Python, SQL, preferably AWS expertise (ultimately this team would debug code to understand mismatch in GL data so the ability to debug Pyspark would be reqd. eventually which at minimum is strong python)


"|0|South|Wilmington| DE
data analyst|Arthur Lawrence|"  Requirements: Arthur Lawrence is urgently looking for Data Analyst for a contract role in Newark, DE. Kindly review the Job Description and if you are interested please forward your updated resume for immediate consideration for Submission.

Must Have:

6+ years of Data Analyst Experience
Experience with Data Profiling, Data Quality and Data Cleansing
Experience with SQL Server and good understanding of various data models
Experience with executing conversion in mock environments for practice runs
Good understanding and experience working with data source to target mapping specifications
Working experience with all phases of the SDLC

Nice to Have:

Bachelor s degree
Strong communication and organizational skills

Interested candidates can directly contact Jennica at  jennica@arthurlawrence.net or by dialing (832) 240 2099
"|0|South|Newark| DE
business data analyst|JPMorgan Chase|"As a member of our Business Analysis team, you'll play a crucial role in identifying, improving and developing technology solutions that drive our strategic goals. This is a tremendous opportunity to learn about high-priority initiatives and collaborate with colleagues throughout the firm. Working at the intersection of business and technology, you'll sharpen your understanding of business processes and data analysis, while continuing to develop your leadership, management and communication skills. No matter where your career ultimately takes you, you'll make a meaningful impact and lasting connections with outstanding colleagues and mentors.

This role requires a wide variety of strengths and capabilities, including:

+ BS/BA degree or equivalent experience

+ A strong understanding of at least one business function in the firm, as well as a broader understanding of other areas. Proficiency in business applications, data usage and management

+ Ability to liaison between lines of business and the development team, while working with a wide range stakeholders and collaborating with your team. Ability to work collaboratively in teams and develop meaningful relationships to achieve common goals

+ Detailed planning and analysis of the data and compliance requirements.Play a key role as a liaison between Corporate Compliance teams and CIB technology teams.Manage data quality across CIB Macro products.Understand and work towards the defined Data Management strategy

+ Work with multiple technology and business teams and drive the accurate and complete data to corporate compliance teams.Provide clear and detailed feedback on business requirements doc provided by users.Perform detailed data analysis by running database queries in Oracle PL/SQL environment.Liaise with development team and provide on-going clarifications

+ Perform data onboarding SIT.Coordinate UAT support and ensure user queries are addressed.Monitor test defects and manage project status.Comply with the JPMC Project Life Cycle and internal processes.Closely track data change requests / ad hoc activities and communicate the impact on a timely basis.Ability to collaborate and build strong partnerships across business, technology and operations as well as across regions and lines of business

+ Knowledge of database technologies (Relational, Data Warehouse, NoSQL Big Data).Prior experience working for an investment bank, functioning as a project manager/business analyst in technology projects is desirable.Minimum of 5-7 years business analyst experience.Should have hands-on data analysis (database query skills). Being able to understand Oracle stored procedures

+ Good co-ordination skills to work in partnership with users, project manager and developers.Thorough understanding of SDLC phases and essential documentation in each of these steps.Experience in one of these: Regulatory reporting, Finance, Risk or data warehousing

Our Corporate & Investment Bank relies on innovators like you to build and maintain the technology that helps us safely service the world's important corporations, governments and institutions. You'll develop solutions for a bank entrusted with holding $18 trillion of assets and $393 billion in deposits. The Corporate & Investment Bank provides strategic advice, raises capital, manages risk, and extends liquidity in markets spanning over 100 countries around the world.

When you work at JPMorgan Chase & Co., you're not just working at a global financial institution. You're an integral part of one of the world's biggest tech companies. In 14 technology hubs worldwide, our team of 40,000+ technologists design, build and deploy everything from enterprise technology initiatives to big data and mobile solutions, as well as innovations in electronic payments, cybersecurity, machine learning, and cloud development. Our $9.5B+ annual investment in technology enables us to hire people to create innovative solutions that will not only transform the financial services industry, but also change the world.

At JPMorgan Chase & Co. we value the unique skills of every employee, and we're building a technology organization that thrives on diversity. We encourage professional growth and career development, and offer competitive benefits and compensation. If you're looking to build your career as part of a global technology team tackling big challenges that impact the lives of people and companies all around the world, we want to meet you.

JPMorgan Chase is an equal opportunity and affirmative action employer Disability/Veteran."|5|South|Newark| DE
data analyst|Delaware State University|"DELAWARE STATE UNIVERSITY

VACANCY ANNOUNCEMENT: PROGRAMMER/DATA ANALYST

Office of Institutional Research, Planning and Analytics

This vacancy will remain open until the position is filled.

THIS IS A 100% GRANT-FUNDED POSITION

THIS IS A 100% GRANT-FUNDED POSITION

General Description of the Position

The primary purpose of this position is to provide data to support decision-making, policy review and assessment of institutional performance in support of the University’s strategic goals. The Programmer/Data Analyst serves as a report developer for institutional reporting using cutting edge business intelligence tools (data cubes and dashboards) to accomplish seamless retrieval, visualization and presentation of data related to assessment, and students’ success. The Programmer/Data Analyst will report to the Executive Director of Institutional Research, Planning and Analytics.

Essential Functions:

Develop and execute plan for implementation of dashboards summarizing key institutional data for various campus constituents.
Manage datasets and repositories used in reporting and analysis.
Monitor and improve performance of internal reporting systems (e.g., Portal). Maintain and organize current reports and develop new reports as needed.
Coordinate data collection including extraction, compilation, and data integrity
Collaborate with end users to evaluate existing systems, consider feasibility, assist in the designing, testing and rollout/trainings of improved systems/methods.
Utilize software programming skills to develop custom dashboards that can integrate with existing university information systems.
Create and maintain document specifications on new and existing data reporting projects. Ensure that coded instructions can be easily followed by others.
Perform administrative support functions to support the day to day operations of the department to maintain maximum efficiency.

Required Knowledge, Skills and Abilities:

Proficiency in using Microsoft Office
Knowledge of Ellucian Banner and higher education issues and concepts.
Knowledge of enterprise relational information systems and database structures, Structured Query Language ( SQL) or equivalent programming language.
Knowledge of data analysis techniques in analyzing large amounts of data and making key observations.
Ability to learn new concepts, multi task and make decisions under pressure.
Effectively communicates through written, oral and/or multimedia forums.
Proficiency in usage of reporting tools (e.g. ARGOS, MS Report Builder, etc.)
Ability to be both an effective project leader and contributing team member.

Qualification Standards:

Education: BS degree in Computer and Information Technology, MIS or related field
At least three years of successful related work experience
Demonstrate proficiency in Excel
Demonstrate proficiency in SQL (preferably Oracle environment) and experience with interfacing relational databases
Experience with development and maintenance of reporting/dashboarding tools (e.g., Microsoft Business Intelligence, Tableau, etc.)

Performance Standards

The criteria for evaluation in this position include, but are not limited to the following:


Ability to produce work of high quality while managing multiple priorities
Demonstrate excellent organizational skills
Demonstrate practices to protect confidentiality of the university data
Ability to work independently, accurately and efficiently
Ability to effectively utilize technology to streamline and automatize activities
Ability to provide excellent customer service
Ability to work collegially with administrators, faculty and staff in a diverse environment
Ability to clearly and concisely communicate verbally and in written manner

Note: The university reserves the right to change or reassign job duties as provided in policy and negotiated agreements.

Delaware State University is an equal opportunity, Title IX Employer and does not discriminate against persons on the basis of race, religion, national origin, sexual orientation, gender, marital status, age or disability. "|5|South|Dover| DE
data analyst|DATA Inc.|"Category: Other Area(s)

Location: Bellefonte, Delaware

Hi ,

My Name is Sana Parveen and I'm a Lead Recruiter working at Data Inc. We have an immediate need for Data Analyst for a for a long term consulting assignment with our direct client in Bellefonte, Delaware 19809. If you are looking...

Details

 Apply"|0|South|Bellefonte| DE
data analyst|Hunter International|"Data AnalystWilmington, DE $28/HourData Analystwill install, configure, and troubleshoot desktop and laptop hardware and software. Data Analyst Responsibilities:

Knowledge and experience with general installs and configuration, and a willingness to act as an intermediary between the customer and the vendorSupport operating systems and 3rd party applications within the enterpriseCoordinate with vendor support contacts to resolve technical problems with desktop computing equipment, software and laboratory equipmentPerform system installations in a laboratory settingEnsure connectivity to domain controllers, file servers, email servers, application servers and administrative systemsKnowledge and experience with IP addressing, subnet masks, and routingAbility to multi-task and quickly react to system/service issuesAssess and determine the routine tasks to automate and optimize Lab operationsFamiliar with virtualization technologies, remote tools to perform remote diagnostics and troubleshooting of systemsKnowledge and some experience with routers, switches, firewall technologies Familiar with desktop backup and disaster recovery applications and methodologiesKnowledge of Microsoft Windows, Active Directory and Windows Group Policy as well as related Microsoft technologies Familiar with software packaging tools such as SCCMExperience with network segmentation tools such as Unisys Stealth Linux support experience Critical Skills Technical documentation – Capable of creating technical procedural and environment documentation Collaboration and Networking - Proficient at networking and sharing ideas and successes. Collaborate with colleagues from related functions and 3rd Party Vendors (e.g. IT, Microsoft)Customer Focused – Driven to understand customer needs, improve services, and maintain effective customer relations

Data Analyst Qualifications:



BS/MS in Information Technology (or equivalent)3+ years of relevant Windows desktop support Preferred QualificationsCandidate must have excellent communication skills in order to communicating complex technical ideas and the business value associated with information management best practices to all stakeholdersMCSEAzure Certification Work Environment

"|0|South|Wilmington| DE
data analyst|U.S. Bank||0|South|Dover| DE
data analyst|MBMS Medical Billing and Management Services|"Healthcare Data Analyst needed for a nationwide Medical Billing Company. Background in healthcare and/or Medical Billing is a plus but not required. Interviews to begin immediately.  Great benefits and excellent opportunity for growth and advancement.

The Healthcare Data Analyst role is an entry-level position supporting the Practice Management division of Medical Billing & Management Services (MBMS). This position will ensure appropriate preparation and analysis for Client Reporting deliverables, confirming their relevancy, accuracy, and overall quality.

Job Type: Full-time

Experience:

Advanced with Microsoft Excel

Experience with VLOOKUP, Pivot Tables and other FormulasExperience with Data Visualization Tools/Programs

Education:

Bachelor's Degree

Location:

Newark, DE

0"|0|South|Newark| DE
data analyst|JPMorgan Chase|"Global Financial

Crimes Compliance (GFCC) is part of our Global Compliance organization and is

responsible for developing and implementing the requirements and standards for

the firm's Enterprise-Wide Anti-Money Laundering and Sanctions Programs. GFCC

is comprised of the core functions (KYC, Sanctions, Investigations and

Transaction Monitoring), business-aligned teams and regional teams.

The Firm's Financial Intelligence Unit (FIU), responsible for investigating and

resolving strategic money laundering / terrorist financing (ML/TF) risks,

including typology, geography, product, customer/entity type and other ML/TF

risk categories.



*KeyResponsibilities:**


+ Researchingdata sources to support investigative objectives

+ Extractionand preparation of data sets

+ Refinementand enrichment of data to support analytics

+ Creationof targeted reports and visualizations to support investigative efforts

+ Idealcandidate will be able to quickly prepare target data sets forinvestigators

+ Supportinvestigators by utilizing the firm's data warehouse to enrich the initialinvestigative dataset with information concerning subject's: bankingproducts, transaction history, online logins, demographics and KYC.

+ Utilizationof Teradata SQL Assistant for querying the firm's data warehouse.Activities include: identification of all JPMC account relationshipspertaining to select individuals, extraction of transactional history fordemand deposit and credit cards, as well as performing targeted searchesbased on ZIP and NAIC codes.

+ Translateinvestigator requests into tactical SQL queries that can utilized for dataextraction.

+ Validatedata provided for both completeness and accuracy

+ 3+ years of data analysis or related experience

+ Familiarity with Data Wrangling, Analytics and Visualization concepts

+ Experience using various software tools, including Alteryx, QlikView, Tableau, IBM I2 Analyst Notebook is a plus

+ Bachelor's degree in Computer Sciences, Finance, Accounting or related discipline

+ SQL proficiency is a fundamental requirement and includes: the ability to join multiple tables in queries, create and updating of tables

+ Working knowledge of the firm's ICDW data warehouse

+ Proficiency in applications such as Excel, Word, Power Point, Share Point

+ Exhibit Intellectual Curiosity

+ Ability to work independently

+ Problem solving strength is a must, as periodically new and unique requests are presented.

+ Ability to multitask and meet deadlines

JPMorgan Chase is an equal opportunity and affirmative action employer Disability/Veteran."|4|South|Newark| DE
data analyst|Insperity|"For 25+ years, our client has been providing accurate and reliable contract microbiology services for pharmaceutical, agri-bio, nutraceutical, personal care, and research industries. They are a veteran-owned small business providing fast, affordable, and complete answers using cutting-edge technologies and cGMP practices.

Data Analyst - Laboratory Technologist

Are you looking for a Data Analyst position where you can hone your primary skill set as well challenge yourself to grow professionally? Do you want to work for an established company where your insights have immediate effects on the results? Are you a self-starter interested in affecting people’s lives? If so, may have just the opportunity for you!

As the Data Analyst, you’ll be responsible for DNA sequencing and MALD-TOF data analysis, data interpretation, report generation/review, along with assisting in daily sample preparation and communicating with customers.

This role will impact customer satisfaction and the success of the company through effective handling, processing and reporting of customer samples in a cGMP-compliant and professional manner to ensure ongoing customer satisfaction.

Responsibilities include but are not limited to:

Conduct microbial identification data analysis
Assemble .ab1 files for consensus sequence data using DNA assembly software
Evaluate DNA sequencing sample data, forms identification conclusions, generates and signs/verifies reports
Evaluate MALDI-TOF sample data, forms identification conclusions, generate and sign/verify reports
Perform standard microbiology procedures including handling, growth and purification of cultures
Perform microbial identification procedures including receipt of samples, DNA extraction, PCR amplification, sequencing, perform required data entry, and run associated equipment (e.g. sequencers, MALDI-TOF)
Write, review, and/or edit SOPs, test cases and quality documents for cGMP lab
Verify sample reports and send to Customers

Requirements:

Bachelor’s degree in Life Science or Biotechnology
At least 3 years of experience in a laboratory environment
At least 2 years of experience with analyzing DNA sequencing data, including assembly of .ab1 files into a consensus sequence
Technical expertise in laboratory functions and services, including microbiology lab techniques and DNA sequencing
Computer skills – all Office software and specialized software including DNA sequencing
Experience in a 21 CFR part 211 environment
Technical training in scientific equipment (e.g. From Applied Biosystems, Bruker)
Experience with ISO 17025 (preferable) or ISO 9002 lab environment

Desired Knowledge:

Technical training in scientific equipment (e.g. From Applied Biosystems, Bruker) desired
Technical expertise in laboratory functions, services and regulations, including MALDI-TOF, FAME, taxonomy, cGMP/GLP, ISO 17025 or ISO 9002 desired
Computer skills - MALDI-TOF system microbial identification analysis desired

Benefits:

Our client value their employees’ time and efforts. Their commitment to your success is enhanced by their competitive compensation and an extensive benefits package including medical, dental, and 401K.

Plus, they work to maintain the best possible environment for their employees, where people can learn and grow with the company. They strive to provide a collaborative environment where each person feels encouraged to contribute to our processes, decisions, planning and culture.

We are an equal opportunity employer and all qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disability status, protected veteran status, or any other characteristic protected by law. #HCE"|0|South|Newark| DE
data analyst|Kelly Mitchell Group|"KellyMitchell matches the best IT and business talent with premier organizations nationwide. Our clients, ranging from Fortune 500 corporations to rapidly growing high-tech companies, are exceptionally served by our 1500+ IT and business consultants. Our industry is growing rapidly, and now is a great time to launch your career with the KellyMitchell team.

Job Title: Data Analyst - Inter

Job Description & Responsibilities

Responsible for the design, development and administration of transactional and analytical data constructs/structures.
Included within those responsibilities are the areas of data access and delivery technologies.
Includes expertise in data quality, data organization, metadata, and data profiling.
May provide technical support on data warehouse teams.
Data set sizes are usually huge (in excess of hundreds of millions of records).

Skills, Experiences, Knowledge

SQL and Python experience required.
Familiarity with AWS and cloud technologies required.
Some Unix experience would be very helpful.
Demonstrated ability to move from one sequential assignment to the next (work environment and priorities can change quickly depending on business needs).
Demonstrated ability to move data between production systems and across multiple platforms
3-5 years experience with Financial Services clients
Experience with major querying tools preferred
OLAP/SQL Tools 3-5 yrs experience with MVS, Teradata, SAS, Brio or comparable
Ability to deliver highly technical information to a broader audience beyond the team lead while influencing within the team
"|0|South|Wilmington| DE
