company|description|position|reviews|Region|City|State
Tea Collection|Expectations for All Employees:Supports the organization’s mission, vision, and values by exhibiting the following behaviors: excellence and competence, collaboration, innovation, respect, personalization, commitment to our community, and accountability and ownership. Objective:This role will be responsible for maintaining our current BI tool and delivering tools that assist with company analytics, reporting, and data dashboards. In the near term, will help with identifying & implementing a new BI tool that will most appropriately fill the business requirements for the diverse needs of our end users. When a Tea employee has a data or reporting need that cannot be met using our existing reporting tools, the BI Analyst will document the requirements and find creative ways to get the needed data or analysis.Responsibilities:-Help identify and implement a new BI tool over the next 6 – 12 months. -Deliver solutions that enable Tea users to quickly and easily access the data they need to make better business decisions-Work with cross functional teams and their subject matter experts to understand data requirements to create and deliver analysis to help grow the business-Work with internal teams on best data sources and approaches for creating analytics tools-Ensure data integrity across all systems and resolve data quality issues and discrepancies-Manage total company data metrics and search requirements -Participate in the design of new data sources and structures for our BI tool and continuously pursue and master new business intelligence skills to help increase the analytical IQ of the organization-Own the reporting backlog and prioritize reporting enhancements and customer requests by making smart, decisive tradeoffs using data-driven analysis and sound judgment-Develop business knowledge to effectively anticipate and define opportunities to apply business intelligence and analytics solutions to improve business outcomes-Conduct BI workshops gathering analysis requirements for key business stakeholders-Create use cases, user stories, and detailed product requirements documents that clearly articulate desired reporting functionality and manage delivery solutions for these reporting needs  Qualifications:-2+ years of experience with business intelligence-Technical or Business (Math, Engineering, Science, Economics) Bachelor’s Degree from an accredited university-Technical skills in SQL & Advanced Excel -Knowledge of best practices and principles for data modeling, dashboards, report design, and analytics-Strong work ethic-Ability to multi-task effectively and be comfortable working in a fast-paced, dynamic environment without close guidance or supervision-Excellent verbal and written communication skills-High degree of attention to detail-Use knowledge of analytic disciplines to solve unique issues/problems without precedent and/or structure -Knowledge of retail math and Google Analytics, with finance principles a plus-Strong mathematical skills, analytical/research skills and mastery of statistical techniques to transform raw data into insightsTo apply to this job, click  Apply Now|data analyst|0|West|Boise| ID
TSheets|"OverviewAre you passionate about data? Do you enjoy working with other smart people to find trends and patterns in the data? Do you want to work in a data-driven environment where your effort impacts the success of the customers? We are looking for a savvy Data Analyst to join our close knit team of data professionals. You look to expand your knowledge and experience in data extraction, visualization, and story-telling. You must be courageous but not a bully, strong but not rude and humble but not timid. In a couple words, emotionally intelligent.ResponsibilitiesPartner

Consult and provide data driven recommendations on key business decisions and initiativesProactively monitor and communicate opportunities on key performance indicators and metricsBuild cross-functional relationships with business units to ensure long-term partnership successSupport our Product Managers, Sales Leaders, Software Developers, Data Engineers, Data Scientists and key business partners on business initiatives and ensure successful partnerships with each teamPartner with the data warehouse team in gathering requirements, designing, testing, and supporting the ongoing development of the data warehouseDrive a data fluent culture by educating and mentoring others in the field of data analysis

Build

Manage and track a variety of tasks and projects at one timeEngage with Agile framework / Scrums / Sprints / JIRADevelop and maintain reports / dashboards / analysis using Periscope Data, Tableau, and other BI development toolsDocument and adhere to standard analytics and reporting processesCommunicate findings clearly to stakeholders through intelligent visualizations, interpretation and story-tellingParticipate in the development process through the lense of data availability, consistency and completeness

Qualifications

Excellent analytical and problem-solving skillsExperienced with writing SQLExperienced with BI and analytics tools (Tableau, Power BI, Periscope Data, Excel, etc.)Proficient with Excel pivot tables, v-lookups, and functionsAbility to process requests, implement recommended solutions, and complete requests in a timely fashionExcellent verbal and written communication skillsBe self-directed and able to function both independently and as part of a teamMust be highly organized with a strong attention to detailAbility to handle multiple projects and meet deadlinesKnowledgeable with data warehouse concepts (Kimball)

Imagine a career where your creative inspiration can fuel BIG innovation. Year-over-year, Intuit has been recognized as a best employer and is consistently ranked on Fortune's ""100 Best Companies To Work For"" and Fortune World's ""Most Admired Software Companies"" lists. Immerse yourself in our award winning culture while creating breakthrough solutions that simplify the lives of consumers and small businesses and their customers worldwide.

Intuit is expanding its social, mobile, and global footprint with a full suite of products and services that are revolutionizing the industry. Utilizing design for delight and lean startup methodologies, our entrepreneurial employees have brought more than 250 innovations to market – from QuickBooks® and TurboTax®, to GoPayment, Mint.com, big data, cloud (SaaS, PaaS) and mobile apps. The breadth and depth of these customer-driven innovations mean limitless opportunities for you to turn your ingenious ideas into reality at Intuit.

Discover what it's like to be part of a team that rewards taking risks and trying new things. It's time to love what you do! Check out all of our career opportunities at: careers.intuit.com. EOE AA M/F/Vet/Disability

Intuit will consider for employment qualified applicants with criminal histories in a manner consistent with requirements of local law.To apply to this job, click  Apply Now"|senior business data analyst|5|West|Eagle| ID
Applied Materials|**Key Responsibilities**  Manage and facilitate significant analytic initiatives in support of system strategic, operational and quality projects. Document rules and processes for business intelligence or IT reports, dashboards, change requests, projects, or other outputs; Maintain library of model documents, templates or other reusable knowledge  Working in collaboration with executives and operational managers, translates the business needs into analytic and reporting strategies through the development, execution and resourcing of routine and project specific plans for analytics delivery.  Analysis and interprets business data for multiple products, aligns with other departments and provides decision making on report results  Decides on best business design to meet reporting needs for the organization. Works with IT to ensure correct understanding and implementation of these business needs.  Implements new enhancements to BI, supporting additional insight into existing products and services. Ensures correct implementation from beginning to end.  Educates & trains user community on the potential uses of the business intelligence system  Provides customized ad-hoc reports as requested by management by extracting data from internal databases using SQL or using Business Intelligence tools. Summarizes data in business and financial terms for management, executives, vendors, and other stakeholders,  Perform and adopt best practices in testing and reporting: usability, data integrity, test design, analysis, validation, and documentation. Provides Approvals/Denials for Finance of key company data  Research and document potential data integrity issues through the use of SQL querying or Business Intelligence tools.  **Functional Knowledge**  + Demonstrates depth and/or breadth of expertise in own specialized discipline or field  **Business Expertise**  + Interprets internal/external business challenges and recommends best practices to improve products, processes or services  **Leadership**  + May lead functional teams or projects with moderate resource requirements, risk, and/or complexity  **Problem Solving**  + Leads others to solve complex problems; uses sophisticated analytical thought to exercise judgment and identify innovative solutions  **Impact**  + Impacts the achievement of customer, operational, project or service objectives; work is guided by functional policies  **Interpersonal Skills**  + Communicates difficult concepts and negotiates with others to adopt a different point of view  **Qualifications**  **Education:** Bachelor's Degree  **Skills**  **Certifications:**  **Languages:**  **Years of Experience:** 7 - 10 Years  **Work Experience:**  **Additional Information**  **Travel:** Yes, 10% of the Time  **Relocation Eligible:** No  Applied Materials is committed to diversity in its workforce including Equal Employment Opportunity for Minorities, Females, Protected Veterans and Individuals with Disabilities.  Applied Materials is the leader in materials engineering solutions used to produce virtually every new chip and advanced display in the world. Our expertise in modifying materials at atomic levels and on an industrial scale enables customers to transform possibilities into reality. At Applied Materials, our innovations make possible the technology shaping the future.|data analyst|2|West|Boise| ID
St. Luke's Health System|"
*Overview**


Do you like working on things that can positively impact the health of your friends, family, neighbors and community? We're the region's leading health system, locally owned and not-for-profit. We are one of four U.S. health systems to achieve Magnet accreditation four times, St. Luke's is an attractive place to grow your career. Being ranked at the top is great validation for the work we do, with our patients being the real winners. The Digital and Analytics team is looking for a Data Science Analyst to join the team in Boise, ID.



*Job Functions:**


+ Uses advanced analytics methods to extract value from clinical, financial and operational business data. Seeks to understand business needs, and gets results that have a clear, positive, and direct impact on business performance.

+ Performs small/medium-scale experimentation and build data-driven models with guidance to help solve business challenges. Assists in building and deploying predictive models, web scrapping, and scalable data pipelines.

+ Assists in conducting research on cutting-edge techniques and tools in machine learning/deep learning/artificial intelligence.

+ Recommends strategies that are supported by strong logic and a compelling business case, addressing all relevant factors.

+ Collaborates and works with Data Analytics team and teams of other SLHS functions to manage statistical data and create different models based on organizational needs.

+ Reviews and understands requirements that will be used to train and evolve deep learning models and algorithms.

+ Supports articulating a vision and roadmap for the exploitation of data as a valued corporate asset.

+ Evangelizes best practices to analytics and products teams.

+ Possesses beginning to working knowledge of subject matter.

+ Performs other duties and responsibilities as assigned.



*Required Criteria:**


+ **Education:** Bachelor's Degree in Computer Science, Statistics, Economics, or other closely related field.

+ **Licenses/Certifications:** Must have one of the following certifications: R, MATLAB, SAS or Python.

Our employees enjoy many benefits, some of the most popular are tuition reimbursement, hospital retirement contributions, and hospital-supported on-going training and education.

If you're looking for a place where you can grow in your personal life, in your career, and in your community, St. Luke's may be just the place for you.

A strong, talented staff is at the heart of St. Luke's Health System. We are the state's largest employer with more than 13,500 employees and a medical staff of more than 1,800 physicians and advanced practice clinicians. Our employees are dedicated to impacting the lives of those in our community while pursuing a life- changing career at St. Luke's. Our staff is the reason for our outstanding reputation as both a quality employer and superior healthcare organization. We're proud of our people who deliver skilled, compassionate care every day, and are looking to add dedicated individuals who will continue in the same tradition of excellence.

With multiple locations in the beautiful southern and central Idaho, our mild, four season climate means you can play outdoors year-round. Whether you prefer leisurely walks along the river or heart-pounding climbs up a sheer cliff- there is always something to do after work. An exciting mix of urban and outdoor life defines Idaho's culture, you can ski in the morning and watch a college sporting event at night. It is a great state to raise a family and forge lasting relationships. The cost of living is low, and quality of life is high.

__________________

_\#One of America's Top 15 Health Systems - U.S.News & World Report, ""America's Best Hospitals 2015-2016""_

_*St. Luke's is an equal opportunity employer and does not discriminate against any person on the basis of race, religion, color, gender, gender identity, sexual orientation, age, national origin, disability, veteran status, or any other status or condition protected by law._



*Category** _Digital & Analytics_
*Department** _5498-D&A BUSINESS INTELLIGENCE_
*Position Type** _Regular Full-Time_
*Work Schedule** _DAY_
*Location Name** _400 Broadway Ave, Boise, ID_
*Requisition ID** _2019-27767_
"|data analyst|5|West|Boise| ID
iVinci Health|"Summary of Position:

The Data Analyst I is a key member of our Client Implementation team and works with our clients’ data warehouse / reporting team and VisitPay’s technical team to set up the necessary data extracts from the health system’s billing system required for the VisitPay solution suite.

Key Activities:

Subject matter expert to our client’s technical team for the setup of data extracts from their billing system according to the VisitPay data extract file specifications
Participate in client operational and technical calls and VisitPay client implementation and client technical team meetings. Lead the discussion related to the data extract setup and validation
Maintain baseline data extract file specifications; update file specifications to reflect the client’s billing system and VisitPay configuration
Assist the client’s technical team with the setup of data extracts, including identifying the appropriate billing system tables and fields, adapting SQL scripts, automation, troubleshooting issues
Assist the client’s technical team to perform initial quality assurance and data validation
Act as a liaison between the client’s technical team and VisitPay technical team during the VisitPay data load and validation process

Competencies for success include the ability to:

Manage concurrent deliverables, projects, and priorities
Thrive in an environment of ambiguity and change
Problem solve, with the ability to think quickly and implement plans / structure for accomplishing established goals
Comfort level in working in a matrixed team environment
Excellent verbal and written communication skills, as this will be a client facing role
Excellent analytical, conceptual, troubleshooting, and problem-solving skills

Qualifications:

BS in Computer Science, Information Systems or related field required.
Strong report writing or SQL skills required. 2-3 years of SQL query and or report writing experience, preferably working with either a health care billing system (e.g. Epic or Cerner) or ERP system
Proven experience writing extract file specifications and supporting documentation
Experience working with hospital or financial systems a plus
Experience working in a secure HIPAA / PHI environment a plus

Location:

This position is based in Boise, ID. Relocation is not available for this position.
Sponsorship is not available for this position.

Why VisitPay?

VisitPay is a well-funded mid-growth technology company in a $400B growing market. We are a nationally focused company working closely with some of the nation’s largest and most well-respected health systems to provide innovative and compelling SaaS-based products. We are poised to capture significant share in the massive and growing self-pay market. Our solutions help healthcare systems optimize their revenue while providing patients with a much improved and friendly billing experience.

Located in beautiful Boise, Idaho, you will have the opportunity to work with an exceptional leadership team who has significant experience building companies in consumer finance, software and analytics, and enjoy a competitive salary, benefits and equity appreciation rights, as well as a work/life balance suited to enjoy the beautiful landscape Idaho provides.

Equal Employment Opportunity Employer

VisitPay is an equal opportunity employer and all qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disability status, protected veteran status, or any other characteristic protected by law."|data analyst|0|West|Boise| ID
Agri-Service|"Job DescriptionDo you have that ideal mix of strong analytical skills, business knowledge and great communication skills? Want to provide information that helps drive operational decisions? Do our values of safety, integrity, teamwork and challenge resonate with you?

We're not your average ag equipment business, we're Agri-Service Come grow with us!

Agri-Service and its employees are dedicated to the success of agriculture in America. We are your friends, your family, your community and your support system. We continually strive to provide an unparalleled customer experience, investing in our people and our business to successfully serve the caretakers of the land--one farmer, one neighbor, one community at a time.

Location: Blackfoot, ID

Reports to: Senior Controller

The Opportunity:

Partner with the Operations Teams (Service, Sales, Parts) to deliver dashboards and reports that provide data visibility. This role will perform scheduled and ad hoc reports and analysis to identify, monitor and explain business results. This role is expected to provide leadership with analysis of operational data that will drive operational decisions.

Develop predictive analytic models for key business metricsIntegrate data from multiple data sources for increased visibility and transparencyAnalyze data, validate accuracy, and present data in a user-friendly formatDesign, test, prepare and analyze periodic reports used by the Operations teamsAssist sales and marketing management and executive management as applicable with miscellaneous projects including market research and data managementEnsure data accuracy and integrityUpdate data and dashboards as necessary Performs other duties as assigned

Your Toolbox Includes:

Knowledge, Skills, and Abilities:

Strong analytical skillsMust be detail oriented and comfortable working with large data setsAbility to measure, interpret and make real-time decisions and recommendations based on large volumes of sales and marketing performance data Excellent communication and interpersonal skills - verbal, written and presentation Proficiency with databases and data portingExpert/Advanced knowledge of Excel required, experience with additional data analytics tools preferredExcellent organizational and time management skillsAbility to set priorities to meet time sensitive project deadlines

Education and Experience:

Minimum high school diploma or General Education Degree (GED)Associate Degree or higher preferred At least 2-3 years of data analysis and/or marketing experience preferredMust be able to communicate effectively in English (speak, read, write, comprehend)Must be willing to complete role specific training as requested by management

Physical Demands and Working Conditions:

Must be able to sit for long periods of time along with walking, standing, climbing stairs, reaching pushing, pulling, leaning and twistingMust be able to meet all safety requirements for applicable safety policies

Keywords: Data analysis, data, analyst, analytics, business metrics, business acumen, reporting, farming, agriculture, ag.

Disclaimer: The above statements are intended to describe the general nature and level of work being performed by employees assigned to this classification. It is not intended be an exhaustive list of all responsibilities, duties, and skills required of employees in this classification.

Reasonable accommodation

Reasonable accommodation requests for persons with disability may be submitted by email or U.S. Mail. If you require reasonable accommodation during any part of the hiring process, please submit requests to jobs@agri-service.com or mail to:

Agri-Service LLC

Attn: VP, Human Resources

300 Agri-Service Way

Kimberly, ID 83341"|business data analyst|0|West|Blackfoot| ID
Waterborne Environmental, Inc|"Data Analyst (Position Code VA/DA1119)

Data Analyst

(Position Code VA/DA1119)

Waterborne is a progressive company of bright, motivated scientists and engineers looking for valuable additions to our team. We provide a comprehensive suite of services in advanced modeling, statistics, automation, data analysis, field studies, software development, spatial technologies and study management. We currently have an opening for a full-time entry/mid-level Data Analyst. This position will be located in Leesburg, VA. The Data Analyst will actively support a wide variety of projects, including data collection, management of environmental monitoring databases for agrochemicals and data analysis. This position will include the following responsibilities:



Support the maintenance, development and analysis of local and national-scale environmental database
Acquire data from primary or secondary sources, clean and filter data, build and maintain databases
Interpret data, analyze results using statistical techniques and create summary tables for ongoing reports
Identify trends or patterns with data, automate certain tasks, review and enhance existing code/scripts
Design and setup project level databases and provide project-level support in data management
Review reports and support creation of project-level presentations and deliverables


Position requirements



Analytical skills with the ability to collect, organize, analyze and disseminate significant amounts of information with attention to detail and accuracy
Technical expertise with data organization including database design and development
Working knowledge and experience with databases (e.g., SQL Server, MS Access) and programming (.NET, Python, XML, JavaScript, etc.)
Familiarity with statistics, analyzing data, and creating easily-consumable outputs using statistical packages (Excel, R, SPSS, SAS, etc.)
Adept at querying for data, creating summary tables, presenting findings and report writing
Possess, at a minimum, a Bachelors degree in Mathematics, Economics, Computer Science, Information Management or Statistics
Familiarity with machine learning and artificial intelligence is a plus, but not required
Able to work in the United States without sponsorship


We are a small company with a diverse set of professional backgrounds and pride ourselves on both client and employee satisfaction. Salary will be commensurate with experience and qualifications. Benefits package includes health, dental and life insurance; 401(K) with company match; and an excellent working environment. Please provide a resume and cover letter addressing your salary requirements and establishing your experience/qualifications for the criteria outlined above. Please note on your submittal the position code denoted above.

Please forward your resume to our Human Resources Department at ********************* or Attn: Human Resources Position VA/DA1119, Waterborne Environmental, Inc., 897-B Harrison Street, SE, Leesburg, VA 20175.



*********************


Waterborne is an Equal Opportunity Employer - M/F/D/V

recblid v8ptua8uu7gcj66i3auzho61w4k03v

This job is available to residents of USA only.



ID#: *********
Location: Leesburg, VA , 20176
Type: Information Technology (IT)
Company: Waterborne Environmental, Inc


Share



View More Jobs!
Post your resume
Create an Alert
Found a mis-fit listing? Report it
"|data analyst|0|West|Leesburg| ID
United Global Technologies||data analyst|0|West|Idaho Falls| ID
United Global Technologies|"The Data Analytics Report Builder will assist in the design and implementation of analytics reporting capabilities for the client. Reports will primarily be designed and delivered using Power BI and other Microsoft based technologies.

Must be able to work with customers on requirements gathering, report building, and report deploying.

Must understand what visualizations best represent data and overall dashboard design.

Must have strong knowledge of Power BI data querying and modeling capabilities.

Must be able to design, build, and deploy Power BI reports based off of multiple data sets.

Must be able to maintain and enhance active Power BI reports.

Must be able to train business users on using Power BI reports.

Must be able to manage multiple priorities while maintaining consistency.

Must be able to work in groups and communicate well.

Broad experience in data visualization and reporting technologies (including non- digital) is preferred.- provided by Dice"|data analyst|5|West|Idaho Falls| ID
Intuit|"OverviewAre you passionate about data? Do you enjoy working with other smart people to find trends and patterns in the data? Do you want to work in a data-driven environment where your effort impacts the success of the customers? We are looking for a savvy Data Analyst to join our close knit team of data professionals. You look to expand your knowledge and experience in data extraction, visualization, and story-telling. You must be courageous but not a bully, strong but not rude and humble but not timid. In a couple words, emotionally intelligent.ResponsibilitiesPartner

Consult and provide data driven recommendations on key business decisions and initiativesProactively monitor and communicate opportunities on key performance indicators and metricsBuild cross-functional relationships with business units to ensure long-term partnership successSupport our Product Managers, Sales Leaders, Software Developers, Data Engineers, Data Scientists and key business partners on business initiatives and ensure successful partnerships with each teamPartner with the data warehouse team in gathering requirements, designing, testing, and supporting the ongoing development of the data warehouseDrive a data fluent culture by educating and mentoring others in the field of data analysis


Build

Manage and track a variety of tasks and projects at one timeEngage with Agile framework / Scrums / Sprints / JIRADevelop and maintain reports / dashboards / analysis using Periscope Data, Tableau, and other BI development toolsDocument and adhere to standard analytics and reporting processesCommunicate findings clearly to stakeholders through intelligent visualizations, interpretation and story-tellingParticipate in the development process through the lense of data availability, consistency and completeness

Qualifications

Excellent analytical and problem-solving skillsExperienced with writing SQLExperienced with BI and analytics tools (Tableau, Power BI, Periscope Data, Excel, etc.)Proficient with Excel pivot tables, v-lookups, and functionsAbility to process requests, implement recommended solutions, and complete requests in a timely fashionExcellent verbal and written communication skillsBe self-directed and able to function both independently and as part of a teamMust be highly organized with a strong attention to detailAbility to handle multiple projects and meet deadlinesKnowledgeable with data warehouse concepts (Kimball)
"|senior business data analyst|5|West|Eagle| ID
