company|description|position|reviews|Region|City|State
Syngenta||data analyst|0|Midwest|Downers Grove| IL
Univar||data analyst|0|Midwest|Downers Grove| IL
Presbyterian Healthcare Services|"OverviewJob Description Type of Opportunity: Full Time FTE: 1.000000 Exempt: Yes Work Schedule: Days

Summary:*Works to collaborate supporting the clinical development needs of staff, residency Fellowship, and student programs throughout the PHS enterprise by providing data management, reports, e learning, project coordination, application support, and researchResponsibilitiesResponsibilities:Data Analyst: *Independently drives data gathering, reporting, organization, reporting and visual graphics of complex data to assist in identifying needs for target audience*Collaborates in the identification of target audience performance needs and gaps *Defines the performance gap objectives and partners with management to achieve agreement on approach to bridge the gap*Creates optimal, budget conscious tracking and reporting to achieve performance objectives*Incorporates evidence based data to structure instructional design for e learning and how to track and report performance on content*Drives the implementation of educational technology and applications in collaboration with management and team members*Builds the approach, deployment, collection, analysis and reporting of project effectiveness*Designs new programs to meet organizational strategic objectives*At the elbow support for Clinical Education team and those we support management, staff, nurse residents, fellows, clinical contractors, assigned vendors and studentsPerformance evaluator for Clinical Education scope of services and Nursing Residency/Fellowship Programs: *Assists CPDS and CPDS Residency teams to build and implement Levels 1 through 4 evaluation tools to measure satisfaction, learning, and transfer to performance based upon performance objectives*Partners with management to assess project performance gaps and build remediation action plansProject Coordination: *Role models and coaches in the moment *Role models highest specialty standards*Mentors others in best practice to enhance outcomes and performance*Independently lead projects assigned*Incorporates best practice standards in reporting to better inform management and leadershipConsultant / Collaborator: *Works and mentors team members within Clinical Education team to accelerate performance *Initiates and or supporting changes in practice through project tracking, e-learning development, educational technology, and applications*Work with CPDS on support for nursing, allied health, and nurse residency programs*May lead projects assigned by PDS Manager Clinical Education OperationsApplications:*Works and mentors team members within Clinical Education team to use e learning applications effectively and according to best practice*Works and mentors team members within Clinical Education team on web applications assigned to accelerate performanceResearcher: *Incorporates project coordination and e learning best practices and standards into work*Supports, builds, and initiates new projects to improve the performance and outcomes of Clinical Education*Stays up to date on best practices for data cleaning, data mining, and data visualization and reporting techniquesPromise and CARES Commitment:*Participates and role models the organizational mission, and vision within all of Presbyterian Healthcare ServicesSpecialty Role Focus:Applies skills and critical thinking related to area of assignment to gather, organize and report data, project coordination, computer based training, and other assignments assigned.QualificationsAcademic Preparation:

*Bachelors degree in healthcare operations, analytics, e-learning development/instructional design, business management, and/or information technology. 6 years of additional experience can be substituted in lieu of degree.Experience: Minimum at least 6 years of healthcare in healthcare operations, analytics, e learning development, academic coordination, and or information technology

Abilities: (Physical, mental, environmental requirements/demands):

Assumes and maintains various postural positions including but not limited to sitting, kneeling, reaching, squatting, climbing, bending/twisting neck and/or waist, lifting and carrying or pushing/pulling objects/equipment.

On occasion will need to work extended hours.BenefitsBenefits Benefits are effective day-one (for .45 FTE and above) and include:


Competitive salaries
Full medical, dental and vision insurance
 Flexible spending accounts (FSAs)
 Free wellness programs
Paid time off (PTO)
Retirement plans, including matching employer contributions
Continuing education and career development opportunities
 Life insurance and short/long term disability programs

About Us Presbyterian Healthcare Services is a locally owned, not-for-profit healthcare system of nine hospitals, a statewide health plan and a growing multi-specialty medical group. Founded in New Mexico in 1908, it is the state's largest private employer with approximately 11,000 employees.

Presbyterian's story is really the story of the remarkable people who have chosen to work here. Starting with Reverend Cooper who began our journey in 1908, the hard work of thousands of physicians, employees, board members, and other volunteers brought Presbyterian from a tiny tuberculosis sanatorium to a statewide healthcare system, serving more than 700,000 New Mexicans. We are part of New Mexico's history - and committed to its future. That is why we will continue to work just as hard and care just as deeply to serve New Mexico for years to come. About New Mexico New Mexico's unique blend of Spanish, Mexican and Native American influences contribute to a culturally rich lifestyle. Add in Albuquerque's International Balloon Fiesta, Los Alamos' nuclear scientists, Roswell's visitors from outer space, and Santa Fe's artists, and you get an eclectic mix of people, places and experiences that make this state great. Cities in New Mexico are continually ranked among the nation's best places to work and live by Forbes magazine, Kiplinger's Personal Finance, and other corporate and government relocation managers like Worldwide ERC. New Mexico offers endless recreational opportunities to explore, and enjoy an active lifestyle. Venture off the beaten path, challenge your body in the elements, or open yourself up to the expansive sky. From hiking, golfing and biking to skiing, snowboarding and boating, it's all available among our beautiful wonders of the west. AA/EOE/VET/DISABLED. PHS is a drug-free and tobacco-free employer with smoke free campuses.Start your job application: click  Apply Now"|data analyst|0|Midwest|Chicago| IL
AXA||data analyst|5|Midwest|Chicago| IL
AXA Insurance plc|"Data Analyst

19000DZC

UNITED STATES-IL-CHICAGO

AP Global Operations

Regular

Day Job

Full-time

The Data Analyst will conduct full lifecycle analysis of raw information and data to include requirements, activities and design. The Data Analyst will develop analysis and reporting capabilities that will improve operational and financial efficiencies. This position will be called upon to build small to large datasets, provide analytical support as well as extract and communicate data as needed. This role will identify opportunities for process improvements and work with cross-function teams to ensure improvements are made company-wide

Key Responsibilities:

Collaborate and work closely with cross-functional business partners to identify gaps and structure problems
Identify valuable data sources and automate collection processes
Undertake pre-processing of structured and unstructured data
Interpreting data, analyzing results using statistical techniques and providing ongoing reports
Developing and implementing databases, data collection systems, data analytics and other strategies that optimize statistical efficiency and quality
Acquiring data from primary or secondary data sources and maintaining databases/data analysis systems
Analyze large amounts of information to discover trends and patterns; present findings and recommendations as needed
Build predictive models and machine-learning algorithms
Present information using data visualization techniques
Propose solutions and strategies to ever-changing business challenges
Bachelors' degree in Computer Science, Engineering or Applied Mathematics or other quantitative field.
3+ years hands-on experience as a Data Analyst or Data scientist with solid data mining experience
Knowledge of and experience with R, SQL, Python as well as Scala, JAVA and/or C++
Proficiency with business intelligence tools (such as Tableau, Targit, Dundas BI, etc) and data frameworks (such as Hadoop, Storm, Samza, etc)
Deep awareness of and experience with Big Data analytics
Analytical thinking skills and problem-solving aptitude
Exceptional communication skills with ability to present technical, statistical data in a positive, understandable manner


AXA Group is the world leader in insurance and asset management. We protect and advise our clients at every step in their lives, by offering products and services which satisfy their needs in the areas of insurance, personal protection, saving and asset management. AXA is the leading insurance brand worldwide, with over 100 million clients. We are transforming from payer to partner for our client, with a strong focus on risk prevention.

Our mission: Empower people to live a better life.

Our values: Customer First, Courage, Integrity and One AXA.

AXA Partners is an AXA transversal business unit offering a wide range of solutions in assistance services, travel insurance and credit protection.

AXA Partners' role is also to implement innovative solutions emerging from the AXA Innovation unit.

Our mission is to help our Corporate clients to enrich their customers' experience, with more than 9,000 employees at their service anywhere, anytime.

By joining AXA Partners, you will work in a responsible company, which offers a real culture of expertise & diversity. Our focus is on accelerating the development of everyone's skills, whilst offering attractive and competitive compensation and opportunities for professional development and growth.

Additionally, at AXA, we work to make a real difference to people - when amazing things happen and when we create opportunities for a better life, the feeling of pride is extraordinary."|data analyst|2|Midwest|Chicago| IL
AXA Advisors|"The Data Analyst will conduct full lifecycle analysis of raw information and data to include requirements, activities and design. The Data Analyst will develop analysis and reporting capabilities that will improve operational and financial efficiencies. This position will be called upon to build small to large datasets, provide analytical support as well as extract and communicate data as needed. This role will identify opportunities for process improvements and work with cross-function teams to ensure improvements are made company-wide

Key Responsibilities:


Collaborate and work closely with cross-functional business partners to identify gaps and structure problems Identify valuable data sources and automate collection processesUndertake pre-processing of structured and unstructured dataInterpreting data, analyzing results using statistical techniques and providing ongoing reportsDeveloping and implementing databases, data collection systems, data analytics and other strategies that optimize statistical efficiency and qualityAcquiring data from primary or secondary data sources and maintaining databases/data analysis systemsAnalyze large amounts of information to discover trends and patterns; present findings and recommendations as neededBuild predictive models and machine-learning algorithmsPresent information using data visualization techniquesPropose solutions and strategies to ever-changing business challenges



Bachelors’ degree in Computer Science,

 Engineering or Applied Mathematics or other quantitative field.3 years hands-on experience as a Data Analyst

 or Data scientist with solid data mining experienceKnowledge of and experience with R, SQL, Python

 as well as Scala, JAVA and/or C Proficiency with business intelligence tools

 (such as Tableau, Targit, Dundas BI, etc) and data frameworks (such as

 Hadoop, Storm, Samza, etc)Deep awareness of and experience with Big Data

 analyticsAnalytical thinking skills and problem-solving

 aptitude Exceptional communication skills with ability to

present technical, statistical data in a positive, understandable manner
"|data analyst|3|Midwest|Chicago| IL
Ecolab|"With annual sales of $15 billion, Ecolab (ECL) is the global leader in water, hygiene and energy technologies and services that protect people and vital resources. Our 49,000 associates help make the world cleaner, safer and healthier by delivering critical insights and innovative solutions to help our customers achieve clean water, safe food, abundant energy and healthy environments at nearly three million customer locations in more than 170 countries.

Our innovative products and services touch virtually every aspect of daily life and are used in hospitals, hotels, restaurants, schools, manufacturing plants, refineries and other locations throughout the world. Many of the worlds most recognizable brands rely on Ecolab to help ensure operational efficiencies, product integrity and brand reputation.

When you come to work at Ecolab, you get to take on some of the worlds most meaningful challenges and have the opportunity to learn and grow, shape your career, make an impact and quickly see the importance of your work.

For more Ecolab news and information, visit www.ecolab.com. Follow us on Twitter @ecolab, Facebook at facebook.com/ecolab, LinkedIn at Ecolab or Instagram at Ecolab Inc.

Ecolabs Nalco Water division is seeking a business focused Data Scientist to unlock the value in data assets while creating new and unique offerings for customers in the industrial segment. In this role, you will work with the business innovation teams, marketing, sales and customers along with expertise from Ecolabs Center for Advanced Analytics, to help develop the data strategy and advanced analytics pipeline for the business.

What you will do

Actively engage with internal business teams to understand industrial challenges and deliver robust, data driven solutions.Work alongside global counterparts to solve data-intensive problems using standard analytical frameworks and tools.Be encouraged and expected to innovate and be creative in your data analysis, problem solving and presentation of solutions.Network and collaborate with a broad range of internal business units to define and deliver joint solutions.Work alongside customers to leverage cutting edge technology (machine learning, streaming analytics and real big data) to creatively solve problems and disrupt existing business models.

Whats in it for you

A problem-solving mindset with the ability to understand business challenges and how to apply your analytics expertise to solve them.The unique person who can present complex mathematical solutions in a simple manner that most will understand including customers.An individual excited by innovation and new technology and eager to finds ways to employ these innovations in practice.A team mentality empowered by the ability to work with a diverse set of individuals.

Minimum Qualifications

A Bachelors degree in Data Science, Math, Statistics, Computer Science or related field with an emphasis on analytics.6+ Years professional experience in a data scientist/analyst roleProficiency in your statistics/analytics/visualization tool of choice, but preferably in the Microsoft Azure Suite, including Azure ML Studio and PowerBI as well as Python and SQL.

Preferred Qualifications

Excellent communication, organizational transformation, and leadership skillsDemonstrated excellence in Data Science, Business Analytics and Engineering

Our Commitment to Diversity and Inclusion

At Ecolab, we believe the best teams are diverse and inclusive, and we are on a journey to create a workplace where every associate can grow and achieve their best. We are committed to fair and equal treatment of associates and applicants. We recruit, hire, promote, transfer and provide opportunities for advancement on the basis of individual qualifications and job performance. In all matters affecting employment, compensation, benefits, working conditions, and opportunities for advancement, we will not discriminate against any associate or applicant for employment because of race, religion, color, creed, national origin, citizenship status, sex, sexual orientation, gender identity and expressions, genetic information, marital status, age, disability, or status as a covered veteran.

In addition, we are committed to furthering the principles of Equal Employment Opportunity (EEO) through Affirmative Action (AA). Our goal is to fully utilize minority, female, disabled and covered veteran individuals at all levels of the workforce. Ecolab is a place where you can grow your career, own your future and impact what matters.

We will consider for employment all qualified applicants, including those with criminal histories, in a manner consistent with the requirements of applicable state and local laws, including the City of Los Angeles Fair Chance Initiative for Hiring Ordinance and the San Francisco Fair Chance Ordinance.To apply to this job, click  Apply Now"|data scientist|5|Midwest|Naperville| IL
American Family Insurance|"At American Family Insurance, we’re driven by our customers and employees. That’s why we provide more than just a job – we provide opportunity. Whether you’re already part of our team in search of a new challenge or new to our company and ready for what’s next, you’re in the right place. Every dream is a journey that starts with a single step. Start your journey right here. Join our team. Bring your dreams.Quick Stats:Job ID: R13317 Data Scientist III (Open)Summary:Develops, analyzes and models operational, economic, management, accounting and other organizational data to quantify the competitive performance of business segments, evaluate potential operational changes, and design new approaches and methodologies. Analyzes organizational data to recommend solutions to new and complex problems, develops innovative strategies, quantifies the competitive performance of the organization's operations and/or markets; models and evaluates the potential impact of changes. Applies and integrates statistical, mathematical, predictive modeling and business analysis skills to manage and manipulate complex high volume data from a variety of sources.Responsibilities:Travel Requirements

This position requires travel up to 10% of the time

Education/Licenses/Designations

Preferred: Master's Degree in Mathematics, Statistics, Physics, Computer Sciences or Engineering, or related field; PhD strongly preferred

Specialized Knowledge and Skills Requirements

Demonstrated experience providing customer-driven solutions, support or service.Ability to work as part of a team and to communicate effectively.Proficiency in programming languages suitable for database access, scripting, statistical analysis, and system development. Understanding of software development best practices including source control, coding standards and testing frameworks.Demonstrated experience communicating complex findings in a clear and concise manor to divisional management.Demonstrated experience developing and managing complex projects.Experience shaping the strategy for projects to deliver maximum business valueDemonstrated experience formulating, approaching, and solving complex analytical problems using a quantitative, scientific approach.Demonstrated experience working with large, complex datasets using big data technologies and script.Demonstrated knowledge and understanding of managing data to scale using data summarization, query, and analysis software and tools.

Additional Job Information:Depending on qualifications, we are open to considering candidates at the appropriate level.

Top candidates will have an advanced degree (PhD or MS) in Computer Science or Computer Engineering.

Candidates with experience in one or more of these disciplines preferred: NLP, Image, Video, or Speech.

Additionally, the following skills are definitely a plus: cloud computing skills (open to platform, Python coding skills, Hadoop, Hive, and Spark/SQL.

Job Description:Primary Accountabilities

Creates business application and modeling framework, for new datasets, and discovers insights and relationships from large/complex datasets through investigative research using advanced mathematical and/or statistical techniques.Explores data using a variety of advanced statistical techniques to proactively identify relationships, create insights and answer business questions or guide future model development.Build the hypothesis, identify research data attributes and determine best approach to address business issues.Combines business acumen with mathematical capabilities to build complex predictive models to support business objectives.Builds complex programs for running mathematical or statistical tests on data and for understanding complex relationships across attributes.Incorporates findings and provides industry and competitor insights as part of model development and enhancement.Researches and maintains awareness of industry best practices and business strategies.Brings new and innovative ideas and approaches to develop business solutions.Monitors industry and competitor trends to determine potential impact to predictive models.Incorporates findings and provides industry and competitor insights as part of model development and enhancement.Identifies, leverages and develops expertise in emerging technologies, open source tools, and harnesses new techniques (e.g., machine learning).Networks with and contributes thought leadership to the broader external analytics community. Builds awareness of leading techniques, tools, and data resources.Assists with complex research or analytics projects related to large, complex business initiatives.Interacts with company senior leadership to inform on industry trends and emerging research topics. Serves as internal expert for new areas of analytics exploration.

Stay connected: Join our Talent Community!LI:DB1Apply Now: click  Apply Now"|data scientist|3|Midwest|Chicago| IL
CNA|"Description

Headquartered in the heart of downtown Chicago, CNA is a leading commercial and specialty insurer, offering a diverse range of insurance products including Workers Compensation, Property, General Liability, Professional Liability, Cyber Insurance, Surety, and Warranty. We are one of the world leaders in underwriting non-medical professionals, from lawyers and accountants to architects and management consultants.

What CNA offers

• A collaborative data science team with diverse skills and experiences, combined with deep expertise in statistical modeling, machine learning, and applications to insurance

• Modern cloud computing environment that enables you to explore data, build and deploy sophisticated models that impact key areas such as underwriting, pricing, claims management and risk control

• Sponsorship of continued professional growth through support for attending technical conferences, meetings and symposia

What we are looking for

The successful candidate will:

• Use statistical methodologies and machine learning techniques to build state-of-the-art predictive models for the pricing, underwriting, claims, operations and marketing for an exciting mix of business insurance products

• Translate business problems into innovative analytical solutions

Essential Duties & Responsibilities

• Builds predictive, prescriptive or descriptive models in collaboration with business partners in functional areas such as Underwriting, Pricing, Distribution, Claims, Risk Control and IT to help address business questions

• Designs, writes, and tests advanced computer programs to extract, visualize and analyze data, to build models and to support model deployment into production

• Interprets the results of models in business terms and communicates the contents of the models to business decision-makers

• Participates in crafting products and innovative solutions that will provide revolutionary change

• Participates in special projects requiring advanced quantitative expertise

Required Skills, Knowledge & Abilities

• Experience in merging, cleaning, and preparing data for analysis from multiple sources

• Experience in extracting meaningful information from data using visualization and by formulating and testing hypotheses.

• Proficiency with SQL and programming experience in R or Python

• Proficiency with classical Generalized Linear Models, statistical inference, and re-sampling methods.

• Proficiency in Linux

• Practical experience with version control (git, SVN)

• Strong analytical, problem solving and critical thinking skills

• Attention to detail and accuracy of work, ability to spot and correct issues

• Strong interpersonal and communication skills

• Strong writing skills, including writing coherent documentation and reports

• Drive to continuously improve and learn new tools and methods

• Ability to work collaboratively with colleagues with diverse perspectives and backgrounds

• Strong time management skills

• Capable of operating with little supervision and thinking independently and innovatively

Preferred Skills, Knowledge & Abilities

• Practical experience with distributed computing (e.g., Apache Spark)

• Experience developing packages in R or Python

• Experience with natural language processing

• Knowledge of insurance

• Experience in building machine learning models

Reporting Relationship

AVP or above

Education & Experience

Advanced degree in a quantitative discipline, with relevant work experience preferred.Start your job application: click  Apply Now"|data scientist|5|Midwest|Chicago| IL
Vyaire Medical||data scientist|0|Midwest|Mettawa| IL
