position|company|description|reviews|Region|City|State
data analyst|Presbyterian Healthcare Services|"OverviewJob Description Type of Opportunity: Full Time FTE: 1.000000 Exempt: Yes Work Schedule: Days

Summary:*Works to collaborate supporting the clinical development needs of staff, residency Fellowship, and student programs throughout the PHS enterprise by providing data management, reports, e learning, project coordination, application support, and researchResponsibilitiesResponsibilities:Data Analyst: *Independently drives data gathering, reporting, organization, reporting and visual graphics of complex data to assist in identifying needs for target audience*Collaborates in the identification of target audience performance needs and gaps *Defines the performance gap objectives and partners with management to achieve agreement on approach to bridge the gap*Creates optimal, budget conscious tracking and reporting to achieve performance objectives*Incorporates evidence based data to structure instructional design for e learning and how to track and report performance on content*Drives the implementation of educational technology and applications in collaboration with management and team members*Builds the approach, deployment, collection, analysis and reporting of project effectiveness*Designs new programs to meet organizational strategic objectives*At the elbow support for Clinical Education team and those we support management, staff, nurse residents, fellows, clinical contractors, assigned vendors and studentsPerformance evaluator for Clinical Education scope of services and Nursing Residency/Fellowship Programs: *Assists CPDS and CPDS Residency teams to build and implement Levels 1 through 4 evaluation tools to measure satisfaction, learning, and transfer to performance based upon performance objectives*Partners with management to assess project performance gaps and build remediation action plansProject Coordination: *Role models and coaches in the moment *Role models highest specialty standards*Mentors others in best practice to enhance outcomes and performance*Independently lead projects assigned*Incorporates best practice standards in reporting to better inform management and leadershipConsultant / Collaborator: *Works and mentors team members within Clinical Education team to accelerate performance *Initiates and or supporting changes in practice through project tracking, e-learning development, educational technology, and applications*Work with CPDS on support for nursing, allied health, and nurse residency programs*May lead projects assigned by PDS Manager Clinical Education OperationsApplications:*Works and mentors team members within Clinical Education team to use e learning applications effectively and according to best practice*Works and mentors team members within Clinical Education team on web applications assigned to accelerate performanceResearcher: *Incorporates project coordination and e learning best practices and standards into work*Supports, builds, and initiates new projects to improve the performance and outcomes of Clinical Education*Stays up to date on best practices for data cleaning, data mining, and data visualization and reporting techniquesPromise and CARES Commitment:*Participates and role models the organizational mission, and vision within all of Presbyterian Healthcare ServicesSpecialty Role Focus:Applies skills and critical thinking related to area of assignment to gather, organize and report data, project coordination, computer based training, and other assignments assigned.QualificationsAcademic Preparation:

*Bachelors degree in healthcare operations, analytics, e-learning development/instructional design, business management, and/or information technology. 6 years of additional experience can be substituted in lieu of degree.Experience: Minimum at least 6 years of healthcare in healthcare operations, analytics, e learning development, academic coordination, and or information technology

Abilities: (Physical, mental, environmental requirements/demands):

Assumes and maintains various postural positions including but not limited to sitting, kneeling, reaching, squatting, climbing, bending/twisting neck and/or waist, lifting and carrying or pushing/pulling objects/equipment.

On occasion will need to work extended hours.BenefitsBenefits Benefits are effective day-one (for .45 FTE and above) and include:


Competitive salaries
Full medical, dental and vision insurance
 Flexible spending accounts (FSAs)
 Free wellness programs
Paid time off (PTO)
Retirement plans, including matching employer contributions
Continuing education and career development opportunities
 Life insurance and short/long term disability programs

About Us Presbyterian Healthcare Services is a locally owned, not-for-profit healthcare system of nine hospitals, a statewide health plan and a growing multi-specialty medical group. Founded in New Mexico in 1908, it is the state's largest private employer with approximately 11,000 employees.

Presbyterian's story is really the story of the remarkable people who have chosen to work here. Starting with Reverend Cooper who began our journey in 1908, the hard work of thousands of physicians, employees, board members, and other volunteers brought Presbyterian from a tiny tuberculosis sanatorium to a statewide healthcare system, serving more than 700,000 New Mexicans. We are part of New Mexico's history - and committed to its future. That is why we will continue to work just as hard and care just as deeply to serve New Mexico for years to come. About New Mexico New Mexico's unique blend of Spanish, Mexican and Native American influences contribute to a culturally rich lifestyle. Add in Albuquerque's International Balloon Fiesta, Los Alamos' nuclear scientists, Roswell's visitors from outer space, and Santa Fe's artists, and you get an eclectic mix of people, places and experiences that make this state great. Cities in New Mexico are continually ranked among the nation's best places to work and live by Forbes magazine, Kiplinger's Personal Finance, and other corporate and government relocation managers like Worldwide ERC. New Mexico offers endless recreational opportunities to explore, and enjoy an active lifestyle. Venture off the beaten path, challenge your body in the elements, or open yourself up to the expansive sky. From hiking, golfing and biking to skiing, snowboarding and boating, it's all available among our beautiful wonders of the west. AA/EOE/VET/DISABLED. PHS is a drug-free and tobacco-free employer with smoke free campuses.Apply Now: click  Apply Now"|0|South|Louisville| KY
data analyst|Waystar|Waystar modernizes the healthcare revenue cycle through innovative, cloud-based technology. We provide the highest-rated client experience to more than 450,000 providers, 22,000 healthcare organizations and 750 health systems and hospitals around the country. Together, our technology, data and client support streamline workflows and improve financials for our clients, so that they can focus on their patients. We are deeply committed to living out our organizational values: honesty; passion; curiosity; fanatical focus; best work, always; making it happen; and joyful, optimistic and fun.What is the purpose of this position?Right now, we are looking for an outstanding, brilliant, and driven Data Analyst to join our growing team. The Data Analyst is responsible for managing our master data set, developing reports, and troubleshooting data issues. To do well in this role, you need a very fine eye for detail, experience as a Data Analyst, and a deep understanding of the popular data analysis tools and databases.Looking for some details?Analyze data using statistical methodsCreate reports to share findings and recommendations with the internal team and other stakeholdersCollaborate with leaders and managers to determine and address data and reporting needs for various company projectsCreate statistical models that depict company-wide trendsDetermine the meaning of data and explain how various teams and leaders can leverage it to improve and streamline their processesDocument structures and types of business dataProvide technical expertise on data storage structures, data mining, and data cleansingConfirm project requirements by studying user requirements & by conferring with others on the project teamMaintain the data dictionary by revising and entering definitionsDo you fit our team?Bachelors degree from an accredited university or college in Computer ScienceWork experience as a Data Analyst or in a related fieldAbility to work with stakeholders to assess potential risksAbility to translate business requirements into non-technical, lay termsHigh-level experience in methodologies and processes for managing large-scale databasesDemonstrated experience in handling large data sets and relational databasesUnderstanding of addressing and metadata standardsUnderstanding of data gathering, inspecting, cleansing, transforming, and modeling/diagramming techniquesAbility to identify useful information in data sets and suggest conclusions that support decision-makingStrong analytical capabilitiesCommunication skills, with the ability to distill complex subjects to a wider audienceExcellent leadership, collaboration, and Project Management skillsKeen attention to detailWillingness to make decisions and solve problemsIn compliance with federal law, all persons hired will be required to verify identity and eligibility to work in the United States and to complete the required employment eligibility verification document form upon hire.|5|South|Louisville| KY
data analyst|Mercer|"The Data Analyst is responsible for day to day compensation data analysis for Mercers survey clients. The incumbent supports with all activities related to survey participation, job matching/benchmarking (explain methodology and assist in matching some positions for the client as examples), data submission, accessing and interpreting our data, and working with colleagues on client participation needs. The Data Analyst is responsible for maintaining the integrity of data with a specific set of assigned clients as well as supporting the North American Career Products teams on client related activities such as webcast and results meetings.

Responsibilities:

Survey data management Receive direction on client specific needs and targets during the survey cycle. Complete verification and validation of compensation data, submissions, and data validation files. Analysts will receive updated client info from colleagues regarding compensation data; will assist with job matching and execute all data-related tasks.Analysis - provide advanced / proficient submission support and report on post-submission analysis. Create insightful analytical reports for presentation and communication of the data. Relay the analytics to both the Mercer colleagues and the clients when needed. Provide valued information based on analysis and create communications that provide the analysis to clients in terms they can understand and utilize.Increase the quality of client data submissions, and increase the clients understanding of Mercer survey processes and analysis.Preparation of client meeting materials assists in data review and analysis, and with custom surveys as needed.Client documentation and reporting tasks Contribute to the participation process documentation. Raise process improvement ideas/innovation to management and support the teams innovation initiatives.

Qualifications:

HS DiplomaBachelors degree (preferred)Experience with data review and analysis0 to 2 years of relevant work experienceExperience with Excel a mustStrong analytical, critical thinking and problem solving skillsExcellent communications (verbal and written)

At Mercer, we make a difference in the lives of more than 110 million people every day by advancing their health, wealth, and careers. Were in the business of creating more secure and rewarding futures for our clients and their employees whether were designing affordable health plans, assuring income for retirement or aligning workers with workforce needs. Using analysis and insights as catalysts for change, we anticipate and understand the individual impact of business decisions, now and in the future. We see peoples current and future needs through a lens of innovation, and our holistic view, specialized expertise, and deep analytical rigor underpin each and every idea and solution we offer. For more than 70 years, weve turned our insights into actions, enabling people around the globe to live, work, and retire well. We embrace a culture that celebrates and promotes the many backgrounds, heritages and perspectives of our colleagues and clients. At Mercer, we say we Make Tomorrow, Today. Visit www.mercer.com for more information and follow us on LinkedIn and Twitter @Mercer

Marsh & McLennan Companies offers competitive salaries and comprehensive benefits and programs including: health and welfare, tuition assistance, 401K, employee assistance program, domestic partnership benefits, career mobility, employee network groups, volunteer opportunities, and other programs. For more information about our company, please visit us at: http://www.mmc.com/. We embrace a culture that celebrates and promotes the many backgrounds, heritages and perspectives of our colleagues and clients. For more information, please visit us at: www.mmc.com/diversity.

Mercer LLC and its separately incorporated operating entities around the world are part of Marsh & McLennan Companies, a publicly held company (ticker symbol: MMC).

Marsh & McLennan Companies and its Affiliates are EOE Minority/Female/Disability/Vet/Sexual Orientation/Gender Identity employers."|5|South|Louisville| KY
junior data analyst|NTT DATA|"Req ID: 77327

At NTT DATA Services, we know that with the right people on board, anything is possible. The quality, integrity, and commitment of our employees are key factors in our company’s growth, market presence and our ability to help our clients stay a step ahead of the competition. By hiring the best people and helping them grow both professionally and personally, we ensure a bright future for NTT DATA Services and for the people who work here.

NTT DATA Services currently seeks a Junior Data Analyst to join our team in Albany, New York (US-NY), United States (US).

Responsibilities include:


Supporting business units with research activities that leverage large data files, including claims and encounter records stored in a data warehouse.
Extraction, cleaning, sorting and merging of data.
Calculating healthcare service utilization and summation of expenditures and services.
Assisting with the development, refinement, execution and validation of data analysis for programs to generate requested statistics and creating reports of analysis findings for delivery to the research team.
Ensuring accuracy of program analyses and reports by developing sound programming logic for analysis and reporting functions including edit checks demonstrating consistency and integrity of information.
Providing other technical and data analysis support to the program areas as required.

Basic Qualifications:


Minimum of one year of experience developing SQL queries on large databases.
Ability to perform data analysis and generate findings based on pre-defined criteria.

Preferred Qualifications:


Detail-oriented
Excellent written and verbal communication skills

This position is only available to those interested in direct staff employment opportunities with NTT DATA, Inc. or its subsidiaries. Please note, 1099 or corp-2-corp contractors or the equivalent will NOT be considered. We offer a full comprehensive benefits package that starts from your first day of employment.

About NTT DATA Services

NTT DATA Services partners with clients to navigate and simplify the modern complexities of business and technology, delivering the insights, solutions and outcomes that matter most. We deliver tangible business results by combining deep industry expertise with applied innovations in digital, cloud and automation across a comprehensive portfolio of consulting, applications, infrastructure and business process services.

NTT DATA Services, headquartered in Plano, Texas, is a division of NTT DATA Corporation, a top 10 global business and IT services provider with 118,000+ professionals in more than 50 countries, and NTT Group, a partner to 88 percent of the Fortune 100. Visit nttdataservices.com to learn more.

NTT DATA, Inc. (the “Company”) is an equal opportunity employer and makes employment decisions on the basis of merit and business needs. The Company will consider all qualified applicants for employment without regard to race, color, religious creed, citizenship, national origin, ancestry, age, sex, sexual orientation, gender identity, genetic information, physical or mental disability, veteran or marital status, or any other class protected by law. To comply with applicable laws ensuring equal employment opportunities to qualified individuals with a disability, the Company will make reasonable accommodations for the known physical or mental limitations of an otherwise qualified individual with a disability who is an applicant or an employee unless undue hardship to the Company would result.

Nearest Major Market: Albany

Job Segment:

 Database, Consulting, SQL, Data Warehouse, Technology"|5|South|Frankfort| KY
data analyst|Teespring|"
Teespring is revolutionizing e-commerce by empowering anyone to create and sell real products anywhere in the world. By powering all aspects from the e-commerce layer to creating the physical product to delivering it to buyers, anyone can launch a store selling real products within minutes. Our unique print on demand structure allows creators to sell with zero cost or risk.

By removing all barriers, Teespring unleashes a world of creative ideas that would never have existed. Teespring has helped creators create and sell over 25 million products in more than 80 countries across the world. And we’re just getting started...

What is the job? 
Data Science is critical in realizing our mission by fueling actionable data insights to drive impact across all areas of our business from product direction, marketing strategy and operational excellence. We are looking for talented data analysts to join our team and work directly with product managers and commercial leads to create visualizations and drive insights to influence our strategy and decision making. Furthermore, with the team being small, this role will be critical to shaping what Data Science looks like at Teespring.

Key responsibilities
● Master the key underlying drivers for growth in each of our different user segments - Designers, YouTubers, etc.
● Proactively identify and build reporting on initiatives that product and business leads need
● Monitor KPIs and trends in key metrics to push insights to stakeholders
● Inspire new changes to the product or business initiatives through exploration of data
● Ensure we can monitor and understand the results of experiments we run
● Build intuitive dashboards and visualizations to communicate insights

What do we need?
● 2+ years experience in a data analytics role in a business setting
● Experience analyzing funnels, features on user-facing large scale web / mobile products
● Expert in SQL and can quickly pick up on new schema as database evolves
● Expert in creating visualizations that highlight important data via Tableau, or similar
● Highly impact driven with insatiable curiosity for how we could be better

Bonus Points:
● Data engineering / cluster management (e.g. Redshift, Airflow)
● Scripting experience to do statistical analyses (e.g. Python)
● Fluent in Git

What do we offer?
Happiness is just as important to us as hard work. What makes us different is our desire to completely change how the world thinks about commerce. Here are the benefits you will receive:

● Working with talented, collaborative, and entrepreneurial teams
● Medical, dental and vision insurance
● Company contributions toward Health Savings Accounts (HSA)
● Company-paid life insurance and long-term disability
● Flex time and paid holidays
● 401k
● Generous stock options
● Weekly in-house food allowance"|5|South|Hebron| KY
data analyst|Lexmark International|"Business Intelligence Data Analyst
Apply Now
The BI Data Analyst, reporting to the Sr Manager of Corporate Planning, will help to drive Lexmark towards a vision of fast, agile planning and data analysis that connects people and data from across the organization.

As the BI Data Analyst, you will:

Create and drive improvements to reports, reporting tools, systems, and processes to increase the availability and granularity of actionable data Integrate financial planning systems with other sources of data throughout the organization Provide visibility around system and process gaps and communicate improvement recommendations Be subject matter expert of Lexmark’s financial planning tools

You will need the following skills and experience:

A degree in Finance, Accounting, or a quantitative field 3+ years of experience as a financial analyst or data analyst working with financial data and databases Possess strong technical expertise: advanced Excel skills required, experience with data visualization tools (e.g. Tableau or Power BI), experience with cloud-based planning tools (e.g. Anaplan, Adaptive), and experience with or interest in learning SQL Possess a strong curiosity to understand the business and proactively dive into issues Ability to think strategically through end-to-end solutions while solving for user experience and business value The ability to multitask, stay organized, and prioritize deadlines in a continually evolving environment Have a track record of developing relationships and earning trust with stakeholders

Apply Now"|5|South|Lexington-Fayette| KY
data analyst|Larkin Contractors|"Position Description:

Develop and maintain data preparation and validation routines to support the reporting of clinical metrics and cost information

Automate data load and data analysis programs with a goal of improving efficiencies across clients

Select, recommend and apply appropriate analytic and statistical methodologies and techniques to data

Develop innovative and/or customized templates and report formats

Interfaces with clients and vendors on ETL processes and maps data from disparate sources into data warehouse formats

Process and analyze data to support clinical and financial initiatives

Performs ad-hoc analysis for the client

RequirementsQualifications:

1+ years of work experience using SAS and SAS/Macros

Experience with large databases

Competency in data manipulation and analysis

Excellent PC and database skills including Excel, VB, SQL, MS Access

"|0|South|Lexington-Fayette| KY
data analyst|Galen College of Nursing|"Data Analyst
Galen College of Nursing
Louisville, Kentucky
 
Galen College of Nursing is looking for a Data Analyst is responsible for data analysis and other services as needed to support Galens institutional effectiveness activities. This includes preparing reports/visualizations for internal and external data requests, providing support for regulatory reporting, and performing maintenance on existing reports.
 
Responsibilities:

Prepare reports/visualizations for internal and external data requests
Prepare reports/visualizations needed for decision support purposes
Serve as a resource for academic units in developing, measuring, and analyzing learning outcomes
Serve as a resource for administrative units in developing, measuring, and analyzing performance outcomes
Assist with the selection or development of appropriate instruments for the assessment of program and student learning outcomes
Provide student data related to Institutional Effectiveness and other departments via SQL queries and other database query methods
Assist with responding to requests for information from external agencies
Work collaboratively with other offices to provide Institutional Effectiveness support for all compliance, regulatory, and State, Regional, and Programmatic accreditation issues 
Compile reports to external agencies as they relate to Institutional Effectiveness
Create customized reports to meet the data needs of faculty and administrators, as it relates to Institutional Effectiveness
Assist with the development and support of information technologies to serve campus analytic and reporting needs (e.g., Blue, CampusVue). Working with other college staff and committees, contribute to the planning, adoption, and development of information systems
Other duties as needed to support the institutional effectiveness activities of the College

Requirements:

A Bachelors degree in Computer Science or a related field
Familiarity with CampusVue, particularly customized reports

Skills & Qualifications: 

Minimum of two (2) years of experience 
Proficiency in SQL 
Proficiency using Microsoft Access 
The ability to work independently and as part of a team 
The ability to learn quickly and shift priorities as needed in a fast-paced environment

Physical Requirements: Must be able to sit at a desk for up to eight (8) hours.
Degree of Supervision: Minimal
 


Galen College Values:
Inclusivity: I foster an environment that provides opportunity for every individual to reach their full potential.
Character: I act with integrity and compassion in all I do.
Accountability: I own my role and accept responsibility for my actions.
Respect: I value every person as an individual with unique contributions worthy of consideration.
Excellence: I commit myself to the highest level of quality in everything I do.

 

We are Galen College of Nursing. Our focus is nursing education and our students success is all that matters. We offer a unique educational experience we call Pure Nursing. Our knowledgeable and caring faculty and staff take personal interest in helping our students achieve their goals. Galen College is regionally accredited by the Southern Association of Colleges and Schools Commission on Colleges (SACSCOC) to award associate, baccalaureate, and masters degrees. The baccalaureate degree in nursing program at Galen College of Nursing is accredited by the Commission on Collegiate Nursing Education (CCNE), and the associate degree program is accredited by the Accreditation Commission for Education in Nursing (ACEN). For complete information related to Galens accreditation status, please visit our website.

"|5|South|Louisville| KY
data analyst|Bellarmine University|"Job Description:

Bellarmine University welcomes all qualified applicants to apply for the position of Enrollment Systems and Data Analyst. Reporting to the Assistant Vice President of Operations, Systems and Strategic Initiatives, the Enrollment Systems and Data Analyst is responsible for selecting methods, techniques and evaluation criteria for obtaining results, and works on complex issues and/or data requiring an in-depth evaluation of variable factors. This position provides departmental and divisional insight in the development, organization, coordination and evaluation of cross-functional department projects and operations related to data and information systems. The Enrollment Systems and Data Analyst will synthesize and summarize complex information in formats appropriate to various audiences. This position will also provide technical project management, training and support to divisional team members in the Admission Customer Relationship Management (CRM) and other enrollment systems. Working with members of Enrollment, Marketing and Communication to improve and/or automate current processes related to our databases and systems is a function of this position. The candidate will provide primary analytical support for the data and systems of the Enrollment, Marketing and Communication division. The candidate will need to possess knowledge of all facets of applicant data collection, processing, evaluation and reporting activities of a university enrollment management office and its interrelationships with the university at-large, administratively and academically. The ability to use strong analytical, problem-solving skills to independently research and conduct applied statistical analysis, while developing and presenting solutions to complex multi-faceted problems and issues in a creative, non-technical manner is a necessary component of this position. Being able to convey complex ideas to non-technical audiences, using interpersonal and communication skills to deliver information to faculty, staff and university officials in a clear concise manner verbally and written will be required of the candidate. The candidate will support the reporting needs of the division to ensure access to critical and accurate data is met in a timely manner. They also will provide analytical assessments of enrollment management practices and promoting a data-informed culture throughout the division with training and leading staff to develop analytical skills to enhance decision-making, productivity and efficiency is expected of the candidate. Serving as project manager for the implementation and use of key systems used by the enrollment management, lead systems configuration, related processes and data associated with the CRM and ancillary systems will all be part of the job of the Enrollment Systems Data Analyst.

Requirements:

The successful candidate will possess a bachelor's degree in Data Analytics, Statistics, Computer Science, Informatics, or a related field. Along with four or more years of related experience and a demonstrated ability to utilize advanced level statistical knowledge, software, methodologies and theory in order to analyze complex and diverse data to aid in strategic planning and dissemination of information. The ideal candidate will have the ability to operate with a high level of autonomy, frequently exercising independent judgment to perform assigned duties and solve problems, but awareness of when other team members need to be consulted. Excellent interpersonal skills with the ability to train team members, strong attention to detail and the ability to manage multiple projects and meet tight deadlines are all requirements of this position. Experience in Enrollment Management research, modeling and analysis and demonstrated advanced experience with Slate CRM are all prerequisites for this position.

Application Instructions:

To have full consideration for this position, please submit a cover letter or letter of interest, resume and three professional references no later than 5 p.m., Friday, December 13, 2019 by clicking on the appropriate link in this posting.

URL: www.bellarmine.eduSDL2017"|5|South|Louisville| KY
staff data analyst|ICAP at Columbia University|"



Staff Associate (Data Analyst)November 26, 2019

 Headquarters/New York City



 Full-time 

POSITION SUMMARY

Reporting directly to the Senior Survey Analyst, the Staff Associate will provide analytic support in the areas of data management, documentation, and analysis to support the PHIA project. Responsibilities may include data cleaning, generating survey statistics, programming for ad hoc analyses, and preparing data documentation to support six or more nationally representative population-based surveys in sub-Saharan Africa designed to assess the impact of PEPFAR-supported HIV prevention, care and treatment programs.
MAJOR ACCOUNTABILITIES



Generate analytic outputs, including survey monitoring reports, report tables, and ad hoc analytic requests
Write and execute statistical programs for the creation of analysis datasets, tables, figures, and listings
Prepare data documentation including data dictionaries, codebooks, and data use manuals
Provide statistical programming expertise to project teams by preparing analytic data files, writing SAS code for Macros, and utilizing the SAS Macro library
Develops and updates specifications for automated monitoring reports (data visualizations) to be generated by cloud-based study databases (e.g. enrollment rates and completeness over time by study team and interviewer) and helps to review the reports against the specifications.
Develops additional ad hoc tables to be generated to monitor study progress and to validate the work of other analysts.
Ensure all programming activities and processes are conducted according to the PHIA project standard operating procedures and/or sponsor requirements
Performs other related duties, as directed


MINIMUM DEGREE REQUIRED

Bachelors Degree in Statistics, Public Health, Biostatistics, or related discipline and four years of experience.
MINIMUM QUALIFICATIONS



Minimum of four years of applicable SAS Programming experience
Demonstrated experience with statistical programing with a high level of organization, autonomy, technical skill, and team orientation
Demonstrated experience working in a team and independently
Excellent organizational and oral/written communication skills required


PREFERRED QUALIFICATIONS



PhD in Epidemology, Demography, Statistics, Biostatistics, or related discipline, or equivalent in education and with at least four (4) years directly related experience.
Experience learning, teaching, and applying statistical methods/analysis
Experience in an HIV-related field
Knowledge of large-scale survey analyses
Proficiency in R or STATA statistical software


TRAVEL REQUIREMENTS


 No International travel required 

Apply Now

Columbia University is an equal opportunity and affirmative action employer. It does not discriminate against employees or applicants for employment on the basis of race, color, sex, gender, religion, creed, national and ethnic origin, age, citizenship, status as a perceived or actual victim of domestic violence, disability, marital status, sexual orientation, status as a Vietnam era or disabled veteran, or any other legally protected status.
"|0|South|Headquarters| KY
