company|description|position|reviews|Region|City|State
Equian LLC|"






Equian has grown to become one of the nations leading companies for healthcare reimbursement analysis and payment integrity. We have been voted one of 40 Healthcares Hottest by Modern Healthcare and have been recognized by Inc. 5000 as one of the fastest growing companies in the United States. We are an employee-centric company and offer the most competitive salaries in the industry, exceptional benefits, wellness programs, and many other perks you find at many other companies. Come join one of the finest and most recognized organizations in the industry!

At Equian, we are developing the next generation of integrated technology solutions that brings data mining, data analytics, workflow, document management and process management into a seamless platform to meet the challenges of a rapidly changing business environment.

We offer a competitive compensation package, which includes Medical, Dental, Vision, Life, Disability, a flexible Paid Time Off program, scheduled and floating holidays, educational assistance, wellness program and a 401(k) Plan with Company Match.

We are seeking to expand our team with motivated individuals with a proven ability to prioritize multiple tasks and meet deadlines in a dynamic environment.

We have a current opportunity for Data Analyst located in the Woburn, MA location. Below you will find a summary of the role and skills required:

ROLE SUMMARY

In the Data Analyst role, you will take responsibility for troubleshooting data issues, developing reports, and managing our master data set. In order to succeed in this role, you must be comfortable working with others in a fast-paced environment. In addition, you will need an eye for detail, experience as a data analyst, and a deep understanding of Microsoft SQL Server and Microsoft Excel. The successful candidate will have a strong work ethic and a data-driven approach.

DUTIES AND RESPONSIBILITIES

Work closely with service operations team to evaluate and price overpayments for our clients.
Generate reports to highlight current state of business operations.
Training end users on new reports and dashboards.
Supporting initiatives for data integrity and normalization.
Loading, cleaning, and manipulating data from multiple sources including internal, external, and 3rd parties.

QUALIFICATIONS

Bachelors degree in MIS, CS, Statistics, Mathematics or related field, new grads welcome to apply!
Proficiency in basic SQL commands and queries.
Strong analytical and quantitative skills.
Keen understanding of relational database theory, preferred but not required.
Must be a self-starter and eager to learn.
Excellent communication skills, both written and verbal.
Demonstrated ability to build relationships and work as part of a team.

Must be authorized to work in USA. Equian will not provide sponsorship.

Start your job application: click  Easy Apply"|data analyst|0|Northeast|Woburn| MA
iRobot|"Imagine the future you could help us build.

Teamwork, not just tech work. We are tech futurists and business geniuses. Together, we solve problems to make daily life easier. We are looking for a few more great minds to join our team as we continue to grow one of the world's leading consumer robot companies.

Together, we empower people to do more.

IntroductioniRobot is seeking a User Test Data Analyst to play an important role on New Product Development Teams to make better, more robust robots that delight the customer.

User testing provides insights to customer needs, preferences as well as validates prototype robot and/or new software features.

As an analyst on our team, we’ll expect you to have a strong background in applying probability and statistics to real data, as well as defining a problem and evaluating the effectiveness of different techniques in solving these problems.Essential functions include:

Analyze robot usage and mission reports via cloud data and/or robot logsSolid understanding of quantitative statistics and being able to communicate complicated test results to a broad audienceCreate effective interactive dashboards to help visualize robot’s performanceDetect data anomalies and investigate root causeCross-reference Centercode user’s feedback with robot data logs and cloud dataAbility to perform process automation to analyze robot logs (utilizing python and/or shell scripting)Report bugs/issues in Jira and attach relevant sections robot logs

The individual in this role work as part of the User Test Team within Systems Engineering and will work closely with other engineering disciplines (Software Engineering, Test Engineering, Systems Engineering) as well as Chief Engineers, Product Managers and User Experience leads. The successful candidate will have experience or capability to quickly learn all aspects of user-facing alpha testing.

Skills Required:

Strong problem solving and analytical skillsExperience creating SQL queries to find meaningful data from the robotsExperience using Python to help automate analysis for ongoing projects and creation of interactive dashboardsDemonstrated ability to take ownership of task execution and work with minimal supervisionAdept at gathering detailed field data from abstract inquiryExperience in statistical analysis of test resultsAdept at summarizing and presenting complex test dataClear and concise written and verbal communicationDirect experience interacting with customers and resolving issues.Experience with Linux and Windows Operating Systems, including writing terminal command linesExperience with product defect tracking tools, including Jira

Desired Qualifications:

2-3 years of work experience in related fieldExperience using Mode Analytics and Jupyter NotebooksExperience with Centercode Alpha/Beta Test Management SolutionsExperience with Survey Monkey or equivalent toolExperience in software testExperience troubleshooting complex electromechanical systemsExperience testing consumer vacuum and/or robotic products.Experience with data acquisition as well as processing and analysis software.

Education:

Bachelor Degree in related fieldTo apply to this job, click  Apply Now"|data analyst|5|Northeast|Bedford| MA
Hopjump|"Entry Level Analyst | Cambridge, MA, United States

Sick of those 'entry level jobs' that require 1-2 years experience? If you have an analytical and quantitative mindset, and are looking to apply that to solving interesting problems everyday - Please Apply!

Our analyst team gets to work on all aspects of our business, from optimizing user experience on the site to monetization in order to help grow our reach as a media company. We work with MySQL, Python, R, Excel, and more, though no prior knowledge of programming is required.

We're looking for analytical thinkers interested in scaling our business and using big data to give our users the best experience across our platform.

Come help us solve cool problems and grow the startup!

What we're looking for:

B.A./B.S. in Mathematics, Statistics, Physics, or another quantitative field

Ability to plan out a process and execute on it on a daily basis with an emphasis on achieving and measuring results

Demonstrated ability to learn quickly

General understanding of market segmentation, sizing and statistics

Experience with or desire to learn R, mySQL, Python, and more

Bonus points if you have:

Experience with email marketing (and SEM, SEO, display)

Experience with online advertising / marketing growth metrics

Things You'll Like About HopJump:


We value and encourage creative thinking & intellectual curiosity.
You'll have a very clear understanding of how your work matters to the company.
You'll find interesting new challenges every day on the forefront of online marketing.
You'll be given the responsibility to have a big impact on and opportunities for leadership within our business from early on.
You'll be part of a passionate team with broad skills and interests.
We have fun! Frequent company outings, lunches, and parties.
We offer competitive salaries, excellent benefits, and a relaxed work environment with plenty of perks.
To apply to this job, click  Apply Now"|entry level data analyst|2|Northeast|Boston| MA
Arcadia.io|"

Join the Product Development Team of a high growth Population Health and Analytics software company. This is an opportunity to join a talented team of Product experts, use a vast healthcare data asset to design and develop the products of the future. This is a hands-on position designing and promoting the next wave of advanced healthcare analytics products with a great team of product managers and software engineers.

 Responsibilities:

Support the design and development of an industry-leading healthcare analytics and data warehousing product
Interact with and support our engineering team, responding to requests and qualifying features or development questions
Support sales and marketing in the growth and visibility of these new products in a fast-moving healthcare analytics market
Investigate possible future products and/or support the R&D projects of one or more Product Managers

Qualifications:


Bachelors in Hard Sciences, Mathematics, CS, Software Engineering, Data Science or Economics
2-5 years in data analytics
Highly proficient in SQL to support data analysis
Experience with other analytics tools/frameworks such as R, SAS, Python
Ability to code in languages such as Python, Java and/or Scala
Fast learner

Preferred Experience:

Experience in healthcare, specifically population analytics
Background machine learning, graph/network analysis and/or statistics preferred
Experience in visualization and reporting frameworks like Tableau, Qlik, PowerBI
Understanding of JavaScript, css, HTML5, GGPLOT and/or D3 preferred
Experience working with a product or product management team a plus
Experience with ACOs and/or Value Based Care a plus

This position is responsible for following all Security policies and procedures in order to protect all PHI under Arcadia's custodianship as well as Arcadia Intellectual Properties. For any security-specific roles, the responsibilities would be further defined by the hiring manager.


Apply Now: click  Easy Apply"|data analyst|3|Northeast|Burlington| MA
Hopper|ABOUT HOPPERAt Hopper, we’re on a mission to make booking travel faster, easier, and more transparent. We are leveraging the power that comes from combining massive amounts of data and machine learning to build the world’s fastest-growing travel app -- one that enables our customers to save money and travel more. With over $235M CAD in funding from leading investors in both Canada and the US, Hopper is primed to continue its path toward becoming the go-to way to book travel as the world continues its shift to mobile.Recognized as the fastest-growing travel app by Forbes and one of the world’s most innovative companies by Fast Company two years in a row, Hopper has been downloaded over 40 million times and has helped travelers plan over 100 million trips and counting. The app has received high praise in the form of mobile accolades such as the Webby Award for Best Travel App of 2019, the Google Play Award for Standout Startup of 2016 and Apple’s App Store Best of 2015. Take off with us!Hopper was built on the premise that the combination of big data and machine learning could make a difference. At Hopper, every dataset tells a story. Do you have what it takes to decipher the clues? bit.ly/2q6U8dqWe’re looking for a data-savvy individual to join our Data Science team as a Data Analyst. They will help create consumer-focused research, as well as a user-centric product development and growth based on our real-time along with an archive of several trillion data points. If you are interested in this topic, you may be interested in the subject of data gathering and finding effective ways to simplify and communicate to a non-technical audience.IN THIS ROLE, YOU WILL:Lead analytical projects to support our Product and Growth teams. Deliver quantitative results, business understanding and strategic insights to help make better data-driven decisions.Support our PR team by transforming complex information analyzes into short, compelling, and easy to understand studies.Design and implement ad hoc and automated analysis scripts, develop and deliver your tables, charts and interactive tools to present your results.Work with key stakeholders across a fast-paced, collaborative environment.A QUALIFIED CANDIDATE HAS:A degree in Math, Statistics, Computer Science, Engineering or other quantitative disciplineStrong analytical and creative problem-solving skillsProven ability to communicate complex technical work to a non-technical audienceEnthusiasm and curiosity for conducting research and answering hard questions with dataExposure to scripting with Pandas, R, SAS or other data preparation and analysis toolsExperience with relational databases and SQL would be an assetBENEFITS• Well-funded and proven startup with large ambitions, competitive salary and stock options• Dynamic and entrepreneurial team where pushing limits is everyday business• 100% employer paid medical, dental, vision, disability and life insurance plans• Access to a 401k (Boston) or Retirement Savings Plan (Montreal)• Easy commute with a paid-for public transportation or parking pass• IATA Travel Agent Card for discounts in the travel industry• Fully stocked kitchen with: coffee/tea, beer, bagels and snacks (both healthy and not-healthy)• Team lunches, offsite activities and much more!Apply Now: click  Apply Now|senior data analyst|0|Northeast|Boston| MA
EF Educational Tours|"Senior Business Data Analyst

EF Educational Tours

Boston, MA, United States

Do you have an obsession with numbers and interpreting the stories they tell? As part of EF Education Tour’s MarTech team, you will collaborate with leaders of functional areas in the development of intelligent analyses backed by quantitative data that guide our strategic, tactical and operational business decisions. You will take the lead in defining and implementing standards to tag all digital content in order to improve the quality of generated data. You will proactively and upon request work with identifying trends that suggest new marketing & business opportunities and follow through with the recommendation of key strategies to leverage opportunities. You will participate in the development of organizational benchmarks of key consumer metrics and performance indicators.

The role

Lead strategy, management, and implementation of tracking of our target audience across digital properties and campaigns, contributing to organization’s growth by helping marketing deliver personalized messaging to teachers, students and parents.Be a thought leader in Google Analytics product suite and provide an implementation roadmap.Leverage vast array of digital, web, and customer data platform (Lytics) data to analyze and determine performance of current initiatives such as but not limited to marketing acquisition, promotional campaigns and website/email effectiveness.Use quantitative methods and tools including A/B testing, multivariate analysis (MVA), and optimization techniques to analyze and optimize web and digital assets to drive marketing and sales performance.Combine the digital data with offline and in-house data to develop a complete picture of the customer lifecycle.Using insights gathered, help drive digital (web, paid, social) content personalization strategy.Help develop a marketing attribution model.Research and recommend tools and techniques to stay current with latest industry trends in digital analytics.Generate insights and recommendations and present these to the senior management.


Qualifications

Strong analytical aptitude with Bachelors/Masters in analytical field2-4+ years of experience in digital/web analytics, marketing operations analysis or similar focusExperience with Google Analytics and Google Tag Manager and the tools and techniques to ensure complete and accurate data collectionMust be able to combine digital data with offline and other data sourcesKnowledge of SQL and accessing databasesExperience in JavaScript/JQueryMust be proficient using Excel and PowerPointWorking knowledge or exposure to reporting dashboards such as Power BI is a strong assetA team player and have the ability and desire to collaborate effectivelyEntrepreneurial mindset & sense of urgency and accountabilityMust be able to communicate clearly and effectively in explaining insights to non-technical staff A passion for travel and exploring the world
Apply Now: click  Apply Now"|senior business data analyst|5|Northeast|Boston| MA
Kronos Incorporated|"DescriptionDo you love working with data? Do you want to work with others that do too? Kronos is hiring a Strategic Data Analytics Consultant to join our innovative and talented Data Science Practice team in the Marketing function. The individual is responsible for developing new analyses and tools and using client data to find and to communicate opportunities that will make a meaningful impact on the client's business, within Kronos’s business, and across the entire data analysis lifecycle. This is a technical and customer-facing role, which will allow you to grow your career in multiple dimensions. The successful candidate will make a meaningful difference to the Kronos customer base, their employees, and to Kronos.

Responsibilities

• Lead and manage analysis projects involving teams from various departments.

• Work hands-on with client data; usually with SQL (SQL Server or Oracle), or programmatically

• Analyze client data through existing and new approaches including statistical analysis and visualizations

• Innovate in new areas by using existing and external data to improve a client's business

• With other departments, develop marketing collateral based around statistical analyses and insight to demonstrate product value.

•Work independently or cooperatively in teams, depending on the project

• Communicate findings effectively and convincingly and demonstrate product knowledge

• Consult with clients to transform their existing processes into a simpler and easy to use set of monitoring, continuous improvement and predictive capabilities

• Provide management of our SQL Server and technical environmentQualifications• BS degree in engineering, mathematics, statistics, economics, or another technical field strongly preferred

• Excellent SQL and data querying skills

• Python, R or other programming languages and knowledge of statistics and analytic methods

• Experience with business intelligence tools (MicroStrategy, Tableau, Qlik, Cognos, Spotfire, D3, etc.) including visualizations

• SQL Server management experience

• Strong communication skills, both written and verbal and Client management skills preferred

#LI-POSTCorporate overview
You’re empowered when you’re a Kronite. 
Want to be part of an elite group of highly skilled professionals? We think our employees are a special group of talented, energetic, and innovative people. And for that reason, we refer to ourselves as Kronites. Kronites care about more than just work. We recognize the need to maintain a healthy work-life balance – to live inspired. In fact, it’s expected! You’ll soon learn that we take work and fun seriously. No matter what position you hold at Kronos, you’re a Kronite. And we want you to feel like you have the power to make a difference in your life and the lives of others, at work and beyond. Want to learn more about our culture? Follow us on Twitter @work4kronos. #MyWorkInspired
Kronos is a global provider of workforce management and human capital management cloud solutions. Kronos’ industry-specific workforce applications are purpose built for businesses, healthcare providers, educational institutions and government agencies of all sizes. Tens of thousands of organizations – including half of the Fortune 1000® - and more than 40 million people in over 100 countries use Kronos every day.
EEO StatementKronos is proud to be an equal opportunity employer and is committed to maintaining a diverse and inclusive work environment. All qualified applicants will receive consideration for employment without regard to race, color, religion, gender, gender identity or expression, sexual orientation, national origin, physical or mental disability, age, or veteran status or any other basis protected by federal, state, or local law.Apply Now: click  Apply Now"|senior data analyst|5|Northeast|Lowell| MA
Seen by Indeed|"Seen by Indeed is a free service that connects qualified job-seekers (that's you) with top companies hiring tech roles.With one application you can be considered for thousands of tech roles from leading companies on Seen.

How Seen WorksWe find out what's important to you and match you with your dream job

Get started Complete a 5-minute application to be considered for roles at hundreds of leading companiesGet matched Companies apply to you with opportunities that reflect your role, location and salary specificationsGet career coaching Level up with free 1:1 coaching, our team will make sure you're ready to tackle any interviewGet your dream job

Skills and RequirementsWe look for top tech talent to join the Seen platform. Each candidate is reviewed on the following to make sure you're a good fit for our network

In Demand SkillsFrom strong communication skills to experience with the latest technologies, you have what employers are looking for

Stand Out QualitiesYou bring unique qualities and traits that stand out and make an impact

Change readyYou are ready for a career changes and will be responsive to employers who reach out with job opportunities

Get matched with top tech companies on Seen!"|data analyst|0|Northeast|Boston| MA
CarGurus|"Meet CarGurus—the #1 most visited online car shopping website in the US. At CarGurus, we're building the world's most trusted and transparent automotive marketplace where it's easy to find great deals from top-rated dealers.

Founded in 2006 by Langley Steinert (co-founder of TripAdvisor), CarGurus is a technology company with a passion for data and its power to simplify every aspect of the car shopping experience. Using proprietary technology, search algorithms and innovative data analytics, we provide unbiased validation on pricing, dealer reputation and vehicle history.About the RoleAt CarGurus we use data, not hunches, to inform decisions. Analysts play a key role in crafting the data narrative for these decisions. We love to collaborate, we're excited by a challenge, and we believe that ownership enables us to grow.

We are looking for thoughtful, courageously curious candidates who can dive into complex data and draw insightful conclusions. The one-year rotational program is designed to give graduating college seniors an accelerated path towards analytics roles within CarGurus. This program provides a unique chance to create a strong analytical foundation while exploring several facets of a rapidly-growing tech company. You'll work cross-functionally with many departments and stakeholders, gain exposure to multiple dimensions of the business, and work on projects with outsized impact.

CarGurus values diversity in experience and backgrounds—we do our best work when we create space for different voices and perspectives. Whatever unique experiences or skill sets you bring, we look forward to learning from each other!What You'll Do:

Participate in bespoke four- to six-month rotations over the one-year program; rotations may be in product, financial planning/analysis, consumer marketing, and business development
Define metrics to evaluate business performance, products and experiments; build reports and dashboards to monitor and understand them
Communicate and present data analysis, visualizations, and insights to key stakeholders
Be a voice and advocate for using data to improve the quality of our decision-making

Who You Are:This position is for students who are receiving their bachelors degree and graduating in spring of 2020. While we expect you have a strong academic background, no automotive or technology experience is required. Coursework and/or work experience involving statistics, mathematics, or other quantitative fields are preferred; nevertheless, the position is not limited to any specific majors or minors. Regardless of your background, please consider applying if you are:


Open to learn new reporting or Business Intelligence tools; previous exposure to programming languages a plus
Naturally inquisitive and excited by solving consumer challenges with technology and data
Able to work in independent and cross-functional settings within a fast paced environment
Possess excellent verbal and written communication skills

CarGurus CultureAt the core of our company culture is a spirit of innovation, curiosity and collaboration. True to our start-up roots, we're nimble, flexible and data-driven. We have a respect for testing and learning, and a healthy aversion to meaningless meetings. We're committed to diversity and inclusion because we want all employees to have a sense of belonging. To power you through the day, our kitchens are stocked with snacks and drinks. Lunch is catered daily. All employees are shareholders. We believe giving back is important, so we have established an Open Source Fund and Charitable Giving program which make quarterly donations to employee recommended organizations. We recognize that everyone has a life outside of the office which is why we have flexible schedules and unlimited personal time.

In addition to the US, CarGurus operates sites in Canada, the UK, Germany, Italy, and Spain with other markets on the horizon. Our offices are located in Cambridge, MA, Detroit, MI and Dublin, Ireland. If you'd like to learn more, please visit our careers page.

Program will begin Spring/ Summer 2020.To apply to this job, click  Easy Apply"|data analyst|5|Northeast|Cambridge| MA
Robin Powered|At some point you’ve probably attended or scheduled a meeting -- maybe it was in a room, on video or over the phone -- then your meeting room gets stolen, you don't have the right resources, or you can't find where you need to be. Finding space and time to communicate can be painful. The problem is easy to understand but difficult to solve. That's where Robin comes in. We build software that coordinates meeting spaces, people and things in your workplace so you can get back to doing your best work.Based in Boston, the DNA of our eclectic team shapes our culture in a way that means we can show up to work as our whole selves. Our values guide the way we treat our customers, our coworkers, and our candidates. We are intentional with our words and actions. We’re helpful. And at the end of the day, we're all united by the mission of modernizing the open office so that businesses (like HubSpot, Twitter, Bumble and Kayak) are more enjoyable places to walk into each day, including our own.We are looking for a Data Analyst to partner with engineering and product to support the development of customer-facing workplace analytics. If you consider yourself smart, have a drive for results, proven track record and are not shy to challenge the status quo -- we want you!Work you’ll be responsible for:Query databases (Postgres/MySQL) to gather large amounts of complex calendar data. Identify trends, patterns, gaps and insights using descriptive analytics and data visualizations to further business insights.Leverage best in class analytical programming tools, such as Jupyter notebooks, and create well documented and repeatable analytical processes.Perform complex ad-hoc analyses in Excel to solve important business problems and formulate robust, actionable recommendations for leadership that support the product team in creating a data-driven company.Contribute to the development of data strategy tools such as a data dictionary and assist with the creation of team onboarding materials.You are:Analytical. You’re passionate about using and understanding data to problem-solve. Collaborative. You enjoy partnering with various teams to drive analytics on business trends through multiple systems. You are able clearly distill the essence of your technical work to audiences of all levels and across multiple functional areas.Adaptable. You are able to work on multiple projects, meet deadlines and love a fast-paced environment.Curiosity: You’re driven to learn the latest and greatest of an industry. You enjoy problem-solving and know-how to ask strategic questions rather than just talking about implementation details.Articulate. You are able to communicate and simplify complex data into sensible business solutions. Experience articulating product questions and using statistics to arrive at an answer.Experience you already have:2-4 years of experience on a data or analytics teamKnowledge and experience applying statistical techniques to real business dataA Bachelors degree in a quantitative field such as Statistics, Computer Science, Engineering, Mathematics, Data Sciences or equivalent experience2 or more years of experience working with Microsoft Excel 2 or more years of experience working with Python (preferable) / RCompetency with relational databases, writing SQL scripts and working with large sets of dataFamiliar with Git Plus if you are interested in learning Go or JavaWe’re creating the smart office of the future. We’d love to have you be a part of it.We are an equal opportunity employer and value diversity at our company. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status. We are ADA compliant and handicap accessible.To apply to this job, click  Apply Now|data analyst|5|Northeast|Boston| MA
