company|description|position|reviews|Region|City|State
Optimal|Job DescriptionAs a data scientist, this position includes: 1. Help team on the database administration and management. 2. Explorer and identify the data required for modeling purpose 3. Support and practice on case study and ad hoc work 4. Using advanced modeling and simulation techniques to optimize the performance of our business units. 5. Attribution modeling, Optimization, Operation Research and other advanced techniques are applied to solve real-world business problems.|data analyst|0|Midwest|Dearborn| MI
Presbyterian Healthcare Services|"OverviewJob Description Type of Opportunity: Full Time FTE: 1.000000 Exempt: Yes Work Schedule: Days

Summary:*Works to collaborate supporting the clinical development needs of staff, residency Fellowship, and student programs throughout the PHS enterprise by providing data management, reports, e learning, project coordination, application support, and researchResponsibilitiesResponsibilities:Data Analyst: *Independently drives data gathering, reporting, organization, reporting and visual graphics of complex data to assist in identifying needs for target audience*Collaborates in the identification of target audience performance needs and gaps *Defines the performance gap objectives and partners with management to achieve agreement on approach to bridge the gap*Creates optimal, budget conscious tracking and reporting to achieve performance objectives*Incorporates evidence based data to structure instructional design for e learning and how to track and report performance on content*Drives the implementation of educational technology and applications in collaboration with management and team members*Builds the approach, deployment, collection, analysis and reporting of project effectiveness*Designs new programs to meet organizational strategic objectives*At the elbow support for Clinical Education team and those we support management, staff, nurse residents, fellows, clinical contractors, assigned vendors and studentsPerformance evaluator for Clinical Education scope of services and Nursing Residency/Fellowship Programs: *Assists CPDS and CPDS Residency teams to build and implement Levels 1 through 4 evaluation tools to measure satisfaction, learning, and transfer to performance based upon performance objectives*Partners with management to assess project performance gaps and build remediation action plansProject Coordination: *Role models and coaches in the moment *Role models highest specialty standards*Mentors others in best practice to enhance outcomes and performance*Independently lead projects assigned*Incorporates best practice standards in reporting to better inform management and leadershipConsultant / Collaborator: *Works and mentors team members within Clinical Education team to accelerate performance *Initiates and or supporting changes in practice through project tracking, e-learning development, educational technology, and applications*Work with CPDS on support for nursing, allied health, and nurse residency programs*May lead projects assigned by PDS Manager Clinical Education OperationsApplications:*Works and mentors team members within Clinical Education team to use e learning applications effectively and according to best practice*Works and mentors team members within Clinical Education team on web applications assigned to accelerate performanceResearcher: *Incorporates project coordination and e learning best practices and standards into work*Supports, builds, and initiates new projects to improve the performance and outcomes of Clinical Education*Stays up to date on best practices for data cleaning, data mining, and data visualization and reporting techniquesPromise and CARES Commitment:*Participates and role models the organizational mission, and vision within all of Presbyterian Healthcare ServicesSpecialty Role Focus:Applies skills and critical thinking related to area of assignment to gather, organize and report data, project coordination, computer based training, and other assignments assigned.QualificationsAcademic Preparation:

*Bachelors degree in healthcare operations, analytics, e-learning development/instructional design, business management, and/or information technology. 6 years of additional experience can be substituted in lieu of degree.Experience: Minimum at least 6 years of healthcare in healthcare operations, analytics, e learning development, academic coordination, and or information technology

Abilities: (Physical, mental, environmental requirements/demands):

Assumes and maintains various postural positions including but not limited to sitting, kneeling, reaching, squatting, climbing, bending/twisting neck and/or waist, lifting and carrying or pushing/pulling objects/equipment.

On occasion will need to work extended hours.BenefitsBenefits Benefits are effective day-one (for .45 FTE and above) and include:


Competitive salaries
Full medical, dental and vision insurance
 Flexible spending accounts (FSAs)
 Free wellness programs
Paid time off (PTO)
Retirement plans, including matching employer contributions
Continuing education and career development opportunities
 Life insurance and short/long term disability programs

About Us Presbyterian Healthcare Services is a locally owned, not-for-profit healthcare system of nine hospitals, a statewide health plan and a growing multi-specialty medical group. Founded in New Mexico in 1908, it is the state's largest private employer with approximately 11,000 employees.

Presbyterian's story is really the story of the remarkable people who have chosen to work here. Starting with Reverend Cooper who began our journey in 1908, the hard work of thousands of physicians, employees, board members, and other volunteers brought Presbyterian from a tiny tuberculosis sanatorium to a statewide healthcare system, serving more than 700,000 New Mexicans. We are part of New Mexico's history - and committed to its future. That is why we will continue to work just as hard and care just as deeply to serve New Mexico for years to come. About New Mexico New Mexico's unique blend of Spanish, Mexican and Native American influences contribute to a culturally rich lifestyle. Add in Albuquerque's International Balloon Fiesta, Los Alamos' nuclear scientists, Roswell's visitors from outer space, and Santa Fe's artists, and you get an eclectic mix of people, places and experiences that make this state great. Cities in New Mexico are continually ranked among the nation's best places to work and live by Forbes magazine, Kiplinger's Personal Finance, and other corporate and government relocation managers like Worldwide ERC. New Mexico offers endless recreational opportunities to explore, and enjoy an active lifestyle. Venture off the beaten path, challenge your body in the elements, or open yourself up to the expansive sky. From hiking, golfing and biking to skiing, snowboarding and boating, it's all available among our beautiful wonders of the west. AA/EOE/VET/DISABLED. PHS is a drug-free and tobacco-free employer with smoke free campuses.To apply to this job, click  Apply Now"|data analyst|0|Midwest|Detroit| MI
EPITEC|"Epitec

POSITION:

Data Scientist Analyst

JOB TYPE:

Full time, Contract

LOCATION:

Dearborn, Michigan

JOB SUMMARY FOR DATA SCIENTIST ANALYST:

The role of the Data Operations Analyst is an important enabler of the development of the companies Data Supply Chain. The Data Analyst will ensure that overall data standards, information interoperability, data quality, and data availability fully support the goals of GDI&A. The Data Operations Analyst works closely with GDI&A Analytics teams, IT Data Supply Chain, Data Governance, the Business, and external solution partners to drive alignment and delivery of the Data Supply Chain and brings data up to quality required to deliver on the business objectives. The Data Operations Analyst provides thought and technology leadership as a data SME in GDI&A for assigned areas (e.g. Manufacturing, MP&L). The Data Operations Analyst also supports select Advanced Analytics and Data Science projects.

REQUIRED EXPERIENCE FOR DATA SCIENTIST ANALYST:

Three or more years of progressive responsibilities managing data and data processes. 

Experience in the Manufacturing and/or MP&L domain or working with Manufacturing and/or MP&L data. 

Experience developing data standards. 

Ability to effectively communicate information and ideas in written and verbal formats, including process documentation. 

Strong collaboration and influencing skills, and the ability to energize a cross-functional team. 

Demonstrated problem formulation with the ability to take complex problems and break them down to create and implement an action plan. 

Ability to communicate findings to make data analysis actionable and understandable by Data Operations team members, business partners, including IT and analytic teams. 

Ability to effectively communicate information and ideas in written and verbal formats, including process documentation. 

Bachelor's Degree in Computer Science, Engineering, Statistics, Economics, Business Analytics, Analytics, Operations Research or business/technical equivalent.

SKILLS AND QUALIFICATIONS FOR DATA SCIENTIST ANALYST:

Experience with ETL tools such as Alteryx. 

Experience with visualization tools such as QlikView or Tableau. 

Experience with SQL, R, Python, or Java. 

Experience working in Hadoop, particularly with HDFS and Hive. 

Experience working with data in Informatica. 

Experience with streaming technology like Kafka and Spark Streaming. 

Experience with developing application with Java, Springboot, and Angular.

BENEFITS

Medical, Dental, PTO, Holiday tailored to meet your needs. 401K/Match, $15,000 Life Insurance, Award-Winning Employee Care Program. Established and highly regarded reputation with Green Card and H1 processing.
"|data analyst|5|Midwest|Dearborn| MI
Auto-Owners Insurance Co||data analyst|0|Midwest|Lansing| MI
Auto-Owners Insurance|"Job Description

Auto-Owners Insurance, a top-rated insurance carrier, is seeking an entry-level data analyst to join our analytics teams. The position requires the person to:

Identify, clean, and combine data to solve relevant business problems

Transform data into meaningful insight for business partners from various areas, including underwriting, claims, and marketing

Work with our data scientists to develop statistical models that will help our associates make better business decision in their daily work

Occasionally perform ad-hoc reporting to answer specific inquiries from upper management

*Please note that candidates must be authorized to work in the U.S. without a sponsorship.

Desired Skills & Experience

Bachelor’s degree in mathematics, statistics, computer science, data mining, machine learning, physics, operations research, or a related quantitative discipline. Graduate degree and/or independent online learning a plus. A cumulative GPA of at least 3.3 is required.

An understanding of statistical and predictive modeling concepts, especially clustering and classification techniques

High aptitude for programming languages

A desire to learn new things

Ability to adapt to constant change and innovation

Knowledge of SQL, Python, or R is a plus

Data Analyst - Entry Level - Lansing, MI

Job Description

Auto-Owners Insurance, a top-rated insurance carrier, is seeking an entry-level data analyst to join our analytics teams. The position requires the person to:

Identify, clean, and combine data to solve relevant business problems
Transform data into meaningful insight for business partners from various areas, including underwriting, claims, and marketing
Work with our data scientists to develop statistical models that will help our associates make better business decision in their daily work
Occasionally perform ad-hoc reporting to answer specific inquiries from upper management

*Please note that candidates must be authorized to work in the U.S. without a sponsorship.

Desired Skills & Experience

Bachelor’s degree in mathematics, statistics, computer science, data mining, machine learning, physics, operations research, or a related quantitative discipline. Graduate degree and/or independent online learning a plus. A cumulative GPA of at least 3.3 is required.
An understanding of statistical and predictive modeling concepts, especially clustering and classification techniques
High aptitude for programming languages
A desire to learn new things
Ability to adapt to constant change and innovation
Knowledge of SQL, Python, or R is a plus


</p>Company Description

Auto-Owners Insurance is a mutual insurance company made up of five property and casualty companies and one life/health/annuity insurer. Established in 1916 and headquartered in Lansing, Michigan, we currently operate in 26 states. Our written premium is nearly $6 billion, and we are proud to have been ranked among the Fortune 500 every year since 2002. Auto-Owners continues to be recognized for exceptional financial strength and stability among the nation’s largest insurers. We partner with independent agencies that sell our products and are consistently acknowledged for our superior customer service to our agents and our policyholders.

Auto-Owners offers a wide range of career opportunities, and we are seeking talent that will help us continue our long tradition of success. We offer a friendly work environment, structured training program, employee mentoring and an excellent compensation/benefits package. Along with a competitive base salary, matched 401(k), fully-funded pension plan (once vested), and bonus programs, Auto-Owners is also committed to a work/life balance and provides generous paid time off including holidays, vacation days, personal time, and sick leave. If you're looking to do rewarding work alongside great people, Auto-Owners is the place for you!"|entry level data analyst|5|Midwest|Lansing| MI
Evolutyz|"Requisition Details:

<strong># of Open Positions: 1<b>

Start Date: September 30, 2019

<strong>End Date: June 30, 2020<b>

Rate: 50-55/hr

<strong>Projects:

<strong>Minimum Requirements:

â Bachelor's degree with at least four to seven years related experience or equivalent combination of education and experience (systems consulting experience desired).

â At least three years' experience in large scale system implementation efforts following a standard software development lifecycle approach (scrum desired).

â Experience with business and technical requirements analysis, data modeling/mapping, and quality assurance frameworks.

â Strong oral and written communications skills.

â Ability to create systematic and manual data quality operations procedures in both technical and user-friendly language.

â Demonstrated effectiveness in a fast-paced rapidly changing environment.

â Strong facilitation skills.

â Excellent organization and management skills.

â Extensive knowledge of industry standard development methodologies and technologies.

<strong>Notes about the Req:

There are two openings. One of the roles is likely be be converted into an FTE at some point.

Conversion Salary is 75-82k. Please align this salary with candidates.

<strong>Job Description:

The Data Quality Analyst is accountable for the design and operational execution of the Enterprise Information Service Data Quality framework, as well as well as coordination across all technical resources throughout the lifecycle of information investigation and data management. Secondary responsibilities include creation and maintenance of various types of documents, quality assurance testing support and assisting in delivery activities.

<strong>GENERAL RESPONSIBILITIES

Leads data quality analysis to support Enterprise Information ServicesData Warehouse projects. Work closely with Business Analysts, Data Analysts/Scientists, Development, and Product Owners to ensure data housed in multiple source systems is valid and accurate. Develops validation scripts for automated execution, while creating actionable data quality reports that measure trends over time. Leads design and implementation of data quality screen strategies and protocols used in QA processes; ensures the full application of all relevant QA protocols, processes and procedures across the Enterprise Information Services technology stack. Participation in architecting the logical design of data quality practices with the technical team, including DQ screen design and specifications, data modeling, and documentation of logical processing flows. Act as translator between business and technical community interpreting data domain needs and translating them into more technical quality assessment rules for developers (and vice-versa). Business process analysis and data modeling. Candidate will be involved in both SQL data investigation and manual testing across multiple scrum teams Agile testing knowledge is a plus. Develop, documents and implements data quality standards for Enterprise Information Services platform. Regularly review and interprets QA results and findings with limited support from senior leadership. Uses out-of-the-box ingenuity in applying analytical techniques and organizational skills to identifying and evaluating alternatives and to developing recommended approaches to resolving quality assurance issues and problems.
"|data analyst|0|Midwest|Ann Arbor| MI
Optimal|"Job DescriptionPosition Description:

Digital Engineering Tools is looking for data scientists with exceptional skills in Machine Learning (ML) and Artificial Intelligence (AI). We are seeking high-potential Machine Learning and AI scientists to lead in all phases of project work, including problem identification, data management, solution development, solution deployment, and ongoing management. Responsibilities include: Lead and manage AI/ML development projects Able to develop a business case (dollar cost save to organization) Look for opportunities to utilize data to create business value Use analytical techniques to create and drive adoption of data-based decisions and processes to add business value for internal customers Use design thinking to understand a problem and use its framework to develop a solution Lead a design thinking workshop involving multiple participants with different backgrounds Comfortable with data forensics, gathering, manipulation and visualization Able to present and explain technical findings to non-technical audiences to promote data-driven decision making. Research possible technologies that can be used to address project needs Develop a solution to a state where it can be handed over to IT to productionize the solution Develop training material and supporting technical documentation. Identify, gain global agreement and document business requirements (with input from multiple stakeholders), including the communication and articulation of these business requirements to IT Communicate project status to senior management Conduct training sessions Work individually and in a team Some business travel may be required

Skills Required:

 Knowledge of analytical programming languages/tools, for example: Python, R, SQL (experience with databases), Matlab, Tableau, QlikView, Alteryx, C++ Understanding and experience of machine learning algorithms Experience in an analytical capacity (preparing reports, presentation, dashboards, and/or data visualizations for various audiences up to and including the executive level) Demonstrated awareness of how to leverage curiosity and creativity to drive business impact Have had exposure to design thinking / critical thinking techniques and methods Experience with leading and managing a project team with a proven track record of project delivery required Excellent project and people management skills, with tenacity in resolving issues

Prefer Self-motivated, driven and capable of working unsupervised Excellent written and oral presentation skills; ability to interface with senior management in terms of status report-out and issue help required/escalation An appreciation of the Agile Development Framework desirable

Experience Required:

3-4 years of experience with applying Artificial Intelligence/Machine Learning Techniques/Technologies

Prefer Experience with full software development life cycle, project documentation, and Agile methodologies

Education Required:

Bachelor's Degree in a ""STEM"" major (Science, Technology, Engineering, Mathematics) or related field

Prefer Masters Degree in a ""STEM"" major (Science, Technology, Engineering"|data analyst|0|Midwest|Dearborn| MI
Quicken Loans|"Who We Are

Were Americas largest mortgage lender, closing loans in all 50 states. J.D. Power ranked Quicken Loans Highest in Customer Satisfaction in Primary Mortgage Origination for the past nine consecutive years, 2010 2018. The company was also ranked highest in the nation for client satisfaction among mortgage servicers by J.D. Power for five consecutive years, 2014 through 2018, each year the company was eligible. Theres a simple reason weve been so successful: We care about the people we work with.

If youre tired of stuffy, bureaucratic workplaces, then youll be delighted to find something different here. We strive to make a creative, fun and collaborative environment you simply wont find anywhere else. Quicken Loans was named #1 in ESSENCE Magazines first ever list of Best Places to Work for African Americans in 2015. We've been on Computerworld's ""Best Places to Work in IT"" list for 13 years running, hitting #1 the last five years. We were also ranked #14 in FORTUNE Magazines list of ""100 Best Companies to Work For"" in 2018, remaining in the top-30 for the past 15 years.

Job Summary

The Data Analyst is a highly trained individual who specializes in organizing and analyzing data from various resources with the purpose of turning numbers into information to influence decision making. A Data Analyst uses a range of tools and methodologies, including statistics and technical expertise, to generate results that highlight useful insights and expose areas of opportunity. Data Analysts are naturally curious, have a strong sense of urgency and focus on how their analyses impact our business results.

Responsibilities

Drive analytical decision making on a wide range of initiativesField and prioritize strategic requests from senior leaders to help everyone involved better understand the impact of key business decisions, make projections and enhance our mortgage-related processesAnalyze data with standard statistical methods, interpret results and provide written and verbal summaries of data analysesEffectively summarize and simplify analysis results that are to be shared with teammates and business partners through a wide variety of mediumsWork closely with our Business Intelligence peers, including the Business Analysts, Engineers, Data Scientists and Modelers to ensure we're creating a holistic analytical approach that solves for analytics needed, technical solutions and models to transform a business initiativeWork as an extension of business partners to consult with and communicate their needs back to our Technology team

Requirements

Bachelors degree or higher preferred in economics, mathematics, applied statistics, computer science, or finance or equivalent experience1 year of applied experience working with complex data setsKnowledge of statistics and how to apply them in a business environmentWorking knowledge of statistical software like Minitab, SPSS, R, SAS or PythonBasic understanding of SQL or other querying languages used to create data setsA strong sense of business/industry understandingDemonstrated experience visualizing and presenting data (e.g., Tableau, PowerBI)Capacity for being responsible for data within the organization to reach conclusions and drive solutions and/or recommendationsDemonstrated ability to put data in context, display data appropriately using a variety of tools and apply statistical methodologies accuratelyCommunication skills and a solid presenceExperience working within the business to create strategic actionable takeaways, provide solutions and expose areas of opportunityGreat accuracy and talent for identifying and resolving data issuesAdvanced Excel skillsAbility to work comfortably with numbers on a daily basisGreat communication skills and comfort working with IT partners and senior leadershipComfort with a high learning curve regarding software platforms and new analytical conceptsStrong project management and prioritization skillsAbility to work in fast-paced environment where flexibility is key and directions can change frequentlyVery high level of attention to detail and outstanding organizational skills
"|data analyst|5|Midwest|Detroit| MI
Quicken Loans|"Who We Are

Were Americas largest mortgage lender, closing loans in all 50 states. J.D. Power ranked Quicken Loans Highest in Customer Satisfaction in Primary Mortgage Origination for the past nine consecutive years, 2010 2018. The company was also ranked highest in the nation for client satisfaction among mortgage servicers by J.D. Power for five consecutive years, 2014 through 2018, each year the company was eligible. Theres a simple reason weve been so successful: We care about the people we work with.

If youre tired of stuffy, bureaucratic workplaces, then youll be delighted to find something different here. We strive to make a creative, fun and collaborative environment you simply wont find anywhere else. Quicken Loans was named #1 in ESSENCE Magazines first ever list of Best Places to Work for African Americans in 2015. We've been on Computerworld's ""Best Places to Work in IT"" list for 13 years running, hitting #1 the last five years. We were also ranked #14 in FORTUNE Magazines list of ""100 Best Companies to Work For"" in 2018, remaining in the top-30 for the past 15 years.

Job Summary

The Data Analyst is a highly trained individual who specializes in organizing and analyzing data from various resources with the purpose of turning numbers into information to influence decision making. The Data Analyst uses a range of tools and methodologies, including statistics and technical expertise, to generate results that highlight useful insights and expose areas of opportunity. Data Analysts are naturally curious, have a strong sense of urgency and focus on how their analyses impact our business results. This team member is dedicated specifically to the Marketing business area.

Responsibilities

Drive analytical decision making on a wide range of initiativesField and prioritize strategic requests from senior leaders to help everyone involved better understand the impact of key business decisions, make projections and enhance our mortgage-related processesAnalyze data with standard statistical methods, interpret results, and provide written and verbal summaries of data analysesEffectively summarize and simplify analysis results that are to be shared with teammates and business partners through a wide variety of mediumsWork closely with our business intelligence peers, including Business Analysts, Engineers, Data Scientists and Modelers, to ensure we're creating a holistic analytical approach that solves for analytics needed, technical solutions and models to transform a business initiativeWork as an extension of business partners to consult with and communicate needs back to our Technology team

Requirements

Bachelors degree or higher preferred in economics, mathematics, applied statistics, computer science or finance or equivalent experience1 year of applied experience working with complex data setsBasic understanding of SQL or other querying languages used to create data setsAdvanced Excel skillsGreat accuracy and a talent for identifying and resolving data issuesDemonstrated experience visualizing and presenting data (e.g., Tableau, PowerBI, etc.)Comfort with a high learning curve regarding software platforms and new analytical conceptsAbility to ramp up quickly to understand the business and industryExperience creating strategic actionable takeaways, providing solutions and exposing areas of opportunityCapacity for being responsible for data within the organization to reach conclusions and drive solutions and/or recommendationsComfort presenting in front of a large group when necessarySelf-starter with a strong sense of career ownership who seeks out opportunity for further growth and developmentStrong project management and prioritization skillsAbility to work in fast-paced environment where flexibility is key and directions can change frequentlyExtremely high level of attention to detail and outstanding organizational skills

Whatll Make You Special

Experience with web analytics tools such as Adobe Analytics Suite and Google AnalyticsExperience with customer relationship management software as a service, such as Salesforce Marketing CloudBasic statistical software program knowledge, including R and Python
"|data analyst|5|Midwest|Detroit| MI
Domino's Pizza|"About Us:

Domino's Pizza, which began in 1960 as a single store location in Ypsilanti, MI, has had a lot to celebrate lately: we're a reshaped, reenergized brand of honesty, transparency and accountability - not to mention, great food! In the rise to becoming a true technology leader, the brand is now consistently one of the top five companies in online transactions and 65% of our sales in the U.S. are taken through digital channels. The brand continues to 'deliver the dream' to local business owners, 90% of which started as delivery drivers and pizza makers in our stores. That's just the tip of the iceberg...or as we might say, one ""slice"" of the pie! If this sounds like a brand you'd like to be a part of, consider joining our team!

Additional Job Details:

This Data Scientist Analyst role reports to the Data Science Manager of Strategy & Insights supporting Operations, Supply Chain, and People First. This individual will be responsible for further development/evolution of proprietary tools for the organization. In addition, this person will consult with internal clients and generate insights through advanced analytic techniques. The successful candidate will have strong analytic and consulting skills.

GENERAL RESPONSIBILITIES

Develop a strong understanding of the business, the challenges, and demonstrate the ability to identify business opportunities that can be acted uponIdentify and apply the best analytic and statistical techniques to evolve our internal proprietary field marketing and operations toolsConsult with manager and internal clients on tool enhancements that will benefit the organization and lead to sales and profit growthDevelop a strong working knowledge of the many internal and external data sources to leverageMine and synthesize across data sources to help address opportunities leveraging SQL and other analytic techniques such as text miningDevelop concise communications and tools where necessary so that our business partners can leverage the tools to capitalize on opportunities

Qualifications:Bachelor's degree in Data Science, Mathematics, Statistics, Predictive Modeling, Industrial Operations Engineering, or other related field.

Minimum of 4 years professional related experience

Proficient in SQL

Experience in the following types of analytics preferred: text analytics, regression, analysis of variance, pre-post assessment, break-even analyses

Ability to travel up to 10% - provided by Dice"|data analyst|0|Midwest|Ann Arbor| MI
