company|description|position|reviews|Region|City|State
Presbyterian Healthcare Services||data analyst|0|Midwest|Kansas City| MO
1904labs|"About UsInterested in working for a human-centered technology company that prides itself on using modern tools and technologies? Want to be surrounded by intensely curious and innovative thinkers?

Seeking to solve complex technical challenges by building products that work for people, meet and exceed the needs of businesses, and work elegantly and efficiently?

Modeling ourselves after the 1904 World's Fair, which brought innovation to the region, 1904labs is seeking top technical talent in St. Louis to bring innovation and creativity to our clients.

Our clients consist of Fortune 500 and Global 2000 companies headquartered here in St. Louis. We partner with them on complex projects that range from reimagining and refactoring their existing applications, to helping to envision and build new applications or data streams to operationalize their existing data. Working in a team-based labs model, using our own flavor of #HCDAgile, we strive to work at the cutting edge of technology's capabilities while solving problems for our clients and their users.The RoleAs a Data Scientist with 1904labs, you will be working with other data scientists, data engineers, and developers to provide analytical services to clients. You will leverage the clients' data assets to answer business questions using best practices and innovative approaches. This will mean employing various data science tools (Python, apache spark, TensorFlow) and techniques (dimensionality reduction, unsupervised learning, supervised learning) to create and test machine learning algorithms. Once tested and verified you will work with development teams to implement the algorithm as a scalable, hosted service.

We're looking for an experienced and creative data scientist who can conceptualize a project from start to finish, identifying the appropriate data and methodologies to use. Our Data Scientists work with open-source machine learning packages and libraries, so this position involves building custom ML/AI utilities from open-source resources in languages such as Python (preferred) and R. In this role, you will own and share technical solutions with both technical and non-technical stakeholders across multiple teams both internally and with external clients.Responsibilities

Perform data analysis to understand the right combinations of data to meet outlined objectives
Translate client queries into actionable data pulls and help translate outputs into client strategies
Build and evaluate predictive modeling & machine learning utilities to produce meaningful outcomes that enable data-led decisions
Translate analysis results into actionable insights
Present insights to both technical and non-technical audiences
Partner with internal data scientists, developers, and tech teams to develop new methodologies and utilities
Work with development teams to implement data science algorithms as scalable, hosted services

Your Skills Requirements

Background in math including linear algebra, statistics, probability, and numerical analysis.
Machine Learning Analysis: Must be able to execute, evaluate, and apply various models such as logistic regression, random forests/decision tree, nearest neighbor, neural net, support vector machine, an ensemble of multiple models, etc
Programming: Proficient coding in a language suited for machine learning systems such as Python or R (not reliant on GUI-based systems to execute analysis) for the purpose of cleaning, manipulating, visualizing, and analyzing data

 Desired Skills

Experience with software engineering and developing deployable API services
Must be adaptable and have the drive to learn new technologies and frameworks to support developing client solutions
Using browser based interactive computational environments (like Jupyter Notebook) to perform analysis activities and test / evaluate data models and algorithms.
Tools: Spark, Pandas, SciKit-Learn, TensorFlow, Keras, SQL
Communication: Must be able to explain analysis process and translate results into actionable insights for both technical and non-technical audiences
Teamwork: Must be accountable for individual responsibilities while working collaboratively with development and engineering teams to achieve project deliverables
Comfort in an agile development environment (eg. writing stories, participating in workshops, sprint planning and retros)

Perks

Benefits Program (medical, dental, life insurance, 401(k), professional and personal development, PTO)
Innovation Time - we allow 10% of your time to be devoted to innovation hours. This time can be used to foster individual ideas, personal projects, start up ideas, improve an open source tool or for career advancement and self-education. All during traditional working hours.
Dress Code - we don't have one

These roles are located in St. Louis, MO. While we would prefer local candidates your location is not the most important factor; please help us understand why you would like to call St. Louis home if you would be relocating.]]>To apply to this job, click  Apply Now"|data scientist|5|Midwest|Saint Louis| MO
H&R Block|"Title

Data Scientist

11/12/2019

Job DescriptionJOB SUMMARY

Conducts analysis with a focus on experimental design, assessment, execution, measurement of current programs, evaluation of proposed programs, behavioral analysis, data mining, customer segmentation, predictive modeling, site selection, performance management, and other relevant statistical analyses.

Serves as an internal consultant in identifying opportunities to improve decision making through the application of analytical concepts and techniques.

JOB DUTIES

Consults with internal clients to understand proposed programs. Conducts appropriate analyses to estimate program impacts. Consults with internal clients to understand how each program will be executed with the customer. Identifies issues that may affect program measurement. Provides appropriate lead lists to support program execution. Develops detailed measurement and analysis plans, including experimental design, data needed, task lists, and timing for each Marketing and/or Operations program. Collaborates with Financial Analysis to ensure program business case metrics and assumptions are in line with measurement plans. Executes measurement and analysis plans, providing accurate and comprehensive analyses of consumer response to programs, as well as revenue and profitability impacts, key findings and recommendations.Identifies needs for future analysis and modeling support. Anticipates data requirements and ensures required data is available to support current and future analysis.Conducts data mining to provide customer profiling, behavioral analysis, performance management analysis, targeting and segmentation as needed in support of business initiatives.Conducts business analyses that support management decision-making relative to client marketing and retail operations.Applies appropriate techniques to develop models that support marketing and operations efforts as well as business decisions.Utilizes model results to recommend appropriate targets for marketing campaigns and operations programs. Implements scoring algorithms. Tracks model performance.Designs and creates usable data models. Recommends new strategies for promotions and pricing.Other duties as assigned.

JOB REQUIREMENTS

Master’s degree in Statistics, Mathematics, Economics, Operations Research, or other related field or an equivalent combination of education and experience.A minimum of two years model development, statistical methodologies, or quantitative analysis experience in the financial services industry.Knowledge of principles and techniques of statistics.Knowledge of statistical modeling principles, concepts and techniques.Knowledge of principles, practices and techniques of database marketing.Proficiency with in SAS with an emphasis on statistical analysis, programming, data manipulation and data quality management skills.Strong statistical and quantitative analysis skills.Demonstrated critical conceptual and intellectual skills.Ability to use a systematic approach in solving problems through analysis and evaluation of alternative solutions.Effective oral, written and interpersonal communication skills.Ability to handle multiple tasks and projects simultaneously.Demonstrated organizational and planning capabilities.Effective organizational and prioritization skills.Ability to interact effectively with all levels of the Company.Ability to work effectively in a diverse work group.Ability to work effectively as a member of a team.

Preferred Qualifications

Demonstrated experience and success in communicating quantitative concepts to a business audience.Experience performing business analysis to include use of SAS, SAS STAT and Enterprise Miner.Experience in the application of database marketing principles and practices in the consumer market.Technical skills --


Understanding and previous use of a Windows-based computer system.Proficiency in MS Word, Excel, and PowerPoint.Ability to navigate on the Internet.

Job ID

337136BR

Corporate Job Categories

Accounting/Finance

Postal

64105

Address

One H&R Block Way

City

Kansas City

State

MO

About H&R Block...

H&R Block’s purpose is simple: To provide help and inspire confidence in our clients and communities everywhere. We’ve been true to that purpose since brothers Henry and Richard Bloch founded our company in 1955. Since then, we’ve grown to have approximately 12,000 offices throughout the United States and around the world.

We are a people company first and a tax company second. People who join H&R Block say it feels like being part of something bigger. A place with an amazing and storied history, but with a strong and urgent focus on the future. Maybe it’s how determined, forward thinking and innovative we are, or how accessible our leadership is. We believe it’s all those things, and much more.
Apply Now: click  Apply Now"|data scientist|5|Midwest|Kansas City| MO
Envision LLC|"Geospatial Data Scientist in St. Louis

(no C2C, but we can work with OPT EAD)

Key Tasks & Responsibilities:

Propose, design, develop, implement, and report complex analyses of life-science data
Build and curate geospatial data sets, integrating remote sensing and field trial measurements
Plan and analyze field trials to assess impact of environmental factors on product performance
Build models to predict crop traits from remote sensing data
Find spatial dependency in crop protection field trial data
Quickly assess feasibility of applying remote sensing to replace human assessments in the field
Directed and/or independent research to test scientific hypotheses
Find and improve publicly available models where possible
Evaluate the limitations of existing data sources and provide recommendations to address unmet data needs
Work in close collaboration with scientists to identify opportunities for state-of-the art integrative data science projects
Communicate data quality and data completeness to key partners
Be accountable for & ensure solutions meet business requirements
Write robust and well-documented research code
Engage with diverse research groups to understand their models and products and develop solutions to meet their data needs
Undertake written & verbal communication with stakeholders in various parts of the organization
Deliver results in a timely and efficient manner
Be part of innovative data analytics projects by creating novel scientific and/or business insights and knowledge across R&D phases and technologies

Qualifications & Competencies

BA/BS with a focus in Math, Statistics, Informations Systems Management, Computer Science or GIS.
5+ years of relevant development experience with recent experience in Python, R & SQL
2+ year’s experience with geospatial statistics and classical statistics/biometrics
Experience working with cloud tools such as AWS and Domino data science platform
Strong organizational skills, interpersonal skills, written and oral communications
Strong problem solving and proven project delivery skills
Demonstrated experience with global multi-disciplinary teams & learning the science
Creative, proactive, bold and out-of-box thinking
Start your job application: click  Apply Now"|data scientist|5|Midwest|Saint Louis| MO
IBM|"Introduction

At IBM we have an amazing opportunity to transform the world with cognitive technology. By using the vast amounts of information available today to identify new patterns and make new discoveries, we are helping cities become smarter, hospitals transform patient care, financial institutions minimize risk, and pharmaceuticals find cures for rare diseases.

Data scientists work with enterprise leaders and key decision makers to solve business problems by preparing, analyzing, and understanding data to deliver insight, predict emerging trends, and provide recommendations to optimize results. Data scientists use a variety of data (structured, unstructured, IoT streaming), analytics, AI tools, and programming languages often using a cloud infrastructure to handle the volume and veracity of data streams.

Armed with data, modeling expertise, and analytic results, the data scientist communicates conclusions and recommendations to stakeholders in an organization's leadership structure. Business acumen is an important skill for data scientists to effectively communicate their findings to business leaders, data scientists need strong consulting, communication, visualization, and storytelling skills.

Your Role and Responsibilities

START DATES FOR THIS POSITION ARE IN 2020

Data Scientists are in demand across IBM's growth areas. If hired, you will be matched to a team based on business demand, location and fit. Join the forward-thinking teams at IBM solving some of the worlds most complex problems there is no better place to grow your career!

What Youll Do as an Entry-Level Data Scientist:


You will implement and validate predictive models as well as create and maintain statistical models with a focus on big data.You will be exposed to and incorporate a variety of statistical and machine learning techniques such as logistic regression, experimental design, generalized linear models, mixed modeling, CHAID/decision trees, neural networks and ensemble models.Youll communicate with internal and external clients to understand business needs and provide analytical solutions.You will use leading edge tools such as COGNOS, Watson Studio and Watson Machine Learning.Youll work in an Agile, collaborative environment, partnering with other scientists, engineers, and database administrators of all backgrounds and disciplines to bring analytical rigor and statistical methods to the challenges of predicting behaviors.

Who You Are:

You are great at solving problems, debugging, troubleshooting, and designing & implementing solutions to complex technical issues.You thrive on teamwork and have excellent verbal and written communication skills.You have strong technical and analytical abilities, a knack for driving impact and growth, and some experience with programming/scripting in a language such as Java or Python.You have a basic understanding of statistical programming in a language such as R, SAS, or Python.You have an interest in, understanding of, or experience with Design Thinking and Agile Development Methodologies


Required Professional and Technical Expertise


Basic understanding of statistical programming in a language such as R, SAS, or Python.Experience with programming/scripting in a language such as Java or Python.Knowledge of statistical concepts such as regression, time series, mixed model, Bayesian, clustering, etc., to analyze data and provide insights.


Preferred Professional and Technical Expertise


Advanced knowledge of statistical concepts such as regression, time series, mixed model, Bayesian methods, clustering, etc., to analyze data and provide insights.


About Business Unit

No matter where you work in IBM, you are making an impact. As an Early Professional with IBM, you will be taking on a key role with one of our industry-leading business units to work on the technology that is solving our most challenging problems and changing the way the world thinks.

Your Life @ IBM

What matters to you when youre looking for your next career challenge?

Maybe you want to get involved in work that really changes the world? What about somewhere with incredible and diverse career and development opportunities where you can truly discover your passion? Are you looking for a culture of openness, collaboration and trust where everyone has a voice? What about all of these? If so, then IBM could be your next career challenge. Join us, not to do something better, but to attempt things you never thought possible.

Impact. Inclusion. Infinite Experiences. Do your best work ever.

About IBM

IBMs greatest invention is the IBMer. We believe that progress is made through progressive thinking, progressive leadership, progressive policy and progressive action. IBMers believe that the application of intelligence, reason and science can improve business, society and the human condition. Restlessly reinventing since 1911, we are the largest technology and consulting employer in the world, with more than 380,000 IBMers serving clients in 170 countries.

Location Statement

We consider qualified applicants with criminal histories, consistent with applicable law.

Being You @ IBM

IBM is committed to creating a diverse environment and is proud to be an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, disability, age, or veteran status. IBM is also committed to compliance with all fair employment practices regarding citizenship and immigration status.
"|entry level data scientist|5|Midwest|Saint Louis| MO
Bayer|" Bayer is a global enterprise with core competencies in the Life Science fields of health care and agriculture. Its products and services are designed to benefit people and improve their quality of life. At Bayer you have the opportunity to be part of a culture where we value the passion of our employees to innovate and give them the power to change. Associate Data Scientist
YOUR TASKS AND RESPONSIBILITIES

The primary responsibilities of this role, Associate Data Scientist, are to:


Use advanced mathematical models, machine learning algorithms or operations research techniques, and strong business acumen to deliver high-throughput DNA genotyping workflow insight, recommendations, and solutions;
Drive high-throughput DNA genotyping optimization by leveraging complex datasets to create models that predict lab process health and prescribe appropriate remediation actions;
Form partnerships with cross-functional teams in Bayer (Breeding, Product Supply, IT) to drive optimization of complex workflows that span functions and countries;
Develop sustainable, consumable, accurate, and impactful reporting on models to drive optimization of Precision Genomics and genotyping partner workflows;
Present compelling, validated stories to all levels of organization, including peers, senior management, and internal customers to drive both strategic and operational changes in business;
Provide technical contributions leveraging business acumen in a fast-paced team environment to accelerate our efforts on building an analytics-driven product pipeline.

WHO YOU ARE

Your success will be driven by your demonstration of our LIFE values. More specifically related to this position, Bayer seeks an incumbent who possesses the following:

Minimum of a Bachelor’s degree with 2+ years of experience or Master’s degree


Educational preparation or applied experience in at least one of the following areas: Machine Learning, Electrical/Industrial Engineering, Operation Research, Statistical Genetics, Statistics, Biostatistics, Bioinformatics, Genomics, Computational Biology, Applied Mathematics, Computer Science or other related quantitative discipline;
Demonstrates basic computational skills and level of experience using R, Python, or other statistical and/or mathematical programming languages;
Entry level proficiency in predictive modeling — to include comprehension of theory, modeling/identification strategies, and limitations and pitfalls;
Entry level proficiency in machine learning algorithms and concepts;
Experience using Shiny, Spotfire, Tableau, Jupyter Notebooks, or other reporting solutions;
Experience with web APIs and relational databases (PostgreSQL, Oracle, MS SQL Server, or similar).

Relocation may be offered for this role.
 YOUR APPLICATION Bayer offers a wide variety of competitive compensation and benefits programs. If you meet the requirements of this unique opportunity, and you have the ""Passion to Innovate"" and the ""Power to Change"", we encourage you to apply now. To all recruitment agencies: Bayer does not accept unsolicited third party resumes. Bayer is an Equal Opportunity Employer/Disabled/Veterans
 Bayer is committed to providing access and reasonable accommodations in its application process for individuals with disabilities and encourages applicants with disabilities to request any needed accommodation(s) using the contact information below.  Location: United States : Missouri : Chesterfield || United States : Missouri : Creve Coeur || United States : Missouri : Saint Louis || United States : Missouri : St. Louis || United States : Missouri : St.Louis  Division: Crop Science  Reference Code: 68901
 Contact Us  + 1 888-473-1001, option #5"|associate data scientist|5|Midwest|Saint Louis| MO
Schnucks|"Schnucks has a current opening for a Data Scientist reporting to the Director of Financial Planning & Analytics. This role will bring technology & analytical skills to unlock new and deeper insights at Schnucks. The role will drive insights into customer-focused action through communication and partnership with our strategic and tactical decision-makers; deep-dive into our largest opportunities analytically, including sales, gross profit, pitch/shrink; develop customer-focused analytics (leveraging loyalty), and basket level analysis; and develop best practices and be accountable for sharing these practices across the entire analyst team.
Essential Job Responsibilities: 

Conduct deep analysis evaluating strategic effectiveness around sales, gross profit, TIL, customers, and baskets.
Develop and share analytics and best practices across entire analyst team.
Centralize, standardize, and automate key analytics functions currently spread across multiple teammates.
Report findings and work with business stakeholders to recommend actions.
Develop predictive modeling in support of business optimization.

Minimum Requirements: 

Minimum Education: Master’s Degree. Will accept Bachelor’s Degree in Mathematics/Statistics plus equivalent experience.
Minimum Years of Experience: 3 to 5 years.

Required Knowledge, Skills and Abilities:

Google Suite and Microsoft Office, with advanced Microsoft Excel.
Working knowledge of SQL. Working knowledge of Web-Focus BI, Nitro (Nielsen), Alteryx, Tableaut tools a plus.
Statistical software proficiency required; R, Python, Matlab, SAS, SPSS, etc., with demonstrated success.
Functional knowledge of unstructured data sets, including how to access and consume.
Certification or equivalent experience in analytic methodology (e.g. Six Sigma).
Ability to handle large amounts of data, identify key information, and provide insightful recommendations to all levels within the organization with minimal direction.
Ability to communicate to all audiences including strategy team, form strong partnerships, and powerfully convey their recommendations in order to gain action on their insights.
Strong organizational skills, the ability to multi-task in a dynamic environment, and must keep a high level of composure and professionalism in all situations.
Strong critical thinking skills with the ability to think outside the box.
Advanced analytical skills and techniques, including deep statistical knowledge, big data knowledge, visualization, and data exploration.

Equal Opportunity Employer."|data scientist|5|Midwest|Saint Louis| MO
Tiger Analytics|"Tiger Analytics is an advanced analytics consulting firm. We are the trusted analytics partner for several Fortune 100 companies, enabling them to generate business value from data. Our consultants bring deep expertise in Data Science, Machine Learning and AI. Our business value and leadership has been recognized by various market research firms, including Forrester and Gartner.

We are looking for top-notch talent as we continue to build the best analytics global consulting team in the world. For the current requirement, we are looking for a Data Scientist - Optimization to support, maintain, and enhance the optimization models developed for R&D and supply of products using IBM-Decision Optimization Center (DOC).

Responsibilities:

Responsible for successful scenario creation and complete input/output analysis for various simulation models across client’s R&D and supply organizations
Work with client stakeholders to understand key business problems, determine solution requirements, build statistical / ML / predictive models, and fine-tune for accuracy Successful compilation of results from various what-if scenarios using client’s data science platforms; support client’s Decision Science team to deliver the simulation solutions to the business teams were performed Ensure models are deployed and deliver projected business value Work as part of a global team to solve problems in a computationally efficient manner Model documentation – providing details where enhancements, bug fixes, or other modification

Requirements

3-5 yrs experience in delivering data science solutions / services Proficient with developing large scale optimization models and heuristics using IBM CPLEX and/or IBM Decision Optimization Center (using CPLEX) Validation of large scale optimization models using unit test cases and/or other applicable testing Maintaining and supporting optimization models developed by other data scientists Rendering the solutions of the optimization models using appropriate visualizations Creation of delta analysis for various what-if scenarios Experience on Python/R/Matlab preferred Ability to engage with the client stakeholders to understand business problems, ideate &converge on solution approach and develop analytical solutions Ability to work with global teams and communicate effectively Graduate degree in Operational Research, Data Science or Data Analytics or a related quantitative field Preferred location is St Louis, MO. Other US locations can be considered on case-by-case basis for outstanding candidates.

Benefits

Significant career development opportunities exist as the company grows. The position offers a unique opportunity to be part of a small, challenging, and entrepreneurial environment, with a high degree of individual responsibility."|data scientist|0|Midwest|Saint Louis| MO
Corporate|"Position Purpose: Responsible for advanced and predictive data analytics using big data and data science technology for healthcare innovation. Perform analysis using data science techniques on structured and unstructured data sets, and develop algorithms for targeted business needs.

Designs and develops data models to predict member outcomes or future impact of key member decisions.

Design and construct analysis tools that extract, and analyze data and store analytical results in an appropriate format for business needs.

Conduct exploratory data analysis from complex data sources and build key data sets to support company mission operational analysis.

Evaluate and design experiments to monitor key metrics and identify improvement opportunities.

Develop of mathematical and statistical models to distinguish relevant content or events and recognize patterns.

Participate in presentations and communicate results of research analysis and findings.

Participate in the design of automated, operational analytics processes to achieve scale and durability of analysis processes.

Create analysis and data reconciliation through SAS, R and other tools, to include healthcare provider data, claims data, membership data.

Knowledge/Experience: Master’s degree in Statistics, Mathematics, Computer Science, Informatics, Econometrics, Engineering, Experimental Science with 1 years of experience or Bachelor’s degree and 3 years of quantitative analysis experience in data science capabilities including data mining, predictive modeling, machine learning, statistical modeling, large scale data acquisition, transformation, and structured and unstructured data analysis. Experience with database technologies, including Oracle, SAP, DB2, Teradata, MS SQL Server, SAP HANA, MySQL.

Centene is an equal opportunity employer that is committed to diversity, and values the ways in which we are different. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, veteran status, or other characteristic protected by applicable law."|data scientist|0|Midwest|Clayton| MO
Centene Corporation|"ProfessionalPosition Purpose: Responsible for advanced and predictive data analytics using big data and data science technology for healthcare innovation. Perform analysis using data science techniques on structured and unstructured data sets, and develop algorithms for targeted business needs.

Designs and develops data models to predict member outcomes or future impact of key member decisions.

Design and construct analysis tools that extract, and analyze data and store analytical results in an appropriate format for business needs.

Conduct exploratory data analysis from complex data sources and build key data sets to support company mission operational analysis.

Evaluate and design experiments to monitor key metrics and identify improvement opportunities.

Develop of mathematical and statistical models to distinguish relevant content or events and recognize patterns.

Participate in presentations and communicate results of research analysis and findings.

Participate in the design of automated, operational analytics processes to achieve scale and durability of analysis processes.

Create analysis and data reconciliation through SAS, R and other tools, to include healthcare provider data, claims data, membership data.

Knowledge/Experience: Masters degree in Statistics, Mathematics, Computer Science, Informatics, Econometrics, Engineering, Experimental Science with 1+ years of experience or Bachelors degree and 3+ years of quantitative analysis experience in data science capabilities including data mining, predictive modeling, machine learning, statistical modeling, large scale data acquisition, transformation, and structured and unstructured data analysis. Experience with database technologies, including Oracle, SAP, DB2, Teradata, MS SQL Server, SAP HANA, MySQL.

Centene is an equal opportunity employer that is committed to diversity, and values the ways in which we are different. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, veteran status, or other characteristic protected by applicable law."|data scientist|4|Midwest|Clayton| MO
