company|description|position|reviews|Region|City|State
Colgate-Palmolive|"No Relocation Assistance Offered

# 74692 - Piscataway, New Jersey, United States

The Data Analyst:

Develops data-driven approaches and infrastructure to inform and accelerate product innovation, product design, and product development.Works with cross-functional teams to gather, wrangle, cleanse, structure, and build models that are distributed to the greater R&D team and aligned with organizational goals. Applies data analytics to enable new revenue-generating business models and improve underlying business processes for cost savings.

Responsibilities:

Write and implement custom code for data extraction from internal sources and data wrangling/cleansing from external sources.Proactively analyze data to answer key questions from stakeholders or out of self-initiated curiosity.Perform recurring and ad-hoc quantitative and descriptive analysis to support decision making.Translate data into visualizations and metrics for stakeholders.Apply basic descriptive statistical tools to data sets to ensure stakeholders understand data quality and statistical significance for decision-making.Communicate with stakeholders to understand current needs, near-term plans, and opportunities for improved data-driven decision support.Write custom SQL queries to extract data from internal databases.Write python or R scripts to structure data into the desired format or to clean/parse data.Write python or R scripts to perform descriptive statistical analysis of data to meet stakeholder needs and identify unexpected patterns.Develop custom dashboards and data visualizations using Google DataStudio or open-source frameworks to meet stakeholder needs for data visualization and descriptive data analysis.Develop low-level APIs to perform basic routine analytics tasks.Share knowledge with immediate data science team through regular presentations of progress, struggles, and advances.Assist in training R&D scientists on basic python skills.

Required Qualifications:

Bachelor's degree in Mathematics, Statistics or Computer Science.Knowledge in Python, Julia, R, Java.Proficiency with SQL implementations (PostgreSQL, MySQL, Oracle, MongoDB).

Preferred Qualifications:

At least 1 year of experience in programming.At least 1 year of experience in the Consumer Goods industry and/or functional experience.Active GitHub account with examples of past work.Active contributor to open-source data science projects such as Kaggle competitions.

Equal Opportunity Employer

Colgate is an equal opportunity employer and all qualified applicants will receive consideration for employment without regard to race, color, religion, gender, gender identity, sexual orientation, national origin, ethnicity, age, disability, marital status, veteran status (United States positions), or any other characteristic protected by law.

Are you interested in working for Colgate-Palmolive? You can apply online and attach all relevant documents such as a cover letter and resume or CV. Applications received by e-mail are not considered in the selection process. Become part of our team. We look forward to your application.

Colgate-Palmolive is a leading global consumer products company, tightly focused on Oral Care, Personal Care, Home Care and Pet Nutrition. Colgate sells its products in over 200 countries and territories around the world under such internationally recognized brand names as Colgate, Palmolive, elmex, Tom’s of Maine, Sorriso, Speed Stick, Lady Speed Stick, Softsoap, Irish Spring, Protex, Sanex, Elta MD, PCA Skin, Ajax, Axion, Fabuloso, Soupline and Suavitel, as well as Hill’s Science Diet and Hill’s Prescription Diet.

For more information about Colgate’s global business, visit the Company’s web site at http://www.colgatepalmolive.com. To learn more about Colgate Bright Smiles, Bright Futures® oral health education program, please visit http://www.colgatebsbf.com. To learn more about Hill's and the Hill’s Food, Shelter & Love program please visit http://www.hillspet.com. To learn more about Tom’s of Maine please visit http://www.tomsofmaine.com.

Reasonable accommodation during the application process is available for persons with disabilities. Please contact Application_Accommodation@colpal.com with the subject ""Accommodation Request"" should you require accommodation.To apply to this job, click  Apply Now"|data analyst|5|Northeast|Piscataway| NJ
HEALTHEC||data analyst|0|Northeast|Edison| NJ
Keen360, Inc.||senior data analyst|0|Northeast|Summit| NJ
Rowan University||data analyst|0|Northeast|Glassboro| NJ
eVestment||data analyst intern|0|Northeast|Jersey City| NJ
Chubb |"Description: The Data Analyst will join the Chubb Claims IT team which focuses on mission critical applications that support claim adjusters and other claim professionals in Chubb’s Claims Department, world-renowned for outstanding customer service. The Data Analyst will analyze interpret and define transformation rules for to be used for Analytics, Business Intelligence and Data Integration. This position will require a high degree of collaboration and detailed communication within and across multiple teams working closely with business, IT architecture and outsourced technical teams. Included in the job are opportunities to:

Assume a responsible leadership position on complex software development efforts and maintenance support
Gain exposure to advanced technical solutions supporting analytics and data strategies
Collaborate with other high-caliber IT professionals

Responsibilities Include:


Navigate and interpret complex data models associated with both internal and external applications and systems
Obtain data from appropriate internal and external source systems and define transformation rules to target data structures used to support Analytics and Reporting
Document complex data transformation rules from source to target systems and data structures
Complete internal and external data requests and analyze data results
Prepare results of analysis in formats appropriate for various audiences and occasions
Capable of performing effectively in a fast-paced environment under strict and overlapping deadlines
Engage with business users and other Subject Matter Experts to understand data requirements and sources of data
Work with 3rd party vendors and in-house developers, other business/technical analysts, and testing resources to deliver key objectives and assignments
Understand and apply corporate IT standards, ensure SOX and Audit compliance guidelines are met
Provide guidance to on and offshore development teams on data related transformation and coding rules
Lead and implement assignments independently as a hands-on expert by providing technical and business expertise on key projects and enhancements
Gather and analyze business and technical requirements and recommend solutions to meet functional requirements to support business needs
Plan and coordinate data-focused development efforts with Business Partners, Project Managers, Architecture Teams and Developers
Accountable to size / estimate data analysis work to establish plans for execution
Effectively communicate project status and assist Project Managers in the timely and accurate measurement of overall project health
Identify and quantify risks; make recommendations for risk mitigation and contingency plans
Assist with issue identification, tracking and resolution
Responsible for ensuring adherence of all deliverables to appropriate standards and quality levels
Troubleshoot and support production issues to meet daily SLA's

Technical Skills / Experience:


Bachelor's degree in Information Systems, Computer Science or similar technical degree, or equivalent Information Technology work experience
3-5 years relevant work experience in data analyst role
3-5 years of experience developing complex and effective SQL queries including the use of outer joins and sub-selects
Experience reading and understanding data models and database structures
Understanding of high level and detailed data processing flow designs and reference data architectures
Proven ability to take ownership of data investigations, understand interdependencies within data and see them through to resolution
Ability to work with on and offshore developers to communicate application and processing needs and work through issue resolution
Ability to manage multiple initiatives in a fast paced, dynamic environment
Strong self-starter with a sense of ownership
Excellent organizational, communication and collaboration skills
Solid problem solving and decision making skills
Strong time management and organizational skills
Flexible and adaptable
Passion for learning
Good listener and open to different points of view
Highly organized, possessing strong analytical abilities
Working experience with Excel, PowerPoint and Word required.
Orientation toward details
Agile experience a plus

Other Skills / Experience:


Proven ability to produce results through the complete SDLC of a project
Experience with Agile and / or like methodologies
Strong team emphasis and relationship building skills; partners well with business and non-Claim IT areas
Applies technical knowledge to determine solutions and solves complex problems
Ability to be proactive, self-motivated, detail-oriented, creative, inquisitive and persistent
Excellent communication and negotiation skills
Ability to organize, plan and implement work assignments, juggle competing demands and work under pressure of frequent and tight deadlines
Impact analysis, problem isolation, and performance tuning
Insurance industry, Claims, Analytics or Business Intelligence experience a strong plus

Chubb strives to offer a diverse and inclusive and rewarding work environment. Teamwork and mutual respect are central to how Chubb operates and we believe the best solutions draw upon diverse perspectives, experiences and skills. We operate in such a way where everyone, regardless of their singular background has the opportunity to contribute to our collective success."|data analyst|5|Northeast|Whitehouse Station| NJ
Itlize Global|"Data Analyst

Job Description

- Work with Project Managers and other stake holders to understand project objectives, delivery milestones and goals



Gather business requirements, perform business and feasibility analysis
Provide data systems analysis and documentation
Develop, test and implement database procedures using SQL
Use ETL tools to develop packages for extracting large amount of data
Data transformation and migration in the required format
Performa data analysis and develop various reports as per the require
Provide application maintenance, troubleshoot and systems support

Responsibilities

- Work with Project Managers and other stake holders to understand project objectives, delivery milestones and goals
Gather business requirements, perform business and feasibility analysis
Provide data systems analysis and documentation
Develop, test and implement database procedures using SQL
Use ETL tools to develop packages for extracting large amount of data
Data transformation and migration in the required format
Performa data analysis and develop various reports as per the require
Provide application maintenance, troubleshoot and systems support

Qualifications and Skills

- Bachelor’s Degree in Computer Science or a closely related field is required
2+ year experience with SQL, MySQL, PL/SQL or PostgreSQL is required
Solid understanding of Object-Oriented Programing concepts
Well conversant with software development life cycle
Knowledge of developing algorithms in achieving consistent results most efficiently
Highly motivated to solve real-life problems
Great communication skills
"|data analyst|5|Northeast|Piscataway| NJ
Rowan Companies|"Data Analyst, PSS2 (AFT)

Job no: ******

Work type: Regular full time

Location: Glassboro, New Jersey

Categories: Professional

Position Description:

Data Analysts work with Business Intelligence Analysts to improve institutional effectiveness and innovation across the functional areas of Rowan University. Together, they identify data/reporting/system solutions utilizing various tools to develop processes and solutions to optimize operations.

The Data Analysts are expected to develop solid knowledge Rowan University's systems of record, database functionality and processes, and work with linked systems and/or processes. As well, they expertly utilize systems and reporting tools to produce strategic views of data.

Responsibilities:

Track and analyze large amounts of data to discover meaningful trends and present key findings to stakeholders of the organization.
Transform data into rich, meaningful, relevant insights that can be used to make strategic recommendations.
Work with Business Intelligence Analysts to identify and prioritize data collection, ensure data validity and integrity.
Create ad-hoc reports based on technical and functional requirements from internal and external clients.
Provide data for mandatory state and federal reporting, including New Jersey SURE Reports and IPEDS.
Coordinate the completion of external institutional surveys such as US News and Peterson's Annual Survey of Academic Institutions.
Designs and conduct various studies and analyses, such as: studies on cost, utilization, impact ability; forecasts of performance; etc.
Participate in team code reviews and quality checks.
Develop dashboard solutions for high level analyses.
Work with ASA team and the Rowan community to ensure Banner and EDW/ODS data integrity.
Create and maintain documentation for all new and revised reports.

Required:

Three (3) years of professional experience
Ability to write complex SQL queries
Strong analytical and data management skills
Demonstrated experience using any Business Intelligence Reporting tool. (Cognos, Tableau Preferred)
Aptitude to plan, organize and work on multiple tasks simultaneously and in multidisciplinary teams
Ability to effectively manage multiple competing priorities
Bachelor's Degree preferably in Computer Science, Information Systems, Statistics, or any other related field.

Preferred qualifications:

Proven ability to analyze complex and ill-defined problems/opportunities and a track record of developing and delivering solutions
Track record of customer focus, delivery, innovation, and follow through.


Advertised: Nov 25 2019 Eastern Standard Time

Applications close: Dec 9 2019 11:55 PM Eastern Standard Time"|data analyst|0|Northeast|Glassboro| NJ
Quantum Technologies Inc.||data analyst|5|Northeast|Jersey City| NJ
Global Data Management Inc||data analyst|5|Northeast|Woodbridge| NJ
