company|description|position|reviews|Region|City|State
Crux Informatics|"Overview
Data analysts (DA) are responsible for understanding and modeling data for business use. Business savvy and able to translate data into something to provide better business decisions, Data Analysts help to shape data products for our users. They contribute to product design to enhance data products and build tools. Dataset Analysis and Design


Lead discovery, source system analysis, and data profiling for data productsCollaborate with engineering in understanding and designing requirements for dataset on-boardingCommunicate with suppliers and internal teams to resolve ambiguities and ensure completeness of productsMaintain the highest possible quality of data products while achieving efficient throughputCreate processes and architect tools to aid in the data on-boarding process 


Data Product Research


Research and develop models to detect data quality issues or identify data patterns that can translate into business rulesEngage with partners, clients, and industry leaders to understand how data is used in their firms and transfer that knowledge internallyResearch and design data standards with partners and industry leadersEngage with suppliers and the internal supplier management team to understand industry practices


About You


You have a keen understanding of financial data including how it is used in a wide variety of roles throughout the financial industryYou have an appreciation for the nuances of data and knowledge of common errorsYou love working on high-performing teams, collaborating with team members, and improving our ability to deliver delightful experiences to our clientsYou are excited by the opportunity to solve challenging data related problems and find the technology behind it to be fascinatingYou are an expert at dealing with ambiguity You are extremely attentive to detailYou are a self starter and can excel with minimal directionYou are a superb communicator and can clearly communicate complex concepts to others


Qualifications


4+years of experience in a research function, ideally working with financial dataSpecific experience in a research role working with structured and unstructured data, APIs, and web scraping.Experience modeling and validating financial data for a variety of uses within the financial industryExperience with PythonHistory of outstanding organizational skills and ability to build scalable processUnderstanding of statistics (e.g. hypothesis testing, regressions)



About Crux:Crux is a data delivery and operations company that takes on the critical, yet commoditized, tasks of ingesting data and getting it ready for analysis by financial institutions. We are experiencing rapid growth from financial firms turning to Crux to process and onboard the data they need.
Crux is transforming how the financial services industry works with data. For years, data discovery, operations, and delivery have been expensive, time consuming, and frustrating for financial firms. We are solving this challenge by creating a new technology solution: the go-to platform for data delivery. Crux is in high demand and we have a clear path to success.
Founded in 2017 by a seasoned team of data professionals, Crux has grown to a team of 70 employees in San Francisco and New York. It is backed by leading industry players, including Citi, Goldman Sachs, and Two Sigma.
At Crux, diversity is valued and and treatment of employees and applicants are based on merit, talent and qualification. We encourage people from underrepresented groups to apply. We believe the key to success is bringing together unique perspectives and we do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status. For qualified applicants with criminal histories, consideration will be consistent with the requirements of the San Francisco Fair Chance Ordinance. All your information will be kept confidential according to EEO guidelines.To apply to this job, click  Apply Now"|data analyst|0|Northeast|New York| NY
Point72|"An Internship with Point72’s MI Data - Analytics team

Point72’s MI Data - Analytics team is our big data research platform. We conduct compliant, data driven research to provide actionable insights to Point72’s Long/Short equity investing businesses. We combine an experiment-based approach with the strongest possible management support and the freedom to innovate unencumbered by bureaucracy. We encourage our Data Scientists to imagine the impossible, and provide the structure to bring those ideas to market in months, not years.

What you’ll do

As a Summer Analyst you will learn the fundamentals of Big Data research, including how to source, process, analyze, and distribute large data inputs. In this role, you will:

• Collaboratively conduct all aspects of the research and execution process including methodology selection, data collection and quality, modeling and analysis, and performance monitoring

• Tackle the challenges of featurizing and modeling large and unstructured data using machine learning and statistical techniques

• Run scripts and other analytical tools on unstructured and/or raw data to extract insights

• Use BI and other tools to understand trend inflections, flag data integrity issues

• Query SQL and NoSQL databases

• Work with the team to help drive innovation on metrics and modeling strategies

Desired skill sets

We want you to join us if you have a strong desire to learn data science skills and possess strong analytical skills. Other requirements include:

• Commitment to the highest ethical standards

• A minimum cumulative GPA of 3.5/4.0 (or equivalent)

• Strong programming skills

• Industrial working experience in a role that requires advanced statistical models

• Hands-on working experience with varied and complex data sets

• Ability to think creatively

About Point72

Point72 Asset Management is a global firm led by Steven Cohen that invests in multiple asset classes and strategies worldwide. Resting on more than a quarter-century of investing experience, we seek to be the industry’s premier asset manager through delivering superior risk-adjusted returns, adhering to the highest ethical standards, and offering the greatest opportunities to the industry’s brightest talent. We’re inventing the future of finance by revolutionizing how we develop our people and how we use data to shape our thinking. For more information, visit www.Point72.com/working-here.Apply Now: click  Apply Now"|data analyst intern|5|Northeast|New York| NY
Memorial Sloan-Kettering|"Company OverviewAt Memorial Sloan Kettering (MSK), we’re not only changing the way we treat cancer, but also the way the world thinks about it. By working together and pushing forward with innovation and discovery, we’re driving excellence and improving outcomes. For the 28th year, MSK has been named a top hospital for cancer by U.S. News & World Report. We are proud to be on Becker’s Healthcare list as one of the 150 Great Places to Work in Healthcare in 2018, as well as one of Glassdoor’s Employees’ Choice Best Place to Work for 2018. We’re treating cancer, one patient at a time. Join us and make a difference every day.Job DescriptionWe are seeking a Data Analyst for the Division of Quality and Safety at MSK. With regular accountability to the Deputy Physician-in-Chief, you will work closely with physicians and administrative leaders to consolidate, analyze, and report data from a variety of sources and systems for quality assessment and performance improvement purposes.

Additionally, you will facilitate integration and evaluation of data central to care redesign, collaborate with department quality leaders to define quality improvement opportunities, provide statistical programming, and project support for a number of ongoing/future projects and serve as a departmental subject matter expert.

Current or upcoming projects:
Utilize various tools and quality databases to screen, monitor, and prevent potential high-risk adverse events across the institution.
Ongoing data-driven measure development in tandem with various services for more effective quality assessment and maintenance, performance outlier analysis, and accreditation purposes.
About our current team:

We focus on data analytics/reporting and application development. The team consists of developers and analysts, with two managers reporting to the Associate Director. The Data Analyst role will report Project Manager. There is a high level of collaboration amongst the team but individual project ownership is promoted as well.

What's exciting and unique about this opportunity:

We love to see our employees grow and are supportive of learning and training for relevant certificates of interest. There is flexibility on doing work that you’re passionate about. We are owners of several quality initiatives that have institution-wide reach and are enhancing the patient experience on a daily basis.

You Need:

Degree in a quantitative field, such as biostatistics, applied mathematics, engineering, or economics.
Excellent analytical and problem-solving skills with an ability to develop creative solutions for complex problems.
Excellent verbal and written communication skills, with the ability to share ideas in both technical and user-friendly language.
Able to develop effective relationships with individuals at all levels.
Ability to develop SQL code as needed to extract and manipulate data from clinical, hospital-based, ambulatory, and claims-based databases.
Ability analyze and visualize cancer care data with tools like R, Python, SAS, MS Reporting Services, Pandas, or Tableau
Ability to work both independently and as part of a team to identify, measure, and address opportunities for quality improvement.
Intellectual curiosity and ability to independently critically think.

Nice to have:

Advanced degree in statistics, mathematics, or related quantitative/analytical field
Experience with Electronic Medical Records systems
Familiarity with common medical terminologies (e.g. ICD, SNOMED, CPT, LOINC)
Familiarity with national clinical quality initiatives and performance improvement measures
Experience writing and presenting reports of statistical findings for publication or conference proceedings.
Knowledge of a production programming language (e.g., C#, C++, Java)

**Please include a link to your github on your resume**

#LI-POSTClosingMSK is an equal opportunity and affirmative action employer committed to diversity and inclusion in all aspects of recruiting and employment. All qualified individuals are encouraged to apply and will receive consideration without regard to race, color, gender, gender identity or expression, sexual orientation, national origin, age, religion, creed, disability, veteran status or any other factor which cannot lawfully be used as a basis for an employment decision.

Federal law requires employers to provide reasonable accommodation to qualified individuals with disabilities. Please tell us if you require a reasonable accommodation to apply for a job or to perform your job. Examples of reasonable accommodation include making a change to the application process or work procedures, providing documents in an alternate format, using a sign language interpreter, or using specialized equipment.Start your job application: click  Apply Now"|data analyst|5|Northeast|New York| NY
Hopper|ABOUT HOPPERAt Hopper, we’re on a mission to make booking travel faster, easier, and more transparent. We are leveraging the power that comes from combining massive amounts of data and machine learning to build the world’s fastest-growing travel app -- one that enables our customers to save money and travel more. With over $235M CAD in funding from leading investors in both Canada and the US, Hopper is primed to continue its path toward becoming the go-to way to book travel as the world continues its shift to mobile.Recognized as the fastest-growing travel app by Forbes and one of the world’s most innovative companies by Fast Company two years in a row, Hopper has been downloaded over 40 million times and has helped travelers plan over 100 million trips and counting. The app has received high praise in the form of mobile accolades such as the Webby Award for Best Travel App of 2019, the Google Play Award for Standout Startup of 2016 and Apple’s App Store Best of 2015. Take off with us!Hopper was built on the premise that the combination of big data and machine learning could make a difference. At Hopper, every dataset tells a story. Do you have what it takes to decipher the clues? bit.ly/2q6U8dqWe’re looking for a data-savvy individual to join our Data Science team as a Data Analyst. They will help create consumer-focused research, as well as a user-centric product development and growth based on our real-time along with an archive of several trillion data points. If you are interested in this topic, you may be interested in the subject of data gathering and finding effective ways to simplify and communicate to a non-technical audience.IN THIS ROLE, YOU WILL:Lead analytical projects to support our Product and Growth teams. Deliver quantitative results, business understanding and strategic insights to help make better data-driven decisions.Support our PR team by transforming complex information analyzes into short, compelling, and easy to understand studies.Design and implement ad hoc and automated analysis scripts, develop and deliver your tables, charts and interactive tools to present your results.Work with key stakeholders across a fast-paced, collaborative environment.A QUALIFIED CANDIDATE HAS:A degree in Math, Statistics, Computer Science, Engineering or other quantitative disciplineStrong analytical and creative problem-solving skillsProven ability to communicate complex technical work to a non-technical audienceEnthusiasm and curiosity for conducting research and answering hard questions with dataExposure to scripting with Pandas, R, SAS or other data preparation and analysis toolsExperience with relational databases and SQL would be an assetBENEFITS• Well-funded and proven startup with large ambitions, competitive salary and stock options• Dynamic and entrepreneurial team where pushing limits is everyday business• 100% employer paid medical, dental, vision, disability and life insurance plans• Access to a 401k (Boston) or Retirement Savings Plan (Montreal)• Easy commute with a paid-for public transportation or parking pass• IATA Travel Agent Card for discounts in the travel industry• Fully stocked kitchen with: coffee/tea, beer, bagels and snacks (both healthy and not-healthy)• Team lunches, offsite activities and much more!Apply Now: click  Apply Now|senior data analyst|0|Northeast|New York| NY
Charles River Associates|"Data Analyst and Data Scientist - New York, NY, Summit, NJ or San Francisco, CA

About Charles River Associates

Charles River Associates is a leading global consulting firm that provides independent economic and financial analysis behind litigation matters, guides businesses through critical strategy and operational issues to become more profitable, and advises governments on the economic impact of policies and regulations. Our two main services – litigation and management consulting – are delivered by practice groups that focus on specific areas of expertise or industries. Learn more about how CRA can help you Accelerateyour career.

CRA's Life Sciencespractice helps pharmaceutical, biotechnology, diagnostics and medical device companies achieve optimum performance across key aspects of their business, including innovation, commercial success, organization, and reputation, all for the long-term benefit of patients, clinicians, employees, and shareholders. We work with life sciences businesses directly as well as with their legal counsel, industry associations, government organizations, and advocacy groups from the earliest stages of research into new therapy areas, through product development, to the delivery of products that will achieve commercial success and fulfill the expectations of our clients and their key stakeholders.

Essential Functions

As part of Analytics Center of Excellence (COE), the Data Analyst and Data Scientist roles are important to CRA's project teams. You will work closely with internal business consultants and/or clients to solve interesting analytical problems for our clients in areas including commercial strategy, pricing & market access and litigation. In these roles, you will apply your coding and modelling skills, own and personally deliver components of the client engagement, contributing to the overall success of each project. At CRA, we offer a wide range of models/project types, e.g. Patient Journey, Physician Segmentation, Promotional Response Modelling, Forecasting, Web Scraping, etc. As you demonstrate strong analytic and develop sound project management skills, your responsibilities will grow rapidly.

Data Analyst

Candidates possessing a Masters degree or the equivalent work experience will be considered for the Data Analyst role
Data Analysts will generally be key contributors to project teams, focusing on data manipulation, modeling, and delivery of analysis results
Data Analysts who demonstrate strong performance and ability to take on additional responsibility may rapidly ascend to the Data Scientist role

Data Scientist

Candidates with a Masters degree plus 2 years of relevant work experience OR a PhD may be considered for the Data Scientist role
Data Scientists are generally key contributors to both the content and design of analyses, and will often lead project teams and manage key analytics work streams
Candidates with additional relevant experience may be considered for more senior positions, such as Senior Data Scientist

Responsibilities

Import, clean, manipulate and analyse large volume of data (>100MM records) to develop critical insights for our clients' issues, using SAS, SQL or other tools
Build statistical and machine learning models to detect patterns and investigate important drivers, e.g. regression, Random Forest, Neural Network, clustering, Bayesian, etc., using SAS, R, Python or other specialized tools (e.g. LatentGold, SPSS)
Perform text mining and web scraping from online data sources using NLP-relevant packages in Python
Apply critical perspective across multiple clients and industry data sources (PharMetrics, Truven MarketScan, XPONENT, etc.)
Communicate findings, through visuals, data tables and models, from your analyses to internal team members and, over time, to clients
Work in a demanding but highly collegial and collaborative environment
This is NOT a technical IT role

Qualifications

Master degree or above, preferably in Statistics, Mathematics, Machine Learning, Computer Science or mathematically-intensive field
Ability to proficiently process and manipulate data in SQL, SAS, R or Python
Experience in developing advanced models such as multi-variate regression, neural networks, support vector machines, decision trees, clustering and time series using tools such as R and Python
Demonstrate good written and verbal communication skills. Able to present information to various audiences
Ability to work collaboratively in a team environment and effectively with people at all levels in an organization
Ability to provide creative solutions to non-standard analytical problems
Experience in data visualization using Power BI, Tableau, D3.js, Qlik Sense, HTML/JavaScript is a plus
Knowledge or experience related to pharmaceutical industry and data (e.g. PharMetrics, Truven, Symphony, Optum, Xponent PlanTrak, DDD) is a plus
Knowledge of any of the following: Natural Language Processing & Text Mining, Experimental Design, Bayesian Networks, Network/Graph Mining is a plus
Candidates with different, specific expertise in broader analytics area (e.g. Data Engineering, Social Listening, Optimization, Simulation) are welcome to apply
Apply Now: click  Apply Now"|data analyst|5|Northeast|New York| NY
Two Sigma|"Two Sigma is a different kind of investment manager. Since 2001, we have used data science and technology to derive insights that forecast the future and discover value in markets worldwide. Our team of scientists, technologists and academics looks beyond traditional finance to understand the bigger picture and develop creative solutions to some of the world’s most difficult economic problems. Our work spans markets and industries, from insurance and securities to private investments and new ventures.

We are seeking a talented data specialist to help build the next generation of data products for discovery, analysis and productionisation of data at Two Sigma. You will join our close-knit team of engineers, product managers, UX designers and quantitative researchers to help build out data applications that enables us to harness some of the world's most complex & challenging content, as we structure, transform and integrate new datasets and research methodologies to accelerate our vibrant research pipeline.This is a green field opportunity to create new innovative solutions for our research partners, and you will be responsible for identifying, on-boarding, designing ontology, schema and semantic type hierarchies for Two Sigma's knowledge graph.

You will take on the following responsibilities:

Curate Two Sigma's knowledge graph by identifying entity types, relationships and developing an ontology, schema and semantic type hierarchies working with Two Sigma researchers.
Manage dataset on-boarding in close partnership with researchers and partner teams.
Help drive continuous improvements to data quality procedures and a consistent approach to how data quality is measured, monitored and reported;
Create systematic and automated processes and tools that allow the team to scale and rapidly onboard new datasets;
Be part of a team to support the data used by production trading algorithms.

You should possess the following qualifications:

4+ years professional experience in an environment that prioritized data quality
A bachelor’s degree with a strong academic record, which includes university coursework in programming and computing systems
An understanding of the software development process and exposure to hands-on coding in a professional environment
While financial industry experience is a plus, we are open-minded in our search for critical thinkers who are passionate about technology and data.
Experience with Python (and/or Java)
Experience with SQL and working with a relational database system, such as Microsoft SQL Server.
Experience in working with Knowledge graphs and graph databases is a plus.
Proven problem-solving and analytical abilities including pattern detection, root cause analysis, and issue resolution
Relevant experience in data operations, with proven process improvement skills


You will enjoy the following benefits:

Core Benefits: Fully paid medical and dental insurance premiums for employees and dependents, competitive 401k match, employer-paid life & disability insurance
Perks: Onsite gyms with laundry service, wellness activities, casual dress, snacks, game rooms
Learning: Tuition reimbursement, conference and training sponsorship
Time Off: Generous vacation and unlimited sick days, competitive paid caregiver leaves

We are proud to be an equal opportunity workplace. We do not discriminate based upon race, religion, color, national origin, sex, sexual orientation, gender identity/expression, age, status as a protected veteran, status as an individual with a disability, or any other applicable legally protected characteristics.
Apply Now: click  Apply Now"|data analyst|5|Northeast|New York| NY
Affinity Solutions|"JOB Description: Big Data Analyst / Engineer
Location: New York, NY (preferred) OR San Jose, CA
Department: Data Engineering and Insights
Hours/Shift: Full Time
Reports To: Director, FI Analytics
 
 
Job Description:
Affinity Solutions is looking for a hands-on and self-driven Big Data Analyst/Engineer, preferably with experience in the bank card loyalty/fin-tech/advertising/marketing space, to enhance and automate its data and analytics infrastructure to support its growing customer base and expanding partner ecosystem. The position is based in New York, NY, and reports into the Data Engineering and Insights division. The demand for advanced analytical solutions continues to grow exponentially, and this is your opportunity to grow with us in a fast-paced, collaborative environment.
The ideal candidate is a passionate and highly skilled individual, who can utilize programming and analytics tools such as SQL, Python, and Tableau to query and process large data sets to produce high quality customer facing data deliverables and insights. If you have experience designing and building business intelligence/analytics applications, especially around credit/debit card transactions, unified consumer behavioral and profile data, and excited about leveraging your experience to catapult a venture-backed company into hyper-growth, this job is for you.
Responsibilities:

Design and maintain analytical database structures and requirements to manage and process various data sets (Affinity in-house and 3rd party data)
Convert OLTP data into OLAP for reporting/analytics/modeling purpose
Develop analytical data assets with an eye towards process efficiency and automation through scripting.
Communicate and present data to both internal and external customers by developing reports/dashboards/charts using BI tools such as Tableau
Work closely with a dynamic and growing team of account managers, data engineers and data scientists to perform quantitative analysis of customer data, including gathering data requirements and validate data, applying judgement and statistical analysis to assist with planning and decision making.
Other responsibilities include but not limited to - data validation, troubleshooting issues, process documentation, campaign analysis, Quarterly Business Reviews.

Qualifications:

Bachelor’s or Master’s degree in Computer Science or related field such as Mathematics and Statistics, preferably with focus on Data Analytics.
At least 1 year of hands-on experience in designing and building analytical data applications and BI Reporting
Proficient in SQL and Tableau, familiar with at least one coding language in Python/Shell scripting. Nice to have R / SAS Programming experience.
Experience in using Cloud based managed services and Hadoop for data warehousing/analytics is a big plus – e.g. Amazon RedShift, Hive, MapR.
Very strong written and verbal communication skills; Ability to tell a story with the data
Analytical thinker, with an ability to evaluate multiple products/technologies to address various aspects of a big data platform.
Experience working on UNIX / Linux development and production environments
Experience working in Agile software development environments


Strong organization skills with attention to detail is a must.


Ability to manage multiple conflicting priorities, take proactive ownership of problems and outcomes, think outside the box
Knowledge of Retail and Financial verticals is useful but not required.
Experience in the Bank loyalty/FinTech/AdTech industry, especially knowledge of Bank card loyalty, Email and Digital Marketing Campaigns, DMPs, programmatic advertising is a big plus.
Start your job application: click  Easy Apply"|data analyst|5|Northeast|New York| NY
Callisto Media||lead data analyst|0|Northeast|New York| NY
Rocketrip||data analyst|0|Northeast|New York| NY
GameChanger|"About GameChanger:

Sports matter because they inspire leadership, teamwork, commitment, and confidence—critical life lessons that have the power to propel young athletes toward meaningful futures. GameChanger recognizes that without coaches, parents, and volunteers, organized youth sports could not exist. We celebrate those tireless heroes and make it our mission to help them do what they do best.

GameChanger is a SportsTech company providing team management, scorekeeping, and live fan experiences that build connections across the team community. With GameChanger, coaches and parents can organize and follow their athlete's journey in a simple and powerful way.

We're headquartered in downtown Manhattan and are proud to be part of the DICK'S Sporting Goods family.

The position:

We are looking for a data scientist that can use data to help us make smarter decisions and deliver even better products. In this role you will work closely with other data scientists, product managers, designers, marketers, and engineers to create measurements and appropriate metrics, design randomized controlled experiments, and tackle open-ended questions that help us understand our users and business. Making use of GameChanger's rich data warehouse and other data sources, you'll get to work creatively to answer hard questions and expand the impact of the current Data & Analytics Team.

You will:

Frame out major data initiatives to answer open-ended questions around product and user needs
Ask thoughtful questions in order to understand partners' goals, and discover the best solutions to data-centric problems
Work with product teams to integrate data-driven features into our products
Select appropriate statistical methods, and implement the solutions with clean code
Transform our raw data into useful product metrics
Work closely with data engineers to define the requirements of our data pipeline and warehouse

What we're looking for:

3+ years experience doing stakeholder-focused quantitative work
Ability to write efficient SQL queries, and clean Python or R analytic code
Experience applying statistical and machine learning methods to business problems
Ability to listen to, write for, and present to audiences with a range of quantitative experience

Optional Experience:

Masters degree (or equivalent) in computer science, mathematics, statistics, economics, or a related field
Looker or equivalent business intelligence tool
NoSQL databases, particularly MongoDB
Command line & git

The Perks:

Be part of a diverse team of genuinely kind and interesting individuals dedicated to improving the lives of our customers.
Benefits include medical, vision, prescription, dental, FSA/HRA, and coverage for family/dependents.
Generous maternity / paternity leave policy
Well-furnished, modern office
Commuter Benefits
Endless supply of snacks and drinks
Learning tools including Safari Books Online, opportunities to join clubs, hack days, and conferences
Organized lunches, happy hours, and team outings

The Culture:

At GameChanger we are…

Customer-Obsessed


We put our customers first, always asking, ""Will this enhance their youth sports experience?""
We deeply understand our customers and work hard to anticipate their needs.
We celebrate and support our customers' contributions to their communities.

Team Players


We listen actively, seeking to understand others before making ourselves heard.
We challenge each other directly while caring about each other personally.
We do unglamorous work in service of the team.

Ambitious


We set aggressive goals designed to drive meaningful change.
We are eager teachers and curious students who invest in learning.
We are resilient, thriving in change and adversity.

Empowered


We value creative ideas and productivity over seniority and hours worked.
We entrust decisions to those best positioned to make them.
Apply Now: click  Apply Now"|data scientist|5|Northeast|New York| NY
