position|company|description|reviews|Region|City|State
senior data analyst|Bechtel|"





 Senior Data Analyst (Finance)







Requisition ID: 223897

Bechtel Corporation is seeking a talented and ambitious Senior Data Analyst to support our corporate Financial Planning and Anlaysis group. The data scientist will be an essential part of our financial analytics team.

Bechtel’s FP&A group plays a crucial role in our corporate governance. We do this through the development of enterprise-wide financial plans and forecasts, measuring our variance to those plans, and analyzing the various components of those forecasts. Our primary objective is informing our executive management team (C-Suite) of the appropriate aspects of our business such that they can make informed decisions.

To achieve this objective, we utilize both quantitative and qualitative analysis of all operational aspects of our company to evaluate the company’s progress toward achieving its financial goals and to recommend appropriate strategies to achieve them. We consistently evaluate economic and business trends, review past performance, and anticipate potential obstacles, as we evaluate our company’s forecasted financial results.

We are looking for someone who is excited about being a part of this team and who is motivated to find opportunity in and develop solutions for evolving corporate challenges.

Job Responsibilities:

Structure problem solving approaches, help others navigate uncertainty, model key assumptions, and comfort in recommending courses of action consistent with Corporate strategy and goals

Collaborate with the management information and planning team to identify inefficiencies and solve complex business issues using data analytics approaches and methodologies
Utilize your skills with data science tools, (Python, Azure, Databricks/Spark and more) along with Bechtel financial data to find insights that will inform executive decision-making
Design and implement data pipelines to transform, profile, clean and validate structured and unstructured data from disparate data sources.
Develop algorithms and build models that will significantly improve the strategic intent of the organization which will lead to improved margins
Represent clear and concise findings that are tailored for presentation to executive management. Ability to communicate those findings in a simple and effective manner.

Basic Qualifications:

Master’s degree in Computer Science, Data Analytics, Statistics, or equivalent field of study
Bachelor’s Degree in economics, finance, or other quantitative field
Three years or more of experience developing data analytics or financial planning and analysis (CPA, CFP, or CFA preferred)

Other Qualifications:

Experience with Big Data (Hadoop, Spark, Hive) and cloud computing platforms (Azure or AWS)

Strong grasp of programming languages (Python, R, Java and Scala) and a willingness to learn new ones
Advanced abilities with data visualization tools and methodologies
Experience working with Oracle’s Hyperion suite or their EBS platform, including developing data schema’s
Experience working with and supporting a broad range of finance functions.

Shaping tomorrow together

Bechtel is one of the most respected global engineering, construction, and project management companies. Together with our customers, we deliver landmark projects that foster long-term progress and economic growth. Since 1898, we’ve completed more than 25,000 extraordinary projects across 160 countries on all seven continents. We operate through four global businesses: Infrastructure; Nuclear, Security & Environmental; Oil, Gas & Chemicals; and Mining & Metals. Our company and our culture are built on more than a century of leadership and a relentless adherence to our values, the core of which are safety, quality, ethics, and integrity. These values are what we believe, what we expect, what we deliver, and what we live.

www.bechtel.com

Bechtel is an Equal Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, or protected veteran status and will not be discriminated against on the basis of disability.



Apply Now: click  Apply Now"|0|South|Belgrade| NC
data analyst|Brightree|"Let's talk about the role:Triage and prioritize escalated

 customer cases from the Customer Support team Communicate with customers to

 precisely define software casesUse SQL sever database queries and scripts

 to gather detailed information on customer support casesIdentify and provide workarounds for

 customer cases whenever possibleDesign, test and implement data scripts Communicate case resolutions to

 customersProvide best practice direction on

 software use to help users avoid recurrence of casesDocument

 software defects using defect tracking system and report defects to

 software engineersLet's talk about your skills and experience:2+

 years of work experience, preferably in a healthcare software environment2+ years of SQL experience, preferably in SQL ServerMust

 demonstrate an ability to learn complex business software and master best

 practice use of the softwareMust

 have excellent attention to detail and the understanding of how to

 investigate and trouble-shoot software issues and find workarounds to

 those issuesMust

 have strong technical skills, including an ability to understand complex SQL

 syntax for investigating software issues and making changes to dataStrong

 analytical capabilities, data analysis techniques and common database

 query skillsStrong

 commitment to quality and ability to work closely and communicate

 effectively with software engineers and product managersStrong

 interpersonal and communication skillsExperience

 working in a SaaS model a plusProficient

 in the Windows operating systemAbility

 to manage multiple concurrent priorities and meeting deadlinesTier 2 Data Analyst

Headquartered just outside of Atlanta, Brightree’s team of more than 600 employees is thinking, creating, and challenging ourselves to better serve our patients and customers. Each day is a new day for ground-breaking ideas and unparalleled opportunity. Ours is a culture focused on what we can accomplish today, and where it can lead us tomorrow.

We have vision. We’re a team of thinkers and innovators who constantly challenge ourselves to do everything better than the day before, so that people around the world can breathe easier.

Our Software as a Service (SaaS) business is an exciting new area of growth focused on the full continuum of out-of-hospital care settings. The team is building a global portfolio of connected software and services designed to drive more choices and better outcomes for patients and providers. We are looking for individuals with a strategic mindset, business acumen, an entrepreneurial outlook, strong technical capabilities and a “get it done” attitude to help fulfill our vision as the leader in out of hospital solutions.

Let's talk about the role:

Triage and prioritize escalated

 customer cases from the Customer Support team Communicate with customers to

 precisely define software casesUse SQL sever database queries and scripts

 to gather detailed information on customer support casesIdentify and provide workarounds for

 customer cases whenever possibleDesign, test and implement data scripts Communicate case resolutions to

 customersProvide best practice direction on

 software use to help users avoid recurrence of casesDocument

 software defects using defect tracking system and report defects to

 software engineers

Let's talk about your skills and experience:

2+

 years of work experience, preferably in a healthcare software environment2+ years of SQL experience, preferably in SQL ServerMust

 demonstrate an ability to learn complex business software and master best

 practice use of the softwareMust

 have excellent attention to detail and the understanding of how to

 investigate and trouble-shoot software issues and find workarounds to

 those issuesMust

 have strong technical skills, including an ability to understand complex SQL

 syntax for investigating software issues and making changes to dataStrong

 analytical capabilities, data analysis techniques and common database

 query skillsStrong

 commitment to quality and ability to work closely and communicate

 effectively with software engineers and product managersStrong

 interpersonal and communication skillsExperience

 working in a SaaS model a plusProficient

 in the Windows operating systemAbility

 to manage multiple concurrent priorities and meeting deadlines


</p>Okay, so what’s next?

Joining Brightree is more than saying “yes” to making the world a healthier place. It’s discovering a career that’s challenging, supportive and inspiring. Where a culture driven by excellence helps you not only meet your goals, but also create new ones. We focus on creating a diverse and inclusive culture, encouraging individual expression in the workplace and thrive on the innovative ideas this generates. Our hope is that each day you’ll uncover a new reason to love what you do. If this sounds like the workplace for you, apply now!

Please note unsolicited resumes from employment agencies or other third parties will not be considered. Brightree is an Equal Opportunity Employer and all applicants must be legally entitled to work in the country where the role is based.

To perform this job successfully, an individual must be able to perform each essential duty satisfactorily. The requirements listed above are representative of the knowledge, skill, and/or ability required. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.

Brightree provides equal opportunity for all applicants without regard to race, color, religion, sex (including pregnancy), national origin, ancestry, age, disability, genetic information, marital status, sexual orientation, veteran status, or any other basis protected by state or federal lawApply Now: click  Apply Now"|0|South|Morrisville| NC
data analyst|Diversant LLC|"Location - Charlotte, NC

Long Term Contract

W2 Only

Treasury Data Management is seeking a highly motivated individual to join the Data Management team, which focuses on delivering critical business initiatives for Global Liquidity Management. This team is responsible for analyzing the enterprise's overall and relevant individual liquidity positions, for assessing those positions and proposing changes to them within the enterprise's overall risk appetite.

In support of objectives, this position will be responsible for managing the end to end delivery of initiatives, facilitate cross-team coordination and develop transition plans to hand off to business and support partners to sustain the change. Given the enterprise nature of the liquidity monitoring and reporting, the candidate will gain broad knowledge of and exposure to a wide range of the company's business units. The candidate will be required to work closely with other partners, Global Technology and Operations and various lines of business.

This role will require the individual to facilitate, track and deliver initiatives. Develop and maintain plans to meet the initiative deadline with a focus on collaboration and efficiency. Coordinate with stakeholders to define and document business requirements. Identify, monitor and resolve issues and risks related to the initiative. Develop transition plans at the conclusion of the initiative to newly implemented changes are adopted and sustained. Establish and lead initiative routines. Ensure initiatives are in compliance with the Enterprise Change Management policy.

Responsibilities:

• Effectively manage the end to end delivery of GLM initiatives

• Develop and execute initiative delivery plans

• Identify and document business requirements

• Establish and lead initiative routines

• Identify, track and resolve issues and risks related to the initiative

• Partner with GLM, Data Management, Technology and other lines of business to ensure collaborative progression through the delivery lifecycle

• Build and develop product expertise to support liquidity monitoring and reporting

Main Qualifications

Finance/Accounting background.

Data mining via multiple database management tools including Oracle, MySQL, SQL Server and Tableau.

Exposure to project management

Additional Qualifications:

• Bachelor degree required or equivalent experience

• Minimum of 3-5 years of working experience in project management and/or related areas

• Strong analytical and problem solving skills

• Excellent computer skills, particularly Microsoft PowerPoint, Excel, Word

"|5|South|Charlotte| NC
data analyst|Advantage Resourcing|"Ranked as a top Fortune 100 Financial Services company, our client has an opening for a Data Analyst to work onsite in Charlotte, NC. While this is an 18 month contract position it has the potential to extend to 24 months.

The ideal candidate will have prior experience with data quality testing and dashboard reporting.

Imagine everything that you could learn to advance your career while working at a Fortune 100 company with around $2.0 trillion in assets. This position seeks talented candidates who will put the customer at the center of everything they do. Inquire about this opportunity and you could end up on a diverse and inclusive team where youll not only be valued but feel inspired to give your all to get the job done.

Responsibilities:

• Data quality testing and dashboard reporting

• Create and manage data dictionaries and data quality controls

• Manage and sustain key supporting taxonomies for Operational Risk in partnership with the Operational Risk Reporting and Governance team

• Document and maintain the Operational Risk metrics catalog

• Create presentation decks describing data management processes and/or data quality testing processes / results

• Create and maintain operational risk controls inventory and project schedules

Requirements:

• 4+ years of experience in compliance, operational risk management (includes audit, credit risk, or the management of a process or business with accountability for compliance or operational risk), or a combination of both

• 2+ years of experience in data management related areas such as metadata or lineage, data governance, or data quality

• Data quality management experience with the ability to gather and drive requirements

• Experience reviewing and establishing artifacts and risk controls.

• Experience creating and managing data dictionaries and data quality controls

• Microsoft Office skills, including Excel

• Excellent verbal, written, and interpersonal communication skills

• Strong analytical skills with high attention to detail and accuracy

Advantage Reference # 907258

Advantage Resourcing is committed to providing equal employment opportunity for all persons regardless of race, color, religion, sex,sexual orientation, gender identity, age, marital status, national origin, citizenship status, disability or veteran status."|2|South|Charlotte| NC
data analyst|NeuroLeadership Institute|"You’ll be working with multiple systems and system integrations. You’ll also be building revenue analysis reports and forecasting tools, and analyzing the following types of data:

Revenue and forecast
Client and Sales Lifecycle
Sales
Recruitment
Various ad hoc

Here’s the experience you bring with you

You excel in Excel, Google Sheets, and other apps
You have a background in finance and understand corporate financials
You’ve worked with CRM and ERP systems. HubSpot and NetSuite, preferred
You are strong in report creation/generation
You must have experience with system integration. Experience with data gathering plug-ins, preferred.
You make information easy to find and understand.
You make sure data reconciles and makes sense to end users; you take pride in your work
You’ve worked discreetly with sensitive information
You look for ways to do more, better, and faster, without compromising quality

IN THE US IN ORDER TO BE CONSIDERED FOR THIS ROLE, YOU MUST BE FULLY AUTHORIZED TO WORK FOR ANY EMPLOYER
If the above describes you and who and where you want to be, we want to hear from you!
PS - To make sure we hire the people best suited to our culture, we’ve designed intensive, task-based selection process so be prepared to work hard to earn this opportunity.Start your job application: click  Easy Apply"|0|South|Raleigh| NC
data analyst|The Norland Group|"Job DescriptionRequirements

 Fluent English Bachelor's degree in business administration or an engineering discipline Skills

Required

 Some level of MS Project experience Outlook experience Meeting facilitation Attention to Detail Analytical and communication skills Interpersonal skills

Preferred

 3 years MS Project experience Constraint management Critical path analysis Driving predecessor analysis Experience with The Last Planner® approach to project management - https://leanconstructionblog.com/What-is-the-Last-Planner-System.html

Roles/Responsibilities

 Coordinate/facilitate meetings with task owners to establish/evaluate/update tasks, durations, & constraints (throughout the project). Weekly email communications of tasks that are late or that are scheduled to start/end in the next 2 weeks (weekly work plan). Regular communication of driving predecessors that impact target dates (to task owners & project lead). Develop/manage constraint log. Assist & obtain commitments from owners to resolve constraints. Elevate concerns related to ownership of tasks, roadblocks to constraint resolution, or completion of tasks per the plan. Create/update master schedule & incorporate important decision points into project plan. Monitor & communicate resource utilization/variance via the project plan (people & $). Coach/mentor Leaders & Task Owners on the planning process & constraint resolution.

Additional Tasks (preferred)

• Manage file storage access for project team.Company DescriptionAbout us:

The Norland Group has been in operation successfully since 1996. We are a strong believer of people management, professionalism and accountability. We only make promises when we are certain we can fulfill them. Our business focuses on fulfilling the needs of commercial and government customers in administrative services, workforce mobilization, information technology, engineering, project management services.

Our Mission Statement

Our main goal is to provide career advancement opportunities to our associates. We are committed to bringing our customers exceptional support services with the highest quality, integrity, and innovation. We believe that we are the stepping stone for our associates to advance their careers and to live a better life. Everyone should have a chance to live a successful and happy life. We operate our business based on those values and we choose employees who value the same principles."|0|South|Newton| NC
data analyst|LeanTaaS|"Job DescriptionHelp build technology that saves lives!

LeanTaaS is a fast growing healthcare predictive analytics company that uses sophisticated math and lean principles to make healthcare providers more efficient.

Our technology helps millions of people wait less at hospitals and specialty clinics across the country.Our customers include some of the nation’s largest hospitals including Stanford, NewYork-Presbyterian, the University of Texas MD Anderson Cancer Center, and more.Our team includes veteran executives and the brightest minds from Google, McKinsey, Stanford, MIT, Duke, Berkeley, UIUC, and more.We are a Series C company backed by multiple prominent investors in the healthcare space.

Responsibilities:Troubleshoot data issues reported from customers and internal teamCollect data to onboard new and existing customers: Acquire data from different data sources including database, csv/excel files & gather and maintain data requirements Collaborate with data engineers and product managers to ensure on-time implementation and deployment of the analytical software productWork closely with the product and customer team to understand their analytical needs, including identifying critical metrics and KPIs for the product and implementations, and deliver actionable insights to relevant decision-makersWork with internal team and external customers to develop analytics for uncovering insights from data and problem-solving, and develop data dashboard to assist decision-makingDevelop Tableau analytics and dashboards according to customer needs and internal requirementCollaborate with product managers and customers to identify and solve a variety of problems and to clarify healthcare management objectivesPresent findings, or translate the data into an understandable and actionable document.



Qualifications:

Must have:



Proven working experience as a data analyst or business data analyst Strong knowledge of and experience with data analytics tool (Tableau, Excel), databases (SQL, Postgres, etc)Strong analytical skills with the ability to collect, organize, analyze, and disseminate significant amounts of information and hypothesize ideas and prove themStrong attention to detail and accuracyStrong organization & communication skillsAdept at queries, report writing and presenting findingsBachelor’s degree in a STEM field

Nice to have:Experience of Python or RExperience working with EHRs. Experience working on ETL. Master’s degree in a STEM field

"|3|South|Charlotte| NC
data analyst|InnoMethods Corp|"Please share updated resume at satyas at innomethods dot com

Title : Data Analyst

Location: Charlotte, NC

Duration: 12 Months + Extension

Job Description

SQL/ Data Analysis Tools/good DB knowledge / QA skills. Hadoop developer + Compliance Background/Operations Risks + QA. compliance/Operation risk background Experience working in Agile setting. Ability to do QA analyst role as well.

Satya Senapati

Email:satyas at innomethods dot com- provided by Dice"|0|South|Charlotte| NC
data analyst|Adwait Algorithm|"Job DescriptionHi,Hope you are doing greatPlease find the below JD and kindly revert me back if you are interestedPosition : Data AnalystLocation : Charlotte,NCJob Description : Hadoop developer + Compliance Background/Operations Risks + QA.

compliance/Operation risk background

Experience working in Agile setting. Ability to do QA analyst role as well.Required Skills : 

SQL/ Data Analysis ToolsGood DB knowledgeQA skills.complianceData Analyst - Hadoop (Hive,Spark,Python)Operation risk background

ThanksShahana"|0|South|Charlotte| NC
data analyst|Compusoft Integrated Solutions, Inc.|"NO REMOTE WORK - THIS POSITION IS ONSITE, MON-FRI

Position: Data Analyst

 Client - Wells Fargo W2 Rate range - 43-45/hr only W2 only. Location - see below - Charlotte, Des Moines, Minneapolis or St Louis Duration - 12+ months  Only taking USC, GC or H4 EAD, L2 Visa or TN Visa - they  will not take OPT EAD or CPT

Any of the noted locations : Charlotte, Des Moines, Minneapolis, St Louis

Skillset needed:

Must understand relational databases

Able to write complex SQL queries with embedded queries. (mandatory)

Able to understand star schema (mandatory)

NOT REQUIRED but preferred:

Data Warehouse development (coding) experiences (desired) with Data Warehouse testing, desired

Teradata (preferred) *- provided by Dice"|0|South|Charlotte| NC
