company|description|position|reviews|Region|City|State
KBR|"ABOUT THIS POSITION

Provides data analytic

support with emphasis on topological data analysis and machine learning. Responsible for collaborating with data

analytic team and users to perform use case studies. Works with users to identify use case requirements

and constraints. Implement data

segmentation methods. Develop source

code for use in data acquisition, cleansing, aggregation, analysis, machine

learning, and simulation. Secondary duties involve

designing and discovering new data and technology solutions to, acquire,

cleanse, structure and analyze technical data.

REQUIRED QUALIFICATIONS:

PhD in Mathematics or equivalent Experience applying machine learning and

Topological Data Analysis methodologies in support of Department of Defense

customer. Proficient in Python

PREFERRED QUALIFICATIONS:

Experience

supporting the Air Force Research Laboratory. Proficient with Ayasdi platform.

WHO WE ARE:

KBR’s global government services

organization delivers mission critical, full life-cycle services

that improve military readiness, drive innovation, and help ensure mission

success. Since WWII, we have led many of the federal government’s most

important programs in the areas of defense, space and technology. Today, our

employees are solving some of the world’s most challenging problems and

inspiring the future. KBRwyle core capabilities include engineering,

engineering, operations, logistics, science, program and acquisition

management, IT, cyber and security services.

Learn more about KBR by visiting www.kbr.com.

KBR

is an equal opportunity employer. All qualified applicants will receive

consideration for employment without regard to race, color, religion,

disability, sex, sexual orientation, gender identity or expression, age,

national origin, veteran status, genetic information, union status and/or

beliefs, or any other characteristic protected by federal, state, or local law."|data analyst|2|Midwest|Dayton| OH
RevSpring||data analyst|0|Midwest|Newark| OH
Presbyterian Healthcare Services|"OverviewJob Description Type of Opportunity: Full Time FTE: 1.000000 Exempt: Yes Work Schedule: Days

Summary:*Works to collaborate supporting the clinical development needs of staff, residency Fellowship, and student programs throughout the PHS enterprise by providing data management, reports, e learning, project coordination, application support, and researchResponsibilitiesResponsibilities:Data Analyst: *Independently drives data gathering, reporting, organization, reporting and visual graphics of complex data to assist in identifying needs for target audience*Collaborates in the identification of target audience performance needs and gaps *Defines the performance gap objectives and partners with management to achieve agreement on approach to bridge the gap*Creates optimal, budget conscious tracking and reporting to achieve performance objectives*Incorporates evidence based data to structure instructional design for e learning and how to track and report performance on content*Drives the implementation of educational technology and applications in collaboration with management and team members*Builds the approach, deployment, collection, analysis and reporting of project effectiveness*Designs new programs to meet organizational strategic objectives*At the elbow support for Clinical Education team and those we support management, staff, nurse residents, fellows, clinical contractors, assigned vendors and studentsPerformance evaluator for Clinical Education scope of services and Nursing Residency/Fellowship Programs: *Assists CPDS and CPDS Residency teams to build and implement Levels 1 through 4 evaluation tools to measure satisfaction, learning, and transfer to performance based upon performance objectives*Partners with management to assess project performance gaps and build remediation action plansProject Coordination: *Role models and coaches in the moment *Role models highest specialty standards*Mentors others in best practice to enhance outcomes and performance*Independently lead projects assigned*Incorporates best practice standards in reporting to better inform management and leadershipConsultant / Collaborator: *Works and mentors team members within Clinical Education team to accelerate performance *Initiates and or supporting changes in practice through project tracking, e-learning development, educational technology, and applications*Work with CPDS on support for nursing, allied health, and nurse residency programs*May lead projects assigned by PDS Manager Clinical Education OperationsApplications:*Works and mentors team members within Clinical Education team to use e learning applications effectively and according to best practice*Works and mentors team members within Clinical Education team on web applications assigned to accelerate performanceResearcher: *Incorporates project coordination and e learning best practices and standards into work*Supports, builds, and initiates new projects to improve the performance and outcomes of Clinical Education*Stays up to date on best practices for data cleaning, data mining, and data visualization and reporting techniquesPromise and CARES Commitment:*Participates and role models the organizational mission, and vision within all of Presbyterian Healthcare ServicesSpecialty Role Focus:Applies skills and critical thinking related to area of assignment to gather, organize and report data, project coordination, computer based training, and other assignments assigned.QualificationsAcademic Preparation:

*Bachelors degree in healthcare operations, analytics, e-learning development/instructional design, business management, and/or information technology. 6 years of additional experience can be substituted in lieu of degree.Experience: Minimum at least 6 years of healthcare in healthcare operations, analytics, e learning development, academic coordination, and or information technology

Abilities: (Physical, mental, environmental requirements/demands):

Assumes and maintains various postural positions including but not limited to sitting, kneeling, reaching, squatting, climbing, bending/twisting neck and/or waist, lifting and carrying or pushing/pulling objects/equipment.

On occasion will need to work extended hours.BenefitsBenefits Benefits are effective day-one (for .45 FTE and above) and include:


Competitive salaries
Full medical, dental and vision insurance
 Flexible spending accounts (FSAs)
 Free wellness programs
Paid time off (PTO)
Retirement plans, including matching employer contributions
Continuing education and career development opportunities
 Life insurance and short/long term disability programs

About Us Presbyterian Healthcare Services is a locally owned, not-for-profit healthcare system of nine hospitals, a statewide health plan and a growing multi-specialty medical group. Founded in New Mexico in 1908, it is the state's largest private employer with approximately 11,000 employees.

Presbyterian's story is really the story of the remarkable people who have chosen to work here. Starting with Reverend Cooper who began our journey in 1908, the hard work of thousands of physicians, employees, board members, and other volunteers brought Presbyterian from a tiny tuberculosis sanatorium to a statewide healthcare system, serving more than 700,000 New Mexicans. We are part of New Mexico's history - and committed to its future. That is why we will continue to work just as hard and care just as deeply to serve New Mexico for years to come. About New Mexico New Mexico's unique blend of Spanish, Mexican and Native American influences contribute to a culturally rich lifestyle. Add in Albuquerque's International Balloon Fiesta, Los Alamos' nuclear scientists, Roswell's visitors from outer space, and Santa Fe's artists, and you get an eclectic mix of people, places and experiences that make this state great. Cities in New Mexico are continually ranked among the nation's best places to work and live by Forbes magazine, Kiplinger's Personal Finance, and other corporate and government relocation managers like Worldwide ERC. New Mexico offers endless recreational opportunities to explore, and enjoy an active lifestyle. Venture off the beaten path, challenge your body in the elements, or open yourself up to the expansive sky. From hiking, golfing and biking to skiing, snowboarding and boating, it's all available among our beautiful wonders of the west. AA/EOE/VET/DISABLED. PHS is a drug-free and tobacco-free employer with smoke free campuses.Apply Now: click  Apply Now"|data analyst|0|Midwest|Columbus| OH
Progressive Insurance|"Data Analyst Lead
 
The Control Team within Claims is
looking for a highly quantitative Data Analyst Lead who will help drive our
agenda forward. Twice a year the team performs an in-depth analysis of claims
trends along with root cause analysis, identification of internal/external
drivers and impact assessment. The analysis is shared with senior leaders from
across the company as well as business partners from within the claims
organization and provides insights that help drive our claims process agenda.
 
Outside of the trend process, the
analyst works on highly complex analyses in support of the claims process areas
(e.g. property, injury, etc.) as well as improvements to the bi-annual trend
process. The analyst works on ad-hoc and true analysis with minimal ongoing
reporting duties. The trend analyst also works alongside the claims data
science and business intelligence teams with the potential to learn new
technical skills and assist on highly technical analyses.
 
Duties & Responsibilities:

Supporting the continued
 advancement and development of the current trend process which may include
 driving towards a more automated analysis process and more predictive
 analytics and forecasting. 
Identify, acquire and
 capitalize on competitor intelligence and industry data from a variety of
 sources with which to benchmark our performance.
Collaboration with business
 partners across the company (i.e. Claims Process, Claims Operations,
 Actuarial, Pricing, etc.) to gain/share knowledge of trends impacting our
 business.

Must have qualifications:

Bachelor's degree in a related field of study (e.g., Finance, Mathematics, Accounting, Economics or Statistics)
A minimum of 6 years
 analytical work experience in a professional setting.
Strong technical skills in
 SAS and SQL. Ideal candidate will benefit from additional technical skills
 in tools such as R or Python.
Strong communication skills
 are imperative as you will work with business partners to prepare and
 present analysis to Senior. Leaders.

 
 
What we also look for:

Ability to apply advanced
 Analytical techniques to business problems
Identifying impacts/risks
Critical thinking skills
 with the ability to draw valid conclusions
Ability to work on complex
 problems and formulate realistic/impactful recommendations
Ability to think
 independently
Experienced in data mining
 and exploration of new and/or untapped data sources
Ability to effectively
 communicate the results and insights of the analyses
Ability to handle
 varying work load demands
Ability to define and meet
 project deadlines & drive results
Ability to handle ambiguity
 & work under pressure
Strong self-motivation and
 adaptability, able to work autonomously

 
Our company
As one of the largest
auto insurance company in the nation, Progressive's data analysts and
scientists have access to the most telematics data recorded. With freedom and
encouragement to implement your own ideas, you’ll be solving big data problems
that impact billions of dollars of business. You’ll also benefit from:

Annual
 gainshare bonus of up to 30
 of your salary; Progressive rewards each of
 us with an annual bonus based on company performance
401k which
 includes dollar-for-dollar company match of up to 6

Dedication
 to work/life balance which includes flexible work arrangements and tools
 to support your lifestyle
Dynamic
 company culture that encourages engagement, supports Employee Resource
 Groups, values your input and embraces a relaxed atmosphere
Onsite gym
 and wellness programs with discounts & rewards
Healthcare
 onsite and standard benefits (medical, dental, vision) 

 Apply today!
 
Sponsorship is
available for this position for candidates who already possess their H1B
visa. Progressive generally does not sponsor foreign
national candidates for work authorization except for positions that in
Progressive’s determination require highly specialized knowledge and for which
candidate sponsorship is appropriate."|lead data analyst|5|Midwest|Mayfield Heights| Cuyahoga, OH
The Paragon Group|"The Paragon Group is a Columbus, Ohio based Information Technology firm delivering high quality, cost effective resources to a progressive clientele. Founded in 1998, The Paragon Group has a full time staff of highly skilled, motivated professionals. The Paragon Group provides staff augmentation, temp-to-perm placements, permanent placements, and consulting services both locally and nationally. We are a full time employer and offer a full benefits package. We are currently looking for a Data Analyst for long term employment opportunity.JOB DESCRIPTION:

Looking for a data scientist to help solve business problems in our area. I would like to find an innovative candidate that enjoys exploring new tools, is a creative problem solver and has the ability to be able to pick up new things quickly. This candidate will be manipulating large data, inverting and summarizing data as well as performing in-depth analytics and modeling.

We are looking for a well-rounded data scientist. Someone that is comfortable in a programming language such as python or R and can help manipulate large data sets and build models. This is a contract-to-hire position. If it is a good fit after 6 months, will look to hire the contractor for a full-time role. Creative problem solving and innovation are important. Also a desire to learn more and self-motivation to continue to learn.

CORE DUTIES AND RESPONSIBILITIES:

• Retrieves and manipulates data; responsible for suitability and accuracy of data.

• Conducts analyses: selects appropriate data sources and methods, makes assumptions, recognizes considerations and develops recommendations. May be asked to investigate hypothesis through additional research and analysis.

• Works on special assignments as assigned. May work on projects with little-to-no direction and be expected to develop project plans, requirements, timelines, deliverables, etc. May be expected to collaborate or lead a Project Team.

• Notes unreasonable results/non-optimal solutions; investigates; suggests alternative resolutions.

• Effectively communicates with internal and external business partners in a variety of mediums. Can express analytical findings and/or explain/train users on our tools and processes.

• Develops personal work schedule to ensure timely completion of assigned tasks; coordinates with others when tasks involve others. May be responsible for managing project completion timelines and work of team.

• Leverages relationships with business partners (Product, Pricing, Sales, Corporate Partners, executives, etc.) to achieve routine and more complex assignments. Makes presentations to corporate and executive audiences.

• Participates in peer tech reviews. Reviews work of peers and also has work reviewed by them. May assist with training new associates on standard work procedures. Trains business partners outside of unit on standard work processes. May participate in interview activities.

• Participates in ad hoc analyses. More complex work is reviewed. Under appropriate supervision, applies data mining techniques to discover new relationships in the data. Participates in the project planning process.

• Applies appropriate data mining techniques to discover new relationships in the data. Evaluates and documents new techniques, methodologies and software to support research projects. Under appropriate supervision, develops project plans to support projects. May act as the lead for selected projects.

• Participates, and leads as assigned, in interdisciplinary teams.

• Performs other related duties as assigned.



provided by Dice
"|data analyst|0|Midwest|Columbus| OH
Rainmaker Resources, LLC|"The Data Analyst/Scientist designs and develops methods and systems that have the ability to consolidate and analyze ""big data"" to generate insights and client solutions. He/she will develop and code software programs, algorithms and automated processes to cleanse large datasets into meaningful information for gathering insight. By being able to draw conclusions from large, disparate sources of data and identify and pursue new opportunities and preempt trends to continue our exponential growth.
Responsibilities• Interacts with business finance leaders, business partners, pricing, demand and revenue forecasting teams to identify questions and issues for data analysis and experiments• Designs, develops and programs methods, processes, and systems to consolidate and analyze unstructured, diverse ""big data"" sources to generate actionable insights• Interprets and communicates insights and findings from analysis and experiments• Comfortable and able to challenge conclusions and impact business outcomes• Draws on past experience and data to provide insightful analytics• Exercises judgment in selecting methods, techniques and evaluation criteria for obtaining results• Networks with key contacts outside own area of expertise• Understands how economic and business cycles factors impact business conditions• Portfolio analytics of products and industry verticalsRequiredData skills• Data modeling and feature engineering• Previous programing experience -- OOP, Stats packages, scripting• Effectively work with large and disparate datasetsDesired• SQL, Hadoop environment experience (required for senior role)• Experience with financial modeling and the 3 statements a plusPredictive Modeling skills (senior role)"|data analyst|0|Midwest|Cincinnati| OH
Progressive Insurance|Data Analyst SeniorOur team Claims Control is looking for a strong Data Analyst Senior to help support the File Owner agenda. As a Senior Analyst you will have the opportunity to work across a broad range of Claims processes and provide valuable business insights through data storytelling. The anticipated scope of work for this position includes leading and supporting discretionary projects (CBA, success and monitoring measures, analytical support), analyzing complex business problems, interacting directly with our business partners and other leaders across Progressive, and providing mentorship within a collaborative team. Your work will influence the entire Claims organization by providing actionable insights. We work together to encourage collaboration and innovation, fostering personal growth in an environment where everyone’s voice matters. Preferred skills:SAS or R, SQL and Tableau experience is preferred. The ideal candidate should demonstrate the ability to* Apply advanced analytical, statistical, and technical methods to solve complex business problems. Proficiency in SQL is required for this role, and SAS (or equivalent) is highly desired.* Translate work into simple and clear language and visuals* Effectively communicate both verbally and in writing with various levels and roles, including senior leadership* Help others learn analytical skills and tools* Work independently with a high degree of autonomy Must have qualifications* Bachelor's degree in a related field (Finance, Mathematics, Accounting, Economics or Statistics) and four years of analytical work experience in a professional setting* Instead of a degree, seven years of property casualty insurance experience with related analytical experience (e.g. analytical work in a professional setting)Our CompanyAs one of the largest insurance companies in the nation, Progressive's data analysts and scientists have access to the most telematics data recorded. With freedom and encouragement to implement your own ideas, you'll be solving big data problems that impact billions of dollars of business. You'll also benefit from:* Annual gainshare bonus of up to 30%gt; of your eligible earnings; Progressive rewards each of us with an annual bonus based on company performance* 401(k) which includes dollar-for-dollar company match of up to 6%quot;* Dedication to work/life balance which includes flexible work arrangements and tools to support your lifestyle* Dynamic company culture that encourages engagement, supports Employee Resource Groups, values diversity and embraces a relaxed atmosphere* Onsite gym and wellness programs with discounts & rewards* Healthcare onsite and standard benefits (medical, dental, vision)Sponsorship is available for this position for candidates who already possess their H1B visa. Progressive generally does not sponsor foreign national candidates for work authorization except for positions that in Progressive’s determination require highly specialized knowledge and for which candidate sponsorship is appropriate.|senior data analyst|5|Midwest|Mayfield Heights| Cuyahoga, OH
Step2|"The Step2 Company, the largest American manufacturer of preschool and toddler toys and the world’s largest rotational molder of plastics, is looking for aData Scientistto work at our Corporate Offices in Streetsboro, Ohio.

PRIMARY FUNCTION:Reporting to the IT Director, and in close collaboration FP&A, the Data Scientistwill support our product, sales, operations, and marketing teams with insights gained from analyzing company data. The ideal candidate is adept at using large data sets to find opportunities for product and process optimization and using models to test the effectiveness of different courses of action. They must have strong experience using a variety of data mining/data analysis methods, using a variety of data tools, building and implementing models, using/creating algorithms and creating/running simulations. They must have a proven ability to drive business results with their data-based insights. They must be comfortable working with a wide range of stakeholders and functional teams. The right candidate will have a passion for discovering solutions hidden in large data sets and working with stakeholders to improve business outcomes.

SPECIFIC DUTIES/ACCOUNTABILITIES:

·Research and develop statistical learning models for data analysis

·Keep up-to-date with latest technology trends

·Communicate results and ideas to key decision makers

·Implement new statistical or other mathematical methodologies as needed for specific models or analysis

·Optimize joint development efforts through appropriate database use and project design

·Functions as Oracle subject matter expert and ensures end users are properly trained to use system and reports appropriately;troubleshoots issues.

·Serves as the System Administrator for the Daily Operating System (D.O.S.) Report and supporting network.

·Ensures functionality and accuracy of reports which make up the D.O.S. report (i.e. Mold Placement Master, Mold Placement Report, Attendance Rosters).

·Keeps D.O.S. supporting data updated (i.e. labor standards, NSP pricing, tooling information, goals, etc.)

·Data mines and analyzes data from Oracle to provide user-friendly ad-hoc reports as request by various departments and upper level management.

BASIC QUALIFICATIONS:

·5-7 years of experience manipulating data sets and building statistical models, a degree in Statistics, Mathematics, Computer Science or another quantitative field.

·Experience using statistical computer languages (R, Python, SLQ, etc.) to manipulate data and draw insights from large data sets.

·Experience working with and creating data architectures.

·Knowledge of a variety of machine learning techniques (clustering, decision tree learning, artificial neural networks, etc.) and their real-world advantages/drawbacks.

·Knowledge of advanced statistical techniques and concepts (regression, properties of distributions, statistical tests and proper usage, etc.) and experience with applications.

·Excellent written and verbal communication skills for coordinating across teams.

·A drive to learn and master new technologies and techniques.

·Experience creating and using advanced machine learning algorithms and statistics: regression, simulation, scenario analysis, modeling, clustering, decision trees, neural networks, etc.

·Experience analyzing data from 3rd party providers: Google Analytics, Site Catalyst, Adwords, Content Analytics, Facebook Insights, etc.

ADDITIONAL QUALIFICATIONS:

·Excellent project management skills

·Ability to explain complex issues clearly and succinctly

·Effectively summarizes and communicates results

·Ability to forecast potential problems and pitfalls

Step2 is an Equal Opportunity EmployerStart your job application: click  Apply Now"|data scientist|4|Midwest|Streetsboro| OH
Riverside Research Institute|"
Returning Candidate? Log back in to the Career Portal and click on 'Job Browsing/History' and find the job you're looking for.
 2019-132-INT: Data Scientist


 Directorate Intelligence & Defense Solutions  Location Wright-Patterson AFB, OH  Riverside Research’s Intelligence and Defense Solutions (IDS) directorate is seeking a Data Scientist to support the National Air and Space Intelligence Center (NASIC) at Wright Patterson AFB, OH. Responsibilities will include prototyping applications and implementing processes to extract knowledge or insights from both structured and unstructured data. Candidates must be technically proficient and have real-word experience devising and implementing practical and sustainable solutions. You will be working with a team of Riverside Research, government, and contractor personnel supporting artificial intelligence/machine learning (AI/ML) projects. The work is in support of both US Air Force and Intelligence Community programs.

All Riverside Research opportunities require U.S. citizenship.


Job Responsibilities: • Assess customer systems and processes for application of data science techniques and processes to support their needs

• Assist with implementation of AI/ML initiatives through preparing, analyzing, and visualizing structured, semi-structured, and unstructured data

• Develop and conduct algorithm quality trade studies, identifying best case uses and characterizing performance

• Refine the verification and validation process for analytics

• Enhance existing models to leverage analytic output for driving automated tasking

• Develop scripts for running and testing algorithms and analytics using a variety of programs

• Develop machine learning, data mining, statistical, and graph-based algorithms to analyze and make sense of data sets

• Prototype/consider several algorithms and decide upon final model based on suitable performance metrics

• Generate reports and visualizations that summarize data sets and provide data driven insights to customers

• Other duties as assigned
Qualifications: • Bachelors degree in a technical domain plus 5 years of experience related to the job description above; an additional 4 years of experience (for a total of 9 years) related to the job duties listed above can be substituted in lieu of a Bachelors degree

• Minimum of 5 years’ experience in data science or related field

• Demonstrated proficiency in data analysis, modeling, and visualization

• Proficiency with programs used for data analytics such as R or Python

• Strong communication, organizational, and analytical skills

• Current Top Secret clearance with SCI adjudication

• Self-motivated, independent, detail oriented, responsible team player

Desired Qualifications:

• Doctorate degree in applied statistics, applied mathematics, computer science or related technical field with specialization in data science

• Agile software development experience/certifications

• Technical project management and oversight experience

• Experience working with or in support of Department of Defense (DoD) or intelligence community (IC) organizations

IND2
 Riverside Research strives to be one of America’s premier providers of independent, trusted technical and scientific expertise. As we continue to add experienced, technically astute staff, we are looking for highly motivated, talented team members that can help our DoD and Intelligence Community (IC) customers continue delivery of world class programs. As a not-for-profit, technology-oriented Defense Company, we believe service to customers and support of our staff is our mission. Our goal is to serve as a destination company by providing an industry-leading, positive, and rewarding employee experience for all who join us. We aspire to be a valued partner to our customers and to earn their trust through our unwavering commitment to achieve timely, innovative, cost-effective and mission-focused solutions.

All positions at Riverside Research are subject to background investigations. Employment is contingent upon successful completion of a background investigation including criminal history and identity check.

This contractor and subcontractor shall abide by the requirements of 41 CFR 60-741.5(a). This regulation prohibits discrimination against qualified individuals on the basis of disability, and requires affirmative action by covered prime contractors and subcontractors to employ and advance in employment qualified individuals with disabilities.

This contractor and subcontractor shall abide by the requirements of 41 CFR 60-300.5(a). This regulation prohibits discrimination against qualified protected veterans, and requires affirmative action by covered contractors and subcontractors to employ and advance in employment qualified protected veterans.

 Apply NowStart your job application: click  Apply Now"|data scientist|0|Midwest|Wright Patterson AFB| OH
Earnin|"About Earnin:
Our financial system is fundamentally unfair for people who live paycheck to paycheck. People shouldn't have to wait weeks to get the pay they've already earned. This wait forces them to spend more than $100 billion a year on short-term credit products, late fees and overdraft fees.

Earnin helps people overcome this unfairness by giving them real-time access to their money as soon as they have worked -- without fees or interest.

Our team is bound together by a desire to level the financial playing field. Our investors, Andreessen Horowitz, Ribbit Capital, Felicis Ventures, Matrix Partners and March Capital believe we will change the world.

You can help make a difference. Join us.

About the Team:
We're looking for a talented and motivated data scientist to build sophisticated models with data collected across our business to aid Earnin's mission in giving the world access to their pay as soon as they've earned it.

Data Scientists are the central node to every team within Earnin. As a data scientist, you'll be interfacing with analysts to gain insights, our product managers to evaluate areas where we can protect and improve our business model, and our engineering team to advance our product utilizing artificial intelligence.

Every decision made at Earnin is backed by data; our company trajectory is defined by the systems, tools, and analytics powered by our exceptional team. We integrate multifaceted data streams such as rapidly changing market data, customer data based on app activity and feedback, and financial banking operations data to perfect our processes and workflows. Improving these systems and maintaining scalability across a growing user base (X million and counting) is thrilling, particularly on a team of 4.

What Set Us Apart:

We care more about the thought process, perseverance, tenacity in solving really difficult problems (rather than checking off all the technology boxes)
Solving unique problems in the financial payments industry
Helping people on a human level

As a Data Scientist you will:

Build scalable machine learning models with multivariate, multi-source data spanning financial markets and our internal event streams
Research and prototype solutions based on various machine learning algorithms to help design and deploy the best possible products
Optimize models by adding more features, improving algorithms, tuning parameters
Continuously monitor and improve model performance
Work closely with product, analytics, and engineering teams - make your models scalable, explainable, and actionable

Some skills we consider critical to being a Data Scientist:

Solid understanding of machine learning and statistics
Strong business and product sense, analytical thinking
Experience building predictive models across the full development cycle, from data collection and exploratory analysis to scalable production
Experience building complex SQL queries
Proficient in any of the following: Python, R, Spark, Scala
3+ years industry experience in data mining, machine learning, statistical analysis, and modeling
Excellent communication skills
A MS or PhD in Computer Science, Physics, Statistics, Applied Mathematics, or similar quantitative disciplines


Nice to have but not required:

Specialized knowledge in areas such as optimization, A/B and multi-armed bandit testing, or deep learning

Earnin does not unlawfully discriminate on the basis of race, color, religion, sex (including pregnancy, childbirth, breastfeeding or related medical conditions), gender identity, gender expression, national origin, ancestry, citizenship, age, physical or mental disability, legally protected medical condition, family care status, military or veteran status, marital status, registered domestic partner status, sexual orientation, genetic information, or any other basis protected by local, state, or federal laws. Earnin is an E-Verify participant.To apply to this job, click  Easy Apply"|senior data scientist|3|Midwest|Cincinnati| OH
