company|description|position|reviews|Region|City|State
Vervent||data analyst|0|West|Portland| OR
Multnomah County|"Current employees: Please apply through the employee portal to be considered for this opportunity.

Pay Range:

Department:Department of County Human Services (DCHS)Job Type:Regular RepresentedExemption Status:United States of America (Non-Exempt)Closing Date (Open Until Filled if No Date Specified):December 06, 2019The Opportunity:

Department:

Department of County Human Services (DCHS)

Exemption Status:

United States of America (Non-Exempt)

Closing Date (Open Until Filled if No Date Specified):

December 6, 2019

Pay Range:

$29.23 - $35.87 hourly

Overview:

The Data Analyst will support the Aging, Disabilities & Veterans Services Division (ADVSD) Administrative Unit for division-wide and program-specific needs. The Data Analyst will perform data analysis for complex technical and analytical work and will design queries and reports from numerous systems. This position will analyze complex data sets related to aging and people with disabilities and report to program management in order to improve data quality and our key performance indicators.

Multnomah County Department of County Human Services invites applications for a One (1) Full Time Data Analyst in Aging, Disability & Veterans Services Division. The position is located at 209 SW 4th Avenue Portland OR 97204.

Primary responsibilities include but not limited to:

Extract, collect, and organize complex informationPerform quantitative and qualitative analysis on program dataDevelop and publish Tableau workbooks using approved data setsAssist with the management of data system users for our divisionDesign quality assurance reports for evaluations and data projectsAnalyze, evaluate, and recommend modifications to ADVSD data processes and procedures as they relate to division goals Identify data issues regarding reporting and system inconsistencies. Develop solutions regarding workflow, data entry, and data reporting. Conduct technical assistance and training for internal staff Create documentation on data sources, procedures and queries Support division-wide and program-specific data and evaluation efforts and serve as an integral member of the Data & Evaluation Work Unit (DEW) team for DCHS Aging, Disability & Veterans Services

Diversity and Inclusion: At Multnomah County, equity is at the core of what we do. We just do not accept difference; we value it and support it to create a culture of dignity and respect for our employees.

We are proud to be an Equal Opportunity Employer.

To Qualify:

We will consider any combination of relevant work experience, volunteering, education, and transferable skills as qualifying unless an item or section is labeled required. Please be clear and specific about how your background is relevant. For details about how we typically screen applications, review our overview of the selection process page.

Minimum Skills*:

Ability to promote a culture of respect, inclusiveness, and appreciation of diverse perspectives, backgrounds, and values Education/Training: Equivalent to a Bachelor's degree from an accredited college or university with major course work in math, computer science, business, or a related field demonstrating the capacity for the required knowledge and skills; ANDExperience: Two years of work experience in data analysis, data visualization, statistics, operational analysis, or a related field that included performing analysis, statistical evaluation, database design, maintenance, administration, and statistical reporting.Must pass a criminal background check

*Transferable Skills:

Your transferable skills are any skills you have gained through education, work experience (including the military) or life experiences that are relevant for this position. Be sure to describe any transferable skills on your application and clearly explain how they apply to this position.

Screening and Evaluation:

The Application Packet:

A completed online application.Attach a cover letter and limited to the equivalent of one (1) page. The quality of your response may determine if you are to move on to the next review. Your cover letter should address why you are interested in this opportunity and how your work experience and transferable skills meet the requirements described in the “Overview” and “To Qualify” sections above. For internal candidates: After you have submitted your application, check your Work Day inbox. You will receive the Oregon Veteran Preference Questionnaire. Your application as an internal candidate is not complete until you fill out and submit the Oregon Veterans Preference Questionnaire prior to application deadline.

The Selection Process: For details about how we typically screen applications, review our overview of the selection process page. We expect to evaluate candidates for this recruitment as follows:

● Initial review of minimum qualifications

● Cover letter review

● Phone screen or oral exam

● Consideration of top candidates

● Background and reference checks

Diversity and Inclusion: At Multnomah County, we don't just accept difference; we value it and support it to create a culture of dignity and respect for our employees.

We are proud to be an Equal Opportunity Employer. We evaluate qualified applicants without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, veteran or protected veteran status, genetic information and other legally protected characteristics. The EEO is the Law poster is available for your reference. Multnomah County is a VEVRAA Federal Contractor. We request priority protected veteran referrals.

Veterans’ Preference: Under Oregon Law, qualifying veterans may apply for veterans’ preference. Review our veterans’ preference page for details about eligibility and how to apply.

Accommodation under the Americans with Disabilities Act: We gladly provide reasonable accommodation to anyone whose specific disability prevents them from completing an application or participating in this recruitment process. Please contact the recruiter below in advance to request assistance. Individuals with hearing or speech impairments may contact the recruiter through the Telecommunications Relay Service by dialing 711.

Questions?

Recruiter:Gary MiguelEmail:gary.c.miguel@multco.usPhone:+1 (503) 9887454 x87454Application information may be used throughout the entire selection process. This process is subject to change without notice.

Disclaimer: This announcement is intended as a general descriptive recruitment guide and is subject to change. It does not constitute either an expressed or implied contract.

Job Profile:6073 - Data Analyst"|data analyst|3|West|Portland| OR
Seen by Indeed|"Seen by Indeed is a free service that connects qualified job-seekers (that's you) with top companies hiring tech roles.With one application you can be considered for thousands of tech roles from leading companies on Seen.

How Seen WorksWe find out what's important to you and match you with your dream job

Get started Complete a 5-minute application to be considered for roles at hundreds of leading companiesGet matched Companies apply to you with opportunities that reflect your role, location and salary specificationsGet career coaching Level up with free 1:1 coaching, our team will make sure you're ready to tackle any interviewGet your dream job

Skills and RequirementsWe look for top tech talent to join the Seen platform. Each candidate is reviewed on the following to make sure you're a good fit for our network

In Demand SkillsFrom strong communication skills to experience with the latest technologies, you have what employers are looking for

Stand Out QualitiesYou bring unique qualities and traits that stand out and make an impact

Change readyYou are ready for a career changes and will be responsive to employers who reach out with job opportunities

Get matched with top tech companies on Seen!"|data analyst|0|West|Portland| OR
Nike|"Become a Part of the NIKE, Inc. Team

NIKE, Inc. does more than outfit the world’s best athletes. It is a place to explore potential, obliterate boundaries and push out the edges of what can be. The company looks for people who can grow, think, dream and create. Its culture thrives by embracing diversity and rewarding imagination. The brand seeks achievers, leaders and visionaries. At NIKE, Inc. it’s about each person bringing skills and passion to a challenging and constantly evolving game.Nike Analytics encompasses multiple teams across

the enterprise. As a Nike Data Science & Advanced Analytics intern, you

will be responsible for assessing and analyzing data, building predictive

models and delivering valuable insights to key stakeholders across the

business. We want to make every Nike decision better because of data! As an

Advanced Analytics or Consumer Data Science & Personalization Intern, you

will have the opportunity to work on one of the teams described below.
Global Consumer Knowledge
Marketing

Science:

Nike’s

Consumer Direct Sciences is a growing team responsible for building and

deepening a holistic view of Nike’s consumers through data and analytics and

applying those insights to inform the development of incredible content & experiences

for our consumers. Part of that

holistic view involves having a deep understanding of our consumers and what

marketing content and attributes resonate best with them which allows us to combine

the science with the art of Nike’s marketing.

Consumer Data

Science & Personalization:

The Personalization team in Nike's Global

Consumer Knowledge Center of Excellence is a fast-growing team responsible for

building and deepening a holistic view of Nike's consumers through data and

analytics, and applying those insights to personalize and optimize incredible

digital services and experiences for our consumers. As a Consumer Data Science

& Personalization Intern at Nike, you will be responsible for helping us

build the next generation of personalized experiences that power many of our

digital channels delivering direct and unbreakable relationships with hundreds

of millions of our customers.
Global Sourcing & Manufacturing
Global Souring & Manufacturing

teams dream up new ways to make better-performing products faster and more

efficiently. This world-class team challenges assumptions about how our

products are made and leads the company in pursuing ambitious sustainability

goals — all while producing Nike’s rich mix of product. Manufacturing and

Engineering works closely with design teams, categories, manufacturing

partners, material suppliers and logistics providers across more than 40

countries on six continents. They navigate complex geopolitics with multiple

supply chains and diverse ecosystems while remaining focused on manufacturing,

materials, sustainability and product quality.
Marketplace Analytics
Consumer demand is Nike demand. We'll get the right product into the

hands of the consumer faster through end-to-end demand and supply management

fueled by consistent data and advanced analytics. We'll drive marketplace

health and mutual profitability by delivering insights to help our business

partners manage supply and inventory investments and drive to a better forecast

of demand in the marketplace.
Global Operations & Logistics
Nike’s Operations team

ensures that every year over one billion pieces of footwear, apparel and

equipment arrive at the right destination on time across the globe. The complex

process involves 60+ distribution nodes, thousands of accounts, and over

100,000 retail doors. The team constantly pushes to become faster, more efficient, more reliable, and more flexible, while

minimizing its environmental impact, to support changing consumer needs.
Sports Marketing
Global Sports Marketing Analytics develops

data-driven insights and tools to inform decision-making in sports marketing. 

The team’s top three objectives include:

Tracking and measuring

the sports marketing portfolio and positioningIdentifying and

exploring opportunities to inform deal making through in-depth analysisEnabling Categories and

Geos by providing tools and support to inform their own ongoing analyses

From sourcing data, designing tools, and

delivering insights, Global Sports Marketing Analytics sits in the center of

the Sports Marketing function and acts as the in-house strategy and analytics

team problem-solving for various team needs.


Pursuing

an advanced degree in a quantitative discipline (Master’s or PhD studies in Analytics,

Engineering, Economics, Finance, Computer Science, Statistics) with an expected

graduation of Winter 2020 or Spring 2021Strong

technical and analytical skillset required: experience with Microsoft BI,

Tableau, SAS, Stata, R, Python, SQL, or Alteryx required; familiarity with Excel

and PowerPoint preferredCore mathematical ability to

understand, utilize and innovate on state-of-the art machine learning

algorithms and/or statistical modelingAbility

to project plan, lead, execute and deliver compelling and actionable user

research in a face-paced environment, balancing rigor and speedPrior

experience synthesizing and packaging complex analyses and delivering results

to non-technical audiences including senior leadership teamsProven

ability to use strategic tools and frameworks to analyze complex strategic

problems, develop clear recommendations and present findingsProven

ability to sift through data, identify critical information, develop

hypotheses, perform rigorous analyses, and make recommendations to broader

audiencesDemonstrated

ability to use data to influence decision making. Strong project management

experience managing multiple project streams and complexityExcellent

written and verbal communication skills, including superior presentation skillsStrong

interpersonal skills and open to learning new tools/techniquesPassionate

about Sport, Nike products and the consumer/retail industry

PREFERRED QUALIFICATIONS:0-2 years of experience in a

role developing predictive or explanatory models and/or experimentation

processesExperience with neural nets

and deep architectures preferredExperience with moderate to

large-scale data sets (>100GB) preferred Previous experience

in working in a product management capacity for data science productExpertise in at

least one production-quality programming languages (e.g. java, python, scala,

C++)

NIKE, Inc. is a growth company that looks for team members to grow with it. Nike offers a generous total rewards package, casual work environment, a diverse and inclusive culture, and an electric atmosphere for professional development. No matter the location, or the role, every Nike employee shares one galvanizing mission: To bring inspiration and innovation to every athlete* in the world.

NIKE, Inc. is committed to employing a diverse workforce. Qualified applicants will receive consideration without regard to race, color, religion, sex, national origin, age, sexual orientation, gender identity, gender expression, veteran status, or disability."|data analyst intern|5|West|Beaverton| OR
Nike|"At Nike, Inc. we no longer see borders between the worlds of physical and digital, or of product and service. This marriage of environments has given birth to the Connected Product team. It is our mission to create a unique digital identity for all Nike products from production through consumer engagement, enabling seamless visibility, traceability, authentication and member experiences. We explore the edges of possible while delivering at scale, working across all functions of Nike, serving every athlete.

Intermediate Data Business Systems Analyst - Connected Product Global Technology

As a Data BSA, on the Connected Product Global Technology Incubator team, you will provide the analysis and modeling of core data domains to understand the impact of new RFID data in existing business processes. You will do analysis to create basic data comprehension, requirement mapping, data modeling, and cross-functional data relationships to enable accelerated implementations for the Connected Product Transformational Initiative.

In this role, you will collaborate with business, engineering and enterprise platform teams to produce prototypes and proof-of-concepts for business evaluation. Ability to learn and fail quickly is paramount in building experience in where new data technologies are valuable and where they need to mature. You will use your hands-on SQL experience, data transformation background, report writing experience, agile product experience and a basic understanding of data architecture to help the larger organization understand RFID item level data.WHAT YOU BRING TO NIKE:

Bachelor's degree in Computer Science, Information Systems, Business or other relevant areas0 - 2 years of related professional experience requiredDemonstrated ability to perform thorough data analysis and present relevant resultsDemostrated ability to sift through data, identify critical information, analyze, and develop solution optionsTechnical exposure and understanding of SQL, Data Modeling, Report Creation, Business Requirements, Big Data, Amazon Web Services.Understanding of the Agile principles and methodologies Work directly with customers and team members to capture details of feature requirement and understand use casesAbility to solve complex problems and take a new perspective on existing solutionsComfortable working in ambiguous environmentsAbility to troubleshoot technical and non-technical problems


</p>"|data analyst|3|West|Beaverton| OR
Mainz Brady Group||data analyst|0|West|Beaverton| OR
Della Infotech Inc.||data analyst|0|West|Hillsboro| OR
Port of Portland||data analyst|0|West|Portland| OR
Umpqua Health||data analyst|0|West|Roseburg| OR
APR Staffing||data analyst|0|West|Beaverton| OR
