company|description|position|reviews|Region|City|State
Red Tettemer|"Does optimizing marketing efficiency and effectiveness get you all hot and bothered?

Do well written formulas make you all tingly inside? We are hiring a digital analyst who sees the stories and humans inside the numbers. Someone who can transform data into actionable insights to drive our clients’ websites, applications and digital/social marketing.

The Mandatories

Love of big ideas.
Assist in the design and planning of campaign/site success measurements.
Work collaboratively with the Digital Strategy, Account Management, Media, and Social departments to develop hypothesis, establish KPIs and ask pointed questions.
Collect and aggregate consumer, business, campaign and media data from a number of different sources.
Monitor and analyze performance to provide insights and recommendations for optimizations and improvements.
Help drive the creation of dashboards and periodic reports for clients as well agency-wide reporting processes and templates.
Demonstrated passion for telling stories with quantitative data.
2+ years of relevant work experience, agency side is a plus.
Extensive knowledge of performance metrics, especially within digital and emerging media.
Skilled using data tools to design and build reports.
Experience in setup & implementation of GA / GTM.

Extra Credit:

Experience in setup, implementation and maintenance of a Data Management Platform.
Media experience and working knowledge of media tools, such as, Adwords, Doubleclick, Facebook, etc.
Experience with the design and implementation of GA goal and conversion tracking.

Extra Extra Credit:

Ability to study the past, and predict the future, to act in the present.

The Perks

A competitive salary.
Solid Health Bennies.
401k and Profit Share Programs.
A stocked Kegerator with rotating brews.
The office - built into John Wanamaker’s old penthouse apartment, smack in the middle of the city. Like none you’ve ever seen.
Vacation policy: We all take them and love the refreshing feeling they offer and so our policy is unlimited vacay.
A work environment that enthusiastically encourages creativity, risk-taking and growth.

BE UNFORGETTABLE.

That's our mission. Simple to say. Nearly impossible to pull off. But when you set the bar that high, every single jump has meaning.Apply Now: click  Easy Apply"|data analyst|5|Northeast|Philadelphia| PA
Citadel Federal Credit Union|"For more than 80 years, Citadel has steadily grown and offered stability to our customers, community, and employees. Today, Citadel provides banking, investments, and insurance services to more than 200,000 customers. As we continue to expand, we remain committed to providing the very best value to our customers. At over $3 billion in assets, we are one of the Greater Philadelphia area’s largest locally owned financial institutions, proudly serving residents of Bucks, Chester, Delaware, Lancaster, Montgomery, and Philadelphia counties. In 2018, Citadel was ranked number one among all credit unions in Pennsylvania for providing value to our customers by Callahan& Associates, and was named one of the best performing credit unions in the nation by SNL Financial. To learn more, visitCitadelBanking.com.

We are building out Citadel's Data& Analytics capabilities and we are seeking three Marketing Data Analysts. These individuals will report to the Sr. Research& Data Analyst. The roles will be based in the Marketing department located at our corporate headquarters in Exton, PA.

The Marketing Analyst is responsible for identifying and analyzing data regarding our customers and prospective customers, making recommendations and providing insight to Citadel leadership in critical decision-making that drives Citadel Class Service and our business objectives including growth and sales. The Analyst will be responsible for designing and delivering the Use Cases to support the development of Citadel’s next generation Data& Analytics platform. Each Use Case is designed to support the business and deliver an improved customer and/or employee experience and will include the requirements, data definition, report and dashboard design, and end user rollout.

Duties and Responsibilities

Collaborate with Marketing, Sales, Product teams and other Citadel business leaders to determine and prioritize needs for customer data.
Develop Use Cases– partner with the business to capture and document Business Requirements, Business Definitions, Data Definitions, Visual Requirements, and Test Scripts.
Apply various analytic methods to discover and interpret information about customer and prospective customer behavior from multiple data sources, including Citadel’s website, social media, customer account data, data from external partners, and other sources
Integrate data across sources
Collaborate with IT to develop or adopt relational databases
Create actionable insights based on customer data, both proactively and in response to requests
Recommend target segments and campaigns/offers
Maintain necessary processes, controls and procedures to ensure data accuracy and business functionality and comply with privacy and security policies and regulations.
Lead and participate in cross-functional teams for corporate sales, marketing, customer service, and product development
Perform regular analysis and reports for distribution to senior management on customer/prospective customer data and trends.
Develop analytical reports to various departments requesting insight, supportive data or status reports to support corporate initiatives

Qualifications and Education Requirements

Required Work Experience -3+ years related data management and analysis experience, including experience in consumer behavior data mining and analysis

Preferred Work Experience -Retail banking or other financial services experience. Experience with marketing, sales, or customer service, including digital and traditional

Education - Bachelors degree required

Technical Knowledge Required -Proficiency in specialized database software.Writing SQL queries to solve business problems.Proficiency creating reports and dashboards in a modern data visualization tool (Tableau, PowerBI, Qlik).Proficiency in Microsoft Office suite.

PreferredTechnical Knowledge -CRM experience,Python or R, experience with database documentation (Data Dictionaries and Entity Relationship Diagrams)Start your job application: click  Apply Now"|data analyst|5|Northeast|Exton| PA
AWeber|"The Senior Data Analyst will help AWeber leadership as well as product and business owners make critical decisions by enabling them to see and understand data from throughout the organization. You will partner closely with Leadership, Product Engineering, Marketing and Finance teams to answer key questions related to marketing effectiveness, product adoption, engagement, satisfaction and monetization. The Senior Data Analyst work requires regular collaboration with our Engineering teams as well as technical expertise to mine big datasets and discover key insights.

We believe the Senior Data Analysts should be someone passionate about driving data driven decisions on a strategic product and business perspective.

The ideal candidate should be self-directed, passionate about data, and focused on delivering the right results. The candidate should be able to apply technical acumen and a breadth of tools, data sources and analytical techniques to answer a wide range of high-impact business and product questions and present insights in a concise and effective manner. Technical aptitude and programming skills are necessary in this role. The candidate should also be an effective communicator capable of independently driving issues to resolution and communicating insights to both technical and non-technical audiences. The role requires incubating, developing, testing and iteratively improving on BI capabilities to understand the product(s) in depth; provide key insights to shape product and marketing actions, thereby improving customer experience and usage of AWeber solutions..

Key Responsibilities (not limited to these):

Manipulate and analyze complex, high-volume, high-dimensionality data from varying sources using a variety of tools and data analysis techniques.
Build a holistic understanding of our product features, usage, its customer, data infrastructure, product and business goals.
Understand business KPI's as well as answer product and business questions to drive product development and marketing/sales decisions.
Leverage industry best practices in establishing repeatable data & business intelligence practices, principles & processes.
Understand the needs of the leadership team and other key stakeholders across the company.

Qualifications:

Minimum Requirements


Bachelor degree required in math, statistics, computer science or a related field
5+ years demonstrated analytical experience working as a Data Analyst in a SaaS or technology company.
5+ years of demonstrated analytical skills working with leadership to understand business goals and map them to outcomes.
Familiarity with modern BI & reporting environments such as SQL, Tableau, Qlik, Snowflake as well as data science tools such as Data Robot.

Key Skills, Competencies, Qualifications


Ability to understand, translate and map business and product questions into analytical projects.
Solid experience building analytical solutions with a variety of analytics tools and techniques.
Specifically, working knowledge of SQL, PostgreSQL, AWS, Snowflake, Tableau, Qlik, R, DataRobot or similar tools within the BI & reporting stack.
Ability to influence diverse audiences and build strong partnerships with stakeholders across the business.
Unique mix of technical, project and product management skills
Strong ability to articulate vision, requirements & benefits, and provide a solid rationale to business and technical partners
Self-motivated, agile and driven to think out-of-the-box
To apply to this job, click  Easy Apply"|senior data analyst|5|Northeast|Chalfont| PA
Intalere|"
Apply
Description


As a member of the Digital Solutions and Data and Analytics IT team, this person will be responsible for developing reports, dashboards, and self-service data analysis solutions to internal users as well as our customers, using a variety of technologies.

This role demands a strong technical/design skillset for presenting data in a clear, insightful, user-focused way, as well as broader capabilities relating to understanding existing and in-development data models/schemas and the business context they represent.

The visualization specialist will not just implement reports and dashboards via tools like Tableau and SQL Server Reporting Services (SSRS); they will also be responsible for designing them, utilizing technical best practices as well as their analytical skills to obtain a full understanding of underlying data and functional needs/requirements.

Responsibilities

Design and develop new reports and dashboards in Tableau and SSRS.

Determine the appropriate tooling for development (Tableau, SSRS, Excel extracts, etc) based on your understanding of requirements and constraints as well as the team’s best practices/patterns.

Develop necessary SQL (and other) queries for data ingestion to Tableau from SQL Server data marts/databases.

Develop SQL queries for ad hoc reporting and data analysis needs.

Understand the context and constraints of how ETL (SSIS) processes are executed to populate relevant datastores (you need not be experienced with SSIS/ETL; however, a high-level understanding is necessary to inform your designs/decision making.)

Lead requirements analysis efforts relating to implementing new reports, dashboards and other visualizations, as well as periodic or ad hoc data extracts, via direct communication with technical and non-technical stakeholders.

Maintain extensive existing set of SSRS reports:

Troubleshoot SSRS reports when there are failures (evaluate cause, determine and test solution, implement solution) and provide communication to stakeholders during “outage” as well as document the situation after it is resolved to support retrospectives/knowledge sharing.Iteratively enhance SSRS reports and queries for performance improvement.Adjust reports when underlying data schemas change.

Contribute to team knowledge sharing/training efforts.

Develop a strong understanding of Intalere and customer data models/context.

Provide subject matter expertise (technical and business context) input and feedback to data/BI teams and development scrum teams as needed.

Identify, communicate, and mitigate BI/analytics risks, including invalid data, invalid data calculations, formulas or derived insights, and misrepresentation of or otherwise confusing visual representations of data.


Requirements


Technical

1+ years of experience designing data visualizations (components, reports, dashboards)

2+ years of experience implementing data visualizations (components, reports, dashboards)

Experience with debugging, performance profiling and optimization of data visualization components, reports, and dashboards

Demonstrated analytical capabilities paired with a strong initiative to find ways to improve the analysis and communication of complex data

Specific experience with Tableau

Candidates with extensive experience in other BI/reporting/analytics toolsets may be considered if they have a commitment to learning Tableau and a demonstrated ability to ramp up to proficiency rather quickly (2 months) in a primarily self-directed wayPreference will be given to candidates with prior Tableau experience

Specific experience with Microsoft SQL Server Reporting Services (SSRS) and SQL Server toolset

Candidates with extensive experience in other BI/reporting/analytics toolsets may be considered if they have a commitment to learning SSRS and a demonstrated ability to ramp up to proficiency rather quickly (2 months) in a primarily self-directed wayPreference will be given to candidates with prior SSRS experience

Capable of designing complex and performant SQL queries

Demonstrated ability to quickly learn/understand and discuss data models

Professional

Excellent interpersonal and organizational acumen with regard to collaborating with both internal team members and external business stakeholders

Internally motivated, able to work proficiently both independently and in a team environment

Strong written and verbal communication skills with staff and leadership at all levels of seniority and technical experience

Bachelor’s Degree or higher (Computer Science, Engineering, Human Computer Interaction/Design, or similar/relevant field)

Motivated to “stay current” with technical change/commit to professional development to learn relevant new skills/tools/methodologies

Desired Additional Competencies:

Experience with relational database design, SQL DDL, performance tuning relating to indexes, etc.

Experience with non-relational “noSQL” data sources

Experience with ETL processes and tools

Healthcare industry experience not required but a significant plus (supply chain, provider, payer, medical device, life-science, pharmacy, etc.)

Experience with other data/BI tools, especially within the Microsoft ecosystem (SQL Server Analysis Services (SSAS), Power BI, Power Query, DAX, R)

Start your job application: click  Apply Now"|data analyst|3|Northeast|Warrendale| PA
Martin's Famous Pastry Shoppe|"

Scan Based Trading Data Analyst Intern


City



Chambersburg


State/Territory



Pennsylvania


Work Schedule

M-F





Job BriefJoin our team as a Scan Based Trading Data Analyst Intern for Summer of 2020!!
Come join our Team as a Scan Based Trading Data Analyst Intern for Summer of 2020! We started with pastries handmade by Lois and Lloyd Martin produced inside of a garage and we have boomed into a multi-facility company where our many products are produced by machines and shipped domestically and internationally. Talk about a rich history and exciting future! As an employer of choice we offer physical, emotional, financial and professional benefits including 401K, disability insurance and paid holidays.

As an intern for Martin’s, you would be assisting with all aspects of Scan Based Trading (SBT).

Essential Duties and Responsibilities:  (Other duties as assigned.)


Works with internal (i.e. sales, MIS, accounting teams) and external stakeholders to ensure smooth SBT rollouts.
Verifies that all Point of Sale (POS) and SBT credit was properly given.
Assists in identifying and resolving billing/pricing/shrink issues and resolve in a timely manner.
Routinely analyzes and identifies shrink and regularly reports variances at the product, store, route level
Analyzes historical sales SBT/POS data to look for inconsistencies and identify business risks
Utilizes strong analytical skills to communicate discrepancies and suggest ways to resolve issues
Identifies and recommends SBT improvements
Reports on a periodic basis shrink settlements including exceptions and issues
Compiles routine and ad hoc reports using various software tools
Assists with coordinating SBT/POS communication of information between departments.
Documents and maintains written instructions for all SBT processes
Assists billing, accounts receivable, internal controls team when needed

Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.

Education and/or Experience:

High School Diploma or GED;
Pursuing a degree in Accounting, Finance or related area helpful;

We are an Equal Opportunity EmployerApply Now: click  Apply Now"|data analyst intern|5|Northeast|Chambersburg| PA
American Association for Cancer Research|The Data Analyst works in the Membership and Professional Development Department on the member and data management and analytics teams. This position assists in managing member data, improving and assuring data accuracy, integrity and depth, and conducting systemic quality checks on system data and related systems. The Data Analyst provides membership data analytics to the Director of Membership and Professional Development, CEO, Board of Directors and other senior staff as needed and works closely with Membership Department teams and the IT Department to improve the quality and comprehensiveness amassed member data. This includes compiling, structuring, analyzing, interpreting, and reporting on all areas of membership in the association’s enterprise system. The Data Analyst provides accurate, and insightful data narratives to senior management, providing insights into the member experience, participation, and assisting in discovering andFulfilling their professional goals, using strong analytical skills, effective writing skills and solid narrative capabilities. The Data Analyst provides reporting support for the association’s enterprise system, which includes developing routine operational reports and dashboards for use by staff, and ad-hoc training on Salesforce reporting tools.•Design data modeling and analysis services to mine Salesforce and ancillary systems for member data, including member participation and accomplishment data.•Generate trending and statistical reports to be used in developing strategic campaigns and collaborative events for the association.•Review, develop and process member data query request, using Salesforce reporting, Power BI, Access, Excel and other tools.•Provide in-depth analysis on data from external sources that may impact association goals for member growth, member education, career growth and focus. •Use internal proprietary tools to analyze validity and accuracy of processed data and establish automated validation processes.•Support management by liaising with other association departments to assist in identifying and addressing business needs, providing information, and develop procedural documentation, including process flow charts.•Review, tests and report on conference and award system setups, dues and billing concerns, and seasonal special requests.•Perform other essential tasks and duties required of this position in order to support the Director of Membership as needed.•BA or BS Degree.•Advanced proficiency working with Power BI, Microsoft Access, (queries, VBA, programming, reports, dashboards, etc.)•Advanced proficiency working with Microsoft Excel, (VBA, pivot tables, formulas, Functions, etc.)•3-5 years of SQL experiences and a proven aptitude for analysis of data and creation of queries•Advance knowledge of Microsoft Office Suite (Word, Visio, PowerPoint)•Highly organized, with superior problem resolution and analytical skills•Knowledge of Salesforce a plus•Ability to articulate requests and describe analysis results in clear, professional language•Ability to prepare standard operation procedures (SOPS), timelines and workflows on acquired knowledge for tasks and processes•Excellent written and verbal communication skills•High level of accuracy in the performance of tasks and functions•Ability to meet deadlines, manage and follow-through on multiple tasks, and work well under pressure•The ability to adapt to change and balance competing demands•Ability to productively and effectively function while unsupervised, and as part of a team•Flexible and willing to work or be on call some evenings and weekends Equal Opportunity EmployerTo apply to this job, click  Apply Now|data analyst|5|Northeast|Philadelphia| PA
Seen by Indeed|"Seen by Indeed is a free service that connects qualified job-seekers (that's you) with top companies hiring tech roles.With one application you can be considered for thousands of tech roles from leading companies on Seen.

How Seen WorksWe find out what's important to you and match you with your dream job

Get started Complete a 5-minute application to be considered for roles at hundreds of leading companiesGet matched Companies apply to you with opportunities that reflect your role, location and salary specificationsGet career coaching Level up with free 1:1 coaching, our team will make sure you're ready to tackle any interviewGet your dream job

Skills and RequirementsWe look for top tech talent to join the Seen platform. Each candidate is reviewed on the following to make sure you're a good fit for our network

In Demand SkillsFrom strong communication skills to experience with the latest technologies, you have what employers are looking for

Stand Out QualitiesYou bring unique qualities and traits that stand out and make an impact

Change readyYou are ready for a career changes and will be responsive to employers who reach out with job opportunities

Get matched with top tech companies on Seen!"|data analyst|0|Northeast|Pittsburgh| PA
FORTIRA Inc|"Please email your updated resume if interested in a WORD format.

Position: Data Specialist

Duration: 12 + months on W2

Location: Swiftwater, PA 18370

Job Description:

Responsibilities

Review of all data sources: ensure standardization, clear defined processes, develop data integrity protocols for each data source (including shaping for Medicaid rebate program). Validation of methodology: documentation, updates to policy changes, oversee audits (Duplicate)

Development of data vault for locking down calculation data, methodology, results and submissions for each calculation

PMO for all MA compliance and control activities

Develop and implement training program on GP

Ensure objectives/priorities of contributors to GP have appropriate focus on GP

Management the review of all P&P/Documentation for GP/MA compliance documents including RACI

Defined MA compliance priorities and action plan

Define appropriate audits and conduct accordingly

Regards,"|junior data analyst|0|Northeast|Swiftwater| PA
Cerner|"Job Description

As a Senior Data Analyst you will analyze, prepare, and process data sets to be consumed for direct insights, statistical modeling or other analytical exploration for internal and external clients. You will consult on data and modelling impacts, guiding clients through interdependencies and analysis decision impacts as well as transform data as appropriate for specific team functions or processes.

You will assist consultants with data analysis to identify and quantify realized value and opportunities for clients. You will be responsible for obtaining and analyzing relevant data and synthesizing both quantitative and qualitative results. Various programming languages, statistical software, visualization tools, and client environments will be used. This requires the ability to learn independently and apply new skills quickly.
Qualifications
Basic Qualifications:Bachelor’s degree in Statistics, Finance, Economics, Computer Science, Health Care or related field, or equivalent relevant work experienceAt least 3 years of operational, clinical, financial or health care metrics work experience

Preferred Qualifications:At least 1 year of Health Care Information Technology (HCIT) project management, sales or consulting work experienceStrong experience with CCL development 
Start your job application: click  Apply Now"|senior data analyst|5|Northeast|Philadelphia| PA
Idelic||data analyst|0|Northeast|Pittsburgh| PA
