company|description|position|reviews|Region|City|State
Johnson & Wales University|"Summary

Performs data analysis, report writing and dashboard creation for various university areas and identifies data trends and opportunities for improvement

Essential Job Functions

Creates and maintains data reports universitywide based on various user requirements
Translates customer requirements for reporting and other data-related requests to design reports and data architecture
Reviews existing dashboards and reports and recommends improvements to presentation and query performance
Troubleshoots reporting issues and promptly implements and documents corrective actions
Develops and performs unit and system tests to verify reports and data systems have been accurately implemented and will meet user requirements
Trains end user groups on new and existing reporting solutions
Documents reporting systems and policies per department guidelines
Provides appropriate communications and status reports to management, team members and university areas
Performs other duties as assigned


Required Qualifications

Minimum of a bachelor’s degree
Moderate amount of experience working in reporting, data analytics or in other related work
Moderate amount of experience with Microsoft Access, Microsoft SQL Server and Oracle PL/SQL


Preferred Qualifications

Bachelor’s degree in information technology, computer science or a related field of study
Experience building reports in Tableau, Crystal Reports or Cognos

Johnson & Wales University is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, age, sexual orientation, gender identity or expression, genetic information, national origin, disability status, protected veteran status or any other basis prohibited by law."|data analyst|5|Northeast|Providence| RI
Reliable Software Resources|"Title: Data analyst

Location: Woonsocket, RI

skills required :

Excel manipulations,

segmentation/clustering/regression experience, etc

SQL experience required

Educational Qualifications:

Required - Bachelor s degree in Computer Science, Information Technology, Computer Engineering or closely related or equivalent Preferred - Master s degree in Management Information Systems (MIS), Computer Science, Big Data or Analytics or equivalent


Travel:

Open to travel based up on the nature of the engagement

Regards

Madhan Mohan

248-278-4235

Madhan.C@rsrit.com

Equal Employment Opportunity

Reliable Software Resources employment does not discriminate on the basis of race, religion, gender, sexual orientation, age or any other basis as covered by federal, state, or local law.

Employment decisions are based solely on qualifications, merit and business needs.- provided by Dice"|data analyst|0|Northeast|Woonsocket| RI
State of Rhode Island and Providence Plantations|"
Class DefinitionGENERAL STATEMENT OF DUTIES: To be responsible for developing and executing on analytical strategies to drive the exploration and deployment of analytical techniques, both cutting-edge and best-practice requirements and design, data cleaning, developing analysis and reporting capabilities, linking databases and datasets, and continuously monitoring performance and quality control plans to identify improvements in models; to plan, direct, supervise and review the work of professional technical subordinates engaged in conducting full lifecycle activities of data analytics; and to do related work as required.

SUPERVISION RECEIVED: Works under the administrative direction of a superior with wide latitude for the exercise of independent judgement and initiative in the utilization of professional standards and techniques; work is subject to review for conformance with prescribed state policies and procedures.

SUPERVISION EXERCISED: Plans, directs, supervises and reviews the work of professional technical personnel; reviews work in progress and upon completion for adequacy, propriety, technical sufficiency, and conformity with instructions.Illustrative Examples of Work PerformedTo be responsible for developing and executing on analytical strategies to drive the exploration and deployment of analytical techniques, both cutting-edge and best-practice requirements and design, data cleaning, developing analysis and reporting capabilities, linking databases and datasets, and continuously monitoring performance and quality control plans to identify improvements in models.

To plan, direct, supervise and review the work of professional technical subordinates engaged in conducting full lifecycle activities of data analytics.

To be responsible for managing the building and use of models to test and validate data.

To be responsible for ensuring data validation and quality control checks.

To be responsible for and perform data output and statistical analysis as necessary for full range of data analysis requirements.

To be responsible for working with and monitoring, reviewing and evaluating work projects for compliance to time frames, quality standards and budget costs.

To liaise with and maintain a positive and effective relationship with external clients.

To identify, initiate and deliver opportunities for data-driven insight for the development of data output methods, statistical models and data collection.

To identify and analyze primary and secondary research data.

To participate as part of project teams to meet objectives and targets using established internal processes.

To develop analysis tools and solutions, in collaboration with senior staff to maximize efficiency.

To maintain currency with research software, modeling, and statistical techniques and to be responsible for delivering training when new developments are implemented.

To prepare technical reports and recommendations.

To attend meetings and conferences as required.

To do related work as required.Required Qualifications for AppointmentKNOWLEDGES, SKILLS AND CAPACITIES: A thorough knowledge of data models, regression analysis, database design development, data mining and segmentation techniques; a thorough knowledge of sophisticated reporting packages, databases and programming; a thorough knowledge of statistical methodologies and techniques utilized for analyzing large datasets; a thorough knowledge of the principles, practices and techniques of administrative management including organization, planning, staffing, and reporting; a thorough knowledge of the principles, practices and techniques required in program planning, development and evaluation methods; the ability to collect, organize, analyze, and disseminate significant amounts of information with attention to detail and accuracy; the ability to conduct queries, draw conclusions, prepare written reports and present findings in a clear and concise manner; the ability to supervise and review the work of subordinate personnel; the ability to prepare and submit reports; the ability to establish and maintain effective working relationships with state and municipal officials, superiors, subordinates and the public; and related capacities and abilities.

EDUCATION AND EXPERIENCE:

Education: Such as may have been gained through: possession of a Master's Degree from a college of recognized standing in Mathematics, Economics, Computer Science, Information Management, Statistics, or a closely related field with similar technical and computational emphasis; and

Experience: Such as may have been gained through: significant employment in a professional capacity as a data analyst including experience in a leadership capacity in analytics.

Or,

Education: Such as may have been gained through: graduation from a four-year college of recognized standing with a Bachelor's Degree in Mathematics, Economics, Computer Science, Information Management, Statistics, or a closely related field with similar technical and computational emphasis; and Experience: Such as may have been gained through: extensive employment in a professional capacity as a data analyst including experience in a leadership capacity in analytics.
"|data analyst|0|Northeast|North Scituate| RI
State of Rhode Island and Providence Plantations|"
Class DefinitionGENERAL STATEMENT OF DUTIES: At a significant level of expertise, to undertake professional special and recurring assignments involving conducting full lifecycle activities of data analytics to include requirements and design, data cleaning, developing analysis and reporting capabilities, linking databases and datasets, and continuously monitoring performance and quality control plans to identify improvements in models; and to do related work as required.

SUPERVISION RECEIVED: Works under the general supervision of a superior with considerable latitude for the exercise of independent judgement and initiative. Work is subject to review for conformance with prescribed state policies and procedures.

SUPERVISION EXERCISED: May supervise less experienced personnel assigned to assist on a regular project basis or; ensures that work products are developed in a qualitative and timely manner.Illustrative Examples of Work PerformedAt a significant level of expertise, to undertake professional special and recurring assignments involving conducting full lifecycle activities of data analytics to include requirements and design, data cleaning, developing analysis and reporting capabilities, linking databases and datasets, and continuously monitoring performance and quality control plans to identify improvements in models. With a significant level of latitude and independence, to assure the integrity of project data, including data extraction, storage, manipulation, processing and analysis.

To provide a high level of expertise to query and interpret data, analyze results using statistical techniques, develop predictive models using administrative datasets and provide ongoing reports.

To develop and implement data collection systems and other strategies that optimize statistical efficiency and data quality.

To work closely with management to prioritize business and information needs.

To provide data visualization and presentation of analytical findings to program owners and other stakeholders.

To acquire data from primary or secondary data sources and maintain databases/data systems.

To identify, analyze, and interpret trends or patterns in complex datasets.

To link databases and datasets to generate integrated datasets.

To filter and ""clean"" data, and review computer reports, printouts, and performance indicators to locate and correct code problems.

To participate in ongoing decisions concerning data collections, study design, methodology, and data analysis.

To locate and define new process improvement opportunities.

To do related work as required.Required Qualifications for AppointmentKNOWLEDGES, SKILLS AND CAPACITIES: A thorough knowledge of data models, regression analysis, database design development, data mining and segmentation techniques; a thorough knowledge of sophisticated reporting packages, databases and programming; a thorough knowledge of statistical methodologies and techniques utilized for analyzing large datasets; the ability to collect, organize, analyze, and disseminate significant amounts of information with attention to detail and accuracy; the ability to conduct queries, draw conclusions, prepare written reports and present findings in a clear and concise manner; the ability to mentor and/or supervise less experienced analysts as required; the ability to establish and maintain effective working relationships with state and municipal officials, superiors, subordinates and the public; and related capacities and abilities.

EDUCATION AND EXPERIENCE:

Education: Such as may have been gained through: possession of a Master's Degree from a college of recognized standing in Mathematics, Economics, Computer Science, Information Management,Statistics, or a closely related field with similar technical and computational emphasis. Or,

Education: Such as may have been gained through: graduation from a four-year college of recognized standing with a Bachelor's Degree in Mathematics, Economics, Computer Science, Information Management, Statistics, or a closely related field with similar technical and computational emphasis; and

Experience: Such as may have been gained through: considerable employment in a professional capacity as a data analyst.Supplemental InformationThis position is responsible for evaluating, coordinating, analyzing, and presenting meaningful financial, utilization, outcome and program performance data for populations served by BHDDH. Under the Consent Decree findings and with Home and Community Based Services (HCBS) compliance, the State is committed to transforming its service system and providing integrated employment and day services for Rhode Islanders living with developmental disabilities. This position will be responsible for developing and maintaining eligibility and fiscal reports, program and legislative reports, and regulatory and compliance reports through data analysis. The position will provide direct support to the DD Director and the DD Finance Director to support the goals and intended outcomes of the DD Division and Department, particularly for the Consent Decree. As the DD Department moves to a new electronic case management system, this position will focus on coordinating proper data migration, validation, and technical training for providers. This position will work closely with other Department personnel including program, policy, fiscal and other analytical team members to derive planning metrics for program and budgeting for the DD population.

The position will function within the central Research, Data Evaluation and Compliance Unit. Responsibilities will include, but are not limited to:



Using multiple data systems to analyze and report on various topics related to outcomes, utilization, trends of the population served. How are the data displayed using a dashboard, power point, or formal report to a variety of audiences?
Providing ad hoc and customized analyses on standardized timelines. What outcomes and metrics best show the progress being made and areas for improvement?
Assisting with development of internal operational process benchmarks and goalsetting. What is the optimal timeline to ensure the State meets its responsibilities while ensuring high quality services?
Developing reports outlining fiscal and operational performance of programs, providers, and vendors. How can we ensure that coordinated efforts from providers and vendors are meeting performance goals?
Development of standardized financial reports for all DD program areas.
Providing technical assistance to internal staff on metrics, management reports, etc.
Liaising with external stakeholders on DD reporting.


We are seeking someone who is committed to serving the populations BHDDH supports and the primary goals of the organization: ensuring access to services, safety, and a high quality of care.

The ideal candidate will have the ability to adapt their perspective to include clients, data analysts, and external stakeholders. Demonstrated successful experience drawing insights from complex and imperfect data sets and applying tests of statistical significance.

Experience with Microsoft Access, SQL, STATA, ArcGIS.

Experience with data visualization tools (Power BI, Tableau, etc.).

Medicaid claims analysis experience preferred.
"|data analyst|5|Northeast|Providence| RI
Care New England|"Job DescriptionThe data analyst is responsible for working with large datasets and providing analyses and actionable insights for an Accountable Care Organization (ACO). In working with the Director of Operations, the Data Analyst will summarize and aggregate data from claims files, electronic medical records and other miscellaneous data sources. Through visualization of data and communication of findings the data analyst will be an invaluable resource to the success of the ACO Job Summary: The data analyst is responsible for working with large datasets and providing analyses and actionable insights for an Accountable Care Organization (ACO). In working with the Director of Operations, the Data Analyst will summarize and aggregate data from claims files, electronic medical records and other miscellaneous data sources. Through visualization of data and communication of findings the data analyst will be an invaluable resource to the success of the ACO Specifications:

Bachelors’ degree with 2-4 years in healthcare claims data and electronic medical records (Epic/Cerner) or equivalent combination of education and experience required. Experience in or interest to learn R, Python, SQL a plus. Strong expertise in spreadsheets. Knowledge of databases preferred. Requires the ability to multi-task and a strong attention to detail. Deadline conscious and results oriented. Understanding and familiarity of managed care organizations or accountable care organizations preferred. Excellent communication, presentation and interpersonal skills required. Must be fluent in the English language and have a valid driver’s license, current insurance and access to a vehicle.Company DescriptionCare New England Health System is a trusted organization that fuels the latest advances in medical research, attracts the nation’s top specialty-trained doctors, hones renowned services and innovative programs, and engages in the important discussions people need to have about their health and end-of-life wishes. Care New England is helping to transform the future of health care, providing a leading voice in the ongoing effort to ensure the health of the individuals and communities we serve.

Backed by a broad range of services—primary care, surgery, cardiovascular care, oncology, psychiatry, behavioral health, newborn pediatrics and the full spectrum of women’s health services—CNE is reinventing the way health care is delivered, partnering with our patients to provide the best care possible while working to create a community of healthier people.

Our Partners: Butler Hospital; Care New England Corporate; Care New England Medical Group; Integra ACO; Kent Hospital; The Providence Center; VNA of Care New England; Women & Infants Hospital"|data analyst|5|Northeast|Providence| RI
Collette|"The role of the Sales Data Analyst is to collect and analyze sales data across all selling channels and territories. Create standardized and customized reports to analyze sales data for existing business and identifying potential for new business. Analysis of the number and geographic size of existing territories to optimize growth potential.Work with Sales and Finance leadership to disseminate sales data and provide recommendations for sales strategy.

·Collect and analyze data to evaluate existing and potential clients, markets, products and business opportunities. Review past sales data to determine trends in productivity.

·In partnership with Marketing, research and evaluate economic, competitor, market, industry and customer growth trends and conditions. Prepare accurate reports using data from internal and external sources

·Evaluate annual sales goals, quotas and forecasts. Assist with calculating payments for sales team on achievement each quarter.

·Ensure CRM database is effectively updated and maintained with respect to territory and regional assignments and account crediting

·Work with Sales Leadership to recommend action plans to resolve sales issues, adjust selling strategies, promote certain products and streamline promotional activities.

·Attends all Outside Sales Meetings and completes assignments under the direction of the SVP Sales as needed.

Requirements

·Bachelors Degree in math, statistics, accounting, business analytics or similar.

·Knowledgeable on probability distribution, decision analysis and testing methods, as well as accounting and corporate finance.

·Experience with evaluation, forecasting, strategic planning, capital budgeting and risk management.

·Familiarity with high-performing sales organizations.

·Strong proficiency with spreadsheets, databases, reporting writing and presentation software

·Advanced problem-solving and analysis skills

·Superior oral and written communication skills

·High level of organization and detail-orientation

·Strong work ethic and willingness to take initiative

·Good attitude toward teamwork as well as the ability to work independently

·Demonstrated ability to multitask and prioritize

·Excellent time managementApply Now: click  Apply Now"|data analyst|5|Northeast|Pawtucket| RI
State of Rhode Island|"GENERAL STATEMENT OF DUTIES: At a significant level of expertise, to undertake professional special and recurring assignments involving conducting full lifecycle activities of data analytics to include requirements and design, data cleaning, developing analysis and reporting capabilities, linking databases and datasets, and continuously monitoring performance and quality control plans to identify improvements in models; and to do related work as required.

SUPERVISION RECEIVED: Works under the general supervision of a superior with considerable latitude for the exercise of independent judgement and initiative. Work is subject to review for conformance with prescribed state policies and procedures.

SUPERVISION EXERCISED: May supervise less experienced personnel assigned to assist on a regular project basis or; ensures that work products are developed in a qualitative and timely manner.At a significant level of expertise, to undertake professional special and recurring assignments involving conducting full lifecycle activities of data analytics to include requirements and design, data cleaning, developing analysis and reporting capabilities, linking databases and datasets, and continuously monitoring performance and quality control plans to identify improvements in models. With a significant level of latitude and independence, to assure the integrity of project data, including data extraction, storage, manipulation, processing and analysis.

To provide a high level of expertise to query and interpret data, analyze results using statistical techniques, develop predictive models using administrative datasets and provide ongoing reports.

To develop and implement data collection systems and other strategies that optimize statistical efficiency and data quality.

To work closely with management to prioritize business and information needs.

To provide data visualization and presentation of analytical findings to program owners and other stakeholders.

To acquire data from primary or secondary data sources and maintain databases/data systems.

To identify, analyze, and interpret trends or patterns in complex datasets.

To link databases and datasets to generate integrated datasets.

To filter and ""clean"" data, and review computer reports, printouts, and performance indicators to locate and correct code problems.

To participate in ongoing decisions concerning data collections, study design, methodology, and data analysis.

To locate and define new process improvement opportunities.

To do related work as required.KNOWLEDGES, SKILLS AND CAPACITIES: A thorough knowledge of data models, regression analysis, database design development, data mining and segmentation techniques; a thorough knowledge of sophisticated reporting packages, databases and programming; a thorough knowledge of statistical methodologies and techniques utilized for analyzing large datasets; the ability to collect, organize, analyze, and disseminate significant amounts of information with attention to detail and accuracy; the ability to conduct queries, draw conclusions, prepare written reports and present findings in a clear and concise manner; the ability to mentor and/or supervise less experienced analysts as required; the ability to establish and maintain effective working relationships with state and municipal officials, superiors, subordinates and the public; and related capacities and abilities.

EDUCATION AND EXPERIENCE:

Education: Such as may have been gained through: possession of a Master's Degree from a college of recognized standing in Mathematics, Economics, Computer Science, Information Management,Statistics, or a closely related field with similar technical and computational emphasis. Or,

Education: Such as may have been gained through: graduation from a four-year college of recognized standing with a Bachelor's Degree in Mathematics, Economics, Computer Science, Information Management, Statistics, or a closely related field with similar technical and computational emphasis; and

Experience: Such as may have been gained through: considerable employment in a professional capacity as a data analyst.This position is responsible for evaluating, coordinating, analyzing, and presenting meaningful financial, utilization, outcome and program performance data for populations served by BHDDH. Under the Consent Decree findings and with Home and Community Based Services (HCBS) compliance, the State is committed to transforming its service system and providing integrated employment and day services for Rhode Islanders living with developmental disabilities. This position will be responsible for developing and maintaining eligibility and fiscal reports, program and legislative reports, and regulatory and compliance reports through data analysis. The position will provide direct support to the DD Director and the DD Finance Director to support the goals and intended outcomes of the DD Division and Department, particularly for the Consent Decree. As the DD Department moves to a new electronic case management system, this position will focus on coordinating proper data migration, validation, and technical training for providers. This position will work closely with other Department personnel including program, policy, fiscal and other analytical team members to derive planning metrics for program and budgeting for the DD population.

The position will function within the central Research, Data Evaluation and Compliance Unit. Responsibilities will include, but are not limited to:



Using multiple data systems to analyze and report on various topics related to outcomes, utilization, trends of the population served. How are the data displayed using a dashboard, power point, or formal report to a variety of audiences?
Providing ad hoc and customized analyses on standardized timelines. What outcomes and metrics best show the progress being made and areas for improvement?
Assisting with development of internal operational process benchmarks and goalsetting. What is the optimal timeline to ensure the State meets its responsibilities while ensuring high quality services?
Developing reports outlining fiscal and operational performance of programs, providers, and vendors. How can we ensure that coordinated efforts from providers and vendors are meeting performance goals?
Development of standardized financial reports for all DD program areas.
Providing technical assistance to internal staff on metrics, management reports, etc.
Liaising with external stakeholders on DD reporting.


We are seeking someone who is committed to serving the populations BHDDH supports and the primary goals of the organization: ensuring access to services, safety, and a high quality of care.

The ideal candidate will have the ability to adapt their perspective to include clients, data analysts, and external stakeholders. Demonstrated successful experience drawing insights from complex and imperfect data sets and applying tests of statistical significance.

Experience with Microsoft Access, SQL, STATA, ArcGIS.

Experience with data visualization tools (Power BI, Tableau, etc.).

Medicaid claims analysis experience preferred.SDL2017"|data analyst|0|Northeast|Cranston| RI
Lifespan|"Summary:

Reports to the Manager Purchasing Operations. Responsible for converting Supply Chain Data into information relevant to Management and for maintaining Supply Chain Systems and increasing automated transactions with suppliers. Develops and maintains effective working relationships with system users and provides ongoing support to them while maintaining internal reports against key performance indicators.

The Data Analyst-Supply Chain is expected to embrace Lifespans mission of Delivering health with care and successfully role model Lifespans values of Compassion Accountability Respect and Excellence as these guide our everyday actions with patients customers and one another.

Responsibilities:

Responsible to collect analyze and summarize data and convert them into relevant information to management. Provides Supply Chain systems support to end users across Lifespan. Responsible to maintain item master tables to resolve and decrease the number of inaccuracies between Purchase Orders and Invoices to increase automated transactions with suppliers and to provide recommendations for system changes that will facilitate interaction between end users and Supply Chain Systems.

Works with end users management and leadership team to ensure availability and optimal velocity of items.

Works with IS and other departments to support enhancement of Supply Chain systems in order to transmit item information to other systems and enable product utilization and tracking.

Supports problem resolution with accounts payable relating to Supply Chain orders.

Effectively and continually communicates with staff management internal customers and vendors to facilitate the flow of information. Provides timely and accurate communication both written and verbal as appropriate regarding fulfillment of Purchase Orders supplier performance on automated transactions inaccuracies between Purchase Orders and invoices according to Department goals and objectives.

Participates in continuous quality improvement activities and total quality management initiatives. Participates in committees task forces and performance improvements teams as assigned.

Monitors and propose corrective action for all Supply Chain systems to minimize end-user errors.

Other information:

BASIC KNOWLEDGE:

Equivalent to Associates Degree in computer science or related field. Combination of experience in information management or systems applications operations may substitute for a degree.

EXPERIENCE:

Must have strong computer skills prior use with excel is preferred

General understanding of Supply Chain Operations.

Strong communication and reporting skills. Interpersonal skills to effectively orient and train users regarding systems related information requirements and service needs.

Project management skills including facilitation prioritization and resource management.

WORK ENVIRONMENT AND PHYSICAL REQUIREMENTS:

Normal office environment with some walking to other areas to investigate and resolve problems and provide system training and the like. May experience some visual fatigue associated with extended periods of time at a computer terminal.

Lifespan is an Equal Opportunity / Affirmative Action employer. All qualified applicants will receive consideration for employment without regard to race color religion sex national origin age ethnicity sexual orientation ancestry genetics gender identity or expression disability protected veteran or marital status. Lifespan is a VEVRAA Federal Contractor.

Location: Rhode Island Hospital USA:RI:Providence

Work Type: Full Time

Shift: Shift 1

Union: Non-Union"|data analyst|3|Northeast|Providence| RI
United Natural Foods|"Job Overview: 
Individual will develop and support Master

Data Management capabilities within a given data domain(s). They will assist

Business Data Stewards in their responsibilities as well as be the point of

contact for technical support, new development, and troubleshooting of MDM application

questions, configuration options, troubleshooting, updating tickets, closing

out issues, etc. Individual will also support other data related projects and

work efforts as required.

Job Responsibilities and Accountabilities: 

Collaborate with Business Data

 Stewards to understand date, its functional purpose, and support business

 data needsProvide First and Second Level

 production support for all supported applicationsProvide systems analysis, design,

 specifications and development for all supported applicationsLiaison for applications supported

 with Software vendorsWork with outside resources brought in

 to work on capital projects and service requestsParticipate in training for future

 development and expertiseDocument metadata as requiredClose cooperation with peers within IT

 to ensure fully integrated and non-duplicative information processing and

 deliveryTraining support for Quality

 Assurance, User Acceptance and Help Desk as neededPerforms other job

 duties as required

Job Requirements:


Education/Certification: 

Bachelor’s

Degree preferred or a combination of related education and experience

Experience Required: 

3-7

years progressive related IT experience


Required Knowledge: 

Master Data general

knowledgeData Modeling basic

knowledgeUnderstanding of data

creation & maintenance processes


Skills/Abilities: 

Strong

communication skillsAbility

to work independently with minimal supervisionAble

to work with business users in a customer-liaison type role TIBCO

EBX or other related MDM applications knowledge preferred Adaptive

Metadata Manager or other related metadata applications knowledge preferredBuild

SQL queries to support basic aspects of data analysis, profiling, and

validation Microsoft

SQL 2005/SQL 2008, or related tool

All

qualified applicants will receive consideration for employment without regard

to race, color, religion, sex, sexual orientation, gender identity, national

origin, disability, protected veteran status. UNFI is an EO employer –

M/F/Veteran/Disability. VEVRAA Federal Contractor.

"|data analyst|5|Northeast|Providence| RI
Wittij Consulting|"Are you ready for your next challenge?

Who you you? You are a smart, motivated business systems analyst who excels at the intersection of business and technology, synthesizing a sea of information (or sometimes a desert!) into clear requirements for colleagues in business and IT roles. You understand data and data management. You become a center of competency on any project you join and your colleagues find your organization skills awe inspiring. You coordinate conversations, document and diagram clarity, and drive progress.

Who are we? Wittij Consulting is a highly respected IT professional services company looking to add some more smart people to our team. We don't do any software development or infrastructure operations. What we do is provide expert services to our clients, from small regionals to Fortune 500, in support of two fundamental technology questions:

1. What should they do? (Enterprise Architecture and Planning)



How should they do it? (Solution Delivery).

Our mission is to help our clients get maximum value out of their technology investments.

With us, you would flex and grow your skills on diverse projects and clients working alongside like minded ""multi-faceted"" business systems analysts and IT architects.

Role will be a mix of remote and on site work. Some travel may be required. You must be authorized to work in the US and willing to undergo a background check in accordance with local laws and regulations.

Specific experience

In addition to traditional business requirements work, this role requires experience:
documenting data structures and dictionaries as well as mapping data between systems
producing data analytics and reporting

- defining data models is a plus

- testing and managing data quality is a plus.

The compensation for this role ranges (based on experience) from $60K - $110K, plus top notch benefits."|data analyst|0|Northeast|Smithfield| RI
