company|description|position|reviews|Region|City|State
Neustar|"Neustar is an information services and technology company and a leader in identity resolution providing the data and technology that enables trusted connections between companies and people at the moments that matter most. More information is available at https://www.home.neustar.

Job Requisition:R-2862 Associate Data Analyst (Open)Primary Location:OREMJob Description:

Associate Data Analyst

This position is dedicated to measuring, tracking, and reporting key performance indicators and overall quality of our core business data assets. Working with engineering the data analyst will research and resolve quality issues. The analyst will test and evaluate existing and potential data sources measuring their strengths and weaknesses.Responsibilities & Key Tasks:Measure, track, and report key performance indicators and quality metrics of large data sets using Hadoop and MySQL databases

Using Tableau, Excel, and other reporting tools effectively communicate to stakeholders the strengths, weaknesses, KPIs, and other quality metrics of data sets.

Find and resolve data issues, ensuring timely short term solutions and long term preventative solutions

Build and improve on existing processes to ensure data and data quality are managed properly

Use regular expressions to identify and map data attributes

Test and evaluate existing and new sources of data

Skills & Qualifications

Self-motivated and willing to take ownership

Capable of working independently on multiple projects to meet strict deadlines

Creative problem solving and research skills with an ability to recognize patterns in data

Excellent written and verbal communication skills

Experience with Microsoft Excel, Regular Expressions, Hadoop, Hive, MySQL, Python, R, Tableau, and analytical reporting preferred but not required. Onsite training will be provided.

Education

0-2 years related experience preferred

College degree, preferably in business, economics, math or a related analytical field

Neustar does not accept unsolicited resumes from external firms or agencies. Neustar will not be responsible for placement fees associated with unsolicited resumes.

DIVERSITY

Diversity, inclusion and teamwork are second nature to Neustar; and these values permeate our entire business structure. Neustar is committed to creating an environment where a wide spectrum of opinions and beliefs are actively sought, listened to and respected. Further, our talented workforce draws from the many geographic areas and markets in which Neustar operates worldwide, which represents a distinct competitive advantage. The rich and varied personal and professional backgrounds of our employees make Neustar a dynamic and rewarding company at which to build a career. We invite you to join us.

EOE of Minorities/Females/Vets/Disability

Neustar, Inc. considers all applicants for employment without regard to race, color, religion, sex, national origin, age, disability, sexual orientation, or status as a Vietnam-era or special disabled veteran in accordance with federal law and other state and local requirements. Neustar, Inc., complies with applicable state and local laws prohibiting discrimination in employment and provides reasonable accommodation to qualified individuals with disabilities in accordance with the American with Disabilities Act (ADA) and applicable state and local laws.Start your job application: click  Apply Now"|associate data analyst|3|West|Orem| UT
HireVue|"A Data Science Analyst holds a crucial role that requires interaction with our customers, Industrial-Organizational (IO) Psychologists, and Senior Data Scientists. This work is focused on building models to predict job performance and related competencies from video interviews and gameplay behavior. You will be responsible for preparing and processing customer data and ensuring that models work, are properly validated, and free of bias. Additionally, you should be an effective communicator capable of independently driving a project to completion and collaborating with other team members to ensure work is done correctly and quickly.

Our team members are passionate, professional, and endlessly curious. We value individuals who love discussing interesting ideas and working to find unique solutions. We support one another and value humility. We are self-starters who are comfortable with ambiguity in a fast-paced and ever-changing environment - able to think big while paying careful attention to detail.

What You’ll Do

Prepare data for analysis Conduct validity studies and mitigate bias using our systems and tools Collaborate with our cross-functional team on improving our tools, methods and techniques Combine knowledge of statistical tools and machine learning with programming skills to support complex analyses Communicate outcomes to internal and external stakeholders

Requirements

Bachelor’s degree in Computer Science, Mathematics, Statistics, Engineering, or related technical field 2+ years of years of relevant professional work experience in analytics, data science, data engineering, business intelligence, or related field Experience processing and analyzing data Experience with statistical modeling, machine learning, and analyzing large data sets Python experience for data science problems (pandas, sklearn) Experience identifying and communicating analytical outcomes in person and in writing to both business and technical teams

Bonus Points For

Graduate degree in Computer Science, Mathematics, Statistics, Economics, or other quantitative field Demonstrated ability to coordinate projects across functional teams, including engineering, marketing, finance, and operations Experience using SQL, ETL and databases

Benefits

Flexible Paid Time Off | 401K - 5% Matching | Medical, Dental, Vision | 12 Weeks Maternity & Adoption |

ABOUT HIREVUE

HireVue is transforming the way companies discover, hire, and develop the best talent through Hiring Intelligence and its HireVue Video Interviewing platform. Our more than 700 customers worldwide include over one-third of the Fortune 100 and leading brands such as Unilever, Hilton, JP Morgan Chase, Delta Air Lines, Vodafone, Carnival Cruise Line, and Goldman Sachs. For more information, visit www.hirevue.com.

HireVue is committed to equal treatment and opportunity in all aspects of recruitment, selection, and employment without regard to gender, race, religion, national origin, ethnicity, disability, gender identity/expression, sexual orientation, veteran or military status, or any other category protected under the law. HireVue is an equal opportunity employer; committed to a community of inclusion, and an environment free from discrimination, harassment, and retaliation."|data analyst|5|West|South Jordan| UT
Arena||data analyst|0|West|Salt Lake City| UT
Hexcel||data analyst intern|5|West|Salt Lake City| UT
Thumbtack|"Have you ever tried to hire a plumber? How about a house cleaner? If you have, chances are it took you way longer than it should. In the era of instant-everything, it's crazy that you still have to waste an entire afternoon researching, calling and vetting local service professionals whenever you need one. The market for hiring them is huge — $1 trillion in the US alone — but the process is inefficient and largely offline.

Thumbtack is transforming this experience end-to-end, building a marketplace that matches millions of people with local pros for almost any project. In making these connections, not only do our customers get more done every day, our pros are able to grow their businesses and make a living doing what they're great at.

These customers and pros come from all walks of life and every zip code in the country. We want our team to reflect that. If you come from an underrepresented background in tech, we strongly encourage you to apply. We challenge ourselves every day to make this a place where you can thrive just the way you are, so we can build a product that does the same for our customers and pros.About the Operations Analytics TeamThumbtack's Ops Analytics team is a tight-knit group charged with providing actionable insights for Thumbtack's Go-to-Market and Operations teams. We collaborate with various groups across the company on a wide variety of projects; everything from click-level data from our online HelpCenter, to call-level data from our inbound support and outbound sales/success teams, to search- and conversation-level data between pros and customers from our product database.About the RoleAs a Senior Data Analyst, you'll empower the various operations teams in Thumbtack's Salt Lake City office to use data to guide business decisions. Sr. Data Analysts also collaborate with the Analytics, Engineering and Product teams in San Francisco on broader efforts where product and operations overlap, such as launching a new feature, determining customer/pro segments, crafting marketing outreach campaigns, and providing data-driven feedback to streamline existing features. You'll be expected to quickly build technical and content expertise about our platform, as well as the touch-points through which the operations teams interact with our pros and customers.Responsibilities

Partner with leaders of Thumbtack's Go-to-Market and Operations teams (i.e., Sales, Pro Success, Pro Engagement, Inbound Support and Trust & Safety) to conduct in-depth quantitative analyses that guide strategic decisions
Make recommendations based on detailed analysis and a deep understanding of our business
Build and maintain reports, models, and visualizations which provide insight into users' experiences and business performance
Maintain SQL queries and scripts that underpin Thumbtack's ETL data pipeline
Identify key drivers of core business outcomes through regression analyses and other statistical techniques
Contribute to our team and company data culture through peer collaboration, training, coaching and more

Must-Have QualificationsIf you don't think you meet all of the criteria below but still are interested in the job, please apply. Nobody checks every box, and we're looking for someone excited to join the team.

BA/BS degree, preferably in Economics, Statistics, Math, or Computer Science
Proficiency using SQL to query large datasets
Sharp business judgment and the ability to see past the noise
Strong communicator with the ability to explain technical results to a non-technical (and data savvy) audience
Experience with building dashboards in Tableau and Tableau Server
Passion for solving problems and driving business impact
Ability to detect and debug anomalies in complex data processes
4+ years experience working in quantitative or analytical role, preferably in technology, consulting, or operations
Curiosity to learn new skills and apply them in novel ways to solve challenging problems

Nice-to-Have Qualifications

Advanced degree (MA, Phd, MBA, etc) with an emphasis in data analytics
Proficiency with statistics/programming languages (e.g., R, Python)
Experience building predictive/machine learning models on large datasets -- from ideation to implementation
Familiarity working with product managers to vet new features and bring them to production

Thumbtack is a local services marketplace – one of the largest in the U.S. – that helps millions of people hire local professionals. With hundreds of unique service categories, customers can find a Thumbtack pro for almost anything: landscapers, DJs, personal trainers, even piano teachers. And in making these connections, we empower local pros too. Helping them get new customers and make a living doing what they're great at.

Founded in 2008 and headquartered in San Francisco, Thumbtack is backed by over $420 million in investment from Sequoia Capital, CapitalG, Tiger Global Management, Javelin Investment Partners and Baillie Gifford.


See what it's like to work here
Meet the pros who inspire us
Follow us on LinkedIn  

Thumbtack embraces diversity. We are proud to be an equal opportunity workplace and do not discriminate on the basis of sex, race, color, age, sexual orientation, gender identity, religion, national origin, citizenship, marital status, veteran status, or disability status. Pursuant to the San Francisco Fair Chance Ordinance, we will consider for employment qualified applicants with arrest and conviction records.

#LI-LR1Start your job application: click  Easy Apply"|senior data analyst|5|West|Salt Lake City| UT
CHG Healthcare|"Healthcare’s helping hand.
CHG shook things up in 1979 by inventing the locum tenens staffing model. We connect doctors with patients who need their care. As the largest physician staffing firm in America, our providers treat millions of patients each year. 
Our industry is growing and demand is high. This means you’ll have plenty of opportunities to grow and develop in your career. Keeping healthcare healthy can be as fun as it is rewarding.

The Business Systems Analyst works to fill in the gaps within a product team to ensure systems and processes meet the needs of our internal and external clients. They will work with users and stakeholders throughout the company to understand and document the business needs and requirements. They are responsible for being highly collaborative in an agile environment. They will be involved in defining high level scope and requirements, system and data analysis, as well as bug resolution and maintenance tasks. This position requires a strong aptitude for problem solving, resourcefulness, communication, collaboration, and risk assessment.
Your role:

Motivated, highly productive individual who is business oriented and can build relationships, as well as articulate concepts and process to solve business problems.
Identify, analyze, gather, and translate business needs into requirements and acceptance criteria.
Knowledge of database design and development concepts.
Experience analyzing systems and data to find trends and identify user behaviors.
Experience analyzing data and creating metrics to validate project success.
Use data mining techniques for data analysis and issue resolution.
Strong SQL experience.
Use diplomacy and negotiation skills to gain consensus and approval on requirements.
Ability to remain focused and objective while directing a group with contrasting ideas/needs towards a common solution.
Work closely with business users and management to determine organizational needs, systems and operations requirements, customer rollout requirements, legal/compliance implications, etc.
Interview all levels of users to determine reporting needs for various types of data including sales, performance, trend, demand etc.
Document and maintain requirements and communicate them to scrum team.
Consult with business to assist in their understanding and identification of opportunities to use technology to improve their business processes.
Work with multiple business areas to design process and information flows within and across functional areas.
Provide support to the product manager and product owner, helping them analyze the business domain to keep a well-defined product backlog.
Assist in clarifying and controlling scope across business processes and functional areas. 
Facilitate effective meetings and communicate with users, management and scrum team.
Research and suggest potential solutions that may further business goals.
Assist in facilitating change management when rolling out new or enhanced products.
Use data mining techniques for data analysis and issue resolution.

Your qualifications:

Analytical skills, including an understanding of how to interpret customer needs to translate them into user stories.
Ability to be a positive influence and be solution oriented in a challenging environment.
Ability to work in a team environment and bring together conflicting viewpoints to craft an appropriate solution.
Strong verbal and written communication skills that explain and clarifies information to technical and non-technical audiences.
Negotiation and consensus-building skills.
Experience analyzing systems to identify trends, behaviors and risks.
Interpersonal skills, including the ability to build positive relationships and effectively interact with all levels of the organization in a professional manner.
Exceptional follow through and initiative. 
Ability to proactively find areas for improvement and collaborate on solutions.
Experience working effectively on multiple projects, in a dynamic, change-oriented environment.
Experience presenting ideas and information in group setting.

Preferred:

Experience in user interface prototyping techniques and tools.
Experience in software design from a user experience perspective.
Experience in creating and executing detailed test plans/cases.
Experience with SQL.

Education & Years of Experience:

2+ years’ experience as BSA, BA, SA, QA, or the like.
Salesforce experience

In return, we offer:

Competitive pay
Healthcare coverage with corporate wellness program
Free on-site health center and health coaching for employees and dependents
401(k) company match
Tuition reimbursement 
14 days of PTO your first year and paid holidays
Hall of fame development programs as recognized by Training Magazine
On-site cafeteria and game room

Click here to learn more about our company and culture.
How to Get Started
To have your resume reviewed by Talent Acquisition, click “Apply” at the top of the screen. 
 
We are an Affirmative Action/Equal Opportunity Employer
Veterans/Disabled
We are an at-will employerApply Now: click  Apply Now"|business data analyst|5|West|Midvale| UT
Central Utah Medical Clinic|"At Revere Health, we value the health of our patients above all else. As the largest independent multi-specialty physician group in Utah, our healthcare system gives patients the best in communication, quality, coordination and innovation. Founded in 1960 in Provo, Utah, Revere Health has grown to include 29 medical specialties in over 100 locations throughout Utah, Arizona and Nevada.

As one of two Accountable Care Organizations accredited by Medicare in Utah, Revere Health offers a unique, patient-oriented approach to healthcare. We strive to keep medical costs at a minimum while providing the utmost in quality healthcare.

Purpose:

Data analyst will provide reporting tools for ongoing evaluation of the clinic’s operational processes, financial and patient health outcomes. This role requires the ability to effectively communicate ideas, findings and process improvements with internal and external customers such as physicians, administrators, and data requestors.

Responsiblities:


Recognize business trends to improve outcomes by understanding, reviewing and summarizing available data.
Produce, modify and test various complex SQL queries for data analysis and data questions.
Collaborate with internal customers to design, create, test and implement analytic tools using SSRS.
Develop SSIS Packages to present the data necessary to meet business requirements.
Acts as a technical analyst to identify and understand source data systems.
Maps source system data into data warehouse models.
Ability to validate integrity of data
Completely and clearly document all analytical methodologies
Train users on reporting systems tools and how to create new and use existing reports
Other duties as assigned

Required Skills and Experience:


3+ years work experience in SQL, SSIS, SSRS, SSAS and data analysis
Self-starter with strong work ethic and proven ability of oral and written communication skills
Demonstrated analytical abilities to aid in problem solving, decision making, with ability to manage multiple priorities on tight deadlines
Healthcare experience preferred


"|data analyst|5|West|Provo| UT
MX|"Company DescriptionMX is on a mission to improve the financial lives of individuals everywhere. We believe each of us has a moral imperative to use our time and talents to change the world for the better. For this reason, we are creating innovative software and partnering with financial institutions and digital banking providers to bring financial freedom to the lives of individuals, families, and communities. We are a financially strong company with plenty of financing and are cash-flow positive.Job DescriptionAre you looking for a challenging career in a fast-paced environment? If so, we have an immediate need of an experienced Data Analyst who will be responsible for the design, development, and support of data processes for MX clients. A successful candidate will continuously work to solve critical business problems and act as a SME to implement change management and drive alignment, efficiencies and optimization internally and with our clients.

What you will do:

Profile internal and client data to identify relationships, business rules, transformation logic, and data quality criteriaAnalyze internal and client data to identify insights and opportunities from the data that MX clients can use to solve critical problems in marketing, product management, risk management, and operations.Develop and maintain ETL and database processes to support internal and client-facing reporting needs.Design and maintain internal and client-facing data visualizations and dashboards using tools like Domo, Tableau, and Excel

How you will do it:

Develop a solid understanding of MX’s internal data flows, databases, and tools used to manage large volumes of client dataPartner with MX teammates to design and develop data solutions that improve our ability to serve our clients and sell additional MX productsPartner with client teams to understand their data and most critical challenges to using MX data.Integrate internal MX data with local client data to develop solutions for marketing, risk management, and operationsPartner with MX product and engineering teams to develop automated data/analytic solutions that MX clients can use to improve the customer experience, increase market share and profitability, reduce risk, and improve operational performance.Develop training and orientation materials to educate end-users on reporting and data visualizations

What you will need to be successful:

Excellent communication skills and documentation skillsDeep experience using SQL, Python, and other tools to profile large sets of disparate dataExpertise to develop business rules, transformation logic, and data mappings to load client data into internal MX databases and processesExpertise designing database structures and automated jobs to load and manage large volumes of data on a daily/weekly/monthly basisExpert knowledge and experience with data warehousing and data marts in a banking environment.Experience with a variety of data visualization and analysis tools such as Domo, Qlik, or Tableau

Why you will thrive at MX:

You will think like an owner (having a “founder’s mindset”)You will collaborate well with members of the Sales/Partnerships, Marketing and Operations teamYou will bring your passion every dayYou will be resourceful and creativeYou will communicate with honesty, candor, and respect

Why you will love it:

You will have the opportunity to work in a successful, fast moving, mission-driven companyThis is an incredibly impactful role in the organizationYou will have autonomy and growth opportunitiesYou will collaborate with other creative and enthusiastic team membersYou will be rewarded and recognized for your high-caliber workMX has also offers competitive benefits and many perks including free meals and unlimited PTO

Qualifications

Additional InformationMX is an equal opportunity employer. We particularly welcome applications from veterans and military spouses. All your information will be kept confidential according to EEO guidelines."""|data analyst|4|West|Lehi| UT
jane.com|"
Ranked on the Inc. 5000 Fastest Growing companies in the US, Jane is more than just a workplace; it’s a lifestyle. Ranked #11 on UV50’s Fastest Growing Companies and a recipient of Best Workplaces’ Great Place to Work Award, Jane is an innovative tech company that’s taking the retail world by storm. We’re a boutique marketplace featuring the latest in women’s fashion trends, home decor, and children’s clothing at prices that are too good to pass up. We work hard at creating a culture that is fun and contagious while remembering to maintain a healthy work-life balance. We take pride in our sellers and work hard to create an unparalleled selling experience for them. At Jane, we not only work hard at our jobs, but also to maintain a culture of authenticity and collaboration. Join us and enjoy #thejanelife to its fullest.

About the Role
If you love analyzing data and want to make an impact on our marketing team, this role is for you. The Marketing Data Analyst role will leverage exceptional critical thinking abilities alongside a passion for data and analytics to make an impact on marketing through customer acquisition and retention at Jane. The ideal candidate will be a self-driven thought leader among an incredible team of analysts, data scientists, and marketing channel managers.

To be successful in this role, you’ll need to develop a master knowledge of our Jane customer view of the world, continually identify opportunities in our acquisition and retention strategy, and to be effective in building, pitching, and obtaining alignment on new iterations of this strategy that can be executed on and monitored for impact.

You’ll be responsible for:
Evolving assumptions, factors and analyses across our website and app that help determine the allocation of our marketing spend
Driving the continued enhancement of our channel-level strategy by identifying opportunities and aiding in execution and monitoring of that strategy
Collaborating with analytics team, data scientists, and the creative and marketing teams to advance our understanding and optimization of acquisition and retention
Using quantitative data gathered from customer database and web analytics tools to develop an understanding of customer behavior (past, present, and future) to make strategic recommendations and predictions
Applying statistics-based market intelligence to business issues and formulate recommendations and predictions
Pursuing opportunities to enhance data collection to provide clear visibility into the past, present, and future behavior of our customers - including obtaining cross-functional alignment on value added and managing execution or implementation

What you’ll bring:
Comfortable working in an unstructured environment, taking ownership for results and self-directing your efforts to the subject areas and questions which have the greatest potential impact on the business
Proven track record of or strong desire to be personally accountable for the analysis that could drive growth at Jane.
Ability to move fast, decide which issues need to be prioritized on any given day, and obsession with doing your part to drive the business forward
Bachelor's degree in Mathematics, Statistics, Computer Science, Engineering, Economics, Information Systems, or Marketing (with an analytic focus) or other quantitative fields with relevant business experience also considered
Excellent interpersonal, communication, and problem solving skills
Experience with analyzing large data sets, data modeling, data mining, and predictive analysis
Advanced experience with relational databases and SQL 
Experience in E-Commerce Performance Marketing preferred
Experience with Lookr, Google Analytics, Segment, Facebook Insights and email platforms

Tools You’ll Use
Looker for dashboards and reporting
Redshift, Athena, and BigQuery for querying data
Google Analytics 360 for website analysis
MS SQL and PostgreSQL
Segment, Iterable, SparkPost, Facebook Insights, Kochava, and ShareASale

Jane's Values
Lead with empathy
Pull together
Just say it
Make it count
Make your mark

Team Values
Passion for analysis and testing
Continuous learning, improvement, and delivery 
Caring about and encouraging others 
Collaborative cross-functional teams
Continually delivering high quality work that provides value to Jane and Jane customers
"|data analyst|5|West|Lehi| UT
CHG Healthcare|"Healthcare’s helping hand.
CHG shook things up in 1979 by inventing the locum tenens staffing model. We connect doctors with patients who need their care. As the largest physician staffing firm in America, our providers treat millions of patients each year. 
Our industry is growing and demand is high. This means you’ll have plenty of opportunities to grow and develop in your career. Keeping healthcare healthy can be as fun as it is rewarding.
 

Marketing Analytics Analyst will lead the execution of strategic marketing analytics initiatives, from idea to successful implementation. They will leverage a variety of analytics and marketing performance sources, and champion the design, development and implementation of an end-to-end performance measurement process across Marketing. Partner with functional teams (Digital, Strategy, Channels, Campaign) to measure and analyze the scale and effectiveness of marketing contributions. 
 
The ideal candidate will have a blend of marketing and analytic ability. S/he must be able to process and interpret vast amounts of data and compile the data into insightful reports that support the organizational needs. S/he will monitor, report and project the performance of our marketing efforts and inform on trends and variances against expectations. This individual should be a driven, self-starter capable of identifying business needs and suggesting solutions and improvements.
 
This role is also responsible for leading the translation/simplification of complex data into impactful business actions. This role will work with executive and management teams to directly influence business development, customer relationship management and marketing programs. In addition, they will directly influence the tools, techniques and internal processes that are utilized to advance the internal analytic capabilities.
Your role:

Build a program to measure and monitor customer acquisition cost, lifetime value and ROI.
Develop expertise in conversion funnel and metrics used to measure success and opportunities.
Analyze channel spend and effectiveness to support investment decisions.
Communicate marketing analytics insights through compelling storytelling to drive action and decision-making.
Leverage analytical proficiency to contribute to marketing performance reporting and analysis at an aggregate and campaign level.
Act as a champion for a data-driven culture, evangelizing best practices with internal stakeholders across functional areas.
Ability to measure the impact of marketing as a whole or drill into specific campaign successes. 
Work closely with the sales, finance and marketing teams, particularly leadership, to ensure the best use of budget and deliver an effective marketing analytics strategy to meet the business objectives. 

Your qualifications:

Strong project manager with experience working with cross functional teams to deliver results
Solid understanding of digital marketing and can manage and report on marketing campaign tracking, including sources across multiple channels 
Strong analytical skills and data-driven thinking; up to date with the latest trends and best practices in online & offline marketing and measurement.
Experience using Salesforce, Tableau and MS Office
Strong verbal and written communication skills with the ability to communicate methods and results to a non-technical audience
Proven track record to prioritize day-to-day and long-term strategic projects
Strong ability to influence, collaborate and partner with teams and leaders across the organization
Lead marketing attribution modeling/ROI measurement
Analyze existing marketing programs for performance, profitability and revenue opportunity, and recommend improvements.

Education & Years of Experience:

6+ years of marketing, analytics, or statistics experience
5+ years related experience in B2B marketing and/or Sales, Marketing or Financial analysis

In return, we offer:

Competitive pay
Healthcare coverage with corporate wellness program
Free on-site health center and health coaching for employees and dependents
401(k) company match
Tuition reimbursement 
14 days of PTO your first year and paid holidays
Hall of fame development programs as recognized by Training Magazine
On-site cafeteria and game room

Click here to learn more about our company and culture.
How to Get Started
To have your resume reviewed by Talent Acquisition, click “Apply” at the top of the screen. 
 
We are an Affirmative Action/Equal Opportunity Employer
Veterans/Disabled
We are an at-will employerTo apply to this job, click  Apply Now"|data analyst|5|West|Midvale| UT
