company|description|position|reviews|Region|City|State
RSG|"Research Data Analyst
 Department: Market Research  Location: White River Junction, VT
RSG is seeking a Research Data Analyst. This position is based in our White River Junction, Vermont office.

AS A RESEARCH DATA ANALYST

You are part of a team that applies smartphone-based GPS survey research and analytics with the goal of better understanding behavioral change due to transportation innovation and technology. Your team conducts market research in sectors such as public and private transportation, household travel behavior, future mobility, autonomous vehicles, transportation network companies (TNC), and mobility service providers (MSP). You work on all phases of the market research process including designing and implementing research approaches and survey questionnaires; administering surveys and monitoring data; performing data preparation and database management; conducting analysis; and writing reports and presentations based on findings. You are interested in working on survey datasets in conjunction with different types of datasets such as massive passively-collected location data, commercial marketing data, and publicly available demographic or geospatial data.

You are curious about the future of transportation mobility and its many economic and social implications. You are a strong blend of practical technical skills, research-based analytic skills, and solution-oriented implementation skills. You are a team-player, self-motivated, a clear and concise communicator, and dedicated to high-quality work. You understand that the pace of technology and the resulting insights from data are changing quickly, thus requiring an attitude of flexibility and adaptability.

REQUIRED QUALIFICATIONS

Bachelor’s degree or higher in a relevant field of study such as statistics, math, economics, engineering, geography, market research, data science, or a similar field
0-5 years of professional experience
Interest and/or experience in transportation, travel behavior analytics, and survey market research
Interest and/or experience in using Python, R, SQL, PostgreSQL, GitHub
Outstanding communication and teaming skills with colleagues and clients
Ability to write clearly and succinctly in a variety of formats (e.g., email, reports, presentations)
Ability to prioritize multiple competing objectives and deadlines across projects

Periodic travel is required. Position is based in White River Junction, Vermont.

RSG is not currently accepting H-1B applicants for this position. EEO/AA Employer/Vet/Disabled.

To Apply: Please visit our employment page: http://rsginc.com/join-us
"|data analyst|0|Northeast|White River Junction| VT
Washington County Mental Health Services|"</p>Description

This position will also be required to design, customize and process reports utilizing multiple tools. Responsible for professional and technical work involving data collection and analysis, data management and production, and information dissemination to support WCMHS business and communication functions.

Examples of Work

Work with and respond to a variety of internal and external stakeholders to understand data needs, coordinate with division/program capabilities and establish data collection tools/reports to support program, operational, and oversight activities.
Ensure data integrity, provide analysis of incoming data, develop and manage ad hoc reports using a variety of reporting and analysis tools used for program definition.
Collaborate with external agencies, which may include other designated agencies, State of Vermont, or other healthcare partners, as well as internal staff to coordinate required data information needs.
Responsible for interpreting/translating program reporting needs into data elements as well as identify methods to develop or modify existing systems to attain desired outcomes and reporting requirements.
Use statistical methods to analyze data and generate useful business reports
Work with management team to create a prioritized list of needs for each business segment
Use data to create models that depict trends in the client base and the consumer population as a whole
Facilitate and support projects to meet annual reporting requirements
Work via HelpDesk Ticket system
Performs other related duties as required to accomplish the objectives of the agency.

Qualifications

Knowledge and Skills

Strong knowledge of and experience with reporting packages (Business Objects, Crystal Reports etc.), databases (SQL etc.), programming (XML, JavaScript, or ETL frameworks)
Knowledge of statistics and experience using statistical packages for analyzing datasets (Excel, SPSS, SAS etc.)
Strong analytical skills with the ability to collect, organize, analyze, and disseminate significant amounts of information with attention to detail and accuracy
Adept at queries, report writing and presenting findings.
BS in Mathematics, Economics, Computer Science, Information Management or Statistics

Abilities

Ability to establish and maintain effective working relationships.
Ability to communicate effectively, both orally and in writing.
Ability to work under pressure.

Education and Experience

Bachelor’s degree in an above listed concentration AND two years or more experience in database experience;

OR

Associate’s degree an above listed concentration or college-level coursework that includes 15 related credits AND four years or more experience of database experience;

OR

High school diploma or equivalent AND six years or more experience in database experience.

Physical Skills and Abilities

Depending on the assignment, may require ordinary ambulatory skills sufficient to visit other locations; or the ability to stand, walk and manipulate (lift, carry, move) light to medium weights of 10 – 50 pounds. Requires good hand-eye coordination, arm, hand and finger dexterity, including ability to grasp, and visual acuity to use a keyboard, operate equipment and read technical information.

Working Conditions​

Work is performed in a standard office setting and there is considerable interaction with users and other team members requiring tact and diplomacy. Some travel may be required for which private means of transportation should be available. Work outside of regular work schedule may be anticipated.

Valid license and safe, reliable, insured vehicle required."|data analyst|3|Northeast|Barre| VT
April Cornell|"Data Analysis Team Member

April Cornell a company with a 40+ year history is seeking a motivated self-starter to join our staff in the position of Data Analysis Team Member. This position requires hands-on attention to detail and data manipulation as well as the ability to identify trends and help with the preparation of data.

Responsibilities include:

Support data pulls and conversion into reports. Performing extract and validation of converted data.Compiles data and reports based on requests from managementManipulate and upload files into the online platform websiteInventory Maintenance and Data IntegrityCoordination between Retail & Online Stores, Warehouse, & WholesaleWork with staff to identify, analyze and resolve data concernsPerform other related duties as assigned or required

Additional requirements:

Strong Excel skills (formula writing, report creation, conditional formatting, pivot tables)Analytical and problem-solving skillsAbility to balance priorities, meet deadlines and follow assigned tasksAbility to handle confidential and sensitive informationWork with in-house buyer to provide necessary inventory informationIdentify and suggest opportunities for efficiency/operational improvementCommunication and interpersonal skills

This position requires initiative and the ability to identify challenges and present solutions. The candidate must be able to work under deadlines and implement critical thinking in order to accomplish goals. A good communicator and the ability to work within a team environment is essential for success."|business data analyst|0|Northeast|Burlington| VT
Resource Systems Group Inc.|"RSG is seeking a Research Data Analyst. This position is based in our White River Junction, Vermont office.

AS A RESEARCH DATA ANALYST

You are part of a team that applies smartphone-based GPS survey research and analytics with the goal of better understanding behavioral change due to transportation innovation and technology. Your team conducts market research in sectors such as public and private transportation, household travel behavior, future mobility, autonomous vehicles, transportation network companies (TNC), and mobility service providers (MSP). You work on all phases of the market research process including designing and implementing research approaches and survey questionnaires; administering surveys and monitoring data; performing data preparation and database management; conducting analysis; and writing reports and presentations based on findings. You are interested in working on survey datasets in conjunction with different types of datasets such as massive passively-collected location data, commercial marketing data, and publicly available demographic or geospatial data.

You are curious about the future of transportation mobility and its many economic and social implications. You are a strong blend of practical technical skills, research-based analytic skills, and solution-oriented implementation skills. You are a team-player, self-motivated, a clear and concise communicator, and dedicated to high-quality work. You understand that the pace of technology and the resulting insights from data are changing quickly, thus requiring an attitude of flexibility and adaptability.

REQUIRED QUALIFICATIONS

Bachelors degree or higher in a relevant field of study such as statistics, math, economics, engineering, geography, market research, data science, or a similar field
0-5 years of professional experience
Interest and/or experience in transportation, travel behavior analytics, and survey market research
Interest and/or experience in using Python, R, SQL, PostgreSQL, GitHub
Outstanding communication and teaming skills with colleagues and clients
Ability to write clearly and succinctly in a variety of formats (e.g., email, reports, presentations)
Ability to prioritize multiple competing objectives and deadlines across projects

Periodic travel is required. Position is based in White River Junction, Vermont.

RSG is not currently accepting H-1B applicants for this position. EEO/AA Employer/Vet/Disabled.

To Apply: Please visit our employment page: http://rsginc.com/join-us"|data analyst|1|Northeast|White River Junction| VT
Cox Automotive|"Cox Automotive, is seeking a Data Scientist II to join our Decision Science team in Burlington, VT or Atlanta, GA.Job Summary:At Cox Automotive, our data scientists are responsible for leading the development of advanced analytics models to solve our customers problems, improve our products and services, and inform internal business operations and strategy. They will work closely with business stakeholders as the subject matter expert on the application of statistics and modeling across multiple leading digital automotive brands. Day to day, the Data Scientist will:  Your Role:Gather and analyze data to solve and address highly complex business problems, make predictions on future outcomes, and provide prescriptive solutions that support decision makingBe involved in all phases of analytics projects including question formulation, research, development, implementation, testing, and maintenanceExplore data and build advanced analytical models, then present and discuss the resulting models to any level of audience 
Qualifications:Required:
Bachelor's degree in math, statistics,
operations research, computer science engineering, econometrics, quantitative
social science, or other quantitative field OR an equivalent combination of
education and work-related experience 3+ years of experience years of industry working
experience performing advanced quantitative analyses Hands-on working knowledge of Python/R and SQL Ability to apply advanced statistical
methodologies such as multiple regression model, mixed models, time series
models (Bayesian preferred), neural networks, cluster analysis, text mining,
and have prior experience in optimization, simulation, marketing mix,
multivariate testing, ensemble modeling, graph algorithms Ability to apply advanced optimization
methodologies such as linear and mixed integer optimization 
What We Look For:
Master's degree or Ph.D.Working knowledge of big data manipulation Familiarity with AWS or other cloud provider
toolsDigital marketing or automotive experience
highly preferred
About Cox AutomotiveCox Automotive Inc. makes buying, selling and owning cars easier for everyone, while also enabling mobility services. The global companys 34,000-plus team members and family of brands, including Autotrader®, Clutch Technologies, Dealer.com®, Dealertrack®, Kelley Blue Book®, Manheim®, NextGear Capital®, VinSolutions®, vAuto® and Xtime®, are passionate about helping millions of car shoppers, tens of thousands of auto dealer clients across five continents and many others throughout the automotive industry thrive for generations to come. Cox Automotive is a subsidiary of Cox Enterprises Inc., a privately-owned, Atlanta-based company with revenues exceeding $20 billion. www.coxautoinc.comCox is an Equal Employment Opportunity employer - All qualified applicants/employees will receive consideration for employment without regard to that individuals age, race, color, religion or creed, national origin or ancestry, sex (including pregnancy), sexual orientation, gender, gender identity, physical or mental disability, veteran status, genetic information, ethnicity, citizenship, or any other characteristic protected by law.Statement to ALL Third-Party Agencies and Similar Organizations: Cox accepts resumes only from agencies with which we formally engage their services. Please do not forward resumes to our applicant tracking system, Cox employees, Cox hiring manager, or send to any Cox facility. Cox is not responsible for any fees or charges associated with unsolicited resumes. Apply Now: click  Apply Now"|data scientist|5|Northeast|Burlington| VT
Amazon|Excited by using massive amounts of data to develop Machine Learning (ML) and Deep Learning (DL) models? Want to help the largest global enterprises derive business value through the adoption of Artificial Intelligence (AI)? Eager to learn from many different enterprises use cases of AWS ML and DL? Zealous to be key part of Amazon, who has been investing in Machine Learning for decades, pioneering and shaping the worlds AI technology?At Amazon Web Services (AWS), we are helping large enterprises build ML and DL models on the AWS Cloud. We are applying predictive technology to large volumes of data and against a wide spectrum of problems. Our Professional Services organization works together with our AWS customers to address their business needs using AI.AWS Professional Services is a unique consulting team. We pride ourselves on being customer obsessed and highly focused on the AI enablement of our customers. If you have experience with AI, including building ML or DL models, wed like to have you on our team. You will get to work with an innovative company, with great teammates, and have a lot of fun helping our customers.This role will focus specifically on AWS most complex and largest customers in the world to help solve a wide range of business problems. Consultants will provide deep and broad insight to customers and partners to help remove constraints that prevent them from leveraging AWS services to create strategic value.A successful candidate will be a person who enjoys diving deep into data, doing analysis, discovering root causes, and designing long-term solutions. It will be a person who likes to have fun, loves to learn, and wants to innovate in the world of AI.Major responsibilities include:· Understand the customers business need and guide them to a solution using our AWS AI Services, AWS AI Platforms, AWS AI Frameworks, and AWS AI EC2 Instances .· · Assist customers by being able to deliver a ML / DL project from beginning to end, including understanding the business need, aggregating data, exploring data, building & validating predictive models, and deploying completed models to deliver business impact to the organization.· · Use Deep Learning frameworks like MXNet, Caffe 2, Tensorflow, Theano, CNTK, and Keras to help our customers build DL models.· · Use SparkML and Amazon Machine Learning (AML) to help our customers build ML models.· · Work with our Professional Services Big Data consultants to analyze, extract, normalize, and label relevant data.· · Work with our Professional Services DevOps consultants to help our customers operationalize models after they are built.· · Assist customers with identifying model drift and retraining models.· · Research and implement novel ML and DL approaches, including using FPGA.· This is a customer facing role. You will be required to travel to client locations and deliver professional services when needed.Note: If you do not live in a market where we have an open Data Scientist position, please feel free to apply. Our Data Scientists can live in any location that has an AWS office.Basic Qualifications· A Bachelor or Masters Degree in a highly quantitative field (Computer Science, Machine Learning, Operational Research, Statistics, Mathematics, etc.) or equivalent experience· 4+ years of industry experience in predictive modeling, data science and analysis· Previous experience in a ML or data scientist role and a track record of building ML or DL models· Experience using Python and/or R· Experience using ML libraries, such as scikit-learn, caret, mlr, mllib· Experience in writing and tuning SQL· Experience with SparkML· Experience working with GPUs to develop model· Experience handling terabyte size dataset· Experience using data visualization toolsPreferred Qualifications· PhD in a highly quantitative field (Computer Science, Machine Learning, Operational Research, Statistics, Mathematics, etc.)· 4+ years of industry experience in predictive modeling and analysis· Skills with programming languages, such as Java or C/C++· Ability to develop experimental and analytic plans for data modeling processes, use of strong baselines, ability to accurately determine cause and effect relations· Consulting experience and track record of helping customers with their AI needs· Publications or presentation in recognized Machine Learning, Deep Learning and Data Mining journals/conferences· Experience with AWS technologies like Redshift, S3, EC2, Data Pipeline, & EMR· Combination of deep technical skills and business savvy enough to interface with all levels and disciplines within our customers organization· Demonstrable track record of dealing well with ambiguity, prioritizing needs, and delivering results in a dynamic environment· Experience diving into data to discover hidden patterns· Able to write production level code, which is well-written and explainableAmazon is an Equal Opportunity Employer Minority / Women / Disability / Veteran / Gender Identity / Sexual Orientation / Age.|data scientist|1|Northeast|Vermont|
Resource Systems Group Inc.|"Job DescriptionRSG is seeking an experienced Data Scientist to join a growing team of market researchers and modelers who provide quality data insights to a range of clients. This position is based in our White River Junction, Vermont office.

AS A DATA SCIENTIST

You support analytics and data science needs across RSG’s markets, including market research, data analysis, and quantitative model development for public and private sector clients in transportation and consumer goods markets, ranging from small planning organizations to statewide agencies and Fortune 500 firms. Your work impacts the travel and mobility landscape of numerous cities and regions by helping clients provide valuable services to their customers. You confront challenging technical problems with reproducible, data-driven solutions, develop workflows for data processing and analysis, and contribute to a growing data science knowledge base under direction of a senior data scientist.

You have a keen intuition for data wrangling, quality assurance, and making sense of complicated data landscapes. You are a self-motivated team player who can synthesize and communicate problems and effective solutions, and you command the technical skills necessary to contribute to these solutions. You are resourceful, proactive, and driven to continually improve processes and evolve analytical methods in using data and analytics to support decision-making across a variety of domains.

REQUIRED QUALIFICATIONS

Bachelor’s degree or equivalent experience in a quantitative field such as data science, mathematics, statistics, engineering, or a similarly relevant field of study5+ years of experience and demonstrated skill using advanced analytic methods and tools3+ years of experience with hands on data work using R or Python, including script development, data cleaning and the production of client ready datasetsSolid understanding of geo-location data and relational databases in SQL or PostgreSQLEfficient manager of workflows and processes with the ability to manage multiple competing prioritiesProficient in technical communication, data management and presentation

PREFERRED QUALIFICATIONS

Market research experienceData visualization experienceTransportation modeling experience

Periodic travel is required. RSG is not currently accepting H-1B applicants for this position. EEO/AA Employer/Vets/Disabled.TO APPLYPlease visit our employment page: http://rsginc.com/join-us"|data scientist|1|Northeast|White River Junction| VT
ManTech|"Secure our Nation, Ignite your Future

ManTech is a leading provider of cloud managed services, agile software development, DevOps, systems engineering, and IT service management. We work collaboratively with multiple Department of Homeland Security (DHS) and Federal Civilian agencies to solve their biggest challenges through a commitment to delivering innovation, agility, and maximum value. The ManTech Team is empowered to think outside of the box and provide innovative solutions to our customers, as well as measurable cost savings. We are searching for clearable candidates to support our DHS U.S. Citizenship & Immigration Services (USCIS) customer in the Williston/South Burlington, VT and Washington DC/Bethesda, MD areas. ManTech is searching for dedicated, full-time employees to support our current contract: Support for Platform Engineering & DevOps Integration (SPEDI). ManTech provides a full employment benefits package, which also includes health insurance; 401(k) matching; free Bachelors and/or Masters degree programs in Cyber Security, Data Analytics, and Cloud Computing & Enterprise IT; free training and certifications through a partnership with Skillsoft; corporate programs that promote continued learning and career progression.

ManTech is seeking a Data Scientist to join our Architecture & Engineering Services (AES) contract, in support of U.S. Citizenship and Immigration Services (USCIS), Office of Information Technology (OIT), Engineering Infrastructure Division (EID).

The AES Program is working to create one high performing team made up multiple smaller high performing teams. We are looking for the right person to serve as Data Scientist on our Performance & Capacity Planning Team.

The successful AES candidate will embrace our exciting mission to provide information technology expertise, strategic vision, and tactical implementations using frameworks that require virtualized, scalable, cost-effective cloud services, utilizing DevOps practices. This position typically works under limited supervision and direction. The selected candidates will be an inclusive team member who exhibits the following characteristics:

Embraces collaborative workCommunicates wellEngages role with initiativeActs as an individual contributor for changeMaintains optimismIs adaptable

The duties include but are not limited to:

Performance and capacity planning for all solutions during Architecture and Engineering phase, prior to implementation.Analysis of end to end performance impacts and costs associated both monetarily and operationally.Capacity analysis, bandwidth studies, and risk-analysis reports should be delivered prior to the delivery of any engineering solution, so as to not negatively impact the enterprise LAN/WAN and Cloud Interconnects.Achieve maximum network performance for the enterprise users on both wired and wireless, as well as for remote teleworkers.Produce repeatable reports that evaluate capacity and identify areas where improvements can be implemented.Analyze specifications and capacity and undertake appropriate calculations to estimate resource requirements, in terms of labor, tools and materials.Create capacity plans that meet Government defined business targets and optimize efficiency and costs.Evaluate solution requirements and deliver minimum and maximum performance metrics to set thresholds; forecast when under or over conditions exist; provide mitigation/corrective action strategy.Identify and document potential pitfalls, issues, challenges, and potential resolution strategies.Provide continuous review of software and hardware solutions so that the organization can better anticipate customer needs.

Qualifications

Bachelor's degree in Computer Science, or related field preferred. 15+ years of experience.The candidate must be capable of supporting the following tools, or similar tools:SolarwindsRiverbed Steelhead family suiteSteel Central Controller

NetProfiler

NetCollector

Steel Central Mobile Controller

Steel Central ARX

Not limited to.

AIX

ATX

App Doctor

NetPlanner

NetAuditor
StealthwatchSCOMNew RelicAzure Log analyticsNetApp On-Command Insight.Dell OMECisco UCS ManagerAPC StructureWare

Other:

Clearance Requirements U.S. Citizen with the ability to obtain Public Trust and complete DHS Security Clearance; Ability to obtain DHS EOD suitability or Current DHS EOD highly preferred.

Location Bethesda, MD

ManTech International Corporation, as well as its subsidiaries proactively fulfills its role as an equal opportunity employer. We do not discriminate against any employee or applicant for employment because of race, color, sex, religion, age, sexual orientation, gender identity and expression, national origin, marital status, physical or mental disability, status as a Disabled Veteran, Recently Separated Veteran, Active Duty Wartime or Campaign Badge Veteran, Armed Forces Services Medal, or any other characteristic protected by law.

If you require a reasonable accommodation to apply for a position with ManTech through its online applicant system, please contact ManTech's Corporate EEO Department at (703) 218-6000. ManTech is an affirmative action/equal opportunity employer - minorities, females, disabled and protected veterans are urged to apply. ManTech's utilization of any external recruitment or job placement agency is predicated upon its full compliance with our equal opportunity/affirmative action policies. ManTech does not accept resumes from unsolicited recruiting firms. We pay no fees for unsolicited services.

If you are a qualified individual with a disability or a disabled veteran, you have the right to request an accommodation if you are unable or limited in your ability to use or access http://www.mantech.com/careers/Pages/careers.aspx as a result of your disability. To request an accommodation please click careers@mantech.com and provide your name and contact information."|data scientist|0|Northeast|Williston| VT
RSG|"Data Scientist
 Department: Market Research  Location: White River Junction, VT
RSG is seeking an experienced Data Scientist to join a growing team of market researchers and modelers who provide quality data insights to a range of clients. This position is based in our White River Junction, Vermont office.

AS A DATA SCIENTIST

You support analytics and data science needs across RSG’s markets, including market research, data analysis, and quantitative model development for public and private sector clients in transportation and consumer goods markets, ranging from small planning organizations to statewide agencies and Fortune 500 firms. Your work impacts the travel and mobility landscape of numerous cities and regions by helping clients provide valuable services to their customers. You confront challenging technical problems with reproducible, data-driven solutions, develop workflows for data processing and analysis, and contribute to a growing data science knowledge base under direction of a senior data scientist.

You have a keen intuition for data wrangling, quality assurance, and making sense of complicated data landscapes. You are a self-motivated team player who can synthesize and communicate problems and effective solutions, and you command the technical skills necessary to contribute to these solutions. You are resourceful, proactive, and driven to continually improve processes and evolve analytical methods in using data and analytics to support decision-making across a variety of domains.

REQUIRED QUALIFICATIONS

Bachelor’s degree or equivalent experience in a quantitative field such as data science, mathematics, statistics, engineering, or a similarly relevant field of study
5+ years of experience and demonstrated skill using advanced analytic methods and tools
3+ years of experience with hands on data work using R or Python, including script development, data cleaning and the production of client ready datasets
Solid understanding of geo-location data and relational databases in SQL or PostgreSQL
Efficient manager of workflows and processes with the ability to manage multiple competing priorities
Proficient in technical communication, data management and presentation

PREFERRED QUALIFICATIONS

Market research experience
Data visualization experience
Transportation modeling experience

Periodic travel is required. RSG is not currently accepting H-1B applicants for this position. EEO/AA Employer/Vets/Disabled.TO APPLYPlease visit our employment page: http://rsginc.com/join-us


"|data scientist|0|Northeast|White River Junction| VT
Cox Automotive|"Cox Automotive, is seeking a Data Scientist II to join our Decision Science team in Burlington, VT or Atlanta, GA.Job Summary:At Cox Automotive, our data scientists are responsible for leading the development of advanced analytics models to solve our customers problems, improve our products and services, and inform internal business operations and strategy. They will work closely with business stakeholders as the subject matter expert on the application of statistics and modeling across multiple leading digital automotive brands. Day to day, the Data Scientist will:  Your Role:Gather and analyze data to solve and address highly complex business problems, make predictions on future outcomes, and provide prescriptive solutions that support decision makingBe involved in all phases of analytics projects including question formulation, research, development, implementation, testing, and maintenanceExplore data and build advanced analytical models, then present and discuss the resulting models to any level of audience 
Qualifications:Required:
Bachelor's degree in math, statistics,
operations research, computer science engineering, econometrics, quantitative
social science, or other quantitative field OR an equivalent combination of
education and work-related experience 3+ years of experience years of industry working
experience performing advanced quantitative analyses Hands-on working knowledge of Python/R and SQL Ability to apply advanced statistical
methodologies such as multiple regression model, mixed models, time series
models (Bayesian preferred), neural networks, cluster analysis, text mining,
and have prior experience in optimization, simulation, marketing mix,
multivariate testing, ensemble modeling, graph algorithms Ability to apply advanced optimization
methodologies such as linear and mixed integer optimization 
What We Look For:
Master's degree or Ph.D.Working knowledge of big data manipulation Familiarity with AWS or other cloud provider
toolsDigital marketing or automotive experience
highly preferred
About Cox AutomotiveCox Automotive Inc. makes buying, selling and owning cars easier for everyone, while also enabling mobility services. The global companys 34,000-plus team members and family of brands, including Autotrader®, Clutch Technologies, Dealer.com®, Dealertrack®, Kelley Blue Book®, Manheim®, NextGear Capital®, VinSolutions®, vAuto® and Xtime®, are passionate about helping millions of car shoppers, tens of thousands of auto dealer clients across five continents and many others throughout the automotive industry thrive for generations to come. Cox Automotive is a subsidiary of Cox Enterprises Inc., a privately-owned, Atlanta-based company with revenues exceeding $20 billion. www.coxautoinc.comCox is an Equal Employment Opportunity employer - All qualified applicants/employees will receive consideration for employment without regard to that individuals age, race, color, religion or creed, national origin or ancestry, sex (including pregnancy), sexual orientation, gender, gender identity, physical or mental disability, veteran status, genetic information, ethnicity, citizenship, or any other characteristic protected by law.Statement to ALL Third-Party Agencies and Similar Organizations: Cox accepts resumes only from agencies with which we formally engage their services. Please do not forward resumes to our applicant tracking system, Cox employees, Cox hiring manager, or send to any Cox facility. Cox is not responsible for any fees or charges associated with unsolicited resumes. Apply Now: click  Apply Now"|data scientist|5|Northeast|Burlington| VT
