position|company|description|reviews|Region|City|State
data analyst|American Diabetes Association|"The Contract Data Analyst leverages a holistic view business, market, Cultural

Intelligence and consumer context to inform innovative communications solutions

to business and marketing problems. The Analyst has the ability to work with

Decision Sciences management to make critical, real-time adjustments to

communications strategies. The person is

expected to continuously seek out, learn about and actively use new media

channels, technologies, tools and methods and be able to apply this experience

to innovate new solutions aligned with client needs. Resourcefulness, curiosity, passion and

fearlessness are required traits of all departmental employees.

YOUR

RESPONSIBILITIES

Collaborates with analytics group to

target behaviors and understand motivational drivers of behavior that will

result in more effective communication strategiesAnalyzes large datasets, typically

of media performance of marketing campaigns to tease out insights and identify

performance drivers. Includes digital

media (display banners, paid search, social media), offline media (TV, print),

and website data (direct traffic, referred traffic, organic search traffic)Analyzes performance of key digital

assets (e.g. websites, microsites/landing pages, Facebook pages). Includes analysis of traffic levels and

trends over time, content popularity and consumption, path analysis through

customer journey, paths to onsite goal attainment, drop-off rates in conversion

funnels.Creates analytical outputs including

monthly dashboards, quarterly deep-dive reports, as well as other ad hoc and

campaign specific analysisDevelops detailed analysis of

performance drivers for campaigns in marketDevelops data-driven hypothesis on

performance of website assets for review and further interpretation by strategy

team, for eventual presentation to leadership teamDrives efficiencies by working to

automate repetitive processesProvides for critical QA/QC function

across all data-driven endeavors – thereby ensuring maximum impact from our

analysis and minimum chance for erroneous conclusionsContributes to workflow efficiency

improvements and more effective ideation by cultivating new learning tools,

sources and resources

REQUIREMENTS

3-5 years Direct Marketing analytical experience, planning,

strategy consulting or similar workDATABASE SKILLS: High proficiency in writing SQL queries,

rolling up data and analyzing large databases to find customer insightsANALYTIC SKILLS: Proficient in Design of Experiments, A/B

Testing, Segmentation tools, regression models, full and partial factorial

testing and basic statistics. SAS /SPPS /R experience or other statistical

experience requiredPRESENTATION SKILLS: Proficient in MS Excel, POWERPOINT or

other data visualization tools to help interpret the data and present a story

to management.Ability to garner insights from large, raw data sets.Ability to tell a story with data and develop data-driven

marketing strategiesAbility to co-create a solution by working with

cross-functional teams.

EDUCATION
Bachelor’s

degree in Marketing Research, Planning, Marketing, Business, Math/ Statistics,

Finance, Computer Science, Data Science, Economics, Social Science or other

related degree.

Master’s

Degree preferred

Take Your Career On A Mission

Are you looking for a career that directly impacts your community and beyond?

Over 29 million Americans have diabetes and over 86 million have pre-diabetes. The ADA offers a rewarding career working for one of the premier voluntary health organizations in the world supporting people with Type 1 & Type 2 Diabetes.

Our employees like working at the ADA because of our mission, the inclusive environment, work-life balance, our benefits, and our culture. Joining our dedicated team affords the gratification of knowing beyond a doubt that you will impact the lives and well-being of millions.

Equal Employment Opportunity

It is the policy of the American Diabetes Association to provide equal employment opportunity to all persons regardless of age, color, national origin, citizenship status, physical or mental disability, race, religion, creed, gender, sex, sexual orientation, gender identity and/or expression, genetic information, marital status, status with regard to public assistance, veteran status, or any other characteristic protected by federal, state, or local law.

To find out more about the ADA as well as other exciting and fulfilling career opportunities please visit us at www.diabetes.org.

Together We Can Stop Diabetes!"|5|South|Arlington| VA
experienced data analyst|Homes.com|"Description


Position at Homes.com
Homes.com is looking for an Experienced Software Engineer - BI in Norfolk, VA to join our team of IT professionals. You'll be working with our Business Intelligence Team to support and grow our premier real estate portal. You'll participate in technical research, software development, reporting, data analysis, and bring your own ideas to the table to help keep us innovating.

Responsibilities:

Develop Python applications in a distributed worker frameworkDevelop and maintain scalable containerized application architecture (Kubernetes, Docker and Bamboo integration)Monitor a data pipeline utilizing the ELK stack and other monitoring toolsDevelop in a Microsoft SQL Server environment w/ T-SQL, SSIS and Stored Procedures

Requirements:

BS or MS in computer science, data science, engineering or other related field2+ years of Python coding experience (Perl, Ruby, C++ and Java acceptable, but you'll need to learn) 1+ years of working with SQL and relational database systems such as Microsoft SQL Server1+ years of working in / designing Star Schemas in a Data Warehouse

Nice to Haves:

Experience working with Kubernetes,Docker and Bamboo or other container orchestration systemsHave worked with MongoDB or other NoSQL DatabaseExperience working in a Linux/Unix server environment Experience with version control software (Git, Subversion, etc)

About Homes.comHomes.com offers today's demanding home buyers, renters and those somewhere in between a simply smarter home search. With features like Homes.com Match, HomeShare and Snap & Search, homeshoppers now have a more personalized way to search for their next home. Since its launch over 25 years ago, Homes.com offers real estate professionals brand and property advertising, search engine marketing and instant response lead generation to help them succeed online. For more information, visit Homes.com.About DEDominion Enterprises (DE) is a leading digital marketing and software services company offering client solutions across multiple business verticals. Our customers rely on our B2B cloud SaaS solutions to establish their online and mobile brands, generate leads, and manage customer relationships through our Homes.com, Dominion Dealer Solutions, Dominion Business Solutions / DX1, Travel Media and Franchise and Business Opportunity divisions. Our B2C web and mobile applications include Homes.com, HotelCoupons.com, FranchiseOpportunities.com, FranchiseGator.com, Franchise.com, and BusinessBroker.net. About 2,000 employees reside and work in our Norfolk, VA home office and in offices across the U.S. Our employees will tell you about our collaborative, innovative, team-oriented work environment, excellent career enrichment opportunities, community service opportunities, competitive earnings, and a comprehensive benefits package that includes a generous 401(k). DE is an equal opportunity employer and supports a diverse workforce. DE is a drug-testing employer.Apply Now: click  Apply Now"|5|South|Norfolk| VA
data analyst|ManTech|"Secure our Nation, Ignite your Future

.
Job Summary

Each day U.S. Customs and Border Protection (CBP) oversees the massive flow of people, capital, and products that enter and depart the United States via air, land, sea, and cyberspace. The volume and complexity of both physical and virtual border crossings requires the application of big data solutions to promote efficient trade and travel. Through the use of effective big data technologies and solutions, CBP ensures that the movement of people, capital, and products is legal, safe, and secure.

As a Data Analyst on our team, you will use your unique technical skills to facilitate data-driven decision making in response to national security threats. You will support the development of predictive models via the identification of behaviors and attributes that inform illicit activities, provide on-demand analysis to support emergent operational needs, and develop performance dashboards and artifacts to inform resource allocation, justify requirements, and support statutory reporting mandates. You will transform large volumes of raw data, both structured and unstructured forms, into mission-focused insights that enhance understanding of mission performance, workload, and/or behavioral trends (i.e., strategic, tactical, and operational insights). Analysts may be called upon to support a diverse array of initiatives involving complex queries in support of network analysis, entity resolution, threat research, visualization, and impact assessments.

Duties and Responsibilities

Obtain, join, scrub, explore, model, and interpret large datasetsTransform and manipulate large dataset to suit the desiered analysisCreate and present clear oral and written reports on the findingsBecome an expert on name and entity matching

Required Qualifications

Experience working with SQL, data-mining or statistical software Experience performing data analysis and interpreting resultsExperience using two of the following for data analysis: Java, R, python, or MatlabExperience with analyzing financial dataExperience extracting and converting raw data into actionable intelligence products Conceptual understanding of and/or prior experiences related to data profiling, fuzzy matching, entity resolution, and signal detection theoryBS Degree in a related technical fields (Computer Science, Math, Statistics, etc.)Active Top Secret Clearance

Desired Qualifications:

Technical exploitation experience, such as computer forensics, DOCEX DOMEXExperience working in field of entity resolution, analytics, data mining or name matching.Knowledge or experience with data wrangling, cleansing, and analyticsJava programing experience is a plusExperience working with Customs or ICE travel-related data.

Clearance

Applicants selected will be subject to a security investigation and may need to meet eligibility requirements for access to classified information; TS clearance is required as well as CBP suitability.

Must be a US Citizen and able to obtain and maintain a U.S. Customs and Border Protection (CBP) Background Investigation.

#LI-FA1
ManTech International Corporation, as well as its subsidiaries proactively fulfills its role as an equal opportunity employer. We do not discriminate against any employee or applicant for employment because of race, color, sex, religion, age, sexual orientation, gender identity and expression, national origin, marital status, physical or mental disability, status as a Disabled Veteran, Recently Separated Veteran, Active Duty Wartime or Campaign Badge Veteran, Armed Forces Services Medal, or any other characteristic protected by law.

If you require a reasonable accommodation to apply for a position with ManTech through its online applicant system, please contact ManTech's Corporate EEO Department at (703) 218-6000. ManTech is an affirmative action/equal opportunity employer - minorities, females, disabled and protected veterans are urged to apply. ManTech's utilization of any external recruitment or job placement agency is predicated upon its full compliance with our equal opportunity/affirmative action policies. ManTech does not accept resumes from unsolicited recruiting firms. We pay no fees for unsolicited services.

If you are a qualified individual with a disability or a disabled veteran, you have the right to request an accommodation if you are unable or limited in your ability to use or access http://www.mantech.com/careers/Pages/careers.aspx as a result of your disability. To request an accommodation please click careers@mantech.com and provide your name and contact information.To apply to this job, click  Apply Now"|0|South|Sterling| VA
data analyst|Frontier Technology Inc.|This position requires a Secret clearance. FTI is currently looking for a full time Data Analyst to support the Naval Safety Center in Norfolk, VA. The Data Analyst will be working on-site to support the development, testing, and deployment of a series of advanced predictive analytics models within a CITRIX virtual desktop environment using big data sets that will help diagnose and predict precursors to Naval mishaps and safety hazards. The Data Analyst will collaborate within a diverse program team comprised of FTI team members as well as Active Duty Military and Government civilian employees.  Assist in the developing, testing, and deploying of predictive analytics models utilizing R, R Studio, and/or Python. Experience with supervised learning algorithms such as linear/logistic regression. Experience with data visualization tools such as Tableau, ggplot2, Shiny, etc.Education – Bachelor’s degree in Mathematics, Computer Science, or related fields. Master’s degree in Business Analytics preferred. Minimum of four (4) years of experience in statistical analysis, data analysis, or operational research. Two (2) years of experience with Navy safety, aviation, or ship systems preferred.To apply to this job, click  Apply Now|2|South|Norfolk| VA
data analyst|Excella Consulting|"OverviewWe are looking for an expert in Data Analysis and technical consulting to join our team who is driven to deliver valuable customer experiences. Our analysts are team-oriented, collaborative, and focus on delivering value in everything we do. We use agile methods to analyze, define and document business requirements for software solutions which align with organizational goals and help our clients achieve their desired outcomes. We support our clients in their digital product needs – from vision to roadmap to execution.Responsibilities

Develop thorough understanding of the business context and objectives by, among other things, eliciting and analyzing requirements from all relevant stakeholders (business users, data engineers, data scientists, and similar).
Able to operationalize business questions using data.
Demonstrate understanding of relational databases, data architecture and data modelling.
Capable building complex SQL statements to answer business questions.
Understanding of Mobile and Digital Analytics
Experience designing conceptual data models/ entity relationship diagrams/ business process models.
Able to transform and cleanse data using tools such as R, SQL or Python.
Able to interpret, understand, and explain data to clients.
Basic knowledge of dashboard management and creating (drag and drop) for storytelling of regular information reports and ad-hoc requests.
Build trust and respect, establish relationships, and develop rapport with technical and non-technical team members.
Experience documenting Data Analysis processes and outcomes.
Industry or subject matter expertise (e.g. finance, employment, hospitality, web analytics).

Qualifications

B.A. or B.S. (focus in Computer Information Systems, Business Management, Engineering, or related area of study is a plus)
3+ years’ experience in IT or related industry
Prior consulting or client management experience
Intermediate/Advanced SQL skills, Excel skills, including, and proficient in MS PowerPoint
Experience working with Data Visualization tools such as Tableau or Power BI
Experience with Adobe Analytics or Google Analytics
Knowledge of statistics and experience using statistical packages for analyzing datasets
Strong analytical aptitude and able to structure complex or undefined business problems
Strong verbal and written communication skills, report writing and presenting findings to varying stakeholders
Hands-on experience using tools to help clients make data-driven decisions
Knowledge and practice of core Agile values and principles a plus
Initiative to learn new strategies and trends to continue to educate self analytically, technically, and technologically

 About ExcellaExcella is a leading provider of Agile software development and data and analytics solutions to clients in the federal, commercial and non-profit sectors. We believe that great work leads to great things –- our experts measure success by the positive impact we make on our clients, community, and colleagues. We are growing fast and need passionate, innovative people who love working with technology and are ready to make an impact.

Here's what you can expect from us:


We care about our employees. In fact, The Washington Post and The Washington Business Journal consistently rank us as a ""Best Place to Work.""
You'll work with great people who love what they do: our team includes published authors, certified trainers, and internationally renowned speakers.
We have a ""bring your own device"" workplace and will share the cost of a new computer of your choice -- Mac or PC. It's up to you.
We'll invest in your career by providing 3 days of paid professional development every year, including travel and registration fees to attend classes and conferences, in addition to tuition assistance for degrees and certifications.
Starting day one, every employee is bonus eligible and receives 17 days of paid vacation.
You can bike, drive, or metro to work -- our commute reimbursement plan has you covered.
We cater dinner once a quarter, and always have healthy snacks available!
You'll have fun! We hold monthly social events all year long, including a summer getaway for you and your family.

Excella is an equal opportunity/affirmative action employer. All qualified applicants will receive consideration for employment without regard to sex, gender identity, sexual orientation, race, color, religion, national origin, disability, protected veteran status, age, or any other characteristic protected by law.Apply Now: click  Apply Now"|5|South|Arlington| VA
data analyst|Whitney, Bradley and Brown|"JOB TITLE:  Data Analyst (Navy Budget and Readiness Modeling) OPNAV N83

PROJECT OVERVIEW:

This project provides analytical and IT technical support and life cycle management for a portfolio of cloud-based performance pricing models. These models and services assist the Navy to develop, price, and compare readiness alternatives in key ship, aircraft and expeditionary domains.

JOB DESCRIPTION AND RESPONSIBILITIES:

Provide data analytics support for IT team supporting Navy readiness model operation, development, integration and accreditation/re-accreditation efforts. Duties would include data analysis and presentation of collected data; development of requirements for future software upgrades, group and deskside training, testing, process development, and other responsibilities associated with software development life cycle.

REQUIRED SKILLS AND QUALIFICATIONS:

Security Clearance: Secret


Secret Clearance
Bachelors degree in a science or business intensive discipline. Five (5) years of additional relevant experience can be substituted for a bachelors degree.
At least 3 years of relevant experience in data analysis and/or computer modeling
Proficient in MS Excel, PowerPoint and Word

DESIRED SKILLS AND QUALIFICATIONS:

Experience with the DOD Planning, Programming, Budgeting and Execution (PPBE) and the Program Objective Memorandum (POM) processes.
Ability to translate functional model requirements to programming staff and ability to functionally test model results.
Former Navy, DOD or government service experience
Proficiency in data analytics using Business Intelligence software applications
Experience with Business Intelligence tools (e.g. Qlik, Tableau, PowerBI, etc.)

WORK LOCATION: Reston, VA

TRAVEL: None

KEY WORDS: Operations Research Analyst, Operation analysis, Data analytics, Business Intelligent software, Navy, Program and Budget Information System (PBIS), Program Objective Memorandum (POM), Performance feedback systems, Functional testing cloud-based models

WBB is a technical and management consulting company that provides innovative products and services that solve government and commercial customers toughest problems. For more than 30 years, WBB has set the standard for excellence in consulting services, while providing its employees with an outstanding work environment with ample opportunities for growth and success. WBB continues to enjoy impressive growth, which is directly attributed to the companys hiring practice of always hiring the very best professionals from government, military and industry.

We are proud of our diverse environment and are an Equal Opportunity Employer. WBB is committed to a policy of equal employment opportunity. WBB participates in E-Verify.

WBB does not accept unsolicited resumes through or from search firms or staffing agencies. All unsolicited resumes will be considered the property of WBB and WBB will not be obligated to pay a placement fee.Apply Now: click  Easy Apply"|5|South|Reston| VA
data analyst|CALIBRE Systems|"
﻿



 Data Analyst

Category
Finance and Accounting 
Job Location
Alexandria, VA
Tracking Code
CMA 3210-585
Position Type
Full-Time/Regular
CALIBRE Systems Inc., an employee-owned Management Consulting and Digital Transformation company, is looking for a mid-level Data Analyst to join a team responsible for the statistical analysis and development of Cost Estimating Relationships (CER) equations for Army installations. The ideal candidate should be able to learn and provide input on how to create new sources of data-driven innovation through technology and analytics that would add value for our customers. They will explore new ways to analyze data using statistical methods, machine learning and predictive models.
Required Skills
Required:

Must have or be able to obtain and maintain a DoD SECRET security clearance.
U.S. Citizenship required.
Experience developing forecasting models using statistical software.
Strong qualitative and quantitative analysis skills
Passion for solving problems with data and a high level of curiosity
Experience with data cleaning, model testing, results presentation and documentation
Experience using MS Excel and MS Access
Experience using Python

Preferred:

Experience using SQL or Visual Basic.
Experience with data visualization tools such as Tableau or Qlik.
Experience in budgeting or cost-analysis.
Experience building simulation models.
Knowledge and understanding of the Army’s PPBE process.



Required Experience


BS/BA degree in related field such as Statistics, Data Analytics, Operations Research, Economics, Engineering, Mathematics, Business, etc. (Other education, commensurate experience and demonstrated ability of individual may be substituted)
Minimum of 4 years professional work experience, providing data analytics services.

#LI-TO1
CALIBRE and it's subsidiaries are an Equal Opportunity Employer and supports transitioning service members, veterans and individuals with disabilities. We offer a competitive salary and full benefits package. To be considered, please apply via our website at www.calibresys.com. Come join our dynamic team. #CALIBRECareers #SPEARCareers
Apply Now: click  Apply Now"|5|South|Alexandria| VA
data analyst|Tecolote Research|" 
Data Analyst
 
 Location: Arlington, VA  
 Education Required: Bachelor’s degree required, preferably in math, engineering, business, or the sciences.  
 Skills Required:We are seeking highly motivated individuals to support a range of critical and exciting Department of Homeland Security (DHS) and Department of Defense (DoD) projects at our office sites in Arlington, VA and Washington, DC. Ideal candidates will possess a Bachelor’s degree in business, engineering, or related fields and 3+ years of experience, or a Master’s degree in a related field and at least one year of experience.

Successful candidates will also possess the following qualifications:


24 semester hours of quantitative course work (mathematics, statistics, engineering, physics, chemistry, etc.)
Experience obtaining, integrating, analyzing, and reporting client data, esp. acquisition data
Ability to apply analytic techniques to define project objectives and strategic direction, resolving complex problems using an in-depth knowledge of analytic methodologies and principles
Strong researching, data gathering, and technical reviews needed to produce written deliverables to include reports, spreadsheets, databases, formal process mapping, and technical designs
Microsoft Access experience
Ability to obtain and maintain a security clearance


 
 Responsibilities:



Assess requirements, determine necessary resources to accomplish task, hypothesize solutions, develop solution, and report findings to various levels of government leadership
Develop algorithms for data analysis
Plan and conducts work requiring judgment in the evaluation, selection, and adaptation and/or modification of methodologies and tools
Consult with senior consultants or functional specialists on unusual or complex problems

Assess requirements, determine necessary resources to accomplish task, hypothesize solutions, develop solution, and report findings


 
 Benefits: 

We offer competitive salaries commensurate with education and experience. We have an excellent benefits package that includes:

Comprehensive health, dental, life, long and short term disability insurance
100% Company funded Retirement Plans
Generous vacation, holiday and sick pay plans
Tuition assistance



Tecolote Research is a private, employee-owned corporation where people are our primary resource. Our investments in technology and training give our employees the tools to ensure our clients are provided the solutions they need, and our very high employee retention rate and stable workforce is an added value to our customers. Apply now to connect with a company that invests in you.
  
  To apply to this job, click  Apply Now"|4|South|Arlington| VA
data analyst|Axios|"Quick Take: Axios is a new digital media company that tells you what matters and why to make you smarter, faster. We're hiring a Data Analyst!

Why it Matters: Our data analyst will champion a data-informed culture by empowering others to use data to make responsible decisions, ask smart questions, and by performing complex ad-hoc analyses for key stakeholders. This person will collaborate with a variety of other teams and regularly provide insights and contexts to key stakeholders based on data and ensure stakeholders are receiving 100% of the data they need.

The Details: You must be a highly collaborative problem solver and capable of understanding how data is implemented, distributed, and consumed. An understanding of how to work with large amounts of data to support or refute a hypothesis is also essential in this role. A strong candidate should be able to analyze, translate and communicate effortlessly about data with product and engineering teams as well as other key stakeholders. You will also need the following skills:


Experience with SQL and various relational databases
Experience working with marketing research vendors is preferred
Experience with conjoint analysis, regression analysis, A/B and/or multivariate testing and segmentation is preferred
Experience working with business intelligence tools such as Looker, Tableau, et al
Experienced with applying statistics to real-world data
Working knowledge of Python and/or R
Advanced proficiency in Excel

Don't Forget:

Competitive salary
Health insurance (100% paid for individuals, 75% for families)
Primary caregiver 12-week paid leave
401K
Generous vacation policy, plus company holidays
Company equity
Commuter and cell phone benefit
A commitment to an open, inclusive, and diverse work culture
Annual learning and development stipend
Apply Now: click  Apply Now"|5|South|Arlington| VA
data analyst|Peraton|"OverviewWe are looking to hire an experienced Data Analyst to conduct research, analysis, and product development using company-specific data sets and technical tools. In this role, you will assist our business operations unit’s efforts by analyzing the development of network analysis and target identification and analyze research results to identify anomalies and generate additional lead information and create products from findings. You will also maintain responsibility of direct dialogue with customers to clarify requests for information and coordinate results from production of reports and analysis, and brief senior level decision-makers and customers on report findings, as needed.ResponsibilitiesWhat you’ll do…

Review current data in company repositories for gaps, inconsistencies and format
Address data format issues and gaps and clearly engage with technical teams to address issues
Manipulate and correlate data within company repositories and bind it for listing as an additional service for the company’s product catalog
Work across different teams and technical levels to improve companies end product and services
You need to be a self-starter, an out of the box thinker with creative solutions to difficult technical problems, and be able to work alone and a part of team

QualificationsYou’d be a great fit if you have…

3+ years of experience as an all source intelligence analyst
The aptitude to work in a fast-paced environment with multi-concurrent tasks
The ability to network across several components and organizations to support a variety of projects
The capability to summarize information based on analysis of data from disparate sources and offer quick recommendations for next steps
The talent to interact with various intelligence community partners on a daily basis
This position requires the candidate to be able to obtain and maintain a TS/SCI security clearance. In order to obtain a clearance you need to be a US Citizen and show proof of citizenship.
BA or BS degree required

It would be even better if you…

Have a desire to learn new technology and acquire new skills
Want to grow professionally and increase your own experience

What you’ll get…

Cross-training and professional development opportunities

Why Peraton:

Are you ready to join the next-generation of national security? Peraton is a fresh name in the industry with an established portfolio and legacy going back more than a century. We work differently than our peers – with agility, the freedom to innovate, an entrepreneurial spirit and a culture of responsibility. As part of the Peraton team, you’ll be part of our movement to build a great company, solve the most daunting challenges facing mankind today, to protect and promote freedom around the world, and to secure our future, for our families, our communities, our nation, and our way of life.Apply Now: click  Apply Now"|0|South|Reston| VA
