company|description|position|reviews|City|State
Fanatics|Company OverviewFanatics is the global leader in licensed sports merchandise and changing the way fans purchase their favorite team apparel and jerseys. Through an innovative, tech-infused approach to making and selling fan gear in today's on-demand culture, Fanatics operates more than 300 online and offline stores, including the e-commerce business for all major professional sports leagues (NFL, MLB, NBA, NHL, NASCAR, MLS, PGA), major media brands (NBC Sports, CBS Sports, FOX Sports) and more than 200 collegiate and professional team properties, which include several of the biggest global soccer clubs (Manchester United, Real Madrid, Chelsea, Manchester City). Fanatics offers the largest collection of timeless and timely merchandise whether shopping online, on your phone, in stores, in stadiums or on-site at the world's biggest sporting events.About the TeamWhen was the last time you made an online purchase and had the excitement of your item arriving at your doorstep? At Fanatics, sports fans are our #1 priority and we are committed to delivering products in the fastest, most efficient way possible every single day. As a member of the Fanatics Operations team, you’ll be on the front-line ensuring and executing on the most cutting-edge processes to meet our fans’ needs. Whether you’re fulfilling ready-made fan orders or working in on-demand production, our world-class Operations team is dedicated to “Getting it Right.” Getting our fans the right order, at the right time, at the right cost because we have the right talent. Level 4 – Fulfillment/DistributionData Analyst ICompany Information As the global leader in licensed sports merchandise, Fanatics is changing the way fans purchase their favorite team merchandise by partnering with top leagues, clubs and soccer brands worldwide to offer the largest collection of timeless and timely gear from every pro and college team online, on your phone, in stadiums or on-site at the world’s biggest sporting events. A top 50 Internet Retailer Company, Fanatics comprises the broadest online assortment by offering hundreds of thousands of officially licensed items via its Fanatics (www.fanatics.com), FansEdge (www.fansedge.com) and Kitbag (www.kitbag.com) brands, as well as the largest selection of sports collectibles and memorabilia through Fanatics Authentic (www.fanaticsauthentic.com). A multi-channel company, Fanatics operates more than 300 online and offline stores, including the e-commerce business for all major professional sports leagues (NFL, MLB, NBA, NHL, NASCAR, MLS, PGA), major media brands (NBC Sports, CBS Sports, FOX Sports) and more than 200 collegiate and professional team properties, which include several of biggest global soccer clubs (Manchester United, Real Madrid, Chelsea, Manchester City). The company's in-venue and event retail portfolio includes the NBA, NHL, NASCAR, Wimbledon, Kentucky Derby, The Ryder Cup, Manchester City, Texas Longhorns, Pittsburgh Pirates and New Jersey Devils, allowing fans to experience a seamless shopping experience across online, mobile and physical store locations.Position InformationCalling all sports fans! Fanatics, Inc. is seeking energetic Data Analyst to work with our fulfillment team in Frazeysburg, Ohio. We are looking for customer-oriented representatives to act as a liaison by providing inventory and quality analysis for our Fans. Data Analysts will be assigned to the Inventory Control department and work closely with the Operations teams in Inbound and Outbound. The role incumbent will provide be responsible for providing data and analytical support and root cause investigation of defects. BenefitsFull Time Fanatics Associates are entitled to benefits such as medical, dental, and vision plans; paid time off; quarterly volunteer paid time off; holiday pay; 401k and applicable company match; and company discounts, during the terms of employment. Responsibilities: •Development of Data Collection Processes and Data Management Systems•Designing of Queries, Compiling of Data, and Generation of Reports in MS Access and Excel•Create Scripts for Importing, Exporting, Analyzing, Mapping, and Converting Data•Collaboration with Members of other Departments, Subject Matter Experts, and Internal Customers with Ongoing Decisions Regarding Data Collections, Analysis, and Methodology•Document Queries Used to Generate Datasets for All Daily Reports and Ad Hoc Requests•Charting and Graphing of Data for Reporting Purposes•In Depth Research of Defect Trends•Data Collection and Entry as Needed•Data Mining and Problem Solving•Performs as a Liaison Between Department and Senior Management•Performs Tasks with Minimal Direction and Uses Initiative to Make Changes for Added Benefits•May Assist with the Strategic Direction of Processes and Analytic Procedures by Being a Change Agent for the Team•Recognize and Define Problems, Understand Business and System Processes, Collect Data, Establish Facts, and Draw Valid ConclusionsBasic Qualifications:•High School Diploma or Equivalent is Required•1+ year of Database Experience•Ability to Work Extra Hours as Required•Proficient with Microsoft Excel and Access (Pivot Tables, PowerPoint, Formulas, Macros)•Problem Solving Skills and the Ability to Identify Trends in the Data and Suggest Resolutions or RecommendationsPreferred Qualifications:•Demonstrated Problem Solving Skills and Analytical Skill•Experience with SQL •Proven Ability to Work Productively and Efficiently in an Independent Setting•Proven Ability to Clearly Communicate with Managers and Associates at All Levels•Global Perspective and Solid Understanding of Business Objectives•Excellent Attention to Detail and Work with the Highest Level of Accuracy•Excellent Attention to Detail and Work with the Highest Level of Accuracy•Initiative to Develop Tools, Data Collection Processes, and Data Management SystemTryouts are open at Fanatics! Our team is passionate, talented, unified, and charged with creating the fan experience of tomorrow. The ball is in your court now.|data analyst|5|Frazeysburg| OH
Procter & Gamble|"Do you love diving into data sets? Would you enjoy telling stories and helping others see the benefit of data based decision-making? As a Senior Data Analytics Manager at P&G, you are a Business Leader: you should be an effective communicator, ambitious, and able to drive insights into actions that improve P&Gs business results. Youll need to mine multiple sources of data, derive actionable insights, and translate complex results or algorithms into simple conclusions that will empower others to take action to win with consumers. You will be a primary driver of delivering insights that will educate and influence key business decision-making with our Customer and Brand teams. Business knowledge, social, and communication skills are therefore needed to thrive in this multi-functional leadership team.

We would like you to lead and improve analytical programs and results of your business unit / category / region together with consumer research.

Deliver analytic insights in several business domains including consumer, customer, digital, market & share performance. With a combination of analytical expertise, data and system knowledge and business insight, youll answer and anticipate critical business questions and opportunities and deliver critical insights to the business in ways that make significant impacts.Build analytic capabilities to grow organizations knowledge.Develop in-depth business, analytical and systems knowledge to improve or build analytical solutions, approaches and business recommendations.Demonstrating data visualization (Power BI, Tableau, Excel), and analytic tools (R, SAS, JMP, Python, Spark) to grasp the business insights from our mountain of data is what you will experience. Collaboration with multi-functional teams (Consumer Research, Finance, Marketing, IT, Sales)

We believe you are an excellent fit, if you have:

A Bachelor or Masters Degree in a quantitative field (Operation Research, Computer Science, Engineering, Applied Math, Economics, Statistics, Analytics etc)
Experience conducting quantitative and qualitative analysis with analytics techniques to solve defined business problems.
Ability to communicate and influence agreement to your recommendations
Experience telling stories and selling with data and insights.
You are comfortable working with diverse business scenarios, handling multiple priorities and have a business & consultancy mind-set, while technically (data) savvy.
Passion about discovering new things and ability to learn quickly.

We would also love to find someone who has:

Good social skills, self-motivated, dynamic, reciprocal and ""can-do"" attitude
Related full-time or internship experience with FMCG, Media, Ecom industry analytics
Data management and visualization skills / tools (SQL, KNIME, Spotfire, PowerBI or similar) is an advantage
Programming languages (Python, R, C# or Java) an advantage
4+ years of related experience

We want you to know:

We are committed to providing equal opportunities in employment. We value diversity and do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status.

All will receive consideration for employment without regard to race, color, religion, sex, national origin, protected veteran status, disability status, age, sexual orientation, gender identity and expression, marital status, citizenship, HIV/AIDS status or any other legally protected factor.

Immigration sponsorship is not available for this position, except in rare situations based on Procter & Gamble's sole discretion. Applicants for U.S. based positions are eligible to work in the U.S. without the need for current or future sponsorship. We do not sponsor for permanent residency. Any exceptions are based on the Company's specific business needs at the time and place of recruitment as well as the particular qualifications of the individual.

Procter & Gamble participates in e-verify as required by law.

Qualified individuals will not be disadvantaged based on being unemployed."|data analyst|5|Cincinnati| OH
Insight Global|"Must-have *

Data Analytics experience.

Experience using SAS.

Great communication skills (They are going to be interacting with the sales team).

Great organizational skills, and ability to be proactive.

Plusses

R experience

Day-2-Day *

Insight Global is looking for a Category Analyst to sit onsite in Westlake, OH. This person will be responsible for collecting data for the sales team using SAS. They will be analyzing the data for the Holiday Cards including (Christmas, Graduation, Birthdays etc..) With guidance from the Sr. Category Analyst, this candidate will build basic proficiencies in interpreting and analyzing data using statistical and mathematical software packages.

Job Type: Full-time

Salary: $59,000.00 /year

Experience:

SAS: 1 year (Required)Data Analytics: 1 year (Required)
"|entry level data analyst|1|Westlake| OH
Kelly Services|"Kelly Services is seeking a Data Analyst for a market leader in the design, manufacture and distribution of fashion, luxury, sports and performance eyewear located in Mason OH.

Job Title: Data Analyst

Location: Mason OH 45040 (Local candidates only)

Type: Contract (W2)

Length: 3 months

Pay Rate - $17.50/HR

Job Description:

The Data Analyst acts as the main information and reporting resource and systems expert for the Product/Planning team. Demonstrates leadership in critical thinking skills and challenges the department to analyze the business in new ways and continually drive results. Viewed as an expert for the area of responsibility. Responsibilities include analyzing performance within the department, develop methodologies and functionalities to automate and streamline reporting tools and databases for the Product/Planning team, and provide training to incoming associates.

KNOWLEDGE & SKILLS REQUIRED

• MS Excel – ability/aptitude to learn/create complex spreadsheets using advanced formulas (V-lookups, IF statements; pivot tables; macros).Advanced knowledge of Excel and Access. VERY excel knowledgeable; writing formulas, troubleshooting formulas, pivot tables, graphs, VLook, etc.

•MS Word – ability/aptitude to learn/create professional memos

•Visual Basics knowledge is a plus.

•Prior knowledge of planning is preferred. Working knowledge of Planning, Buying and Merchandising principles

RESPONSIBILITIES

• Represent the Product Group to evaluate data requirements and work with IT on development of systems, file structures and data elements (i.e., SGH data warehouse, Marketmax priming data and JDA attributes)

• Act as consultant on systems projects to maximize efficiencies and resources.

• Participate in user acceptance testing of new systems or enhancements/modifications.

• Trouble shoot issues encountered by user group, monitor and communicate to IT/Supply Ops.

• Document all newly developed processes and automation tools for Product Group.

• Become system expert and transfer knowledge through formal training classes and informal 1-on-1 assistance.

• Ensure integrity of data structure, processes and related tools (i.e., Universal Product Codes or Multi-Sourced Items) and communicate details to other parties like counterparts in Italy. Report Creation, Generation and Automation

• Play a key role in the startup of all projects requiring data analysis. Identify best practice to obtain information and develop a format to provide the information to management.

• Assist team with development of complex Excel spreadsheets, automation formulas, and custom formatting of reports.

• Manipulate data (merging or importing/exporting) between databases to provide more useful information.

• Streamline processes to minimize time and ensure highest level of accuracy, including validation before delivery to end-user.

• Prepare regular (weekly/monthly) reports utilizing the report-writing tools Business Objects, MS Query and/or AS 400 query, continually modifying to meet new business requirements. Data Analysis and Forecasting

• Provide Planning Manager with historical sales and inventory information and make recommendations on product and inventory direction where necessary.

• Recap promotional activity and determine impact on sales and recommended adjustments to future forecasts for related items.

• Evaluate performance at a style/SKU level and forecast sales/replenishments based on style cannibalization, stock position, and expansion plans within the assortment.

• Translate analysis/findings into information to guide Planning or Product Managers on assortment decisions.

• Supply upper management with analysis of key performance indicators within department/classifications.

• Evaluate inventory supply to support promotional events and communicate issues to marketing representatives/upper management

• Track seasonal indices by classification for planning and comparison to factory forecasts.

• Monitor Distribution Center inventory levels in bin locations to ensure inventory is available for replenishment.

• Provide the SGH/LC Product & Planning teams with ad hoc analysis as needed.

*** If this position may be of interest to you, please email me back at shai879@kellyservices.com (with your most up to date resume, for further consideration) and advise the best time and number at which you can be reached. If not for yourself, feel free to share this opportunity within your network! ***

For quick inquiries, feel free to CHAT LIVE WITH ME NOW! (8am – 5pm CST)

Apply Today!

Shazneen Irani

Professional Technical Recruiter

Kelly Services, Inc.

shai879@kellyservices.com

kellyservices.comWhy Kelly®?</p>With Kelly, youll have direct connections to leading IT organizations in the best companies around the globeoffering you the chance to work on some of todays most intriguing, innovative and high-visibility projects. In a field where change is the only constant, our connections and opportunities will help you take your career exactly where you want to go. We work with 90 of the Fortune 100 companies companies and found opportunities for more than 8,600 IT professionals last year. Let us help advance your career today.About Kelly®</p>At Kelly, were always thinking about whats next and advising job seekers on new ways of working to reach their full potential. In fact, were a leading advocate for temporary/nontraditional workstyles, because we believe they allow flexibility and tremendous growth opportunities that enable a better way to work and live. Connecting great people with great companies is what we do best, and our employment opportunities span a wide variety of workstyles, skill levels, and industries around the world.

Kelly is an equal opportunity employer committed to employing a diverse workforce, including, but not limited to, minorities, females, individuals with disabilities, protected veterans, sexual orientation, gender identity. Equal Employment Opportunity is The Law."|data analyst|1|Mason| OH
Apex Systems|"Job Description

Job #:  1013309

Data Analyst

Apex Systems, the Nation’s 2nd largest IT Workforce Solutions organization, has an immediate and exciting opportunity for Data Analyst role for a Fortune Global 500 healthcare services company in Columbus, Ohio. This opportunity is for a 6 month open-ended contract with right-to-hire.

Applicants must have 1-2 years Data Analytics experience. If you’d like to receive Job Alerts from Apex that match your specific criteria, visit itcareers.apexsystemsinc.com.

Company & Group Details of the Data Analyst:

The Data Analyst will work as part of a collaborative team in a fast paced enterprise environment. The individual will need to be able to manage and move data to make it more useful for operations decision support. Will work on a team to help design and create capacity management across the enterprises Infrastructure. Work for one of the region’s Top Healthcare services company.

Requirements for the Data Analyst:

Degree in computer science 1 to 2 years experience working with SQL. Ability to package, move and validate data. Able to look at data and identify growth and utilization trends. Able to pull and manipulate data to discover trends to aide in capacity planning for compute, storage, network, etc. Ability to adopt and learn new technologies quickly.

Technologies for the Data Analyst:

Degree in Computer Science Experience with MS SQL, Python, and SharePoint is preferred. Strong experience with SQL Server, can have light experience with Python. Advanced Excel Skill (formulas, Power Pivot, Pivot Table)


If interested, feel free to reach out directly to Jaime Collins or Cassie Savely at 614-467-4200.



Please note that as a contract employee of Apex Systems, you’d be eligible for Health, Dental, Vision and Life Insurance; Short Term Disability; Hospitalization Coverage; Direct Deposit; Weekly Pay Periods; Training and Development Programs; Corporate Discounts/Perks and our Referral Program.


EEO Employer

Apex Systems is an equal opportunity employer. We do not discriminate or allow discrimination on the basis of race, color, religion, creed, sex (including pregnancy, childbirth, breastfeeding, or related medical conditions), age, sexual orientation, gender identity, national origin, ancestry, citizenship, genetic information, registered domestic partner status, marital status, disability, status as a crime victim, protected veteran status, political affiliation, union membership, or any other characteristic protected by law. Apex will consider qualified applicants with criminal histories in a manner consistent with the requirements of applicable law. If you have visited our website in search of information on employment opportunities or to apply for a position, and you require an accommodation in using our website for a search or application, please contact our Employee Services Department at 844-463-6178-6178.
"|data analyst|2|Dublin| OH
LEWCO Inc|"Job DescriptionWELDER II 2nd SHIFT (18% shift premium!!)We have an immediate opportunity available in Sandusky, OH on our 2nd shift team (3:15 p.m. - 11:45 p.m.). This position performs fit-up and welding of products from mechanical drawings using GMAW (mig) processes as required. KEY DUTIES:

Interpretation of mechanical drawings including weld symbolsPerforms quality checks using appropriate gages (calipers, dial indicators)Performs welding of company parts made of carbon steelPerforms basic fit-up of company product to mechanical drawings with assistancePerforms welding of small company products with no interventionPerforms coordination with welders in the fabrication of some company productsDesigns and builds simple jigs and fixtures for multiple piece tasks or as needed

CANDIDATE REQUIREMENTS:



High School Diploma/GED requiredHigh school or post-high school education / training / certification in welding preferred2 years GMAW (MIG) weld experience preferredRead/understand mechanical drawings and weld symbols preferredMust pass math & measurement assessmentMust pass GMAW (MIG) weld test

LEWCO, Inc. offers

Competitive CompensationHealth Care CoverageLife InsurancePaid holidays and vacationTuition Assistance401K with Company Match And more!

LEWCO, Inc., a world class ISO 9001:2015 manufacturer of industrial conveyor systems and industrial ovens, has the versatility to provide the best solution at the best value, direct to our customers. A proven business track record of high quality and customer service!LEWCO A drug-free workplace.

EOE AA M/F/Vet/Disability

Qualified applicants will receive consideration for employment without regard to their race, color, religion,national origin, sex, sexual orientation, gender identity, protected veteran status, or disability.

Company DescriptionLEWCO, Inc., a world class ISO 9001:2015 manufacturer of industrial conveyor systems and industrial ovens, has the versatility to provide the best solution at the best value, direct to our customers. A proven business track record of high quality and customer service!"|data analyst|0|Sandusky| OH
Ettain Group|" Job Title:  Data Analyst

Location: Cincinnati, OH

 Industry:  Retail

 Terms:  Contract

 Requirements:  R, SQL, Excel, Data Analysis

Data Analyst Job Summary  :

Gathering, summarizing, and analyzing data that the team deems necessary. Identify and communicate any data related issues/recommendations to the team, so they can quickly develop a resolution.

Data Analyst Job Responsibilities:

 Pull and summarize data from corporate/division systems as needed  Perform selected/required key analysis as needed  Maintain store and department-level database  Develop and maintain store and department savings estimate model and database  Identify and communicate any data-related issues and recommendations to the business owner, assistant process change manager, senior process specialist and the team  Create processes that sustain continuous improvement  Perform selected/required key analysis as needed

 Data Analyst Job Requirements:

 Sequel experience and R experience  1+ years of analytical experience  Data Analysis  Creative and alert to new ways of approaching tasks  Ability to collaborate with committees to get desired results  Strong analytical skills  Highly organized and proficient at multi-tasking  Advanced proficiency in Microsoft Office  Strong knowledge of information retrieval programs (Focus, Business Objects)  Strong written and oral communication skills  Knowledge summarizing observations  Strong knowledge of financial statements and information retrieval programs (Focus, Business Objects)

Data Analyst Words  :


 R, SQL, Excel, Data Analysis  Java, SQL, etc.

 Frequently Asked Questions:

 Benefits?  Yes, provided by ettain group  Remote Workers?  Not eligible, must work onsite with the team  Visa Sponsorship?  Not offered  Corp-to-Corp?  Yes, C2C candidates are being considered

 How to Apply:

For immediate attention please apply online and send a text message for Emily Neale at 704-945-9996

 ettain group  is a talent solutions company dedicated to matching people with the most relevant employment opportunities in IT, healthcare IT and the digital creative space. Top employers and highly skilled talent throughout the U.S. select ettain group for a better recruitment experience. Our culture empowers teams with the flexibility to deliver a superior candidate experience and client experience using market intelligence. We recruit resources, own projects and manage programs to offer a wide range of IT development and talent solutions to our clients and candidates. To learn more about ettain group visit www.ettaingroup.com . To explore more job opportunities with ettain group, visit www.ettaingroup.com/job-board.aspx - provided by Dice"|data analyst|0|Cincinnati| OH
Techlink Systems|"Job DescriptionWe are seeking a Data Analyst to become an integral part of our team! You will analyze data to understand business and market trends in order to increase company revenue and efficiency.

FULL TIME, PERMANENT

Responsibilities:

Set and achieve high standards and goals for the IT/Finance TeamMaintain manual upload responsibilities such as setting-up and mass loading product information in ERP system i.e. items, bill of materials, routes, price files, export controls.Responsible for user acceptance testing (UAT) of new report builds and automations. Define, create and maintain work instruction documentationResponsible for improving operation efficiency and effectiveness through development and deployment of technology solutions. Maintain a positive can-do attitude that produces a great energy for personal/group success

Qualifications:

3 years of experience working as a Business/Data Analyst in Finance and Operations3 years of experience working in Business Intelligence and/or ERP SystemsExperience with Tableau, NDS, MS Access, SQL, Business Objects or other reporting and visualization tools.Experience with ERP/MRP systems such as NDS, Oracle, SAP and/or PeopleSoftBasic AS400 query buildingBachelor’s degree in information systems or related discipline.Oracle database and PL/SQL training preferred.Strong quantitative and analytics capabilitiesEffective written and oral communications skillsOrganized and deadline focusedWorks well with cross functional teams to drive solutions through understanding of company products, process and organization.

Company DescriptionTechLink Systems is a privately held IT Consulting Firm that provides Consulting Services to organizations nationwide. TechLink Systems is a certified MWOBE and has been in business since 1998. Our network spans all major U.S. metropolitan areas touched by major sectors such as entertainment and leisure, finance, industry and government, health sciences, and information technology. Whether you are a client seeking IT services and support or a candidate searching for new opportunities, TechLink System's outstanding customer service and dedication will exceed your expectations in the marketplace! TechLink has 6 regional offices located in San Francisco, Los Angeles, New York City, Philadelphia, Manila, and Bangalore.

http://www.techlinksystems.com/

Awards:

Ranked Top 500 Asian-Owned & Asian Pacific American-Owned Businesses in the US -Ranked Top 100 Diversity-Owned & Privately-Owned Businesses in California -Ranked INC500 Fastest Growing Private Companies -Ranked Top 100 Largest Women Owned Business San Francisco Business Times -Ranked 50 Largest Minority-Owned Companies San Francisco Business Times - Ranked in Top 100 Woman Owned Business in the US, Diversity Business -Ranked in the Top 10 Minority-Owned Businesses in the Philadelphia Business Journal -Ranked in the Top 50 Woman-Owned Businesses in the 2014 Philadelphia Business Journal
"|data analyst|0|Archbold| OH
Orthopedic One|"Position Summary: This position is responsible applying quantitative methodologies, techniques and tools to develop desired analytic solutions, reporting to the CEO. Collaborate between multiple functional areas/business units in the problem-solving process. Position requires maintaining strict confidentiality of all data and information as the position will have access to business sensitive or confidential information including patient clinical or financial information.

Responsibilities/Accountabilities:

Reporting and Analysis:

Meets with various leaders requesting reporting to resolve questions about pending report requests and developing appropriate reconciliation/validation for developed reports.

Create new queries and analysis tools, develops databases as needed and acquires data desired.

Effectively translate complex business needs into actionable data modeling exercises.

Develop high quality infrastructure or quantitative analysis tools; normalize data for reporting ease.

Interprets results, identifies trends, and provides key stakeholders, executive leadership, and directors with business insights and performance metrics through the use of data analysis methods and modeling.

Effectively communicates to key stakeholders the results and recommended action items.

Perform analysis on an ad hoc basis as required to support the strategic and operational needs of the leadership team.

Serve as a liaison between analytics and operational departments.

Teamwork:

Works collaboratively with colleagues to support Orthopedic One mission, vision and values.

Shares knowledge and insights with leaders in a constructive manner

Function in a highly matrixed, fast paced, and team-based environment.

Policies and Procedures:

Knows and complies with policies and procedures as enumerated in the Orthopedic One Employee Handbook and policies and procedures documents.

Provides assistance and support to leadership in implementing policies and procedures as necessary.

Actively participates in training, and conducting day to day work activity by adhering to all policies and procedures as enumerated in compliance and risk management programs.

Education, Experience, and Certification/Licensure Required:

Associates or Bachelors Degree in a business or information technology major preferred with a minimum of 2 - 3 years’ experience in an analytics or business intelligence role. Commensurate experience working in healthcare environment performing the duties of this position may be deemed appropriate qualification in lieu of a degree. Demonstrated ability to use various software such as MS Office (Excel, Access, and PowerPoint), and SQL at an advanced level is required. Requires excellent communication, analytical, facilitation, problem-solving skills and experience leading projects. Quantitative reasoning and practical thinking methodology and strong attention to detail required. Strong technical skills, business acumen, experience with process evaluation and improvement, and healthcare experience preferred.

Location: Orthopedic One · Administration

Schedule: Regular Full Time, Day Shift"|data analyst|1|Dublin| OH
MTD Products Inc|"Founded in 1932 and headquartered in Valley City, Ohio, MTD Products Inc is a global leader in outdoor power equipment with manufacturing facilities, offices and distribution around the world. MTD’s engineering expertise and state-of-the-art facilities are known for innovation and award-winning mowers, snow throwers, trimmers, chain saws, utility vehicles and hand tools for both residential and professional lawn and landscape markets. MTD’s family of brands includes Cub Cadet®, Troy-Bilt® and Remington®, as well as Robomow®, Yard Machines®, Rover®, and WOLF-Garten®.

Purpose:

A Data Analyst is responsible for designing and developing data models and data architecture solutions for key analytics projects. Works with business users, functional analysts and data warehouse analysts to turn data into information, information into insight. Responsible for preparation of system requirements, analyses and design throughout MTD’s data analytics implementation. Works with Business Analysts to create statistical data analysis and has the unique ability to create Analytical Data Models that predict and prescribe scenarios to facilitate business decisions.

The Data Analyst works with members of the business community and IT groups to overcome data issues to deliver an efficient Analytics System.

Essential Duties:

Completes all assigned tasks on time, at the highest quality level, with the best value that meets or exceeds customer expectations.

Interpret data, analyze results using statistical techniques and provide ongoing reports

Develop and implement ETL process and other strategies that optimize statistical efficiency and data quality

Design and Create data models for both star schema and relational databases that are optimal for reporting and analytics.

Identify, analyze, and interpret trends or patterns in complex data sets

Filter and “clean” data, and review patterns, reports and performance indicators to locate and correct process problems

Locate and define new process improvement opportunities

Develops and maintains standardized architectural and system design documents.

Works with IT management to assist with resource planning and prioritization

Responsible for maintaining and extending the Analytics data model.

Works with team members to make recommendations with respect to methodologies and technology selection and usage.

Support and work with end users to help find information.

Recognize and report key issues to supervisor

Report status to supervisor of assigned deliverables

Manage own time and work effort effectively

Specialized Knowledge/Skills:

Experience in complete life cycle of design, development and implementation of Data Analytics projects including specifically designing Analytics data model;

Expertise with data models, database design development, data mining and segmentation techniques

Basic understanding of statistics and experience using statistical packages for analyzing large datasets (Excel, SPSS, SAS etc)

Strong analytical skills with the ability to collect, organize, analyze, and disseminate significant amounts of information with attention to detail and accuracy

Experience working with BI and Data Visualization tools (Cognos, Business Objects, Tableau, Qlik etc)

Experience creating OLAP Cubes and data architecture; logical and physical Database design, and business intelligence reporting

Understanding of data warehouse design methodologies and best practices

Proven track record of successful BI and Analytics solution delivery and involvement.

Expert SQL skills

Adept at queries, report writing and presenting findings

Working knowledge of relational database architecture

ETL Development methodologies

Experience/Educational Requirements:

5 years of experience in Information Technology.

3 of the 5 years working in Data Warehouse/Business Intelligence Environment.

Bachelor’s degree in information systems or general business

Expert in system analysis, technical design, development and implementation

Thorough knowledge of data warehouse design methodologies and best practices

Experience with Dimensional Data modeling tools Experience with Oracle and SQL databases and PLSQL Experience with OLAP reporting tools, primarily Cognos tools

Excellent communication skills

Excellent problem solving skills

Self starter and ability to work independently

Experience with Cognos toolset, including Report Studio, Analysis Studio, Query Studio and Metrics Studio

Experience with ETL tools, such as Datastage, Informatica, etc

MTD seeks to passionately create, build and deliver great products and services that consumers all over the world enjoy using to improve and beautify lawns and gardens. To learn more, please visit www.mtdproducts.com.

MTD offers a competitive salary and benefit package that includes 401k, Defined Contribution Plan, Health and Dental Insurance, Vision Insurance, Tuition Reimbursement, paid vacation, paid holidays.

MTD is an equal opportunity employer M/F/D/V."|data analyst|5|Valley City| OH
