Unnamed: 0,company_name,job_summary,job_title,City,State,title,state1,region
0,ABB,"The Energy Market Data Analyst role supports multiple products in the Enterprise Software group, providing data and insights to a broad spectrum of clients.",Energy Market Data Analyst,Broomfield, CO,Data Analyst,Colorado,West
1,DISH,We are seeking a Data Analyst for the Data Governance team.Work with data warehouse teams to improve Sling's data quality and resolve data issues.,Data Governance Analyst,Englewood, CO,Data Analyst,Colorado,West
2,Expedite LLC,3+ years of Proven experience as a Data Scientist or Data Analyst.Data mining using state-of-the-art methods.Job Title: Data Scientist|| Machine learning.,Data Scientist|| Machine Learning,Broomfield, CO,Data Analyst,Colorado,West
3,DaVita,"In addition to receiving and transforming data received from external partners, the Data Analyst will support the data analytics team by creating, implementing…",Data Analyst IKC,Denver, CO,Data Analyst,Colorado,West
4,Occam Solutions,"Build data solutions, tools, and capabilities to enable self-service frameworks for data consumers to monitor and report on data.",Data Analyst with TS SCI Clearance - Colorado Springs CO,Colorado Springs, CO,Data Analyst,Colorado,West
5,Sunrun,"3+ years of Business Intelligence Analyst, Business Analyst, or other technical Data Analyst experience.Data visualization and report design utilizing data…",Business Intelligence Analyst - Field Service,Denver, CO,Data Analyst,Colorado,West
6,Halfaker and Associates,"Build data solutions, tools, and capabilities to enable self-service frameworks for data consumers to monitor and report on data.",Senior Data Analyst,Colorado Springs, CO,Data Analyst,Colorado,West
7,Ria Financial,"Collaborate with business stakeholders on development / improvement of data collection tools, data warehousing, and regular reporting.",Data Analyst,Denver, CO,Data Analyst,Colorado,West
8,One Touch Intelligence (OTI),"Data Analysis: Utilize tools such as Excel, Python, and SQL to perform data analysis on existing data sets.Data Verification: Act as a critical member of the…",Junior Data Analyst,Greenwood Village, CO,Data Analyst,Colorado,West
9,DaVita,"Legal Operations Analyst - Denver, CO.Analyst will support the legal department’s operation activities related to monthly reporting, data analytics, process…",Data Analyst - Denver,Denver, CO,Data Analyst,Colorado,West
10,Comcast,Experience with Python and R preferred.Skills managing/manipulating large quantities of data.Provides a variety of financial data; maintains and updates…,"Financial Data Analyst (Centennial, CO)",Centennial, CO,Data Analyst,Colorado,West
11,Bank of America,"5-7 years of experience with information security, data analysis or application development.Hands-on technical abilities: Strong network knowledge (especially…",Data Analyst Research and Innovation,Denver, CO,Data Analyst,Colorado,West
