Unnamed: 0,company_name,job_summary,job_title,City,State,title,state1,region
0,KIPP Foundation,KIPP Chicago seeks a full-time Data Analyst for our Regional Data Team.Support regional compliance efforts by exporting and analyzing data from our data…,Data Analyst,Chicago, IL,Data Analyst,Illinois,Midwest
1,Magnum Insurance Agency,Experience with python for data analysis.Magnum Insurance Agency is currently seeking a Junior Data Analyst.1+ years of experience with MS SQL Server.,Junior Data Analyst,Des Plaines, IL,Data Analyst,Illinois,Midwest
2,Everywhere Wireless,Experience with scripting languages like Python and an expert level understand of utilizing Excel to organize and analyze data.,"Senior Data Analyst, Finance",Chicago, IL,Data Analyst,Illinois,Midwest
3,5thColumn,The Data Scientist / Data Analyst role will be directly responsible for the successful support and operations of our customer's data lake strategy.,Senior Data Scientist,Chicago, IL,Data Analyst,Illinois,Midwest
4,Top-Line Furniture,"Reconfigure data as necessary to conform to system requirements.Experience in VBA, R, SQL, or Python helpful, but not required.Minimum cumulative GPA of 3.2.",Business Data Analyst,Itasca, IL,Data Analyst,Illinois,Midwest
5,"Groupon, Inc.",The role of Data Analyst is to utilize the available processes to generate internal and external reporting.You're passionate about data and e-commerce.,"Data Analyst, New Graduate",Chicago, IL,Data Analyst,Illinois,Midwest
6,Journera,"A passion for data and finding the story that the data tells.Partner with Engineering and Data Science teams to clean and organize our data, and improve our…",Business Data Analyst,Chicago, IL,Data Analyst,Illinois,Midwest
7,SagaCity,Title :  Data Analyst - Python / SAS.Data Analytics/ Data Science background.Data Analyst (Python/SAS) –– Various Locations.,Data Analyst - Python / SAS,Chicago, IL,Data Analyst,Illinois,Midwest
8,VeoRide,At least 2 years of professional experience in an operations analyst or data analyst role.Drive data analysis projects to improve operational KPIs.,Data Operations Analyst,Chicago, IL,Data Analyst,Illinois,Midwest
9,Willis Towers Watson,Strong understanding of data and ability to distill complex raw data sets into easy to follow narratives.The role of the Data Analytics/Engineer will require…,Data Analyst/Engineer,Chicago, IL,Data Analyst,Illinois,Midwest
10,Volt Workforce Solutions,"We are seeking a Data Analyst to work onsite at John Deere’s facility in Moline, IL.Experience with R or Python.Knowledge of Microsoft office products.",Data Analyst,Moline, IL,Data Analyst,Illinois,Midwest
11,Everywhere Wireless,Experience with scripting languages like Python and an expert level understand of utilizing Excel to organize and analyze data.,"Senior Data Analyst, Finance",Chicago, IL,Data Analyst,Illinois,Midwest
12,TDS,"4+ years experience in Data Analytics, Data Science or equivalent (i.e. coding in SAS, Oracle, Tableau, Python or SQL).Facilitate evolution of Data Analytics:",Senior Data Analyst,Chicago, IL,Data Analyst,Illinois,Midwest
13,Shoprunner,"Experience with R or Python for data manipulation and analysis.Solid foundation with analytics, deep understanding of the details of how data is created and…",Senior Data Analyst,Chicago, IL,Data Analyst,Illinois,Midwest
14,Caterpillar,"Experience with conducting data analysis using data visualization tools (Tableau, Excel, PowerBI).Assist in interpreting data from warranty, quality and…","Corporate Part-Time Interns: Data Analytics / Data Analyst - Spring and Fall 2020 Internships - OPEN TO LOCAL PEORIA, IL. STUDENTS",Peoria, IL,Data Analyst,Illinois,Midwest
15,Noble Network of Charter Schools,Noble is looking for a Data Analyst (DA) to join our Network Support Team—a team dedicated to providing world-class service to our 18+ schools.,Data Analyst,Chicago, IL,Data Analyst,Illinois,Midwest
16,Caterpillar,"Previous role as a data engineer, IT Engineer, IT analyst, software developer, or data analyst.As a Data Engineer, you will join a team of passionate people in…",Data Engineer,Chicago, IL,Data Analyst,Illinois,Midwest
17,Cameo,"As a senior data analyst, you will help answer Cameo's most challenging questions.3+ years experience with Python or R.A few things about yourself:","Senior Data Analyst, Strategy & Finance",Chicago, IL,Data Analyst,Illinois,Midwest
18,University of Illinois,"Data Analyst - Gies Business Online Programs (125252).SQL proficiency and coding experience with Python, R, or SAS, for data cleaning, manipulation, and…",Data Analyst - Gies Business Online Programs,Urbana-Champaign, IL,Data Analyst,Illinois,Midwest
19,Cars.com,"3+ years professional experience as a data analyst or digital analyst.Extract and analyze data through Adobe Analytics, Tableau, Hadoop, Python, and/or R.",Senior Web Analytics Analyst,Chicago, IL,Data Analyst,Illinois,Midwest
20,AbbVie,"Planning, building and running enterprise class information management solutions across a variety of technologies (e.g. big data, master data, data profiling,…",Hadoop Architect/Engineer,Lake County, IL,Data Analyst,Illinois,Midwest
21,"Freeosk, Inc.","1+ years of analyst experience.A strong partner of the Sales team, the Jr. Data Analyst helps understand our client needs to drive program offerings.",Jr. Data Analyst,Chicago, IL,Data Analyst,Illinois,Midwest
22,The Joint Commission,Participate in all phases of data receipt applications and exploratory data analysis.Develop and follow a set of general steps which begin with extracting the…,Clinical Data Analyst- Quantitative Data Science,Oakbrook Terrace, IL,Data Analyst,Illinois,Midwest
23,Sterling,4+ years of experience with relational data modeling and data warehouses dimensional modeling.Analyze data using statistical methods.,BI Developer,Phoenix, IL,Data Analyst,Illinois,Midwest
24,Rush University Medical Center,Job Title: Senior Clinical Data Analyst.The Senior Clinical Data Analyst will support the data analysis needs of Rush University Medical Center.,Senior Clinical Data Analyst,Chicago, IL,Data Analyst,Illinois,Midwest
25,"Smith Hanley Associates, LLC","Prior experience as a Database Developer, BI Analytics Developer, ETL Developer or Data Analyst.10+ years’ experience in a data processing role.",Data Engineer - PHARMA,Chicago, IL,Data Analyst,Illinois,Midwest
26,CultureFit Technology Staffing,Experience with R or Python is a big plus.You will use our data set to look for insights that will help make a material impact for our business and our…,Data Analyst,Chicago, IL,Data Analyst,Illinois,Midwest
27,Advantech,"Experience with Informatica tools (PowerCenter, Big Data Management, Master Data Management).At least 7-year experience in a several data processing roles such…",Architects & Designers Mainstream II (CII2),Park City, IL,Data Analyst,Illinois,Midwest
28,Livly,"Familiar with data exploration, analysis, and visualization with Python or R.We are seeking a Part-Time Data Analyst to join our team and lead our efforts to…",Part-Time Data Analyst,Chicago, IL,Data Analyst,Illinois,Midwest
29,XSNonline,"Business analyst, data analyst, or similar: 3 years (Preferred).4+ years of experience as a marketing analyst, business analyst, data analyst or similar role.",Data Analyst I,Saint Charles, IL,Data Analyst,Illinois,Midwest
30,Medical Home Network,"The Data Analyst Intern will support the data and analytic needs of a broad range of data warehousing projects, clinical initiatives, and financial analyses.",DATA ANALYTICS INTERN,Chicago, IL,Data Analyst,Illinois,Midwest
