City,State,Unnamed: 0,city,company_name,job_summary,job_title,region,state,state1,title
Broomfield, CO,0.0,,ABB,"The Energy Market Data Analyst role supports multiple products in the Enterprise Software group, providing data and insights to a broad spectrum of clients.",Energy Market Data Analyst,West,,Colorado,Data Analyst
Englewood, CO,1.0,,DISH,We are seeking a Data Analyst for the Data Governance team.Work with data warehouse teams to improve Sling's data quality and resolve data issues.,Data Governance Analyst,West,,Colorado,Data Analyst
Broomfield, CO,2.0,,Expedite LLC,3+ years of Proven experience as a Data Scientist or Data Analyst.Data mining using state-of-the-art methods.Job Title: Data Scientist|| Machine learning.,Data Scientist|| Machine Learning,West,,Colorado,Data Analyst
Denver, CO,3.0,,DaVita,"In addition to receiving and transforming data received from external partners, the Data Analyst will support the data analytics team by creating, implementing…",Data Analyst IKC,West,,Colorado,Data Analyst
Colorado Springs, CO,4.0,,Occam Solutions,"Build data solutions, tools, and capabilities to enable self-service frameworks for data consumers to monitor and report on data.",Data Analyst with TS SCI Clearance - Colorado Springs CO,West,,Colorado,Data Analyst
Denver, CO,5.0,,Sunrun,"3+ years of Business Intelligence Analyst, Business Analyst, or other technical Data Analyst experience.Data visualization and report design utilizing data…",Business Intelligence Analyst - Field Service,West,,Colorado,Data Analyst
Colorado Springs, CO,6.0,,Halfaker and Associates,"Build data solutions, tools, and capabilities to enable self-service frameworks for data consumers to monitor and report on data.",Senior Data Analyst,West,,Colorado,Data Analyst
Denver, CO,7.0,,Ria Financial,"Collaborate with business stakeholders on development / improvement of data collection tools, data warehousing, and regular reporting.",Data Analyst,West,,Colorado,Data Analyst
Greenwood Village, CO,8.0,,One Touch Intelligence (OTI),"Data Analysis: Utilize tools such as Excel, Python, and SQL to perform data analysis on existing data sets.Data Verification: Act as a critical member of the…",Junior Data Analyst,West,,Colorado,Data Analyst
Denver, CO,9.0,,DaVita,"Legal Operations Analyst - Denver, CO.Analyst will support the legal department’s operation activities related to monthly reporting, data analytics, process…",Data Analyst - Denver,West,,Colorado,Data Analyst
Centennial, CO,10.0,,Comcast,Experience with Python and R preferred.Skills managing/manipulating large quantities of data.Provides a variety of financial data; maintains and updates…,"Financial Data Analyst (Centennial, CO)",West,,Colorado,Data Analyst
Denver, CO,11.0,,Bank of America,"5-7 years of experience with information security, data analysis or application development.Hands-on technical abilities: Strong network knowledge (especially…",Data Analyst Research and Innovation,West,,Colorado,Data Analyst
Longmont, CO,12.0,,Xilinx,The ideal candidate will be passionate about using data to answer challenging questions and meticulous about data integrity.,Data Analyst Intern,West,,Colorado,Data Analyst
Denver, CO,13.0,,"Edison Software, Inc.","Desire to learn data modeling technologies (python, spark) and build on statistical knowledge.As part of the client-focused function on the data team, you will…",Data Analyst,West,,Colorado,Data Analyst
Aurora, CO,14.0,,University of Colorado,"Two (2) years of professional level experience with healthcare data (such as data profiling, data quality, data analysis/reporting).",Health Data Analyst/BI Developer,West,,Colorado,Data Analyst
Denver, CO,15.0,,Bank of America,"5-7 years of experience with information security, data analysis or application development.Hands-on technical abilities: Strong network knowledge (especially…",Research and Innovation Data Analyst,West,,Colorado,Data Analyst
Boulder, CO,16.0,,IHS Markit,We are looking for an experienced Data Analyst who can turn project requirements into custom-formatted data.Demonstrated understanding of financial markets and…,Technical Data Analyst,West,,Colorado,Data Analyst
Boulder, CO,17.0,,Scout Clean Energy,"3+ years of data analysis, model development, and data reporting.Scout Clean Energy is seeking a Data Analyst to optimize the profitability of Scout’s…",Data Analyst,West,,Colorado,Data Analyst
Denver, CO,18.0,,CirrusMD,A data analyst with 2-5 years experience who thrives in deriving insight out of complex data.Build and maintain clean data models allowing business users to…,Data Analyst,West,,Colorado,Data Analyst
Denver, CO,19.0,,"Frontier Airlines, Inc",3 to 5 years of experience as a data analyst or business data analyst.As part of the Marketing Analytics team – the Analyst will be responsible for…,Ancillary Products Analyst,West,,Colorado,Data Analyst
Denver, CO,20.0,,"Frontier Airlines, Inc","The Analyst will be responsible for building data pipelines & coding automated reporting processes, creating data visualizations and dashboards, identifying and…",Senior Data Analyst - Revenue Analytics,West,,Colorado,Data Analyst
Denver, CO,21.0,,xentity corporation,"Could pass ad-hoc technical and whiteboard test given various data ETL and other patterns of real-time, large data, data cleanup, etc. scenarios.",Data Analyst,West,,Colorado,Data Analyst
Colorado Springs, CO,22.0,,T. Rowe Price,"Finally, ensuring robust data quality mechanisms are in place will be a top priority of the Data Analyst.Once the Data Analyst has established the team’s new…",Data Analyst,West,,Colorado,Data Analyst
Broomfield, CO,23.0,,CenturyLink,"Python and/or R data script writing.Bachelor’s degree in Data Science/Analytics with an emphasis in Accounting, Finance, or related field.",Senior Tax Data Analyst,West,,Colorado,Data Analyst
Centennial, CO,24.0,,S&P Global Ratings,"Quality test data using internal tools and data sources, resolve data defects.The Role: Global Ratings Data Office is seeking a Data Researcher to join the…",Data Researcher,West,,Colorado,Data Analyst
Centennial, CO,25.0,,S&P Global,"Quality test data using internal tools and data sources, resolve data defects.Global Ratings Data Office is seeking a Sr. Data Researcher to join the Default…",Sr. Data Researcher,West,,Colorado,Data Analyst
Denver, CO,26.0,,Alterra Mountain Company,The Data Analyst will be an expert in management and querying of large data sets to drive business decisions.Experience building queries manipulating data with…,Marketing Data Analyst,West,,Colorado,Data Analyst
Boulder, CO,27.0,,"Amazon.com Services, Inc.","Familiarity with databases (SQL), data analysis/statistical tools (Excel, R, Python/Pandas), and scripting language (Bash or Python).",Launch Performance Engineer - Robotics,West,,Colorado,Data Analyst
Englewood, CO,28.0,,ViaSat,"As a Data Analyst, you will work with Big Data on network performance, using tools to manipulate diverse real-world data and develop complex data visualizations…",Data Analyst Intern,West,,Colorado,Data Analyst
Centennial, CO,29.0,,Horizontal,"Deliver data insights and troubleshoot issues with data.Debugging and monitoring data transformation.Strong fundamentals in big data concepts, Experience.",Data Analyst,West,,Colorado,Data Analyst
Denver, CO,30.0,,JumpCloud,"Experience or desire to work collaboratively in cross-functional teams with marketing, design, product, data analyst, and research partners.",Full Stack Software Engineer,West,,Colorado,Data Analyst
Buckley AFB, CO,31.0,,Booz Allen Hamilton,3+ years of experience as a data analyst or data scientist.Ability to manipulate and exploit data from structured and unstructured data sources.,"Data Analyst, Mid",West,,Colorado,Data Analyst
Aurora, CO,32.0,,University of Colorado,"3 – 5 years financial data analyst experience.This position requires extensive, diverse and progressively responsible experience with data warehouse design and…",Data Analytics & Business Intelligence Developer,West,,Colorado,Data Analyst
Denver, CO,33.0,,BPMLinks,"Acquire data from primary or secondary data sources and maintain databases/data systems.Develop and implement databases, data collection systems data analytics…",Data Analytics,West,,Colorado,Data Analyst
Aurora, CO,35.0,,University of Colorado,Experience with data management and integration of data sources.Experience serving as a data analyst or computational biologist on multiple projects.,Research Instructor,West,,Colorado,Data Analyst
Denver, CO,0.0,,Jobot,"If you are an Infrastructure & Data Engineer, then please read on….Experience with data wrangling libraries (Pandas, Numpy).What can we do for you?","REMOTE Infrastructure & Data Engineer - Python/Go, Docker, Kubernetes, Kafka",West,,Colorado,Data Engineer
Denver, CO,1.0,,Digital First Media,"Build, monitor, and maintain data ETL pipelines and SQL scripts used to populate data warehouse.Implement systems that validate data, ensure quality and…",Data Engineer,West,,Colorado,Data Engineer
Denver, CO,2.0,,Evercommerce,You are an experienced data engineer who has a strong background in project management and platform ownership.Fitness stipend and onsite gym.,Business Intelligence Engineer,West,,Colorado,Data Engineer
Lone Tree, CO,3.0,,Charles Schwab,"Designing, building and support data processing pipelines to transform data in Big Data or Teradata platforms.Your detailed duties would include:",Data Engineer,West,,Colorado,Data Engineer
Fort Collins, CO,4.0,,WeatherFlow,"WeatherFlow is looking for an experienced weather data engineer to join our weather modeling team in Fort Collins, Colorado.Web and/or API programming skills.",Weather Data Engineer/Scientist,West,,Colorado,Data Engineer
Denver, CO,5.0,,CapTech Consulting,"Specific responsibilities for the Data Engineer, Analytics position include:Specific qualifications for the Data Engineer, Analytics position include:",Data Engineer,West,,Colorado,Data Engineer
Denver, CO,6.0,,"Amazon Data Services, Inc.",The Business Intelligence Data Engineer will:As a Business Intelligence / Data Engineer you will enable data-driven decision making within the Amazon Web…,Business Intelligence / Data Engineer,West,,Colorado,Data Engineer
Denver, CO,7.0,,Guild Education,"In addition to working on the Business Intelligence team, in this role you will collaborate with other Guild leaders including: Noah Yetter ( https://www…","Senior Business Intelligence Analyst, Infrastructure",West,,Colorado,Data Engineer
Boulder, CO,8.0,,Horizontal,"We’re mostly a python shop, so experience with python required.As a data engineer, your general responsibilities will include bolting together the core…",Python Data Engineer,West,,Colorado,Data Engineer
Denver, CO,9.0,,Western Union,"Join Western Union as a Data Engineer!You code fluently in Python, Scala, or Java, and have mastery of SQL.You will provide technical data and system support…",Data Engineer,West,,Colorado,Data Engineer
