company_name,job_summary,job_title,City,State
The David Round Company,"Recommends data changes regarding lead times, minimum balances, lot sizes, and order policy coding relative to scheduling area. 401k plan with employer match.",Plant Engineer (Local Candidates only),Streetsboro, OH
EXAL Corporation,"Rigorously use data and performance metrics to break down functional barriers. The Continuous Improvement Engineer will lead operational excellence projects,…",Continuous Improvement Engineer,Youngstown, OH
Procter & Gamble,"Performing data discovery to understand data sources. You will work with data analysts and data scientists to understand business needs, data needs, and outcome…",IT-Data Wrangler,Cincinnati, OH
Inspection Engineering,"Document control to record data. Looking for extraordinary people to join our team at Inspection Engineering; Family-owned, great work life balance!_*.",Quality Engineer,Westlake, OH
Mphasis,"Understanding of data management including recovery, security and monitoring. Experience with working ETL platforms such as Data stage is desirable.",Data Engineer USA,United States,
QP Manufacturing,Screw Machine Lead & Process Engineer*. Reviews data to determine material and labor requirements and prepares itemized lists.,Screw Machine Lead & Process Engineer,Chardon, OH
Confidential,Data analysis and using statistical tools. Serve as an authority in data analysis and statistical tools. Share expertise and make recommendations as a part of a…,Manufacturing Process Engineer,Mentor, OH
"Honda R&D Americas, Inc.",Apply data quality checks using data mining and data analysis. Ensure data quality and data management. Ensure strong understanding of data change requirements…,Material Handling Data Engineer,Marysville, OH
"Applied Medical Technology, Inc.","Material characterization techniques and data interpretation. Ability to define problems, collect data, establish facts, and draw valid conclusions.",Polymer Engineer/Scientist,Brecksville, OH
Diebold Nixdorf,Properly handling company data and property. A Data Development Engineer Associate with Diebold Nixdorf’s Service Organization will contribute to the design and…,Associate Data Development Engineer,North Canton, OH
Sierra Lobo,"The data engineer is the liaison between the test customer, electrical/instrumentation engineers and the data acquisition system programmer.",Data Engineer,Cleveland, OH
"Kennametal, Inc.",Data anaylsis and related software (i.e. Experience as an equipment engineer or field service engineering professional who is highly effective working in a team…,Manufacturing Engineer - PVD Coatings,Orwell, OH
State of Ohio Jobs,Coordinates the collection of other data related to treatment plant performance. Reviews IU self -monitoring data and POTW reports for compliance with…,Environmental Specialist 2 (20044660),Twinsburg, OH
Hose Master,Control the performance data and product manufacturing tolerances. Maintain and update product data and test records. Conduct and document product testing.,Product Analysis Engineer,Cleveland, OH
Kroger General Office,"Data warehousing, big data management, analytics development, data science, application programming interfaces (APIs), data integration, cloud, servers and…",Data Engineer,Blue Ash, OH
The J. M. Smucker Company,1+ years in a Data Engineer / System Architect / DevOps role. Determine best practices for acquiring the data necessary for analyses and curate run-model ETL…,Data Engineer,Akron, OH
Verizon,"Voice cells infrastructure experience, such as Lucent, Motorola, Ericsson, LTE, or CDMA data. Training in data communications, digital communications, operating…",Cell Site Engineer,Warrensville Heights, OH
Ameritas,Ameritas Investment Partners is seeking a Investments Data Engineer Intern. Understands foundational concepts of data development and operational procedures…,AIP Intern-Investment Data Engineer,Cincinnati, OH
Keystone Technology Consultants,Microsoft Certified System Engineer (MCSE); Is now seeking to hire a Support Engineer. Objectives of the role of Support Engineer*.,Support Engineer,Akron, OH
