,company_name,job_summary,job_title,City,State
0,"Universal Screen Arts, Inc.","Attentive to detail and high level of accuracy. Passionate about Customers, Colleagues, and Data? Analytical, Creative, Communication, and Leadership strengths…",Marketing Manager - Print & Data Analytics,Hudson, OH
1,Race Winning Brands,"Race Winning Brands is a leader in developing high performance racing engine components with record setting brands including Wiseco Pistons, K1 Crankshafts & JE…",Data Analyst,Mentor, OH
2,LeafFilter Gutter Protection,This is a highly collaborative role where you will be responsible for providing day to day coordination of all activities pertaining to human resource…,Human Resources Data Analyst - Contract,Hudson, OH
3,T-CETRA LLC,We're constantly developing new and creative ways to solve the industry’s most complex problems. Our enterprise software solutions run the gamut of Information…,Data Analyst Tier I,Dublin, OH
4,Harley-Davidson,"Typically requires a minimum of 3 years of related experience. Minimum 3 years of experience maintaining processes related to data readiness, conversions,…",Data Analyst,Valley View, OH
5,University Hospitals,"The Data Analyst II role is to develop, analyze and produce information for internal and external clients and have the ability to explain to recipients in a way…","Data Analyst II, Hudson OH",Hudson, OH
6,Hiram College,"Hiram College invites applications for a Data Reporting Analyst, a full-time position in the Department of Information Technology.",Data Reporting Analyst,Hiram, OH
7,Cuyahoga County Division of Children and Family Se...,"The purpose of this classification is to collect, process, and perform statistical analysis of data and produce related reports, charts, dashboards, and…",Data Analyst,Cleveland, OH
8,Race Winning Brands,"Race Winning Brands is a leader in developing high performance racing engine components with record setting brands including Wiseco Pistons, K1 Crankshafts & JE…",Data Analyst,Mentor, OH
9,Cleveland Clinic,Provides operational and financial information to facilitate management decision making. Assists assigned department and leadership in obtaining information…,Data Analyst-Medical Records/Health Analytics,Cleveland, OH
10,Nestle USA,"And a career that nourishes your future like no other. At Nestlé USA, we are committed to providing high quality products that are essential to living well.",HR Administration Data Analyst,Solon, OH
11,Direct Auto Insurance,"Responsible for contributing to the development of analytics and business insights spanning direct-to-consumer operations, including Sales, Marketing, Product,…","Data Analyst I, II, III",Cleveland, OH
12,Farmers Insurance Group,Join a team of diverse professionals at Farmers to acquire skills on the job and apply your learned knowledge to future roles at Farmers.,Product Analyst II,Independence, OH
13,Progressive,This opportunity is part of the Claims Control Field Staffing and Efficiency Team. As a data analyst on our team you will be responsible for organizing and…,Data Analyst,Mayfield Heights, OH
14,Workplace Staffing Services,These modern corporate offices welcome you to join a prosperous team. This company has landed multiple clients in the past year and continues to grow in size…,Debt Analyst,Hudson, OH
15,NOF Metal Coatings Group North America,Director of Supply Chain Management. The Import / Export Analyst plays a key role in the continuous improvement of NOF Metal Coatings North America (MCNA)…,Import / Export Analyst,Chardon, OH
16,Nestle USA,"And a career that nourishes your future like no other. At Nestlé USA, we are committed to providing high quality products that are essential to living well.",HR Administration Data Analyst,Solon, OH
17,Reynolds and Reynolds,Reynolds and Reynolds is an industry leader in developingsoftware and business forms for the automotive industry. Analysis and problem solving skills.,Entry Level Business Analyst,Dayton, OH
18,Procter & Gamble,Do you love diving into data sets? Would you enjoy telling stories and helping others see the benefit of data based decision-making? We want you to know:,Data Analyst,Cincinnati, OH
19,First Notch Technology,"As a Business Analyst based in Halifax you are responsible for conducting needs assessments, configuring applications, integrating third party apps, building…",Jr. Business Analyst,Dayton, OH
20,Numerator,"Attention to detail is a must. We are currently seeking an enthusiastic, detail-oriented individual to join our company as Data Specialist (bilingual Spanish).",Data Analyst (Bilingual Spanish),Solon, OH
21,"Applied Medical Technology, Inc.","This position primarily is to bridge the gap between Business and Information Tech. This position is responsible for implementing, maintaining and improving the…",IT Business Analyst,Brecksville, OH
22,Sherwin-Williams,"Strong analytical skills and attention to detail. Founded in 1866, The Sherwin-Williams Company is a global leader in the manufacture, development, distribution…",IT Data Analyst Professional Apprentice®,Cleveland, OH
23,CoverMyMeds,"CoverMyMeds is hiring data analysts with all levels of experience! We are in search of driven, self-motivated team-players who will thrive in a constantly…",Data Analyst (all levels),Columbus, OH
24,Root Insurance Company,Attention to detail and remarkable organizational skills. Our data science team makes sense of diverse datasets related to key business problems.,"Data Analyst, Pricing",Columbus, OH
25,FlexJet,Must possess passionate attention to detail and the ability to work in a team atmosphere. The Flight Data Analyst facilitates and supports the Flight Data…,Flight Data Analyst,Richmond Heights, OH
26,Imagine Software,Are you a finance enthusiast with hands on programming experience and a desire to improve your coding skills? Act as front line support handling client requests…,Financial Data Analyst,Cleveland, OH
27,"RevSpring, Inc","Demonstrated analytical skills with accuracy and thoroughness – must be extremely detail oriented. The Insights Analyst position will be based in the Newark,…",Insight/Data Analyst,Newark, OH
28,OneSky Flight,Must possess passionate attention to detail and the ability to work in a team atmosphere. The Flight Data Analyst facilitates and supports the Flight Data…,Flight Data Analyst,Richmond Heights, OH
29,Goodyear,"Goodyear is one of the world's largest tire companies. A Fortune 500 company, we employ approximately 69,000 people and manufacture our products in 52…",Data Science Intern - Global Technology,Akron, OH
30,Jam City,"Strong attention to detail and proven analytical skills. As a leading mobile games developer, Jam City is looking to “level up” our talent for our Bingo team in…",Data Analyst,Toronto, OH
31,Fibre Glast Developments Corp,This position requires daily office arrival and general work hours of 8 – 5 Mon – Fri. If your skill set combines a well-rounded technical skill with a genuine…,IT / Business Analyst,Brookville, OH
32,Insight Global,"Great communication skills (They are going to be interacting with the sales team). Great organizational skills, and ability to be proactive.",Entry Level Data Analyst,Westlake, OH
33,Unlimited Systems,"Unlimited Systems, a 2019 Top Work Place in Cincinnati and an established software company focused on workflow solutions for specialty healthcare, is currently…",Associate Analyst - Data Services,Cincinnati, OH
