company_name,job_summary,job_title,City,State
Solarity Credit Union,"Solarity Credit Union is seeking a Senior Data Analyst in Yakima, WA! Solarity is looking for the perfect Senior Data Analyst candidate with the capability to…",Senior Data Analyst,Yakima, WA
Charlie's Produce,Charlie’s Produce - Who We Are. Charlie's Produce is a privately owned wholesale produce company. We are the largest privately owned produce wholesaler on the…,Data Visualization Analyst,Seattle, WA
Banfield Pet Hospital,The primary purpose and function of the System Analyst Data and Analytics is to serve as the liaison between business end users and data engineers and…,"System Analyst, Data & Analytics",Vancouver, WA
TransWest,"We're looking for an experienced Program Manager. Our Program Managers own client success and satisfaction by planning, organizing, monitoring and collaborating…",Program Manager- Data Analyst,Seattle, WA
Seen by Indeed,Seen by Indeed is a free service that connects qualified job-seekers (that's you) with top companies hiring tech roles.,Data Analyst,Seattle, WA
Skagit Regional Health,Must demonstrate at least 3 years of formal data analytics experience. Job Title Performance Improvement Data Analyst Overtime Status:,Performance Improvement Data Analyst,Mount Vernon, WA
"Transaction Network Services, Inc","The Splunk Analyst is responsible for supporting the efforts of the data science team and it’s overall mission of providing a platform for the ingestion,…",Data Analyst,Seattle, WA
Starbucks,"Now Brewing – Data Analyst, Applied Analytics! From the beginning, Starbucks set out to be a different kind of company. Prepare data for further analysis.","data analyst, Applied Analytics- Seattle, WA",Seattle, WA
Neal Analytics,2 months with the possibility of extension up to 18 months. Minimum base compensation is $35 per Hour and can go higher depending on experience.,Jr Data Analyst,Redmond, WA
Team Red Dog,"You want steady income, outstanding benefits and a job that lets you shine doing what you do best. But more than that, you want a role that will let you dive…",Junior Data Analyst,Redmond, WA
iconvergence,"Strong SQL, Excel, Power BI, SSAS. Analyze different data, and derive insights from the same.",Data Analyst,Redmond, WA
Oracle,Detailed Description and Job Requirements. Manage the development and implementation process of a specific company product.,Data Analyst,Seattle, WA
Microsoft,Data Scientists at Microsoft help to improve the quality of experiences on our devices and services. We are looking for highly motivated and passionate Data…,Internship Opportunities for Students: Data & Applied Sciences,Redmond, WA
REI,This entry-level Contact Center Analyst I position contributes to REI’s success by providing reporting and analytical insight to enable data to drive decision…,"Data Analyst, Sales and Customer Support Contact Center",Sumner, WA
Starbucks,"This position contributes to Starbucks success by guiding business decisions through utilizing data analysis and consulting that results in predicting outcomes,…","data analyst, GSC Metrics & Reporting - Seattle, WA",Seattle, WA
"Waitr, Inc.",We're redefining the dining experience by building a world-class mobile ordering and delivery platform. We are building a two-sided marketplace that is helping…,Data Analyst,Washington State,
