company_name,job_summary,job_title,City,State
Solarity Credit Union,"If you are an individual with a disability and require a reasonable accommodation to complete any part of the application process, or are limited in the ability…",Senior Data Analyst,Yakima, WA
Abstract Tokenization,"Experience creating and using advanced machine learning algorithms and techniques- simulation, scenario analysis, modeling, clustering, decision tree learning,…",Data Scientist,Seattle, WA
Jobot,"Our ideal candidate will come from an industrial Manufacturing environment, have experience with Process Control, Machine Learning, modeling, automation, and…",Data Scientist,Spokane, WA
Tesla,We are looking for a Sr Data Scientist to help develop digital marketing solutions for us.You should be strong in developing Data Algorithms as well as data…,Data Scientist/Machine Learning Engineer,Seattle, WA
eXcell,"We are looking for seasoned engineers with strong passion for customer focused solutions, insight and industry knowledge, and technical expertise who can…",Database Engineer / Data Scientist,Redmond, WA
Microsoft,We are looking for highly motivated and passionate Data Scientists to apply rigorous scientific methodology and algorithms to data in order to improve Microsoft…,Full Time Opportunities for Students or Recent Graduates: Data & Applied Sciences,Redmond, WA
BOEING,Experience in programming any language such as SQL OR SAS OR Python OR R OR any other.Boeing is a Drug Free Workplace where post offer applicants and employees…,Data Scientist,Seattle, WA
Booz Allen Hamilton,"You’ll develop algorithms, write scripts, build predictive analytics, use automation, apply machine learning to turn disparate data points into objective…","Data Scientist, Junior",Seattle, WA
Microsoft,"Python, R, Ruby, node.js, C#, Java, C++, C.If you need assistance and/or a reasonable accommodation due to a disability during the application or the…",Data Scientist,Redmond, WA
"Discovery Communications, LLC",The Data Scientist will bring their experience and skill to the Data Science and Analytics team and contribute wholly or partly in creating scalable data models…,Data Scientist,Bellevue, WA
Allstate,"In R, Python, Matlab) and deep learning tools (e.g.Advise data scientists and business partners on applying NLP in their work and regularly train them on the…",Data Scientist: Deep Learning & NLP,Bothell, WA
Wish,"Apply machine learning techniques to improve Wish’s product and operation.Statistics, machine learning, optimization, and economics.",Data Scientist,Seattle, WA
Knowesis Inc.,"Prior experience using statistical software application such R, Tableau, or other data visualization software.Enter and analyze data within government systems.",Data Scientist I,Lewis McChord, WA
Microsoft,We are looking for highly motivated and passionate Data Scientists to apply rigorous scientific methodology and algorithms to data in order to improve Microsoft…,Full Time Opportunities for PhD Students or Recent Graduates: Data & Applied Sciences,Redmond, WA
Zillow Group,You will serve as a mentor to other Data Scientists on the team and Analysts across the company by leading learning academies and serving as an available…,"Data Scientist, Zillow Offers",Seattle, WA
Tredence Inc.,"Our capabilities range from Data Visualization, Data Management to Advanced analytics, Big Data and Machine Learning.SQL - Advanced HIVE SQL (incl.",Data Scientist / Data Analytics,Seattle, WA
red violet,"Degree in Computer Science, Machine Learning, Math, Statistics, Physics, or related field.Experience working with large data sets for data mining, analytics,…",Data Scientist,Seattle, WA
TIBCO Software,"You will lead technical projects developing analytics deliverables using methods from data mining, machine learning, and statistical modeling.",Senior Data Scientist,Seattle, WA
Vouched,"Expert-level knowledge of machine learning techniques, including cross-validation, regularization, model selection, and deep learning.",Computer Vision Principal,Seattle, WA
KPMG,"Lighthouse – KPMG's Center of Excellence for Advanced Analytics – has both applied data science, AI, and big data architecture capabilities.","Sr. Associate, AI Engineer",Seattle, WA
SAP,"Seeks a Data Scientist at our Bellevue, WA location to build and deploy Machine Learning solutions.Extract and transform data from Large databases to a form…",Data Scientist,Bellevue, WA
NVIDIA,You have experience in Deep Learning / Machine Learning.We are seeking Deep Learning/Machine Learning scientists & engineers who are passionate about solving…,Deep Learning Scientist - Autonomous Vehicles - New College Graduate,Redmond, WA
Microsoft,Our Data Science team is an established team of data scientists working with product teams to identify actionable insights to help our Office and Windows…,Data & Applied Scientist,Redmond, WA
Microsoft,We are looking for highly motivated and passionate Data Scientists to apply rigorous scientific methodology and algorithms to data in order to improve Microsoft…,Internship Opportunities for Students: Data & Applied Sciences,Redmond, WA
"Conceptualeyes, LLC","Degree in a quantitative discipline such as Predictive Analytics, Statistics, Mathematics, or Computer Science with coursework in Machine Learning and Natural…",Data Scientist – Natural Language Processing,Seattle, WA
Grab Taxi,We develop and apply deep learning and machine learning to our large-scale datasets and wide-ranging applications.Get to know the role:,AI Data Scientist,Bellevue, WA
Starbucks,"Under the guidance of more senior data scientists, create clear and concise packaging and presentation of data products and insights to business stakeholders,…","data scientist, Insights & Analytics - Seattle, WA",Seattle, WA
"Amazon.com Services, Inc.","Experience in SQL, R, Python, or another scripting language;Contextual text mining, and application of deep learning to NLP.The ideal candidate will be:",Data Scientist,Seattle, WA
"ExtraHop Networks, Inc.","Our breakthrough approach to analytics and machine learning helps our customers investigate threats, ensure the delivery of critical applications, and secure…",Intern Data Scientist,Seattle, WA
Apple,We're looking for a Data Scientist with a passion for delivering data-informed insights and deep knowledge of testing & experimentation.,Data Scientist - Experimentation,Seattle, WA
XLFN Consulting,"Proficiency with Python, R, MySQL, and MS SQL.Experience with and willingness to support project management, Agile and documentation in Jira.","Data Scientist / BI Developer - Python, R, SAS, Power BI (Remote)",Seattle, WA
Indeed,The base salary range below represents the low and high end of the Indeed salary range for this position.You will build and implement machine learning models…,Senior Data Scientist,Seattle, WA
Liberty Mutual Insurance,"You will manage up to 15 analysts, developers & scrum masters located in Boston, MA, Dover, NH and Seattle, WA.In this role you will:","Manager, Engineering",Seattle, WA
Jobot,Machine Learning Engineer w/ experience converting mathematical models into software algorithms.Our ideal candidate will come from an industrial Manufacturing…,Machine Learning Engineer,Spokane, WA
ASSURANCE,"Our team of world class software engineers, data scientists, and business professionals are modernizing how people obtain and manage their financial life all…",Data Scientist,Seattle, WA
In-Depth Genomics,Data scientists will join the IDG team at our offices in Bellevue WA – relocation support may be discussed on an individual basis.,Data Scientist,Bellevue, WA
Red Violet Inc.,"Degree in Computer Science, Machine Learning, Math, Statistics, Physics, or related field.Experience working with large data sets for data mining, analytics,…",DATA SCIENTIST,Seattle, WA
Amazon Services LLC,"Master’s in a quantitative field such as Machine Learning, Data Science, Statistics, Applied Mathematics, Physics, Computer Science, or Economics.",Data Scientist,Seattle, WA
Concur Technologies,"Seeks a Data Scientist at our Bellevue, WA location to build and deploy Machine Learning solutions.Extract and transform data from Large databases to a form…",Data Scientist,Bellevue, WA
Neal Analytics,"Deep experience with the R statistical programming language, including dplyr and associated packages.Background and experience with statistical methods, data…",Data Scientist,Redmond, WA
Amplero,"You're an expert with data analysis and visualization tools including Python (including NumPy, SciPy, Pandas, scikit-learn) and other packages that enable data…",Data Scientist,Seattle, WA
The Climate Corporation,"In machine learning, statistics, applied mathematics or other relevant technical field.In order to take advantage of increasing amounts of agricultural and…",Data Scientist - Deep Learning,Seattle, WA
Zillow,"Dive into Zillow's internal and third party data (think Hive, Presto, SQL Server, Redshift, Python, Mode Analytics, Tableau, R) to identify opportunities for…",Data Scientist - Intern,Seattle, WA
Virginia Mason Medical Center,"As a member of the Clinical Decision Support/Clinical Analytics team, the Clinical Data Scientist will anticipate and support the information needs of our…",Clinical Data Scientist,Seattle, WA
Dropbox,"Dropbox is looking for Machine Learning Engineers with an academic or practical background in machine learning, ideally with experience in natural language…",Machine Learning Engineer,Seattle, WA
Dropbox,"Dropbox is looking for Machine Learning Engineers, who are completing their PhD with an academic or practical background in machine learning, ideally with…",Machine Learning Engineer PhD - University Grad,Seattle, WA
EY,"Must have 4 years of recent hands-on experience using advanced analytics, machine learning or artificial intelligence to solve business problems.","Data Analyst, Data & Analytics (Advanced Analytics) Manager (Multiple Positions)",Seattle, WA
Varsity Tutors,"We are looking for a proven leader with experience building teams, guiding application of data science and machine learning methods, with an eye and passion for…",Director of Data Science and Analytics,Seattle, WA
"Amazon.com Services, Inc.",Apply statistical or machine learning knowledge to specific business problems and data.Excellent verbal and written communication skills with the ability to…,"Data Scientist, Advertising",Seattle, WA
"ExtraHop Networks, Inc.","Our breakthrough approach to analytics and machine learning helps our customers investigate threats, ensure the delivery of critical applications, and secure…",Data Scientist,Seattle, WA
Visa,"For a payment system to work well, advance technologies such as data platform, big data, data mining, machine learning, cloud, etc. are critical.",Chief Data Scientist,Bellevue, WA
Zillow Group,"You will dive into and explore Zillow's rich set of internal and third party data (think Hive, Presto, SQL Server, Redshift, Python, Mode Analytics, Tableau, R)…","Data Scientist, Zillow Offers ML Team",Seattle, WA
BOEING,"Statistics, machine learning (computer science), data science, mathematics, business analytics, or information systems.Find your future with us.",Data Science & Analytics Intern (Paid) - Summer 2020,Bellevue, WA
"Amazon.com Services, Inc.","5+ years of experience with machine learning, statistical modeling, data mining, and analytics techniques.Bachelor or Master's degree in highly quantitative…","Data Scientist, Alexa Shopping",Seattle, WA
Google,"We support the development of innovative, highly scalable, next-generation technologies through deep research and advanced analysis.","Data Scientist Intern, PhD, 2020",Seattle, WA
Convoy,"The breadth of the problems space is huge, spanning machine learning, optimization, metric definition, econometrics, and analytics domains.",Data Scientist - Marketplace Growth,Seattle, WA
Convoy,"The breadth of the problems space is huge, spanning machine learning, optimization, metric definition, econometrics, and analytics domains.",Data Scientist - Supply Operations,Seattle, WA
Pokemon Company International,"Experience with statistical packages such as R, Python, or SAS.Expert user of SQL for data analysis.Experience with data visualization through Looker, Tableau…",Data Scientist,Bellevue, WA
Mphasis,"Experience with common data science toolkits, such as R, Weka, NumPy, MatLab, etc {{depending on specific project requirements}}.",Data Science Specialist USA,United States,
Big Fish Games,"You have 8+ years of work experience applying data analysis and visualization techniques.Contribute - Work with little to no supervision, partnering with…",Senior Data Analyst,Seattle, WA
ERNIESYS,"How would you like to work in a highly dynamic Health care startup?A BS (preferably an MS or PhD) in a quantitative discipline (such as computer science,…",Data Scientist,Seattle, WA
Facebook,"We're looking for Data Scientists to work on our core and business products (ex.R, SAS) or other methods.You are focused on results, a self-starter, and have…","Data Scientist, Analytics",Seattle, WA
Talking Rain Beverage Company,"Serve as a subject matter expert in Data Science, developing strong relationships with partners across Talking Rain as you conduct and support white-boarding…",Data Scientist,Issaquah, WA
"A2Z Development Center, Inc.",Collaborate with other Devices data scientists and research scientists to build measurement plans/scalable research studies for assessing the impact of…,Data Scientist,Seattle, WA
Facebook,"We're looking for Data Scientists to work on measuring, detecting, reducing, and preventing negative experiences such as Hate Speech and Fake News in order to…","Data Scientist, Analytics (Integrity)",Seattle, WA
Alaska Airlines,"Manage the full data lifecycle for your business problems, including data collection, data mining, data integration, data analysis, extracting insights, and…",Intern- Data Science,Seattle, WA
University of Washington,"Applying (at least) one programming language to construct full scientific pipelines, from data ingestion / clean-up to modeling, to visualization and analysis.",DATA SCIENTIST,Seattle, WA
"Amazon.com Services, Inc.",Predict future customer behavior and business conditions through machine learning and predictive modeling.3+ years of work experience in deep data analysis and…,Product Data Scientist,Seattle, WA
Oracle,"Good foundation understanding of data mining, machine learning and data sciences.Bachelor’s or Master’s degree in a quantitative field such as Statistics,…",Data Scientist,Seattle, WA
Pacific Northwest National Laboratory,"Our research portfolio – spanning from basic to applied – includes statistical modeling and experimental design, applied statistics, applied mathematics,…",Data Scientist - Intermediate,Richland, WA
Law Dawgs,"Implement, support and report on data privacy operational compliance requirements – e.g. Data privacy impact assessment process, data subject access review…",In-House Data Privacy Counsel,Seattle, WA
PSG Global Solutions,"Deep technical skills in machine learning, deep learning, computer vision, natural language processing, or artificial intelligence.",Machine Learning Engineer,Bellevue, WA
Allstate,"We are creating scalable platforms for the deployment of cutting-edge predictive analytics, machine learning, and randomized experiments across the entire…",ATSV- Lead Machine Learning Engineer,Bothell, WA
IHME,The Institute for Health Metrics and Evaluation (IHME) is an independent research organization that produces cutting-edge scientific and policy-relevant…,"Research Scientist, Mathematical Sciences",Seattle, WA
Celgene,Provide input to the design of the clinical trial database for proper data capture and to ensure data quality.Good planning and project management skills.,Principal Statistical Programmer,Seattle, WA
Uplight,"Experience with designing and running statistical algorithms, specifically regression, as well as knowledge of machine learning approaches.What you get to do:",Data Scientist,Seattle, WA
"Amazon.com Services, Inc.","Work with central economics, machine learning, finance and other analytics team to ensure the most efficient and effective allocation of resources to tackle the…","Data Scientist, Alexa Excellence",Seattle, WA
Hotwire,"Master’s degree with 2-5 years of experience in a quantitative discipline (Computer Science, Machine Learning, Operations Research, Applied Mathematics,…",Data Scientist II (Seattle),Seattle, WA
Convoy,"The breadth of the problems space is huge, spanning machine learning, optimization, metric definition, econometrics, and prediction domains.",Data Scientist - Shipment Acquisition & Growth,Seattle, WA
RealSelf,"Work with internal stakeholders to refine and teach the use of tools you have built, and present findings to a wide range of colleagues, from data scientists to…",Data Scientist,Seattle, WA
FlyHomes,"Fluency in a programming language (Python, C,C++, Java, SQL) If R or Julia, must be able to scale algorithmsFamiliarity with Big Data frameworks and…",Data Scientist,Seattle, WA
Tableau,"The ideal candidate is adept at manipulating, cleaning, and analyzing large datasets over multiple domains, and is experienced at using a variety of machine…",Senior Data Scientist,Seattle, WA
Possible Finance,"Experience in Python, R, SQL.Our initial product is a mobile app that provides small dollar installment loans using machine learning and bank transaction data…","Data Scientist, Credit Risk",Seattle, WA
"Amazon.com Services, Inc.","Proficient using Python, R, Stata, Matlab or other statistical or machine learning software.Demonstrated experience in data mining, machine learning techniques…",Data Scientist Compensation,Seattle, WA
"Amazon.com Services, Inc.","Experience in SQL, R, Python, or another scripting language;Knowledge of various machine learning techniques and key parameters that affect their performance.",Sr. Data Scientist,Seattle, WA
Porch,"Manage a team of data scientists, potentially machine learning engineers as well, providing technical direction and mentorship.To lead our Data Science team.",Lead Data Scientist,Seattle, WA
Intellectual Ventures,"Gather, analyze, and model data about health gaps/burden, health interventions, and health delivery in countries of interest, e.g. maternal and child health.",Research Statistician,Bellevue, WA
Google,"Applied experience with machine learning on large datasets.Experience with statistical software (e.g., R, Python, MATLAB, pandas) and database languages (e.g.,…","Data Scientist, Engineering",Seattle, WA
Microsoft,"These tools are cloud connected to Azure, and afford a tremendous opportunity to utilize data science, machine learning, and AI to provide analytics and…",Senior Data & Applied Scientist,Redmond, WA
Pivotal Consulting,"Background in fields like computer science, mathematics, statistics, machine leaning, operations research, data mining, AI, psychology.",Data Analyst / Data Applied Scientist,Redmond, WA
Amazon Digital Services LLC,"A qualified candidate must have demonstrated ability to manage medium-scale modeling projects, identify data requirements and build methodology and tools that…",Data Scientist,Seattle, WA
Pacific Northwest National Laboratory,This is an excellent opportunity to develop your scientific career in a world-class research institution by joining an interdisciplinary research team that…,Data Scientist,Richland, WA
Outreach,"We use it for everything from customer health scores and revenue dashboards, to operational metrics of our AWS infrastructure, to helping increase product…",Data Scientist,Seattle, WA
"Amazon.com Services, Inc.",Amazon is seeking an experienced candidate to develop and manage our growing global supply chain as part of Amazon Global Logistics.,"Data Scientist, Global Networks",Seattle, WA
