company,description,location,position,reviews,City,State
Citizens Bank,"DescriptionAs the Data Scientist, you will work at the direction of the Senior and Principal Data Scientists to collect, organize, and prepare data for use in an analytics model, and develop the model to achieve desired outcomes.

The Data Scientist will be responsible for:

Applying appropriate techniques, e.g. exploratory data analysis, regression, bootstrapping, trees, cluster analysis, survival analysis, etc.Using traditional statistics methodologies as well as newer techniques from computational statistics and data miningDeveloping and articulate strategic recommendations based on rigorous data analysisWorking with other functional teams to access data elements, understand the data being analyzed, and identifying process improvement opportunitiesUsing various data mining techniques and methodologies to produce analytical solutions required to assist business stakeholdersIdentifying opportunities for process optimizationPerforming model assessments

Qualifications

4-6 years of work experience in data modeling, statistical analysis, and relevant computing requirements

Education and Certifications

Required: Bachelors Degree in Computer Science, Mathematics or StatisticsPreferred: Masters Degree in Computer Science, Mathematics or Statistics

Hours and Work ScheduleHours per Week: 40Work Schedule: Monday-Friday</p>Why Work for Us</p>At Citizens, you'll find a customer-centric culture built around helping our customers and giving back to our local communities. When you join our team, you are part of a supportive and collaborative workforce, with access to training and tools to accelerate your potential and maximize your career growth.</p>Equal Employment Opportunity</p>It is the policy of Citizens Bank to provide equal employment and advancement opportunities to all colleagues and applicants for employment without regard to race, color, ethnicity, religion, gender, pregnancy/childbirth, age, national origin, sexual orientation, gender identity or expression, disability or perceived disability, genetic information, citizenship, veteran or military status, marital or domestic partner status, or any other category protected by federal, state and/or local laws.</p>Equal Employment and Opportunity Employer/Disabled/Veteran</p>Citizens Bank is a brand name of Citizens Bank, N.A. and each of its respective subsidiaries.","Columbus, OH",data scientist,3,Columbus, OH
AES Corporation,"At AES, we raise the quality of life around the world by changing the way energy works. Everyone makes an impact every day in our small, global teams. Apply here to start an extraordinary career today.

We are looking for data scientists to join our growing team of data wranglers that will help us uncover insights and drive key business decisions by leveraging data analytics and artificial intelligence. The data scientists will use data to find patterns, create algorithms, and generally help AES’ business leaders make smarter decisions to deliver better products and solutions. The analytics will also serve as the foundation for machine learning use cases across several business applications.

The primary use cases will be in applying data mining techniques, performing statistical analysis to improve asset reliability across our green generation portfolio, make our energy grids more resilient and able to cope with tomorrows renewables demands, and drive operational efficiencies for our commercial teams.

Help us accelerate our greener energy future using data and application of analytics!

Responsibilities

• Selecting features, building and optimizing classifiers using machine learning techniques

• Data mining using state-of-the-art methods

• Visualizing data to provide predictive insights and drive decision making

• Extending company’s data with third party sources of information when needed

• Enhancing data collection procedures to include information that is relevant for building analytic systems

• Processing, cleansing, and verifying the integrity of data used for analysis

• Performing ad-hoc analyses and presenting results and business outcomes in a clear and compelling manner

• Creating automated anomaly detection systems and constant tracking of its performance

• Be an evangelist for the use and data and data driven decision making at all levels of the organization

Skills and Qualifications

• Bachelors in Engineering, Mathematics, Physics applicable real-world experience required, Masters or Phd. preferred.

• 3+ years’ experience in data analytics or data science or applicable research

• Excellent understanding of machine learning techniques and algorithms, such as k-NN, Naive Bayes, SVM, Decision Forests, etc.

• Experience in the production of energy, commercial energy markets or energy industry preferred

• Experience with common data science toolkits, such as R, Python, SAS, NumPy, MatLab, etc. Deep experience in Python or R is highly desirable

• Experience using cloud platforms (Azure ML, GCP ML, AWS SageMaker) and deploying analytics in a production environment (Microsoft Preferred)

• Demonstrates natural curiosity, an ability and willingness to challenge assumptions and gain a deeper understanding of the problem leveraging contextual inquiry

• Takes ownership, promotes perspectives and insights in a way that gives others comfort about how they were derived and what the next natural questions might be

• Excellent communication and collaboration skills to ensure analytics projects are meeting the needs of the business users

• Proficiency in using query languages such as SQL, Hive, Pig

• Experience with NoSQL databases, such as MongoDB, Cassandra, HBase

• Strong applied analytics and statistics skills, such as distributions, statistical testing, regression, etc.

• Demonstrated ability to develop and deploy scripts and programming skillsAES is an Equal Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, age, national origin, sexual orientation, gender identification, disability or protected veteran status. E-Verify Notice: AES will provide the Social Security Administration (SSA) and if necessary, the Department of Homeland Security (DHS) with information from each new employee's I-9 to confirm work authorization.","Dayton, OH",data scientist,5,Dayton, OH
Verizon,"What you’ll be doing...

You will help drive Digital Finance as we expand the number of models utilized across revenue assurance. Through partnering with the modelers you’ll be ensuring clean datasets are provided while maintaining data integrity. Utilizing your expert analytical knowledge, you will develop research methodologies generated from both cyclical and daily trending models. And you’ll use your love of data to help Verizon and our customers make more informed business decisions.

Technical Leader:

Independently manage advanced level analytic projects from design to resolution with minimal oversight.Focus on automation by leveraging emerging technologies (Big Data) and advanced analytic techniques to create models that identify system risks and failures.Design, develop and implement sophisticated solutions to ensure the ongoing integrity of our revenue streams and customer experience.Design and develop standard or ad hoc reporting based on business requirements.Direct and coordinate ETL (Extract, Transform, Load), data analysis, and reporting with respect to business intelligence efforts.Identify opportunities for revenue recovery and lead implementation efforts.Utilizing business knowledge, financial analysis skills and risk management techniques, champion efforts to effect changes within the business to ensure subscribers are billed correctly.Partner with cross-functional groups across the enterprise in Finance, Marketing, IT, Network and Supply Chain to assess impact and drive critical issue resolution.Exercise sound judgment in developing methods and techniques that requires data analysis and interpretation.Direct the identification and use of appropriate analytical technologies.Ensure analytics are captured using dashboard using statistical means, Teradata, and ETL and critical issues are identified and resolved in a timely manner.

Project Leader:

Lead cross-functional, enterprise level project efforts within Network Assurance. Assess risks and identify control processes, design user stories and drive implementation.Partner with cross functional Finance organizations, IT, Marketing, and Product teams to identify issues and drive complex issues to resolution. This includes, but is not limited to:Lead initiatives in the role of a Subject Matter Expert to resolve problems.Articulate and communicate to broad audience with focus on execution.Document and communicate resolution action plans.Stay current with system enhancements by meeting regularly with key stakeholders in IT, Network and Marketing to ensure that controls and processes are adequate.

Learning and Development:

Continually broaden and strengthen team’s knowledge of technology, tools and databases.Actively participate in team meetings, and facilitate one-on-one mentoring with less experienced teammates.

What we’re looking for...

You’re analytical, organized, and detail oriented. A self-starter and quick learner who can work independently, but you’re also great to have on a team. You communicate well with others. You’re no stranger to a fast-paced environment and tight deadlines, and you adapt to changing priorities and juggle multiple projects with ease. You take a lot of pride in your work, and that’s why people count on you to deliver.

You’ll need to have:

Bachelor’s degree or four or more years of work experience.Four or more years of relevant work experience.Willingness to work a flexible schedule, including nights and weekends as necessary.

Even better if you have:

Bachelor's degree, MBA or related advanced degree or certifications.Four or more years of work experience in a technical position working with analytic tools including Teradata, SQL, Hadoop, Data Visualization, R, or Python.Knowledge of systems required: ACSS/VISION, SMART/EPS, MTAS, On-line Charging Systems, SOCO, Enterprise Data Warehouse, eTNI, MARS.Knowledge of other IT or Network systems preferred: Visible (Matrixx/Vlocity), REVO, Data Mediation, General Ledger concepts.Experience with relational and non-relational databases, billing systems, and wireless networks.Analytical, quantitative, and proactive thinking; organizational abilities.Creativity and flexibility in managing multiple projects and issues simultaneously.Capability to understand, process and effectively plan and execute in a nebulous environment.Ability to effectively work in a large organization in consisting of diverse individuals with varying degrees of talent and technical expertise.Team oriented – proactive communication of direct/indirect issues impacting their processes.Knowledge in problem mitigation and resolution and ability to drive problems to closure.Ability to anticipate issues based on analysis and experience.Collaboration with other work groups to solve complex issues.Demonstratedeffective time management and prioritization skills.Effective written and oral communication skills with all levels of the organization, including senior management.Ability to thrive in a dynamic environment with strong attention to detail.Willingness to travel.

When you join Verizon...

You’ll have the power to go beyond – doing the work that’s transforming how people, businesses and things connect with each other. Not only do we provide the fastest and most reliable network for our customers, but we were first to 5G - a quantum leap in connectivity. Our connected solutions are making communities stronger and enabling energy efficiency. Here, you’ll have the ability to make an impact and create positive change. Whether you think in code, words, pictures or numbers, join our team of the best and brightest. We offer great pay, amazing benefits and opportunity to learn and grow in every role. Together we’ll go far.

Equal Employment Opportunity

We're proud to be an equal opportunity employer- and celebrate our employees' differences,including race, color, religion, sex, sexual orientation, gender identity, national origin, age, disability, and Veteran status. Different makes us better.

]]>","Hilliard, OH",analytics consultant,5,Hilliard, OH
Concentrix,"Essential Functions/Core Responsibilities

• Consult with clients on business operations and performance initiatives

• Gather and review client documentation related to existing business operations, processes, capabilities, and metrics

• Support the project team to successfully complete all phases of a data analysis project, including but not limited to: Planning, Data Collection, Data Cleansing, Analysis, and Recommending Solutions

• Perform analysis of large client data sets and provide recommendations for improvement related to the project initiative with limited direction from Project Lead

• Interact with both external clients and internal resources while at client site to support the due diligence process

• Support development of client deliverables (includes: ROI analysis, statistical analysis, strategic assessments, communications, and business processes)

• Conduct internal presentations to project team and related stakeholders from various functional areas, such as Sales and Program Management

• Develop approach, document tasks, and manage timeline for individual work streams in support of overall project

Candidate Profile

• Bachelor's degree in related field from a four-year college or university with two to four years of consulting or analytics experience preferred

• Strong communication skills, both written and verbal

• Demonstrated ability to multi-task, prioritize, and meet timelines on deliverables

• Self-starter, sense of urgency, and works well under pressure

• Strong attention to detail

• Sense of professionalism and ability to develop relationships

• Proficient in Microsoft Office

Career Framework Role

Requires knowledge and experience in own discipline; still acquiring higher level knowledge and skills. Analyzes possible solutions using standard procedures and principles. Builds knowledge of the organization, processes and customers. Solves a range of straightforward problems. Receives a moderate level of guidance and direction

Disclaimer

The above statements are intended to describe the general nature and level of work being performed by people assigned to this job. They are not intended to be an exhaustive list of all responsibilities, duties, and skills required of personnel working within this job title.

Concentrix is an EEO/AA/M/F/Vet/Disability Employer

#NACNX

*msja","Cincinnati, OH",analytics consultant,5,Cincinnati, OH
InfoTrust,"Data Scientist

Job description
InfoTrust has an exciting opportunity for a Data Scientist to make their mark and drive impact in the fast and growing industry of digital analytics!

We are looking for a Data Scientist to join our team and help us to build a strong foundation as our services expand. We support Fortune 500 and largest brands in the world with the digital architecture and continue to expand our business offerings to include data science projects.

At InfoTrust we live and breath data. We want someone else to join our team that is equally passionate about data! People that want to just come in and be given a task sheet need not apply! We are really looking for people that match our culture. This means you love to learn, love to share your learnings, drive impact, use innovation to increase efficiencies, respect and care for your team members, and (as cliche as it sounds) a go-getter!

What you will be doing as the Data Scientist: After 6 months you will be fully integrated into our cutting edge and innovative projects. By building models for Fortune 500 Companies, and deploying them on Google Cloud, you will be helping our clients to become data-driven.

Looking at the day-to-day of the InfoTrust Data Scientist:

Working closely with engineers and client teams to understand the client’s needs/problems within digital marketing. The Data Scientist will apply their knowledge of machine learning methodologies to propose solutions to these problems and implement the solutions to drive value for clients.
Building models in R or Python using statistical and machine learning techniques.
Creating visualizations and deliverables to communicate technical solutions to appropriate audiences
Working with internal teams to optimize the data science process to better support the discovery team
Collaborating with the sales team to create and deliver client proposals and demonstrations


Requirements
The ideal background of the Data Scientist:


3+ years of experience as a data scientist
Proven experience with the following tools: R or Python
Experience with the following analytical Methods: Regression modeling, forecasting, machine learning algorithms including ensemble models and neural nets, Bayesian models, model selection and validation
Demonstrated experience writing queries in SQL. We would like to hear about how you have used it in more complicated uses. Experience with BigQuery is helpful, but not required
The ability to take digital marketing data and translate that into valuable insights for our clients
Bachelor's degree in Data Science, Statistics, or other related discipline

Preferred: Education: Master's Degree in Statistics, Quantitative Analysis,, Biostatistics, or a related discipline

Does everything above have you really excited? Are you interested in learning more? These are the other things that we are looking for in a Data Scientist that are equally important as the years of experience and skills that you have acquired:


You are in love with data
You enjoy taking on new challenges and are not afraid of chasing down an answer
You are a lifelong learner. You enjoy reading about the new trends in data science, learning the new tool that is trending, and connecting with other data junkies
You have experience working with clients and enjoy helping their business grow through answering complicated business needs through the implementation of a data science project
You have impeccable attention to detail

InfoTrust has an amazing benefits package and an even better culture. That is why we have made numerous Best Places to Work lists, including: #1 Employer in Ohio, Ad Age’s Best Places to Work and Inc’s Best Places to Work. Because of our year after year growth we have also been ranked on Fast 55 Fastest Growing Companies and Inc 5000 Lists.

Our benefits include, but are not limited to: 100% employer paid health insurance premiums for employees and their dependents, unlimited PTO, a parental leave policy that is off the charts, gym reimbursement, and free lunch everyday!

InfoTrust is committed to a diverse workforce and we are an equal opportunity employer. We evaluate applicants regardless of an individual’s age, race, color, gender, religion, national origin, sexual orientation, disability, or veteran status.
","Cincinnati, OH",data scientist,5,Cincinnati, OH
Fanatics,"Company OverviewFanatics is the global leader in licensed sports merchandise and changing the way fans purchase their favorite team apparel and jerseys. Through an innovative, tech-infused approach to making and selling fan gear in today's on-demand culture, Fanatics operates more than 300 online and offline stores, including the e-commerce business for all major professional sports leagues (NFL, MLB, NBA, NHL, NASCAR, MLS, PGA), major media brands (NBC Sports, CBS Sports, FOX Sports) and more than 200 collegiate and professional team properties, which include several of the biggest global soccer clubs (Manchester United, Real Madrid, Chelsea, Manchester City). Fanatics offers the largest collection of timeless and timely merchandise whether shopping online, on your phone, in stores, in stadiums or on-site at the world's biggest sporting events.About the TeamWhen was the last time you made an online purchase and had the excitement of your item arriving at your doorstep? At Fanatics, sports fans are our #1 priority and we are committed to delivering products in the fastest, most efficient way possible every single day. As a member of the Fanatics Operations team, you’ll be on the front-line ensuring and executing on the most cutting-edge processes to meet our fans’ needs. Whether you’re fulfilling ready-made fan orders or working in on-demand production, our world-class Operations team is dedicated to “Getting it Right.” Getting our fans the right order, at the right time, at the right cost because we have the right talent. Level 4 – Fulfillment/DistributionData Analyst ICompany Information As the global leader in licensed sports merchandise, Fanatics is changing the way fans purchase their favorite team merchandise by partnering with top leagues, clubs and soccer brands worldwide to offer the largest collection of timeless and timely gear from every pro and college team online, on your phone, in stadiums or on-site at the world’s biggest sporting events. A top 50 Internet Retailer Company, Fanatics comprises the broadest online assortment by offering hundreds of thousands of officially licensed items via its Fanatics (www.fanatics.com), FansEdge (www.fansedge.com) and Kitbag (www.kitbag.com) brands, as well as the largest selection of sports collectibles and memorabilia through Fanatics Authentic (www.fanaticsauthentic.com). A multi-channel company, Fanatics operates more than 300 online and offline stores, including the e-commerce business for all major professional sports leagues (NFL, MLB, NBA, NHL, NASCAR, MLS, PGA), major media brands (NBC Sports, CBS Sports, FOX Sports) and more than 200 collegiate and professional team properties, which include several of biggest global soccer clubs (Manchester United, Real Madrid, Chelsea, Manchester City). The company's in-venue and event retail portfolio includes the NBA, NHL, NASCAR, Wimbledon, Kentucky Derby, The Ryder Cup, Manchester City, Texas Longhorns, Pittsburgh Pirates and New Jersey Devils, allowing fans to experience a seamless shopping experience across online, mobile and physical store locations.Position InformationCalling all sports fans! Fanatics, Inc. is seeking energetic Data Analyst to work with our fulfillment team in Frazeysburg, Ohio. We are looking for customer-oriented representatives to act as a liaison by providing inventory and quality analysis for our Fans. Data Analysts will be assigned to the Inventory Control department and work closely with the Operations teams in Inbound and Outbound. The role incumbent will provide be responsible for providing data and analytical support and root cause investigation of defects. BenefitsFull Time Fanatics Associates are entitled to benefits such as medical, dental, and vision plans; paid time off; quarterly volunteer paid time off; holiday pay; 401k and applicable company match; and company discounts, during the terms of employment. Responsibilities: •Development of Data Collection Processes and Data Management Systems•Designing of Queries, Compiling of Data, and Generation of Reports in MS Access and Excel•Create Scripts for Importing, Exporting, Analyzing, Mapping, and Converting Data•Collaboration with Members of other Departments, Subject Matter Experts, and Internal Customers with Ongoing Decisions Regarding Data Collections, Analysis, and Methodology•Document Queries Used to Generate Datasets for All Daily Reports and Ad Hoc Requests•Charting and Graphing of Data for Reporting Purposes•In Depth Research of Defect Trends•Data Collection and Entry as Needed•Data Mining and Problem Solving•Performs as a Liaison Between Department and Senior Management•Performs Tasks with Minimal Direction and Uses Initiative to Make Changes for Added Benefits•May Assist with the Strategic Direction of Processes and Analytic Procedures by Being a Change Agent for the Team•Recognize and Define Problems, Understand Business and System Processes, Collect Data, Establish Facts, and Draw Valid ConclusionsBasic Qualifications:•High School Diploma or Equivalent is Required•1+ year of Database Experience•Ability to Work Extra Hours as Required•Proficient with Microsoft Excel and Access (Pivot Tables, PowerPoint, Formulas, Macros)•Problem Solving Skills and the Ability to Identify Trends in the Data and Suggest Resolutions or RecommendationsPreferred Qualifications:•Demonstrated Problem Solving Skills and Analytical Skill•Experience with SQL •Proven Ability to Work Productively and Efficiently in an Independent Setting•Proven Ability to Clearly Communicate with Managers and Associates at All Levels•Global Perspective and Solid Understanding of Business Objectives•Excellent Attention to Detail and Work with the Highest Level of Accuracy•Excellent Attention to Detail and Work with the Highest Level of Accuracy•Initiative to Develop Tools, Data Collection Processes, and Data Management SystemTryouts are open at Fanatics! Our team is passionate, talented, unified, and charged with creating the fan experience of tomorrow. The ball is in your court now.","Frazeysburg, OH",data analyst,5,Frazeysburg, OH
Procter & Gamble,"Do you love diving into data sets? Would you enjoy telling stories and helping others see the benefit of data based decision-making? As a Senior Data Analytics Manager at P&G, you are a Business Leader: you should be an effective communicator, ambitious, and able to drive insights into actions that improve P&Gs business results. Youll need to mine multiple sources of data, derive actionable insights, and translate complex results or algorithms into simple conclusions that will empower others to take action to win with consumers. You will be a primary driver of delivering insights that will educate and influence key business decision-making with our Customer and Brand teams. Business knowledge, social, and communication skills are therefore needed to thrive in this multi-functional leadership team.

We would like you to lead and improve analytical programs and results of your business unit / category / region together with consumer research.

Deliver analytic insights in several business domains including consumer, customer, digital, market & share performance. With a combination of analytical expertise, data and system knowledge and business insight, youll answer and anticipate critical business questions and opportunities and deliver critical insights to the business in ways that make significant impacts.Build analytic capabilities to grow organizations knowledge.Develop in-depth business, analytical and systems knowledge to improve or build analytical solutions, approaches and business recommendations.Demonstrating data visualization (Power BI, Tableau, Excel), and analytic tools (R, SAS, JMP, Python, Spark) to grasp the business insights from our mountain of data is what you will experience. Collaboration with multi-functional teams (Consumer Research, Finance, Marketing, IT, Sales)

We believe you are an excellent fit, if you have:

A Bachelor or Masters Degree in a quantitative field (Operation Research, Computer Science, Engineering, Applied Math, Economics, Statistics, Analytics etc)
Experience conducting quantitative and qualitative analysis with analytics techniques to solve defined business problems.
Ability to communicate and influence agreement to your recommendations
Experience telling stories and selling with data and insights.
You are comfortable working with diverse business scenarios, handling multiple priorities and have a business & consultancy mind-set, while technically (data) savvy.
Passion about discovering new things and ability to learn quickly.

We would also love to find someone who has:

Good social skills, self-motivated, dynamic, reciprocal and ""can-do"" attitude
Related full-time or internship experience with FMCG, Media, Ecom industry analytics
Data management and visualization skills / tools (SQL, KNIME, Spotfire, PowerBI or similar) is an advantage
Programming languages (Python, R, C# or Java) an advantage
4+ years of related experience

We want you to know:

We are committed to providing equal opportunities in employment. We value diversity and do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status.

All will receive consideration for employment without regard to race, color, religion, sex, national origin, protected veteran status, disability status, age, sexual orientation, gender identity and expression, marital status, citizenship, HIV/AIDS status or any other legally protected factor.

Immigration sponsorship is not available for this position, except in rare situations based on Procter & Gamble's sole discretion. Applicants for U.S. based positions are eligible to work in the U.S. without the need for current or future sponsorship. We do not sponsor for permanent residency. Any exceptions are based on the Company's specific business needs at the time and place of recruitment as well as the particular qualifications of the individual.

Procter & Gamble participates in e-verify as required by law.

Qualified individuals will not be disadvantaged based on being unemployed.","Cincinnati, OH",data analyst,5,Cincinnati, OH
Cincinnati Reds,"Department: Baseball Operations

Job Title: Data Scientist

Reports To: Manager of Baseball Analytics

FLSA: Salary, Exempt

Job Purpose: Work with the Manager of Baseball Analytics to implement the department’s research and development efforts within new and existing applications. We envision the person in this position to play a major role in the creation of new baseball analytics concepts with the ultimate goal of enhancing player evaluation and on-field performance.

Essential Duties and Responsibilities:

Design, develop, test, implement and maintain predictive models and metrics utilizing appropriate tools and techniques.

Work with our Baseball Analytics and Systems staff to integrate new statistical analyses, models and data visualizations into existing and new applications.

Perform ad hoc analyses and effectively prepare and present findings.

Keep up to date on new predictive modeling techniques and evaluate their potential for application to baseball data sets.

Collaborate with Major League Operations, Player Development and Sports Science departments to design and implement statistical analyses.

Knowledge, Skills and Abilities:

3+ years of experience in a computational field, such as Statistics, Biostatistics, Data Science, Mathematics, Engineering, Quantitative Social Sciences or Analytics.

Strong knowledge of statistical analysis and predictive modeling.

Demonstrated experience with statistical software (e.g. R, Python) and database querying (SQL).

Ability to communicate effectively with all aspects of Baseball Operations, Scouting and Player Development staffs.

Experience with Bayesian statistics. (Preferable, but not required).

Understanding of typical baseball data structures.

Knowledge of current baseball research, sabermetric concepts, traditional baseball statistics and strategy.

Work Environment:

Remote working accommodations are available.

Work is normally performed in a typical interior/office work environment.

Hours may periodically include nights, weekends and holidays.

Expectations:

Adhere to Cincinnati Reds Organization Policies and Procedures.

Act as a role model within and outside the Cincinnati Reds Organization.

Performs duties as workload necessitates.

Demonstrate flexible and efficient time management and ability to prioritize workload.

Meet Department productivity standards.

Equal Opportunity Statement:

The Cincinnati Reds are an Equal Opportunity Employer. It is the policy of the Cincinnati Reds to ensure equal employment opportunity without discrimination or harassment on the basis of race, color, national origin, religion or creed, sex, age, military or veteran status, disability, citizenship status, marital status, genetic predisposition or carrier status, sexual orientation or any other characteristic protected by law.

Disclaimer:

The statements herein are intended to describe the general nature and level of work being performed by the employee in this position. The above description is only a summary of the typical functions of the job, not an exhaustive or comprehensive list of all possible job responsibilities, tasks, and duties. Additional duties, as assigned, may become part of the job function. The duties listed above is, therefore, a partial representation not intended to be an exhaustive list of all responsibilities, duties, and skills required of a person in this position.","Cincinnati, OH",data scientist,5,Cincinnati, OH
Avancer Corporation,"Job Title: Data Analyst

Location: East Liberty, OH

Duration: Long Term

Basic Qualifications:

At least 3+ years of experience with Data Analysis, Predictive Analytics, or Machine Learning Strong knowledge of statistics/data analysis packages Knowledge of programming languages such as Python or R Strong knowledge of Supply chain, Logistics and Transportation domains. Advanced SQL skills required. Demonstrated ability and interest in continuously learning data and analytical software is critical. SAS skills preferred. Experience with cloud technologies is a plus. Strong communication and data presentation skills; ability to communicate with data-driven stories Ability to quickly adapt to new technologies, tools and techniques Flexible and responsive; able to perform in a fast-paced, dynamic work environment and meet aggressive deadlines Ability to work with technical and non-technical team members


Thanks,

Puneet Arora

Avancer Corporation

Direct: (609) 662-1276- provided by Dice","East Liberty, OH",data scientist,0,East Liberty, OH
"Dotcom Team, LLC","Note: Those authorized to work in the US on W2 are encouraged to apply""

Qualifications:

Experience with manipulating and analyzing complex, high-volume, high-dimensional data from varying sources. Fluency in advanced analytics tool such as R and Python. Understanding of Machine Learning techniques and Statistical learning methods Experience with data science projects from data management, model buil

Rajveer J

Email: rajveer (at) dotcom-team (dot) com

Phone: 781-715-0195- provided by Dice","Columbus, OH",data scientist,0,Columbus, OH
