company|description|position|reviews|City|State
Procter & Gamble|"Do you love diving into data sets? Would you enjoy telling stories and helping others see the benefit of data based decision-making? As a Senior Data Analytics Manager at P&G, you are a Business Leader: you should be an effective communicator, ambitious, and able to drive insights into actions that improve P&Gs business results. Youll need to mine multiple sources of data, derive actionable insights, and translate complex results or algorithms into simple conclusions that will empower others to take action to win with consumers. You will be a primary driver of delivering insights that will educate and influence key business decision-making with our Customer and Brand teams. Business knowledge, social, and communication skills are therefore needed to thrive in this multi-functional leadership team.

We would like you to lead and improve analytical programs and results of your business unit / category / region together with consumer research.

Deliver analytic insights in several business domains including consumer, customer, digital, market & share performance. With a combination of analytical expertise, data and system knowledge and business insight, youll answer and anticipate critical business questions and opportunities and deliver critical insights to the business in ways that make significant impacts.Build analytic capabilities to grow organizations knowledge.Develop in-depth business, analytical and systems knowledge to improve or build analytical solutions, approaches and business recommendations.Demonstrating data visualization (Power BI, Tableau, Excel), and analytic tools (R, SAS, JMP, Python, Spark) to grasp the business insights from our mountain of data is what you will experience. Collaboration with multi-functional teams (Consumer Research, Finance, Marketing, IT, Sales)

We believe you are an excellent fit, if you have:

A Bachelor or Masters Degree in a quantitative field (Operation Research, Computer Science, Engineering, Applied Math, Economics, Statistics, Analytics etc)
Experience conducting quantitative and qualitative analysis with analytics techniques to solve defined business problems.
Ability to communicate and influence agreement to your recommendations
Experience telling stories and selling with data and insights.
You are comfortable working with diverse business scenarios, handling multiple priorities and have a business & consultancy mind-set, while technically (data) savvy.
Passion about discovering new things and ability to learn quickly.

We would also love to find someone who has:

Good social skills, self-motivated, dynamic, reciprocal and ""can-do"" attitude
Related full-time or internship experience with FMCG, Media, Ecom industry analytics
Data management and visualization skills / tools (SQL, KNIME, Spotfire, PowerBI or similar) is an advantage
Programming languages (Python, R, C# or Java) an advantage
4+ years of related experience

We want you to know:

We are committed to providing equal opportunities in employment. We value diversity and do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status.

All will receive consideration for employment without regard to race, color, religion, sex, national origin, protected veteran status, disability status, age, sexual orientation, gender identity and expression, marital status, citizenship, HIV/AIDS status or any other legally protected factor.

Immigration sponsorship is not available for this position, except in rare situations based on Procter & Gamble's sole discretion. Applicants for U.S. based positions are eligible to work in the U.S. without the need for current or future sponsorship. We do not sponsor for permanent residency. Any exceptions are based on the Company's specific business needs at the time and place of recruitment as well as the particular qualifications of the individual.

Procter & Gamble participates in e-verify as required by law.

Qualified individuals will not be disadvantaged based on being unemployed."|data analyst|5|Cincinnati| OH
Fanatics|Company OverviewFanatics is the global leader in licensed sports merchandise and changing the way fans purchase their favorite team apparel and jerseys. Through an innovative, tech-infused approach to making and selling fan gear in today's on-demand culture, Fanatics operates more than 300 online and offline stores, including the e-commerce business for all major professional sports leagues (NFL, MLB, NBA, NHL, NASCAR, MLS, PGA), major media brands (NBC Sports, CBS Sports, FOX Sports) and more than 200 collegiate and professional team properties, which include several of the biggest global soccer clubs (Manchester United, Real Madrid, Chelsea, Manchester City). Fanatics offers the largest collection of timeless and timely merchandise whether shopping online, on your phone, in stores, in stadiums or on-site at the world's biggest sporting events.About the TeamWhen was the last time you made an online purchase and had the excitement of your item arriving at your doorstep? At Fanatics, sports fans are our #1 priority and we are committed to delivering products in the fastest, most efficient way possible every single day. As a member of the Fanatics Operations team, you’ll be on the front-line ensuring and executing on the most cutting-edge processes to meet our fans’ needs. Whether you’re fulfilling ready-made fan orders or working in on-demand production, our world-class Operations team is dedicated to “Getting it Right.” Getting our fans the right order, at the right time, at the right cost because we have the right talent. Level 4 – Fulfillment/DistributionData Analyst ICompany Information As the global leader in licensed sports merchandise, Fanatics is changing the way fans purchase their favorite team merchandise by partnering with top leagues, clubs and soccer brands worldwide to offer the largest collection of timeless and timely gear from every pro and college team online, on your phone, in stadiums or on-site at the world’s biggest sporting events. A top 50 Internet Retailer Company, Fanatics comprises the broadest online assortment by offering hundreds of thousands of officially licensed items via its Fanatics (www.fanatics.com), FansEdge (www.fansedge.com) and Kitbag (www.kitbag.com) brands, as well as the largest selection of sports collectibles and memorabilia through Fanatics Authentic (www.fanaticsauthentic.com). A multi-channel company, Fanatics operates more than 300 online and offline stores, including the e-commerce business for all major professional sports leagues (NFL, MLB, NBA, NHL, NASCAR, MLS, PGA), major media brands (NBC Sports, CBS Sports, FOX Sports) and more than 200 collegiate and professional team properties, which include several of biggest global soccer clubs (Manchester United, Real Madrid, Chelsea, Manchester City). The company's in-venue and event retail portfolio includes the NBA, NHL, NASCAR, Wimbledon, Kentucky Derby, The Ryder Cup, Manchester City, Texas Longhorns, Pittsburgh Pirates and New Jersey Devils, allowing fans to experience a seamless shopping experience across online, mobile and physical store locations.Position InformationCalling all sports fans! Fanatics, Inc. is seeking energetic Data Analyst to work with our fulfillment team in Frazeysburg, Ohio. We are looking for customer-oriented representatives to act as a liaison by providing inventory and quality analysis for our Fans. Data Analysts will be assigned to the Inventory Control department and work closely with the Operations teams in Inbound and Outbound. The role incumbent will provide be responsible for providing data and analytical support and root cause investigation of defects. BenefitsFull Time Fanatics Associates are entitled to benefits such as medical, dental, and vision plans; paid time off; quarterly volunteer paid time off; holiday pay; 401k and applicable company match; and company discounts, during the terms of employment. Responsibilities: •Development of Data Collection Processes and Data Management Systems•Designing of Queries, Compiling of Data, and Generation of Reports in MS Access and Excel•Create Scripts for Importing, Exporting, Analyzing, Mapping, and Converting Data•Collaboration with Members of other Departments, Subject Matter Experts, and Internal Customers with Ongoing Decisions Regarding Data Collections, Analysis, and Methodology•Document Queries Used to Generate Datasets for All Daily Reports and Ad Hoc Requests•Charting and Graphing of Data for Reporting Purposes•In Depth Research of Defect Trends•Data Collection and Entry as Needed•Data Mining and Problem Solving•Performs as a Liaison Between Department and Senior Management•Performs Tasks with Minimal Direction and Uses Initiative to Make Changes for Added Benefits•May Assist with the Strategic Direction of Processes and Analytic Procedures by Being a Change Agent for the Team•Recognize and Define Problems, Understand Business and System Processes, Collect Data, Establish Facts, and Draw Valid ConclusionsBasic Qualifications:•High School Diploma or Equivalent is Required•1+ year of Database Experience•Ability to Work Extra Hours as Required•Proficient with Microsoft Excel and Access (Pivot Tables, PowerPoint, Formulas, Macros)•Problem Solving Skills and the Ability to Identify Trends in the Data and Suggest Resolutions or RecommendationsPreferred Qualifications:•Demonstrated Problem Solving Skills and Analytical Skill•Experience with SQL •Proven Ability to Work Productively and Efficiently in an Independent Setting•Proven Ability to Clearly Communicate with Managers and Associates at All Levels•Global Perspective and Solid Understanding of Business Objectives•Excellent Attention to Detail and Work with the Highest Level of Accuracy•Excellent Attention to Detail and Work with the Highest Level of Accuracy•Initiative to Develop Tools, Data Collection Processes, and Data Management SystemTryouts are open at Fanatics! Our team is passionate, talented, unified, and charged with creating the fan experience of tomorrow. The ball is in your court now.|data analyst|5|Frazeysburg| OH
Insight Global|"Must-have *

Data Analytics experience.

Experience using SAS.

Great communication skills (They are going to be interacting with the sales team).

Great organizational skills, and ability to be proactive.

Plusses

R experience

Day-2-Day *

Insight Global is looking for a Category Analyst to sit onsite in Westlake, OH. This person will be responsible for collecting data for the sales team using SAS. They will be analyzing the data for the Holiday Cards including (Christmas, Graduation, Birthdays etc..) With guidance from the Sr. Category Analyst, this candidate will build basic proficiencies in interpreting and analyzing data using statistical and mathematical software packages.

Job Type: Full-time

Salary: $59,000.00 /year

Experience:

SAS: 1 year (Required)Data Analytics: 1 year (Required)
"|entry level data analyst|1|Westlake| OH
Apex Systems|"Job Description

Job #:  1013309

Data Analyst

Apex Systems, the Nation’s 2nd largest IT Workforce Solutions organization, has an immediate and exciting opportunity for Data Analyst role for a Fortune Global 500 healthcare services company in Columbus, Ohio. This opportunity is for a 6 month open-ended contract with right-to-hire.

Applicants must have 1-2 years Data Analytics experience. If you’d like to receive Job Alerts from Apex that match your specific criteria, visit itcareers.apexsystemsinc.com.

Company & Group Details of the Data Analyst:

The Data Analyst will work as part of a collaborative team in a fast paced enterprise environment. The individual will need to be able to manage and move data to make it more useful for operations decision support. Will work on a team to help design and create capacity management across the enterprises Infrastructure. Work for one of the region’s Top Healthcare services company.

Requirements for the Data Analyst:

Degree in computer science 1 to 2 years experience working with SQL. Ability to package, move and validate data. Able to look at data and identify growth and utilization trends. Able to pull and manipulate data to discover trends to aide in capacity planning for compute, storage, network, etc. Ability to adopt and learn new technologies quickly.

Technologies for the Data Analyst:

Degree in Computer Science Experience with MS SQL, Python, and SharePoint is preferred. Strong experience with SQL Server, can have light experience with Python. Advanced Excel Skill (formulas, Power Pivot, Pivot Table)


If interested, feel free to reach out directly to Jaime Collins or Cassie Savely at 614-467-4200.



Please note that as a contract employee of Apex Systems, you’d be eligible for Health, Dental, Vision and Life Insurance; Short Term Disability; Hospitalization Coverage; Direct Deposit; Weekly Pay Periods; Training and Development Programs; Corporate Discounts/Perks and our Referral Program.


EEO Employer

Apex Systems is an equal opportunity employer. We do not discriminate or allow discrimination on the basis of race, color, religion, creed, sex (including pregnancy, childbirth, breastfeeding, or related medical conditions), age, sexual orientation, gender identity, national origin, ancestry, citizenship, genetic information, registered domestic partner status, marital status, disability, status as a crime victim, protected veteran status, political affiliation, union membership, or any other characteristic protected by law. Apex will consider qualified applicants with criminal histories in a manner consistent with the requirements of applicable law. If you have visited our website in search of information on employment opportunities or to apply for a position, and you require an accommodation in using our website for a search or application, please contact our Employee Services Department at 844-463-6178-6178.
"|data analyst|2|Dublin| OH
LEWCO Inc|"Job DescriptionWELDER II 2nd SHIFT (18% shift premium!!)We have an immediate opportunity available in Sandusky, OH on our 2nd shift team (3:15 p.m. - 11:45 p.m.). This position performs fit-up and welding of products from mechanical drawings using GMAW (mig) processes as required. KEY DUTIES:

Interpretation of mechanical drawings including weld symbolsPerforms quality checks using appropriate gages (calipers, dial indicators)Performs welding of company parts made of carbon steelPerforms basic fit-up of company product to mechanical drawings with assistancePerforms welding of small company products with no interventionPerforms coordination with welders in the fabrication of some company productsDesigns and builds simple jigs and fixtures for multiple piece tasks or as needed

CANDIDATE REQUIREMENTS:



High School Diploma/GED requiredHigh school or post-high school education / training / certification in welding preferred2 years GMAW (MIG) weld experience preferredRead/understand mechanical drawings and weld symbols preferredMust pass math & measurement assessmentMust pass GMAW (MIG) weld test

LEWCO, Inc. offers

Competitive CompensationHealth Care CoverageLife InsurancePaid holidays and vacationTuition Assistance401K with Company Match And more!

LEWCO, Inc., a world class ISO 9001:2015 manufacturer of industrial conveyor systems and industrial ovens, has the versatility to provide the best solution at the best value, direct to our customers. A proven business track record of high quality and customer service!LEWCO A drug-free workplace.

EOE AA M/F/Vet/Disability

Qualified applicants will receive consideration for employment without regard to their race, color, religion,national origin, sex, sexual orientation, gender identity, protected veteran status, or disability.

Company DescriptionLEWCO, Inc., a world class ISO 9001:2015 manufacturer of industrial conveyor systems and industrial ovens, has the versatility to provide the best solution at the best value, direct to our customers. A proven business track record of high quality and customer service!"|data analyst|0|Sandusky| OH
Techlink Systems|"Job DescriptionWe are seeking a Data Analyst to become an integral part of our team! You will analyze data to understand business and market trends in order to increase company revenue and efficiency.

FULL TIME, PERMANENT

Responsibilities:

Set and achieve high standards and goals for the IT/Finance TeamMaintain manual upload responsibilities such as setting-up and mass loading product information in ERP system i.e. items, bill of materials, routes, price files, export controls.Responsible for user acceptance testing (UAT) of new report builds and automations. Define, create and maintain work instruction documentationResponsible for improving operation efficiency and effectiveness through development and deployment of technology solutions. Maintain a positive can-do attitude that produces a great energy for personal/group success

Qualifications:

3 years of experience working as a Business/Data Analyst in Finance and Operations3 years of experience working in Business Intelligence and/or ERP SystemsExperience with Tableau, NDS, MS Access, SQL, Business Objects or other reporting and visualization tools.Experience with ERP/MRP systems such as NDS, Oracle, SAP and/or PeopleSoftBasic AS400 query buildingBachelor’s degree in information systems or related discipline.Oracle database and PL/SQL training preferred.Strong quantitative and analytics capabilitiesEffective written and oral communications skillsOrganized and deadline focusedWorks well with cross functional teams to drive solutions through understanding of company products, process and organization.

Company DescriptionTechLink Systems is a privately held IT Consulting Firm that provides Consulting Services to organizations nationwide. TechLink Systems is a certified MWOBE and has been in business since 1998. Our network spans all major U.S. metropolitan areas touched by major sectors such as entertainment and leisure, finance, industry and government, health sciences, and information technology. Whether you are a client seeking IT services and support or a candidate searching for new opportunities, TechLink System's outstanding customer service and dedication will exceed your expectations in the marketplace! TechLink has 6 regional offices located in San Francisco, Los Angeles, New York City, Philadelphia, Manila, and Bangalore.

http://www.techlinksystems.com/

Awards:

Ranked Top 500 Asian-Owned & Asian Pacific American-Owned Businesses in the US -Ranked Top 100 Diversity-Owned & Privately-Owned Businesses in California -Ranked INC500 Fastest Growing Private Companies -Ranked Top 100 Largest Women Owned Business San Francisco Business Times -Ranked 50 Largest Minority-Owned Companies San Francisco Business Times - Ranked in Top 100 Woman Owned Business in the US, Diversity Business -Ranked in the Top 10 Minority-Owned Businesses in the Philadelphia Business Journal -Ranked in the Top 50 Woman-Owned Businesses in the 2014 Philadelphia Business Journal
"|data analyst|0|Archbold| OH
Orthopedic One|"Position Summary: This position is responsible applying quantitative methodologies, techniques and tools to develop desired analytic solutions, reporting to the CEO. Collaborate between multiple functional areas/business units in the problem-solving process. Position requires maintaining strict confidentiality of all data and information as the position will have access to business sensitive or confidential information including patient clinical or financial information.

Responsibilities/Accountabilities:

Reporting and Analysis:

Meets with various leaders requesting reporting to resolve questions about pending report requests and developing appropriate reconciliation/validation for developed reports.

Create new queries and analysis tools, develops databases as needed and acquires data desired.

Effectively translate complex business needs into actionable data modeling exercises.

Develop high quality infrastructure or quantitative analysis tools; normalize data for reporting ease.

Interprets results, identifies trends, and provides key stakeholders, executive leadership, and directors with business insights and performance metrics through the use of data analysis methods and modeling.

Effectively communicates to key stakeholders the results and recommended action items.

Perform analysis on an ad hoc basis as required to support the strategic and operational needs of the leadership team.

Serve as a liaison between analytics and operational departments.

Teamwork:

Works collaboratively with colleagues to support Orthopedic One mission, vision and values.

Shares knowledge and insights with leaders in a constructive manner

Function in a highly matrixed, fast paced, and team-based environment.

Policies and Procedures:

Knows and complies with policies and procedures as enumerated in the Orthopedic One Employee Handbook and policies and procedures documents.

Provides assistance and support to leadership in implementing policies and procedures as necessary.

Actively participates in training, and conducting day to day work activity by adhering to all policies and procedures as enumerated in compliance and risk management programs.

Education, Experience, and Certification/Licensure Required:

Associates or Bachelors Degree in a business or information technology major preferred with a minimum of 2 - 3 years’ experience in an analytics or business intelligence role. Commensurate experience working in healthcare environment performing the duties of this position may be deemed appropriate qualification in lieu of a degree. Demonstrated ability to use various software such as MS Office (Excel, Access, and PowerPoint), and SQL at an advanced level is required. Requires excellent communication, analytical, facilitation, problem-solving skills and experience leading projects. Quantitative reasoning and practical thinking methodology and strong attention to detail required. Strong technical skills, business acumen, experience with process evaluation and improvement, and healthcare experience preferred.

Location: Orthopedic One · Administration

Schedule: Regular Full Time, Day Shift"|data analyst|1|Dublin| OH
MTD Products Inc|"Founded in 1932 and headquartered in Valley City, Ohio, MTD Products Inc is a global leader in outdoor power equipment with manufacturing facilities, offices and distribution around the world. MTD’s engineering expertise and state-of-the-art facilities are known for innovation and award-winning mowers, snow throwers, trimmers, chain saws, utility vehicles and hand tools for both residential and professional lawn and landscape markets. MTD’s family of brands includes Cub Cadet®, Troy-Bilt® and Remington®, as well as Robomow®, Yard Machines®, Rover®, and WOLF-Garten®.

Purpose:

A Data Analyst is responsible for designing and developing data models and data architecture solutions for key analytics projects. Works with business users, functional analysts and data warehouse analysts to turn data into information, information into insight. Responsible for preparation of system requirements, analyses and design throughout MTD’s data analytics implementation. Works with Business Analysts to create statistical data analysis and has the unique ability to create Analytical Data Models that predict and prescribe scenarios to facilitate business decisions.

The Data Analyst works with members of the business community and IT groups to overcome data issues to deliver an efficient Analytics System.

Essential Duties:

Completes all assigned tasks on time, at the highest quality level, with the best value that meets or exceeds customer expectations.

Interpret data, analyze results using statistical techniques and provide ongoing reports

Develop and implement ETL process and other strategies that optimize statistical efficiency and data quality

Design and Create data models for both star schema and relational databases that are optimal for reporting and analytics.

Identify, analyze, and interpret trends or patterns in complex data sets

Filter and “clean” data, and review patterns, reports and performance indicators to locate and correct process problems

Locate and define new process improvement opportunities

Develops and maintains standardized architectural and system design documents.

Works with IT management to assist with resource planning and prioritization

Responsible for maintaining and extending the Analytics data model.

Works with team members to make recommendations with respect to methodologies and technology selection and usage.

Support and work with end users to help find information.

Recognize and report key issues to supervisor

Report status to supervisor of assigned deliverables

Manage own time and work effort effectively

Specialized Knowledge/Skills:

Experience in complete life cycle of design, development and implementation of Data Analytics projects including specifically designing Analytics data model;

Expertise with data models, database design development, data mining and segmentation techniques

Basic understanding of statistics and experience using statistical packages for analyzing large datasets (Excel, SPSS, SAS etc)

Strong analytical skills with the ability to collect, organize, analyze, and disseminate significant amounts of information with attention to detail and accuracy

Experience working with BI and Data Visualization tools (Cognos, Business Objects, Tableau, Qlik etc)

Experience creating OLAP Cubes and data architecture; logical and physical Database design, and business intelligence reporting

Understanding of data warehouse design methodologies and best practices

Proven track record of successful BI and Analytics solution delivery and involvement.

Expert SQL skills

Adept at queries, report writing and presenting findings

Working knowledge of relational database architecture

ETL Development methodologies

Experience/Educational Requirements:

5 years of experience in Information Technology.

3 of the 5 years working in Data Warehouse/Business Intelligence Environment.

Bachelor’s degree in information systems or general business

Expert in system analysis, technical design, development and implementation

Thorough knowledge of data warehouse design methodologies and best practices

Experience with Dimensional Data modeling tools Experience with Oracle and SQL databases and PLSQL Experience with OLAP reporting tools, primarily Cognos tools

Excellent communication skills

Excellent problem solving skills

Self starter and ability to work independently

Experience with Cognos toolset, including Report Studio, Analysis Studio, Query Studio and Metrics Studio

Experience with ETL tools, such as Datastage, Informatica, etc

MTD seeks to passionately create, build and deliver great products and services that consumers all over the world enjoy using to improve and beautify lawns and gardens. To learn more, please visit www.mtdproducts.com.

MTD offers a competitive salary and benefit package that includes 401k, Defined Contribution Plan, Health and Dental Insurance, Vision Insurance, Tuition Reimbursement, paid vacation, paid holidays.

MTD is an equal opportunity employer M/F/D/V."|data analyst|5|Valley City| OH
NetJets|"Job Description:The Data Analyst, Senior will act as a data and business intelligence subject matter expert and work closely with business stakeholders to collect requirements and map out short and long-term plans for data and business intelligence solutions. The Data Analyst, Senior will utilize industry standard tools and query languages to lead the collection, analysis and understanding of data within operational data repositories, data warehouses and business intelligence solutions.

40%: Lead and participate in cross-functional teams to transform business needs into requirements for data and business intelligence solutions.

20%: Create data dictionaries, metadata, and/or ad-hoc reporting to document findings and share understanding of NetJets' data assets.

10%: Work with business partners and IT teams to research and analyze data quality issues and identify and prioritize solutions.

20%: Analyze and develop data models to ensure that data structures appropriately support business requirements.

10%: Proactively identify opportunities to use business intelligence solutions to better support business management and/or improve efficiency of tools.Requirements:Education Level: Bachelor's Degree

Course of Study/Major: Computer Science, MIS, Information Management, Engineering or related technical field of study

Related Work Experience: 6-8 years


6+ years of IT experience in a data management, business intelligence, or data quality role.
Advanced experience developing requirements for operational reporting systems, data warehouse systems, reports, and dashboards.
Advanced experience in Metadata Management/Data Dictionary management.
Advanced SQL skills is required; Experience with Oracle PL/SQL is a plus.
Experience integrating and transforming structured and unstructured data using tools such as Informatica.
Experienced using a variety of reporting, data analysis, and data visualization tools, such as Tableau, SAP BusinessObjects, SAS, custom dashboards.
Exceptional ability to visually present and communicate data, analyses and findings.
Experience with a variety of software development methodologies (waterfall, agile, etc) will be a plus.
Must be skilled at translating technical terms for a non-technical audience, and non-technical terms for a technical audience.
Advanced experience creating and managing enterprise data models
Advanced experience presenting and communicating findings/recommendations to cross-functional teams and/or leadership.
Must possess strong data analysis, debugging and problem solving skills and a demonstrated ability to identify root causes.
Business acumen and ability to understand complex business processes in a fast-paced environment.
Ability to coach and develop less experienced personnel.
Ability to take lead role in small projects or smaller efforts of larger projects.
"|senior data analyst|5|Columbus| OH
Matic|"Buying a home is often the largest purchase a consumer will ever make and getting a mortgage is an incredibly complicated process. Most first time home buyers are not aware that homeowners insurance is required by Lenders to complete a loan. Matic’s goal is to streamline the homeowners insurance shopping experience within the mortgage process.

As a Data Analyst at Matic, you will turn data into information, generate analytical insights, and drive business outcomes. We use data to set the direction of our business, so you will work with business stakeholders to identify how to measure the state of their objectives and analyze the results. You will also be able to drive change within our technology to capture the right data as our company evolves. We are building a data driven culture by enabling self-service, creating effective visualizations, and acting as a data evangelists across the organization. This is a fast growing company where you will be able to make a huge impact on the growth of our business by utilizing your data skills.

Responsibilities

Develop a deep understanding of our business, the competitive environment, and our agency’s core metrics to analyze progress towards our business objectives

Act as data liaison between business leaders; partner with data producers/consumers to ensure assumptions are being satisfied.

Work with cross functional stakeholders to translate business needs into a product requirements which may be needed to track key metrics.

Ensure derived data fields are correctly computed and uploaded.

Develop dashboards and reports to enable all levels of business users gain actionable insights and make data driven decisions

Build data sets to be published for self-service data exploration and analytics.

Work with product and engineering to identify the highest-impact data products with the highest risk of inaccuracy.

Be an educator and evangelist for our data by helping maintain proper data stewardship practices and deliver regular data briefings on key topics

Conduct training and provide support for our go-to-market teams on the use of our data tools (Tableau and Metabase) so they may be able to conduct ad hoc analysis independently.

Perform data analysis to assess the impact and deliver insights on changes to our business processes

What is it like working at Matic?

Matic is a digital insurance agency built to simplify your whole world of insurance.

Working at Matic means working collaboratively towards one common goal; we are one team with one dream. We have a fast-paced culture that is driven by quality, transparency, and of course fun. We have offices in California, Ohio, and Ukraine.

Why we stand out:

We focus on promotion from within

Competitive salary & bonus, and equity

Full medical benefits, HSA & 401(k)

Continuing Education/Licensing/Professional Development compensated

Awesome team and fun outings (happy hour, golf, offsite team events, etc.)

Rewards and promotions for hitting your goals

Unlimited vacation days

Modern work environment/culture - i.e. casual dress code, ability to work from home, games in the office, etc.

Requirements:

Collaborative, will share information, best practices and experiences with others and will be willing to embrace new and innovative ideas.

Must be proficient in SQL

Intermediate level experience with Tableau for building Dashboards and Reports

A deep understanding of statistical analysis (e.g. hypothesis testing, experimentation, regressions) and familiarity with statistical packages, such as Matlab, R, SAS or Python

Some familiarity with the AWS cloud ecosystem.

1+ years of work experience with ETL, data modeling, and business intelligence big data architectures.

Basic understanding of modern data warehousing concepts and track record of applying these concepts on the job.

A passion for technology - we are looking for someone who is keen to leverage their existing skills and seek out new skills and solutions.

Excellent written/verbal communication skills and aggressive attention to detail.

Rapidly adaptable to changes in a fast paced startup environment.

Ability to elicit cooperation from key stakeholders across departments.

You are incredibly sharp, confident, thoughtful and know how to get things done.

You have a track record of success and can articulate it effectively.

Applicants must be currently authorized to work in the United States on a full-time basis now and in the future. This position does not offer sponsorship."|data analyst|5|Columbus| OH
