company,description,location,position,reviews,City,State
Outreach,"About The TeamData is at the core of Outreach's strategy. It drives our customers and ourselves to the highest levels of success. We use it for everything from customer health scores and revenue dashboards, to operational metrics of our AWS infrastructure, to helping increase product engagement and user productivity through automated natural language understanding, to predictive analytics and causal inference via experimentation. As our customer base continues to grow, we are looking towards new ways of leveraging our data to save our customers time and improve their sales efficiency. The mission of the Data Science team is to accelerate the success of our internal and external customers through trustworthy data analysis and experimentation. As a member of the team, you will be on the ground floor, working directly with the VP of Data Science to define and implement our strategy for delivering data products. You will be responsible for delivering models, data-driven functionality, and end-user features based on these models that will be deployed into production, as well as analyzing the data to produce actionable insights.Your Daily Adventures Will IncludePlaying key role in designing and developing machine learning, NLP, and recommendation algorithms.Working with internal and external customers to understand their pain points and brainstorm solutionsDesigning A/B testing experiments and doing end-to-end data analysis to understand user experience and propose improvements.Working alongside experienced engineering, design, and product teams to help deliver new customer-facing features and products.Our Vision of You2+ years experience in Data ScienceYou have experience of building production ML systems, and deep knowledge of modern ML algorithmsYou have experience working with distributed data processing frameworks such as Spark. You have experience using ML frameworks such as Tensorflow, SparkML, and Scikit-Learn.You have a deep understanding of algorithms and evaluation methods used in production-grade ML systems.You have strong programming skills in at least one object oriented programming language (Java, Scala, C++, Python, etc.)You understand the entire lifecycle of machine learning product development, from inception to productionYou are hands on, able to quickly pick up new tools and languages, and excited about building things and experimentingYou go above and beyond to help your teamYou are honest, admit mistakes, and own fixing themYou are a motivated and talented craftsperson: always looking to sharpen and adapt your skillsYou have a MS degree in Computer Science, Statistics, or a related field, or equivalent industry experience. PhD degree and publication track record at conferences such as KDD, SIGIR, WWW, ICML, NIPS, ACL, CIKM, RecSys, etc. are preferred.Why You’ll Love It Here• 100% medical, dental, and vision coverage for full-time employees• Unlimited PTO (and people actually use it!)• 401k to help you save for the future• Company-organized and personal paid volunteer days to support the community that supports us• Fun company and team outings because we play just as hard as we work• Diversity and inclusion programs that promote employee resource groups like OWN (Outreach Women's Network)• A parental leave program that includes not just extended time off but options for a paid night nurse, food delivery, gradual return to work, and the Gottman Institute's Bringing Home Baby course for new parents• Employee referral bonuses to encourage the addition of great new people to the team• Plus, unlimited snacks and beverages in our kitchen","Seattle, WA",data scientist,5,Seattle, WA
Knowesis Inc.,"Job Description:Knowesis is looking for personnel to support the United States Special Operations Command Preservation of the Force and Family (USSOCOM POTFF) program in identifying and implementing innovative, valuable solutions across the Special Operations Forces (SOF) enterprise aimed at improving the short and long-term well-being of SOF warriors and their families.

Duties and responsibilities may include, but are not limited to: • Enter, clean, and conduct basic data manipulation and analysis.• Build and disseminate databases and spreadsheets designed to record POTFF related programmatic data.• Provide consultation and assistance to supported units and POTFF staff to identify opportunities and methods for capturing data relating to POTFF programs and initiatives.• Prepare reports and presentations that accurately convey data trends and associated analysis.• Enter and analyze data within government systems.

Required Experience:

Proficient with the suite of Microsoft Office programs, including Word, Excel, and Access.Prior experience using statistical software application such R, Tableau, or other data visualization software.Possess excellent communication skills, presentation skills,and shall be highly detail oriented. A certification, documented experience and heavy interest in Human Performance or Sports Science is preferred.

A qualified candidate will:

Work in consultation with POTFF program staff and the Government’s POTFF biostatistician. Serve as the analytical lead in support of program manager. Be able to use statistics and data visualization techniques to provide an accessible way to see and understand trends, outliers, and patterns in data.Be able to read, write, and speak English fluently and clearly in order to effectively communicate with all personnel for which they will interact.Possess sufficient initiative, interpersonal relationship skills and social sensitivity such that they can relate constructively to a variety of contacts from diverse background.A certification or documented experience with Human Performance is preferred.

Education: Bachelor’s Degree in quantitative science, social science or related discipline (Bachelor’s Degree in Sports Science with minor in a quantitative science may be acceptable).

Clearance Type: Secret or ability to obtain Secret Clearance

Position Location: Client site on Joint Base Lewis McCord.

Benefits

About Knowesis

Founded in 2007, Knowesis Inc. has been providing data driven decisions and solutions to federal healthcare clients from day one. Our core capabilities include analytics and information management, planning and operations, and communication and engagement strategies. Knowesis’ highly qualified, customer-focused professionals are committed to providing information and advice to enable client success through holistic, thorough, thoughtful, and aligned approaches. Our clients leverage these capabilities to support data driven decisions for their key business functions. Knowesis is dedicated to earning the loyalty of clients and staff through work ethic, collaboration, and humility. Our intent is to be a positive impact to our clients, team, and community.

Knowesis is Service Disabled Veteran Owned (SDVO) (CVE certified) and Small Disadvantaged Business (SBA certified 8a) with offices in San Antonio, Texas and Fairfax, Virginia. We offer a highly competitive compensation and benefits package inclusive of medical, dental, and paid time off.

For more information about working with Knowesis, please visit our website at http://www.knowesis-inc.com.

Knowesis is an equal opportunity employer and makes employment decisions on the basis of merit and business needs. Knowesis will consider all qualified applicants for employment without regard to race, color, religious creed, national origin, ancestry, age, sex, sexual orientation, genetic information, physical or mental disability, veteran or marital status, or any other class protected by law. To comply with applicable laws ensuring equal employment opportunities to qualified individuals with a disability, Knowesis will make reasonable accommodations for the known physical or mental limitations of an otherwise qualified individual with a disability who is an applicant or an employee unless undue hardship to the Company would result.

Keyword: Data Scientist

From: Knowesis Inc.

</br>Apply now","Fort Lewis, WA",data scientist,0,Fort Lewis, WA
ADURO,"SUMMARY:


Responsible for managing the collection, analysis and reporting of information, as well as planning, designing, programing, testing and implementing transformation of ADURO data into meaningful insights and information. This isnt a job to show up to. It is a chance to make a difference. Heres how:RESPONSIBILITIES:

Interpret information requests from team members and translate it into appropriate reporting assets.
Document key reporting requirements from clients, vendors & internal partners.
Find and integrate data from multiple sources and systems to provide analysis and insights to internal and external clients.
Use your SQL & BI skills to continually improve ADUROs reporting solutions
Employ appropriate statistical and modeling techniques to analyze data and identify key factors for product and service improvement
Leverage your skills with multiple presentation tools including Sisense, DOMO, Excel & PowerPoint to create beautiful and easy to interpret reports & visualizations
Drive and support the automation of ADUROs data reporting and insights
Promptly respond to requests
Develop tools & methods to ensure data accuracy and proactively catch data issues
Collaborate with Data & Analytics team members to solve reporting issues
Handle health information with strict confidentiality as required by HIPAA and other state and federal laws
Exercise your resourcefulness to find solutions for our users concerns and communicate them effectively
Able to interface with internal clients and interpret the data and findings in a way that tells a compelling story

DESIRED SKILLS & EXPERIENCE:


If you can accomplish the above, then youve got what it takes. Realistically though, youll need:

Demonstrated ability to maintain absolute confidentiality
Proficiency in BI Tools (Sisense, Tableau, PowerPivot, DOMO or other comparable tools)
Aptitude with SQL, R, and other languages supporting data analysis
Experience with C based object-oriented programming
Experience working within a large reporting Data Warehouse
Experience working with web and application analytics tools (Firebase, Google Analytics)
Experience using analytics to support product development
Familiar with source-control repositories and associated practices (Git, GitHub)
Proven attention to detail and accuracy
Highly organized and focused on work quality
","Redmond, WA",data analyst,5,Redmond, WA
PicMonkey,"Weve got our eyes peeled for a Data Analyst whos excited at the challenge of weaving huge gobs of raw data into strands of golden insight. Reporting to the FP&A Manager youll provide support for our new business models and strategies. As a member of the Data Analytics team, you'll help make sense of all the data we have at our disposal creating dashboards and telling stories with the patterns you uncover. In this role youll work with cross-functional teams to define and build internal systems to measure and predict business performance. The ideal candidate is strong in critical thinking, logic, organization, self-motivation and attention to detail. If you're the type who looks for meaning in even the most random statistics, wed love to talk with you!

Responsibilities:

Collaborate with Finance, Marketing, 3rd party providers and other cross-functional groups to support high-level decision making
Collect and organize data to effectively communicate trends, patterns, and predictions to leadership
Turn business questions into testable hypotheses and informative experiments (i.e., what does it take to convert a free user to paying?)
Triage problems with our campaigns and products by investigating production logs and web analytics data
Assist with report automation efforts, custom analyses requests, and analytics group report designs and content generation

 Skills & Experience:

Strong understanding of SQL and applied experience with R, Python or related languages
Knowledge of SaaS business metrics and Google Analytics
Experience analyzing and interpreting web analytics data
Comfortable managing a queue of active projects of varying size
Experience building dashboards and an interest in the aesthetics of data visualization
An understanding of data warehouse modeling/design
Strong communication and analytical problem solving skills

About PicMonkey:

PicMonkey helps people make high-impact images to promote their brand. Our photo editing and design tools are an easy-to-use alternative to complicated image editing software, and an efficient way to create stunning visuals for social media, digital marketing, and beyond. Were high energy, passionate people who share a commitment to make design simple and accessible to everyone. We believe that everyone is creative and we strive to make professional-level photo editing and graphic design simple and intuitive so that anyone, regardless of skill level, can create their own sophisticated and beautiful designs. We are rapidly expanding our product offering, and were growing by leaps and bounds.

PicMonkey is an equal opportunity employer. We celebrate diversity and are committed to creating an inclusive environment for all employees.","Seattle, WA",data analyst,0,Seattle, WA
Ring LLC,"Ring is looking for a Data Scientist to join a new project team. We are seeking an innovative, results-oriented, customer-centric data scientist to drive expansion of innovative ML solutions globally in the Account Integrity space. As a Data Scientist, you will be responsible for modeling complex problems, discovering insights and identifying opportunities through the use of statistical, machine learning, algorithmic, data mining and visualization techniques. You will need to collaborate effectively with internal stakeholders and cross-functional teams to solve problems, create operational efficiencies, and deliver successfully against high organizational standards. The candidate should be able to apply a breadth of tools, data sources and analytical techniques to answer a wide range of high-impact business questions and present the insights in concise and effective manner. Additionally, the candidate should be an effective communicator capable of independently driving issues to resolution and communicating insights to non-technical audiences. Responsibilities Use predictive analytics and machine learning techniques to solve complex problems and drive business decisions.Employ the appropriate algorithms to discover patterns of risks, abuse and help reduce bad actor activityDesign experiments, test hypotheses, and build actionable models to optimize operationsSolve analytical problems, and effectively communicate methodologies and resultsBuild predict models to forecast risks for product launches and operationsDraw inferences and conclusions, and create dashboards and visualizations of processed data, identify trends, anomaliesWork closely with internal stakeholders such as business teams, engineering teams, and partner teams and align them with respect to your focus areaBasic Qualifications Bachelor's Degree in any quantitative discipline such as Statistics, Mathematics, Economics, Computer Science, Operational Research, or a related quantitative field3+ years of experience working in Analytics / Business Intelligence environment3+ years professional experience in modeling and statistical analysis of large data sets3+ years professional experience with databases and SQL in a business environmentPreferred Qualifications Master's degree in Statistics, Applied Math, Operations Research, Economics, or a related Demonstrated use of analytical packages and query languages such as SAS, SPSS and SQLDemonstrated experience working in large scale databases and data warehousesTrack record of developing and implementing models using programming and scripting (Java, Python, R, Ruby, C/C++, or Matlab)Experience/knowledge of advanced machine learning techniques such as GBM, random forest, etc.Experience in e-commerce / on-line companies in fraud / risk control functionsCoding skills in one of the modern languages Java, Python, Scala, RExperience with visualization technologies such as TableauExperience in statistical techniques such as classification, clustering, regression, statistical inference, collaborative filtering, and natural language processing, experimental design, social networking analysis, feature engineering, etc.Compelling communication and influencing skills and participation with demonstrated experience engaging and influencing senior executivesStrong analytical and quantitative skills with the ability to use data and metrics to back up assumptions, recommendations and drive actionsAbout RingRing's mission is to reduce crime in neighborhoods by creating a Ring of Security around homes and communities with its suite of home security products and services. The Ring product line, along with the Ring Neighbors app, enable Ring to offer affordable, complete, proactive home and neighborhood security in a way no other company has before. In fact, two Newark, NJ neighborhoods saw an over 50 percent decrease in home break-ins after Ring Video Doorbells and Spotlight Cams were installed on 11% of homes in the communities from April-July 2018 when compared to the same time period in 2017. Ring is an Amazon company. For more information, visit www.ring.com. With Ring, you’re always home.Ring LLC is proud to be an equal opportunity employer and provides equal employment opportunities (EEO) to all employees and applicants without regard to race, color, religion, sex, national origin, age, disability, veteran status, sexual orientation, gender identity or genetics. Apply Now!","Seattle, WA",data scientist,0,Seattle, WA
"Convoy, Inc.","Job Duties: Defining core business logic in our data warehouse, developing insights to drive product decisions, and building data science models. Utilize SQL to manage our database and to streamline the process across platforms. Apply R, Python and other statistical programming tools to analyze big data. Collaborate with Data Scientists, Product Managers, and Engineers to manage and execute numerous projects orientated toward the improvement of our technology and business practices.

Education Requirements: Bachelors degree (or foreign equivalent) in Statistics, Mathematics or related.

Experience Requirements: One (1) year of experience as a Product Analyst or related role, which includes one (1) year of experience in each of the following:

Utilizing advanced statistical techniques and large datasets to build ETL pipelines;

Analyzing data to identify business revenue problems and opportunities;

Perform data checks and comparisons to ensure data integrity; and

Utilizing programming languages R, SQL, Tableau, or other data modelling tools.","Seattle, WA",data scientist,5,Seattle, WA
Seen by Indeed,"Seen by Indeed is a free service that connects qualified job-seekers (that's you) with top companies hiring tech roles.With one application you can be considered for thousands of tech roles from leading companies on Seen.

How Seen WorksWe find out what's important to you and match you with your dream job

Get started Complete a 5-minute application to be considered for roles at hundreds of leading companiesGet matched Companies apply to you with opportunities that reflect your role, location and salary specificationsGet career coaching Level up with free 1:1 coaching, our team will make sure you're ready to tackle any interviewGet your dream job

Skills and RequirementsWe look for top tech talent to join the Seen platform. Each candidate is reviewed on the following to make sure you're a good fit for our network

In Demand SkillsFrom strong communication skills to experience with the latest technologies, you have what employers are looking for

Stand Out QualitiesYou bring unique qualities and traits that stand out and make an impact

Change readyYou are ready for a career changes and will be responsive to employers who reach out with job opportunities

Get matched with top tech companies on Seen!","Seattle, WA",data scientist,0,Seattle, WA
ProKarma,"Description

ProKarma currently has exciting opportunities for Data Analysts that would like to join our team as a full-time employee in Seattle, WA.

Responsibilities

Generate business impact by creating new business intelligence and analyticsAnalyze data of cellular technologies and geo-locations for service coverage and user experienceWrite requirements for additional data collection through a mobile applicationTechnical problem-solving and innovative design of analytics solutions with the constraints of data and timeEngage with business stakeholders to present the analysis results and make sound recommendationDocument the analysis workflows and data dictionaryCollaborate with data engineers to optimize the data platform to product the analysis results in the quickest way possibleProactively reach out stakeholders across teams for additional information and data to maximize the effectiveness of the analysis results

Qualifications

Bachelor’s degree in computer science, mathematics or scientific field requiring statistical5-7 years of industry experience, at least 4 years of which must be in analytics, business intelligence, AI, data science, operations research, or data-driven business strategyHands-on ability to manipulate data and build analytical data setsExpert proficiency in one or more of data analysis and data wrangling tools such as SQL, Alteryx, Power BI, Tableau, MS Excel, MapInfo, Python and R.Demonstrated ability to effectively engage, collaborate, and consult with stakeholders, including effective prioritization.Portfolio of with a range data visualization techniques.Ability to translate quantitative and qualitative data into insights and strategy to drive the product development roadmap.Proven experience managing standards, processes and procedures to ensure agile delivery and consistent clear communication with delivery of actionable data-derived insights.Excellent verbal and written communication skills.


~ In order to provide equal employment and advancement opportunities to all individuals, employment decisions at ProKarma are based exclusively on merit. ProKarma does not discriminate in employment opportunities or practices on the basis of race, color, religion, sex, including gender identity and identity expression, national origin, age, or any other characteristic protected by law.","Seattle, WA",data analyst,5,Seattle, WA
Porch,"</p>Back to all current positions  Lead Data Scientist  Location: Seattle, WA  Department: Engineering  Description Porch is looking for an accomplished, hands-on data scientist to lead our Data Science team. This team focuses on integrating real-time predictive models in a production environment and operates in an academic-like setting where learning is strongly encouraged. You will lead and work alongside a team of data scientists and engineers to build scalable solutions to complex problems across the organization.

You will play the driving role to bring together engineering, business, and data science to go after the biggest opportunities to impact revenue, customer happiness, and operational scalability. If you are highly analytical, enjoy working on teams, and have a strong intellectual curiosity to learn and apply new modeling methods to solve customer problems, the Data Science team at Porch just might be the place for you!

The right candidate has strong data science technical skills and demonstrated an ability to lead a team to solve customer and business problems. You should have extensive experience with data mining, statistical modeling, and machine learning techniques and an interest in leading a technical team in a hands-on capacity.

What You Will Do

Build or expand upon a broad array of data science models; GBT, propensity scoring, NLP text classification, regression, Bayesian inference, etc.
Provide hands-on technical guidance to data scientists and analysts to encourage technical growth and ensure proper application of standard methodologies.
Drive R&D on new models and evaluate business opportunities.
Prioritize work across your team to support broader business initiatives.
Establish roadmap to improve the scalability of data pipelines and modeling infrastructure.
Collaborate with product teams to deliver solutions that enhance the customer experience and improve the efficiency of user acquisition.
Manage a team of data scientists, potentially machine learning engineers as well, providing technical direction and mentorship.
Be a highly technical, hands-on developer and an effective people manager.
Responsible for the performance of data science products with a keen understanding of the levers to provide increased value.
Communicate deeply technical results to a broad audience.

What You Bring

Ph.D. or Master's degree in statistics, econometrics, physics, mathematics, or a similar quantitative field.
6+ years of work experience in data analysis, applied statistics, machine learning, or econometrics.
Graduate-level command of statistics and probability theory.
Experience leading technical projects and/or teams and a desire to be both a technical and people leader.
Strong technical background, experience working with scalable data systems such as Spark.
Proficiency with SQL and at least one scripting language (R, Python, etc).
Hands-on experience with a broad range of modeling techniques.
Track record of focusing on the right results and delivering against critical goals.
Shown experience working in Scrum teams to define, build, and ship products.
Proven ability to move fast in an entrepreneurial environment.

About Porch

Launched September, 2013, as an online home improvement network connecting homeowners with qualified professionals, Porch has grown into the industry leading partner for the home. With more than 250,000 active professionals across the U.S., Porch partners with large retailers like Walmart, Lowe’s, and Pottery Barn to provide home services fulfillment for their customers, as well as direct-to-consumer access to more than 160 different home services offerings through Porch.com. Focused on assisting customers at every stage of the “home journey” – including moving in, installations, assembly, repairs and ongoing maintenance – last year alone, the company facilitated over 2 million home-related projects, generating almost $1 billion in revenue for small business owners and sole proprietors in specialty areas such as plumbing, roofing, electrical work carpentry, and more.



Previous Applicants:



Email:



Password:
If you do not remember your password click here.
 ","Seattle, WA",lead data scientist,6,Seattle, WA
Expedia.com,"ExpediaAre you passionate about the technology needed to drive a multi-billion dollar business? Do you love building creative, highly-scalable and expansible AI frameworks and solutions? Is working on the next-gen intelligent travel platforms to revolutionize the travel experience using AI/ML challenging and attractive to you?

We are the AI Labs team, a new team set to deliver an Artificial Intelligence (AI) Platform, advanced automation and, AI solutions. We work in start-up fashion, think deep, and code fast. We innovate incrementally, yet relentlessly. AI Labs collaborates with many teams to automate and build intelligence into our travel platforms, through Standards, Open Source, and expandable technology solutions. Our goal is to improve eCommerce platform availability and provide the best travel experience through using AI/ML.

What You'll Do:

As a Data Scientist within AI Labs you will work with a dynamic teams of product managers and engineers across multiple organizations to deliver sophisticated, next-gen AI/ML solutions. Your vigorous STEM training and problem-solving skills are particularly important for this job function. You will contribute and make our young team become the industry-leading center of excellence for eCommerce AI and Automation.

You will apply solid coding skills, strong analytical and innovative thinking, AI/ML experience, quickly learn and turn new ideas into working solutions, drive proof of concepts and pilots to accelerate the on boarding of new technologies and solutions.You will partner with multi-teams for end-to-end transactions, booking, payment, security, operation, data services engineering teams to implement platform intelligence; provide exciting experience for our global travelers and AI-powered supply/demand engine.You will grow professionally; expand your skills and curiosity; be creative; also help others become their best.

Who You Are:

A Ph.D. is required. Your degree will be in Computer Science or a related quantitative science & engineering field such as Artificial Intelligence, Computer Engineering, Mathematics, Operation Research, Statistics, Electrical Engineering, Engineering Science, System Engineering, Physics, Bioengineering and, Biomedical Science.Strong software engineering and data science knowledge and skills. You understand the concepts and steps involved when working real-world large data sets, from domain-specific problem understanding, data preparation, data integration, data structures for ML, data pipelining, data modeling, and AI/ML algorithms.Solid knowledge of ML techniques such as Bayesian methods, clustering, decision trees, random forests, NLP, etc., excellent grasp of statistical concepts and methods.Strong knowledge and experience in database technologies, including SQL and other relational databases, non-SQL, and Time Series database.Knowledge on hands-on practice in Java, Python, R, XML/JSON.Solid knowledge and practice in DL with various Neural Networks approaches, applied to areas of NLP, Computer Vision, prediction, and recommendation.Understanding of distributed file systems, scalable datastores, distributed computing and related technologies (Spark, Hadoop, etc.); implementation experience of MapReduce techniques, in-memory data processing, etc.

Why Join Us:

Expedia Group recognizes our success is dependent on the success of our people. We are the world's travel platform, made up of the most knowledgeable, passionate, and creative people in our business. Our brands recognize the power of travel to break down barriers and make people's lives better that responsibility inspires us to be the place where exceptional people want to do their best work, and to provide them the tools to do so.

Whether you're applying to work in engineering or customer support, marketing or lodging supply, at Expedia Group we act as one team, working towards a common goal; to bring the world within reach. We relentlessly strive for better, but not at the cost of the customer. We act with humility and optimism, respecting ideas big and small. We value diversity and voices of all volumes. We are a global organization but keep our feet on the ground, so we can act fast and stay simple. Our teams also have the chance to give back on a local level and make a difference through our corporate social responsibility program, Expedia Cares.

If you have a hunger to make a difference with one of the most loved consumer brands in the world and to work in the dynamic travel industry, this is the job for you.

Our family of travel brands includes: Brand Expedia®, Hotels.com®, Expedia® Partner Solutions, Egencia®, trivago®, HomeAway®, Orbitz®, Travelocity®, Wotif®, lastminute.com.au®, ebookers®, CheapTickets®, Hotwire®, Classic Vacations®, Expedia® Media Solutions, CarRentals.com, Expedia Local Expert®, Expedia® CruiseShipCenters®, SilverRail Technologies, Inc., ALICE and Traveldoo®.

*LI-PP1Expedia is committed to creating an inclusive work environment with a diverse workforce. All qualified applicants will receive consideration for employment without regard to race, color, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, disability, age, or veteran status. This employer participates in E-Verify. The employer will provide the Social Security Administration (SSA) and, if necessary, the Department of Homeland Security (DHS) with information from each new employee's I-9 to confirm work authorization.","Bellevue, WA",data scientist,4,Bellevue, WA
